energy_ev,total_up,Au_p_up,Au_d_up,N_s_up,N_p_up,Sc_p_up,Sc_d_up,Te_p_up,Te_d_up
-1.94797399,1.30472525,0.47624458,0.29949254,0.02198183,0.23039633,0.21371644,0.28062159,0.39908360,0.00000000
-1.94197099,1.22014837,0.43704470,0.27671532,0.01994532,0.20828188,0.19898070,0.26624797,0.38833699,0.00000000
-1.93596798,1.14403641,0.40136892,0.25608211,0.01804331,0.18842265,0.18549128,0.25372194,0.37944243,0.00000000
-1.92996498,1.07640329,0.36923029,0.23758016,0.01628709,0.17081924,0.17333231,0.24304192,0.37231041,0.00000000
-1.92396198,1.01708459,0.34056667,0.22115145,0.01468453,0.15543275,0.16255986,0.23417163,0.36680169,0.00000000
-1.91795898,0.96576240,0.31525213,0.20669973,0.01324019,0.14219201,0.15320352,0.22704353,0.36273593,0.00000000
-1.91195598,0.92199290,0.29310935,0.19409804,0.01195554,0.13100100,0.14526866,0.22156293,0.35990164,0.00000000
-1.90595298,0.88523570,0.27392243,0.18319668,0.01082921,0.12174606,0.13873915,0.21761257,0.35806713,0.00000000
-1.89994997,0.85488338,0.25744976,0.17383097,0.00985722,0.11430283,0.13358044,0.21505744,0.35699184,0.00000000
-1.89394697,0.83029020,0.24343619,0.16582880,0.00903336,0.10854231,0.12974279,0.21374968,0.35643758,0.00000000
-1.88794397,0.81079896,0.23162429,0.15901757,0.00834942,0.10433621,0.12716454,0.21353338,0.35617909,0.00000000
-1.88194097,0.79576483,0.22176417,0.15323028,0.00779553,0.10156111,0.12577518,0.21424912,0.35601350,0.00000000
-1.87593797,0.78457570,0.21362172,0.14831076,0.00736050,0.10010160,0.12549823,0.21573816,0.35576822,0.00000000
-1.86993497,0.77666819,0.20698490,0.14411768,0.00703209,0.09985219,0.12625375,0.21784599,0.35530695,0.00000000
-1.86393197,0.77153921,0.20166811,0.14052756,0.00679732,0.10071806,0.12796034,0.22042550,0.35453352,0.00000000
-1.85792896,0.76875286,0.19751459,0.13743648,0.00664279,0.10261482,0.13053672,0.22333934,0.35339353,0.00000000
-1.85192596,0.76794269,0.19439684,0.13476072,0.00655492,0.10546723,0.13390281,0.22646174,0.35187363,0.00000000
-1.84592296,0.76880985,0.19221533,0.13243635,0.00652027,0.10920720,0.13798032,0.22967973,0.34999870,0.00000000
-1.83991996,0.77111749,0.19089560,0.13041785,0.00652575,0.11377119,0.14269282,0.23289369,0.34782704,0.00000000
-1.83391696,0.77468209,0.19038420,0.12867601,0.00655889,0.11909722,0.14796556,0.23601745,0.34544393,0.00000000
-1.82791396,0.77936268,0.19064353,0.12719520,0.00660806,0.12512179,0.15372484,0.23897803,0.34295397,0.00000000
-1.82191096,0.78504862,0.19164629,0.12597021,0.00666269,0.13177693,0.15989731,0.24171491,0.34047270,0.00000000
-1.81590795,0.79164711,0.19336963,0.12500301,0.00671345,0.13898756,0.16640910,0.24417923,0.33811791,0.00000000
-1.80990495,0.79907118,0.19578946,0.12429942,0.00675243,0.14666942,0.17318505,0.24633286,0.33600119,0.00000000
-1.80390195,0.80722913,0.19887541,0.12386608,0.00677329,0.15472779,0.18014810,0.24814742,0.33422032,0.00000000
-1.79789895,0.81601624,0.20258653,0.12370780,0.00677137,0.16305701,0.18721893,0.24960357,0.33285276,0.00000000
-1.79189595,0.82530923,0.20686814,0.12382543,0.00674378,0.17154109,0.19431603,0.25069037,0.33195076,0.00000000
-1.78589295,0.83496416,0.21165009,0.12421445,0.00668950,0.18005528,0.20135628,0.25140507,0.33153831,0.00000000
-1.77988994,0.84481782,0.21684633,0.12486428,0.00660938,0.18846862,0.20825604,0.25175319,0.33161018,0.00000000
-1.77388694,0.85469289,0.22235611,0.12575835,0.00650623,0.19664751,0.21493288,0.25174900,0.33213300,0.00000000
-1.76788394,0.86440654,0.22806662,0.12687499,0.00638475,0.20445996,0.22130788,0.25141643,0.33304848,0.00000000
-1.76188094,0.87378206,0.23385691,0.12818903,0.00625157,0.21178058,0.22730848,0.25079033,0.33427848,0.00000000
-1.75587794,0.88266319,0.23960311,0.12967395,0.00611519,0.21849585,0.23287188,0.24991801,0.33573174,0.00000000
-1.74987494,0.89093009,0.24518444,0.13130464,0.00598599,0.22450958,0.23794873,0.24886110,0.33731182,0.00000000
-1.74387194,0.89851618,0.25048985,0.13306036,0.00587616,0.22974818,0.24250712,0.24769739,0.33892595,0.00000000
-1.73786893,0.90542489,0.25542488,0.13492790,0.00579966,0.23416551,0.24653647,0.24652273,0.34049408,0.00000000
-1.73186593,0.91174513,0.25991837,0.13690468,0.00577220,0.23774701,0.25005142,0.24545263,0.34195783,0.00000000
-1.72586293,0.91766452,0.26392862,0.13900149,0.00581119,0.24051281,0.25309509,0.24462352,0.34328874,0.00000000
-1.71985993,0.92347922,0.26744866,0.14124480,0.00593565,0.24251971,0.25574183,0.24419332,0.34449518,0.00000000
-1.71385693,0.92959960,0.27051021,0.14367839,0.00616619,0.24386170,0.25809899,0.24434136,0.34562774,0.00000000
-1.70785393,0.93655081,0.27318619,0.14636409,0.00652488,0.24466902,0.26030761,0.24526716,0.34678248,0.00000000
-1.70185093,0.94496775,0.27559138,0.14938156,0.00703512,0.24510561,0.26254175,0.24718824,0.34810191,0.00000000
