energy_ev,total_up,Ca_p_up,Ca_d_up,N_s_up,N_p_up,Ru_p_up,Ru_d_up,S_s_up,S_p_up
-6.00000000,9.92954016,0.01033496,0.00000000,0.03484270,0.69977718,4.71490042,4.43707202,0.06994399,5.45006060
-5.99399700,9.97958141,0.01049814,0.00000000,0.03401216,0.70851077,4.70830980,4.45863007,0.07007510,5.47128403
-5.98799400,9.98411747,0.01062771,0.00000000,0.03306797,0.71425454,4.68595273,4.45752276,0.06991883,5.46718562
-5.98199100,9.94347216,0.01072242,0.00000000,0.03202864,0.71682128,4.64797977,4.43419510,0.06947413,5.43819066
-5.97598799,9.85879870,0.01078131,0.00000000,0.03091445,0.71607311,4.59479518,4.38952481,0.06874454,5.38519150
-5.96998499,9.73204614,0.01080376,0.00000000,0.02974705,0.71192618,4.52704612,4.32479837,0.06773807,5.30952146
-5.96398199,9.56590644,0.01078950,0.00000000,0.02854892,0.70435406,4.44560756,4.24167640,0.06646681,5.21291800
-5.95797899,9.36374371,0.01073865,0.00000000,0.02734289,0.69338960,4.35156326,4.14214951,0.06494659,5.09747619
-5.95197599,9.12950753,0.01065172,0.00000000,0.02615169,0.67912511,4.24618292,4.02848587,0.06319648,4.96559403
-5.94597299,8.86763285,0.01052967,0.00000000,0.02499749,0.66171079,4.13089580,3.90317209,0.06123834,4.81991103
-5.93996998,8.58292902,0.01037386,0.00000000,0.02390145,0.64135148,4.00726116,3.76884915,0.05909623,4.66324177
-5.93396698,8.28046093,0.01018611,0.00000000,0.02288342,0.61830175,3.87693589,3.62824492,0.05679588,4.49850627
-5.92796398,7.96542530,0.00996862,0.00000000,0.02196149,0.59285948,3.74163987,3.48410544,0.05436409,4.32865874
-5.92196098,7.64302531,0.00972401,0.00000000,0.02115174,0.56535822,3.60311956,3.33912641,0.05182823,4.15661673
-5.91595798,7.31834688,0.00945523,0.00000000,0.02046794,0.53615858,3.46311074,3.19588707,0.04921569,3.98519221
-5.90995498,6.99623972,0.00916556,0.00000000,0.01992127,0.50563904,3.32330097,3.05678786,0.04655337,3.81702649
