energy_ev,total_up,Ag_p_up,Ag_d_up,Cr_p_up,Cr_d_up,N_s_up,N_p_up,Se_s_up,Se_p_up
-6.00000000,7.13151598,1.69379486,4.48943354,1.58897486,0.52016927,0.00741507,0.49553839,0.01290053,1.51409334
-5.99399700,7.18154835,1.71357012,4.52067426,1.59286275,0.52199735,0.00753042,0.50413184,0.01255558,1.52779768
-5.98799400,7.21189414,1.72900911,4.53868033,1.59402067,0.52247834,0.00764414,0.51093535,0.01218200,1.53838505
-5.98199100,7.22172320,1.73968277,4.54302862,1.59230837,0.52160507,0.00775238,0.51580954,0.01178342,1.54556026
-5.97598799,7.21048499,1.74524603,4.53347353,1.58764121,0.51938835,0.00785106,0.51864471,0.01136384,1.54907340
-5.96998499,7.17792038,1.74544744,4.50995058,1.57999454,0.51585665,0.00793596,0.51936351,0.01092745,1.54872702
-5.96398199,7.12406988,1.74013679,4.47257821,1.56940672,0.51105566,0.00800292,0.51792294,0.01047865,1.54438257
-5.95797899,7.04927825,1.72927041,4.42165797,1.55598072,0.50504771,0.00804797,0.51431560,0.01002188,1.53596605
-5.95197599,6.95419507,1.71291397,4.35767283,1.53988405,0.49791094,0.00806749,0.50857013,0.00956161,1.52347246
-5.94597299,6.83977056,1.69124249,4.28128343,1.52134696,0.48973835,0.00805841,0.50075081,0.00910220,1.50696887
-5.93996998,6.70724610,1.66453733,4.19332163,1.50065871,0.48063654,0.00801826,0.49095636,0.00864788,1.48659573
-5.93396698,6.55813866,1.63318029,4.09478120,1.47816194,0.47072416,0.00794535,0.47931781,0.00820265,1.46256623
-5.92796398,6.39421861,1.59764458,3.98680489,1.45424491,0.46013006,0.00783882,0.46599562,0.00777024,1.43516348
-5.92196098,6.21748027,1.55848294,3.87066771,1.42933182,0.44899107,0.00769868,0.45117600,0.00735402,1.40473527
-5.91595798,6.03010541,1.51631307,3.74775616,1.40387128,0.43744937,0.00752582,0.43506655,0.00695699,1.37168657
-5.90995498,5.83441957,1.47180080,3.61954330,1.37832307,0.42564957,0.00732201,0.41789133,0.00658169,1.33646969
-5.90395198,5.63284216,1.42564137,3.48756013,1.35314368,0.41373543,0.00708976,0.39988551,0.00623022,1.29957239
-5.89794897,5.42783137,1.37853956,3.35336362,1.32877097,0.40184643,0.00683233,0.38128975,0.00590414,1.26150419
-5.89194597,5.22182538,1.33118928,3.21850235,1.30560852,0.39011417,0.00655349,0.36234445,0.00560450,1.22278158
-5.88594297,5.01718198,1.28425329,3.08448075,1.28401030,0.37865878,0.00625747,0.34328414,0.00533183,1.18391230
-5.87993997,4.81611873,1.23834400,2.95272325,1.26426634,0.36758557,0.00594876,0.32433208,0.00508609,1.14537976
-5.87393697,4.62065597,1.19400597,2.82453976,1.24659007,0.35698191,0.00563192,0.30569540,0.00486675,1.10762797
-5.86793397,4.43256534,1.15170082,2.70109380,1.23110803,0.34691469,0.00531148,0.28756077,0.00467274,1.07104775
-5.86193097,4.25332577,1.11179528,2.58337486,1.21785248,0.33742839,0.00499175,0.27009085,0.00450256,1.03596495
-5.85592796,4.08408931,1.07455270,2.47217608,1.20675746,0.32854383,0.00467671,0.25342165,0.00435425,1.00263109
-5.84992496,3.92565808,1.04012854,2.36807837,1.19765864,0.32025791,0.00436986,0.23766073,0.00422551,0.97121702
-5.84392196,3.77847372,1.00856988,2.27144178,1.19029709,0.31254413,0.00407421,0.22288646,0.00411375,0.94180977
-5.83791896,3.64261968,0.97981891,2.18240435,1.18432703,0.30535412,0.00379213,0.20914813,0.00401613,0.91441285
-5.83191596,3.51783632,0.95372037,2.10088871,1.17932728,0.29861992,0.00352543,0.19646706,0.00392971,0.88894993
-5.82591296,3.40354809,0.93003236,2.02661598,1.17481600,0.29225720,0.00327525,0.18483843,0.00385148,0.86527166
-5.81990995,3.29890151,0.90844003,1.95912632,1.17026823,0.28616899,0.00304219,0.17423391,0.00377850,0.84316541
-5.81390695,3.20281207,0.88857165,1.89780524,1.16513532,0.28025002,0.00282631,0.16460475,0.00370791,0.82236727
-5.80790395,3.11401798,0.87001608,1.84191432,1.15886556,0.27439124,0.00262718,0.15588538,0.00363712,0.80257585
-5.80190095,3.03113819,0.85234097,1.79062515,1.15092500,0.26848456,0.00244401,0.14799714,0.00356377,0.78346710
-5.79589795,2.95273218,0.83511095,1.74305472,1.14081755,0.26242737,0.00227569,0.14085218,0.00348589,0.76470957
-5.78989495,2.87735892,0.81790490,1.69830110,1.12810353,0.25612679,0.00212094,0.13435727,0.00340187,0.74597924
-5.78389195,2.80363262,0.80033166,1.65547776,1.11241572,0.24950341,0.00197833,0.12841736,0.00331057,0.72697342
-5.77788894,2.73027310,0.78204369,1.61374525,1.09347243,0.24249435,0.00184641,0.12293886,0.00321130,0.70742305
-5.77188594,2.65614908,0.76274807,1.57233938,1.07108691,0.23505553,0.00172375,0.11783248,0.00310382,0.68710296
-5.76588294,2.58031307,0.74221470,1.53059469,1.04517292,0.22716316,0.00160903,0.11301560,0.00298837,0.66583972
-5.75987994,2.50202693,0.72028139,1.48796302,1.01574625,0.21881428,0.00150109,0.10841414,0.00286562,0.64351686
-5.75387694,2.42077801,0.69685599,1.44402655,0.98292235,0.21002648,0.00139893,0.10396386,0.00273666,0.62007750
-5.74787394,2.33628565,0.67191559,1.39850550,0.94691030,0.20083681,0.00130174,0.09961118,0.00260292,0.59552429
-5.74187094,2.24849898,0.64550317,1.35126044,0.90800362,0.19129999,0.00120894,0.09531354,0.00246617,0.56991697
-5.73586793,2.15758651,0.61772197,1.30228989,0.86656837,0.18148605,0.00112012,0.09103927,0.00232844,0.54336784
-5.72986493,2.06391907,0.58872809,1.25172352,0.82302935,0.17147754,0.00103508,0.08676717,0.00219193,0.51603540
-5.72386193,1.96804708,0.55872173,1.19981171,0.77785505,0.16136645,0.00095377,0.08248572,0.00205903,0.48811678
