energy_ev,total_up,total_down,Ag_p_up,Ag_p_down,Ag_d_up,Ag_d_down,C_s_up,C_s_down,C_p_up,C_p_down,Cr_p_up,Cr_p_down,Cr_d_up,Cr_d_down,S_s_up,S_s_down,S_p_up,S_p_down
-6.00000000,8.74581993,-11.41060738,0.75628954,-1.03536174,1.53769814,-1.90021629,0.08048896,-0.14324936,0.57708765,-0.75743944,4.09047201,-4.27047501,1.13328017,-1.15482806,0.07529489,-0.09621579,3.26108066,-4.47772931
-5.99399700,8.47675229,-11.57061440,0.73264846,-1.06866366,1.52560465,-1.92153422,0.07744329,-0.14458051,0.55827226,-0.77233688,3.99328787,-4.38480824,1.08455428,-1.16945425,0.07165276,-0.09726798,3.16027544,-4.54161245
-5.98799400,8.21970830,-11.70299312,0.70965141,-1.10033038,1.51713207,-1.93923718,0.07470803,-0.14545311,0.53982085,-0.78575718,3.89329146,-4.48913520,1.03822433,-1.18050768,0.06805026,-0.09808752,3.06366928,-4.59473692
-5.98199100,7.97907681,-11.80621387,0.68772483,-1.13001792,1.51308575,-1.95336925,0.07233971,-0.14583861,0.52200963,-0.79747823,3.79247693,-4.58213708,0.99486483,-1.18778764,0.06453718,-0.09865870,2.97289062,-4.63655067
-5.97598799,7.75887632,-11.87925300,0.66727402,-1.15740200,1.51418678,-1.96408176,0.07038639,-0.14571773,0.50509054,-0.80730059,3.69283299,-4.66269061,0.95497160,-1.19115670,0.06115944,-0.09896950,2.88945056,-4.66669225
-5.96998499,7.56264529,-11.92163773,0.64867147,-1.18218764,1.52104558,-1.97163501,0.06888596,-0.14508162,0.48928348,-0.81505289,3.59628573,-4.72989629,0.91895109,-1.19054598,0.05795808,-0.09901203,2.81470300,-4.68500743
-5.96398199,7.39334031,-11.93347562,0.63224546,-1.20411792,1.53413721,-1.97639606,0.06786484,-0.14393277,0.47476938,-0.82059664,3.50464069,-4.78310073,0.88711179,-1.18595858,0.05496833,-0.09878276,2.74980640,-4.69156007
-5.95797899,7.25324613,-11.91546691,0.61826928,-1.22298158,1.55377962,-1.97883287,0.06733691,-0.14228544,0.46168440,-0.82383022,3.41952690,-4.82191228,0.85965813,-1.17747075,0.05221894,-0.09828266,2.69568892,-4.68663640
-5.95197599,7.14390161,-11.86889794,0.60695180,-1.23861888,1.58011568,-1.97950436,0.06730291,-0.14016574,0.45011567,-0.82469192,3.34234499,-4.84620911,0.83668693,-1.16523104,0.04973170,-0.09751720,2.65301829,-4.67074221
-5.94597299,7.06604537,-11.79561536,0.59842963,-1.25092565,1.61310008,-1.97904670,0.06775022,-0.13761123,0.44009860,-0.82316192,3.27422207,-4.85613941,0.81818680,-1.14945713,0.04752114,-0.09649624,2.62217805,-4.64459250
-5.93996998,7.01958414,-11.69798073,0.59276139,-1.25985509,1.65249197,-1.97815592,0.06865307,-0.13467011,0.43161612,-0.81926305,3.21597549,-4.85211330,0.80404045,-1.13043069,0.04559458,-0.09523379,2.60325138,-4.60909373
-5.93396698,7.00358668,-11.57880686,0.58992452,-1.26541727,1.69785384,-1.97756745,0.06997318,-0.13140000,0.42459982,-0.81306045,3.16808752,-4.83478664,0.79402995,-1.10849022,0.04395228,-0.09374764,2.59601376,-4.56531889
-5.92796398,7.01630449,-11.44127729,0.58981482,-1.26767650,1.74855719,-1.97803287,0.07166076,-0.12786633,0.41893312,-0.80465988,3.13069237,-4.80503705,0.78784498,-1.08402225,0.04258788,-0.09205893,2.59993526,-4.51447606
-5.92196098,7.05522002,-11.28885166,0.59224893,-1.26674646,1.80379506,-1.98029500,0.07365593,-0.12414053,0.41445621,-0.79420488,3.10357666,-4.76393297,0.78509375,-1.05745116,0.04148901,-0.09019167,2.61419297,-4.45787162
