energy_ev,total_up,Cu_p_up,Cu_d_up,S_s_up,S_p_up,Si_p_up,Si_d_up
-6.00000000,0.42745121,0.19095022,0.05715372,0.00255648,0.23950741,0.00599295,0.00000000
-5.99399700,0.43462274,0.19230835,0.05842337,0.00268513,0.24810775,0.00639110,0.00000000
-5.98799400,0.44498517,0.19502841,0.06027010,0.00282102,0.25834529,0.00684897,0.00000000
-5.98199100,0.45843489,0.19908787,0.06269031,0.00296139,0.27017825,0.00736586,0.00000000
-5.97598799,0.47478919,0.20442828,0.06566667,0.00310334,0.28351640,0.00793938,0.00000000
-5.96998499,0.49378708,0.21095550,0.06916767,0.00324387,0.29822063,0.00856547,0.00000000
-5.96398199,0.51509248,0.21854110,0.07314754,0.00337995,0.31410410,0.00923827,0.00000000
-5.95797899,0.53829996,0.22702487,0.07754662,0.00350859,0.33093521,0.00995018,0.00000000
-5.95197599,0.56294283,0.23621838,0.08229221,0.00362693,0.34844205,0.01069195,0.00000000
-5.94597299,0.58850372,0.24590958,0.08729993,0.00373232,0.36631863,0.01145280,0.00000000
-5.93996998,0.61442712,0.25586837,0.09247552,0.00382238,0.38423251,0.01222066,0.00000000
-5.93396698,0.64013389,0.26585283,0.09771708,0.00389508,0.40183366,0.01298244,0.00000000
-5.92796398,0.66503711,0.27561620,0.10291778,0.00394879,0.41876441,0.01372434,0.00000000
-5.92196098,0.68855883,0.28491412,0.10796877,0.00398236,0.43467002,0.01443226,0.00000000
-5.91595798,0.71014720,0.29351203,0.11276240,0.00399515,0.44920957,0.01509216,0.00000000
-5.90995498,0.72929328,0.30119245,0.11719554,0.00398703,0.46206682,0.01569053,0.00000000
-5.90395198,0.74554699,0.30776185,0.12117277,0.00395848,0.47296046,0.01621479,0.00000000
-5.89794897,0.75853142,0.31305680,0.12460955,0.00391050,0.48165350,0.01665371,0.00000000
-5.89194597,0.76795497,0.31694920,0.12743497,0.00384470,0.48796130,0.01699776,0.00000000
-5.88594297,0.77362072,0.31935028,0.12959412,0.00376322,0.49175787,0.01723947,0.00000000
-5.87993997,0.77543266,0.32021331,0.13104989,0.00366879,0.49298017,0.01737363,0.00000000
-5.87393697,0.77339829,0.31953471,0.13178413,0.00356465,0.49163020,0.01739753,0.00000000
-5.86793397,0.76762754,0.31735358,0.13179812,0.00345460,0.48777465,0.01731098,0.00000000
-5.86193097,0.75832791,0.31374968,0.13111223,0.00334292,0.48154227,0.01711634,0.00000000
-5.85592796,0.74579606,0.30883984,0.12976491,0.00323447,0.47311879,0.01681844,0.00000000
-5.84992496,0.73040605,0.30277290,0.12781097,0.00313460,0.46273987,0.01642432,0.00000000
-5.84392196,0.71259481,0.29572361,0.12531917,0.00304925,0.45068209,0.01594306,0.00000000
-5.83791896,0.69284543,0.28788544,0.12236940,0.00298496,0.43725263,0.01538535,0.00000000
-5.83191596,0.67166898,0.27946288,0.11904935,0.00294890,0.42277791,0.01476317,0.00000000
-5.82591296,0.64958569,0.27066338,0.11545107,0.00294897,0.40759175,0.01408933,0.00000000
-5.81990995,0.62710631,0.26168944,0.11166738,0.00299383,0.39202360,0.01337705,0.00000000
-5.81390695,0.60471445,0.25273106,0.10778842,0.00309299,0.37638735,0.01263955,0.00000000
-5.80790395,0.58285068,0.24395902,0.10389845,0.00325688,0.36097116,0.01188959,0.00000000
-5.80190095,0.56189905,0.23551917,0.10007302,0.00349687,0.34602879,0.01113917,0.00000000
-5.79589795,0.54217659,0.22752797,0.09637670,0.00382533,0.33177268,0.01039916,0.00000000
-5.78989495,0.52392612,0.22006958,0.09286135,0.00425558,0.31836921,0.00967909,0.00000000
-5.78389195,0.50731250,0.21319440,0.08956513,0.00480189,0.30593600,0.00898695,0.00000000
-5.77788894,0.49242259,0.20691923,0.08651208,0.00547930,0.29454149,0.00832912,0.00000000
-5.77188594,0.47926841,0.20122887,0.08371246,0.00630349,0.28420670,0.00771028,0.00000000
-5.76588294,0.46779340,0.19607916,0.08116362,0.00729051,0.27490874,0.00713354,0.00000000
-5.75987994,0.45788129,0.19140110,0.07885144,0.00845642,0.26658617,0.00660046,0.00000000
-5.75387694,0.44936689,0.18710594,0.07675214,0.00981691,0.25914547,0.00611126,0.00000000
-5.74787394,0.44204822,0.18309090,0.07483449,0.01138678,0.25246852,0.00566497,0.00000000
-5.74187094,0.43569938,0.17924515,0.07306212,0.01317940,0.24642051,0.00525971,0.00000000
-5.73586793,0.43008329,0.17545592,0.07139593,0.01520612,0.24085795,0.00489291,0.00000000
-5.72986493,0.42496388,0.17161422,0.06979636,0.01747564,0.23563631,0.00456155,0.00000000
-5.72386193,0.42011703,0.16762015,0.06822563,0.01999340,0.23061698,0.00426244,0.00000000
-5.71785893,0.41534004,0.16338735,0.06664953,0.02276105,0.22567342,0.00399242,0.00000000
-5.71185593,0.41045899,0.15884663,0.06503905,0.02577598,0.22069592,0.00374862,0.00000000
-5.70585293,0.40533429,0.15394854,0.06337148,0.02903097,0.21559535,0.00352862,0.00000000
-5.69984992,0.39986395,0.14866484,0.06163128,0.03251410,0.21030538,0.00333063,0.00000000
-5.69384692,0.39398502,0.14298902,0.05981042,0.03620877,0.20478359,0.00315363,0.00000000
-5.68784392,0.38767327,0.13693572,0.05790844,0.04009406,0.19901135,0.00299750,0.00000000
-5.68184092,0.38094139,0.13053933,0.05593218,0.04414530,0.19299271,0.00286309,0.00000000
-5.67583792,0.37383632,0.12385192,0.05389529,0.04833497,0.18675259,0.00275230,0.00000000
-5.66983492,0.36643575,0.11694053,0.05181752,0.05263386,0.18033436,0.00266813,0.00000000
-5.66383192,0.35884452,0.10988418,0.04972393,0.05701245,0.17379719,0.00261469,0.00000000
-5.65782891,0.35119109,0.10277071,0.04764405,0.06144253,0.16721331,0.00259725,0.00000000
-5.65182591,0.34362446,0.09569361,0.04561108,0.06589893,0.16066551,0.00262221,0.00000000
-5.64582291,0.33631169,0.08874905,0.04366113,0.07036132,0.15424481,0.00269711,0.00000000
-5.63981991,0.32943616,0.08203318,0.04183264,0.07481596,0.14804878,0.00283056,0.00000000
-5.63381691,0.32319660,0.07563991,0.04016586,0.07925735,0.14218018,0.00303224,0.00000000
-5.62781391,0.31780682,0.06965903,0.03870253,0.08368951,0.13674623,0.00331279,0.00000000
-5.62181091,0.31349581,0.06417491,0.03748567,0.08812704,0.13185835,0.00368372,0.00000000
-5.61580790,0.31050820,0.05926563,0.03655947,0.09259561,0.12763226,0.00415725,0.00000000
-5.60980490,0.30910453,0.05500254,0.03596926,0.09713195,0.12418832,0.00474619,0.00000000
-5.60380190,0.30956123,0.05145014,0.03576154,0.10178324,0.12165199,0.00546370,0.00000000
-5.59779890,0.31216978,0.04866629,0.03598394,0.10660586,0.12015423,0.00632303,0.00000000
-5.59179590,0.31723496,0.04670253,0.03668514,0.11166345,0.11983161,0.00733729,0.00000000
-5.58579290,0.32507175,0.04560455,0.03791474,0.11702450,0.12082601,0.00851910,0.00000000
-5.57978989,0.33600094,0.04541257,0.03972285,0.12275930,0.12328378,0.00988025,0.00000000
-5.57378689,0.35034324,0.04616163,0.04215967,0.12893654,0.12735424,0.01143141,0.00000000
-5.56778389,0.36841198,0.04788181,0.04527474,0.13561960,0.13318745,0.01318175,0.00000000
-5.56178089,0.39050462,0.05059810,0.04911610,0.14286279,0.14093121,0.01513866,0.00000000
-5.55577789,0.41689317,0.05433017,0.05372920,0.15070754,0.15072741,0.01730746,0.00000000
-5.54977489,0.44781406,0.05909183,0.05915572,0.15917902,0.16270771,0.01969121,0.00000000
-5.54377189,0.48345774,0.06489037,0.06543221,0.16828300,0.17698880,0.02229062,0.00000000
-5.53776888,0.52395851,0.07172565,0.07258866,0.17800345,0.19366731,0.02510397,0.00000000
-5.53176588,0.56938516,0.07958919,0.08064715,0.18830086,0.21281466,0.02812725,0.00000000
-5.52576288,0.61973278,0.08846318,0.08962037,0.19911141,0.23447210,0.03135430,0.00000000
-5.51975988,0.67491632,0.09831955,0.09951041,0.21034711,0.25864608,0.03477720,0.00000000
-5.51375688,0.73476625,0.10911922,0.11030760,0.22189685,0.28530444,0.03838656,0.00000000
-5.50775388,0.79902668,0.12081146,0.12198961,0.23362857,0.31437334,0.04217210,0.00000000
-5.50175088,0.86735605,0.13333360,0.13452080,0.24539213,0.34573542,0.04612309,0.00000000
-5.49574787,0.93933068,0.14661106,0.14785190,0.25702318,0.37922928,0.05022894,0.00000000
-5.48974487,1.01445094,0.16055763,0.16191994,0.26834755,0.41465028,0.05447962,0.00000000
