energy_ev,total_up,B_p_up,B_d_up,Hg_p_up,Hg_d_up,Te_p_up,Te_d_up
-6.00000000,2.62539803,0.19651150,0.00000000,1.11389132,0.57397045,0.93114464,0.00000000
-5.99399700,2.83008040,0.21323117,0.00000000,1.19984937,0.61477041,1.01482050,0.00000000
-5.98799400,3.04428412,0.23073956,0.00000000,1.28965443,0.65760221,1.10226153,0.00000000
-5.98199100,3.26638983,0.24895223,0.00000000,1.38253083,0.70209153,1.19280337,0.00000000
-5.97598799,3.49457040,0.26776824,0.00000000,1.47763437,0.74781731,1.28568665,0.00000000
-5.96998499,3.72680782,0.28707005,0.00000000,1.57406776,0.79431524,1.38006565,0.00000000
-5.96398199,3.96091582,0.30672375,0.00000000,1.67089780,0.84108227,1.47502018,0.00000000
-5.95797899,4.19456838,0.32657998,0.00000000,1.76717408,0.88758255,1.56957057,0.00000000
-5.95197599,4.42533407,0.34647519,0.00000000,1.86194835,0.93325475,1.66269542,0.00000000
-5.94597299,4.65071596,0.36623364,0.00000000,1.95429415,0.97752078,1.75335177,0.00000000
-5.93996998,4.86819629,0.38566992,0.00000000,2.04332583,1.01979589,1.84049711,0.00000000
-5.93396698,5.07528497,0.40459198,0.00000000,2.12821611,1.05949999,1.92311243,0.00000000
-5.92796398,5.26957052,0.42280464,0.00000000,2.20821164,1.09606992,2.00022570,0.00000000
-5.92196098,5.44877190,0.44011347,0.00000000,2.28264568,1.12897230,2.07093471,0.00000000
-5.91595798,5.61078949,0.45632878,0.00000000,2.35094742,1.15771661,2.13442872,0.00000000
-5.90995498,5.75375333,0.47126977,0.00000000,2.41264755,1.18186801,2.19000786,0.00000000
-5.90395198,5.87606715,0.48476852,0.00000000,2.46737998,1.20105936,2.23709978,0.00000000
-5.89794897,5.97644618,0.49667366,0.00000000,2.51487959,1.21500206,2.27527293,0.00000000
-5.89194597,6.05394793,0.50685366,0.00000000,2.55497657,1.22349518,2.30424608,0.00000000
-5.88594297,6.10799446,0.51519955,0.00000000,2.58758773,1.22643241,2.32389391,0.00000000
-5.87993997,6.13838599,0.52162698,0.00000000,2.61270553,1.22380674,2.33424869,0.00000000
-5.87393697,6.14530531,0.52607754,0.00000000,2.63038589,1.21571242,2.33549811,0.00000000
-5.86793397,6.12931344,0.52851942,0.00000000,2.64073546,1.20234425,2.32797980,0.00000000
-5.86193097,6.09133690,0.52894728,0.00000000,2.64389968,1.18399418,2.31217270,0.00000000
-5.85592796,6.03264753,0.52738152,0.00000000,2.64005224,1.16104530,2.28868600,0.00000000
