energy_ev,total_up,Au_p_up,Au_d_up,C_s_up,C_p_up,Mn_p_up,Mn_d_up,Te_p_up,Te_d_up
-5.72386193,0.14149186,0.03726053,0.07505504,0.00026391,0.00277334,0.00261494,0.03215656,0.04241475,0.00000000
-5.71785893,0.11559600,0.03047106,0.06133365,0.00022633,0.00226866,0.00214164,0.02624652,0.03463153,0.00000000
-5.71185593,0.09445339,0.02479624,0.05038944,0.00019842,0.00184359,0.00175186,0.02128170,0.02813791,0.00000000
-5.70585293,0.07751587,0.02010736,0.04190786,0.00017997,0.00148885,0.00143647,0.01714863,0.02278122,0.00000000
-5.69984992,0.06430692,0.01628496,0.03563066,0.00017100,0.00119563,0.00118734,0.01374045,0.01842043,0.00000000
-5.69384692,0.05442669,0.01322076,0.03135770,0.00017175,0.00095577,0.00099751,0.01095841,0.01492816,0.00000000
-5.68784392,0.04755531,0.01081896,0.02894801,0.00018280,0.00076186,0.00086124,0.00871297,0.01219194,0.00000000
-5.68184092,0.04345471,0.00899705,0.02832035,0.00020502,0.00060727,0.00077414,0.00692433,0.01011495,0.00000000
-5.67583792,0.04196919,0.00768615,0.02945342,0.00023965,0.00048620,0.00073316,0.00552263,0.00861623,0.00000000
-5.66983492,0.04302510,0.00683100,0.03238563,0.00028834,0.00039368,0.00073667,0.00444774,0.00763046,0.00000000
-5.66383192,0.04662953,0.00638965,0.03721468,0.00035312,0.00032555,0.00078440,0.00364889,0.00710751,0.00000000
-5.65782891,0.05286836,0.00633294,0.04409662,0.00043649,0.00027842,0.00087748,0.00308407,0.00701162,0.00000000
-5.65182591,0.06190341,0.00664382,0.05324441,0.00054137,0.00024961,0.00101836,0.00271933,0.00732052,0.00000000
-5.64582291,0.07396864,0.00731643,0.06492580,0.00067115,0.00023712,0.00121081,0.00252796,0.00802432,0.00000000
-5.63981991,0.08936535,0.00835522,0.07946018,0.00082964,0.00023955,0.00145981,0.00248971,0.00912428,0.00000000
-5.63381691,0.10845600,0.00977379,0.09721435,0.00102105,0.00025605,0.00177148,0.00258991,0.01063152,0.00000000
-5.62781391,0.13165649,0.01159376,0.11859663,0.00124998,0.00028626,0.00215295,0.00281870,0.01256558,0.00000000
-5.62181091,0.15942663,0.01384343,0.14404945,0.00152130,0.00033021,0.00261223,0.00317017,0.01495289,0.00000000
-5.61580790,0.19225855,0.01655633,0.17403972,0.00184012,0.00038833,0.00315801,0.00364163,0.01782511,0.00000000
-5.60980490,0.23066283,0.01976967,0.20904730,0.00221161,0.00046131,0.00379942,0.00423283,0.02121737,0.00000000
-5.60380190,0.27515242,0.02352260,0.24955098,0.00264092,0.00055010,0.00454582,0.00494530,0.02516635,0.00000000
-5.59779890,0.32622408,0.02785430,0.29601243,0.00313299,0.00065579,0.00540640,0.00578160,0.02970821,0.00000000
-5.59179590,0.38433773,0.03280201,0.34885795,0.00369234,0.00077957,0.00638991,0.00674473,0.03487652,0.00000000
-5.58579290,0.44989396,0.03839882,0.40845840,0.00432291,0.00092266,0.00750424,0.00783744,0.04069996,0.00000000
-5.57978989,0.52321009,0.04467147,0.47510787,0.00502781,0.00108619,0.00875597,0.00906170,0.04720005,0.00000000
-5.57378689,0.60449555,0.05163805,0.54900152,0.00580908,0.00127120,0.01014999,0.01041814,0.05438893,0.00000000
-5.56778389,0.69382736,0.05930581,0.63021341,0.00666746,0.00147848,0.01168899,0.01190553,0.06226713,0.00000000
-5.56178089,0.79112670,0.06766894,0.71867538,0.00760222,0.00170854,0.01337308,0.01352036,0.07082160,0.00000000
-5.55577789,0.89613764,0.07670672,0.81415766,0.00861085,0.00196152,0.01519932,0.01525649,0.08002394,0.00000000
-5.54977489,1.00840935,0.08638181,0.91625268,0.00968900,0.00223711,0.01716142,0.01710490,0.08982900,0.00000000
-5.54377189,1.12728280,0.09663907,1.02436284,0.01083027,0.00253450,0.01924942,0.01905349,0.10017399,0.00000000
-5.53776888,1.25188327,0.10740478,1.13769355,0.01202618,0.00285234,0.02144953,0.02108717,0.11097810,0.00000000
-5.53176588,1.38111967,0.11858656,1.25525236,0.01326615,0.00318868,0.02374405,0.02318787,0.12214278,0.00000000
-5.52576288,1.51369159,0.13007384,1.37585508,0.01453752,0.00354099,0.02611141,0.02533493,0.13355273,0.00000000
-5.51975988,1.64810463,0.14173921,1.49813937,0.01582576,0.00390616,0.02852643,0.02750553,0.14507764,0.00000000
