energy_ev,total_up,total_down,Mn_p_up,Mn_p_down,Mn_d_up,Mn_d_down,N_s_up,N_s_down,N_p_up,N_p_down,S_s_up,S_s_down,S_p_up,S_p_down,Ti_p_up,Ti_p_down,Ti_d_up,Ti_d_down
-6.00000000,3.24770125,-3.30766860,0.97481207,-2.22694650,1.11594129,-0.58914910,0.01036624,-0.00631279,0.56154049,-0.79788795,0.02109812,-0.00762038,1.28088669,-1.32016731,0.65719334,-0.70435423,0.15589744,-0.11439193
-5.99399700,3.28713439,-3.27166806,0.95308990,-2.21466449,1.12555287,-0.58057005,0.01124239,-0.00649649,0.55479598,-0.79458443,0.02232155,-0.00769692,1.31326285,-1.30098020,0.67056559,-0.69051533,0.16204425,-0.11401418
-5.98799400,3.32682769,-3.22621611,0.93680291,-2.19024689,1.13363847,-0.57209420,0.01214468,-0.00669208,0.54834374,-0.78873167,0.02354770,-0.00780265,1.34579625,-1.27797525,0.68383392,-0.67437609,0.16809009,-0.11330694
-5.98199100,3.36490732,-3.17198924,0.92530992,-2.15410139,1.13973416,-0.56370637,0.01306125,-0.00689756,0.54203411,-0.78027031,0.02475518,-0.00794266,1.37751836,-1.25167686,0.69652872,-0.65624020,0.17391174,-0.11230902
-5.97598799,3.39953753,-3.10988722,0.91791126,-2.10689109,1.14342596,-0.55539938,0.01397915,-0.00711077,0.53573173,-0.76920343,0.02592199,-0.00812267,1.40745887,-1.22269572,0.70818634,-0.63645778,0.17938611,-0.11106854
-5.96998499,3.42897020,-3.04101632,0.91387059,-2.04951579,1.14435975,-0.54717702,0.01488460,-0.00732946,0.52931805,-0.75559742,0.02702613,-0.00834893,1.43467311,-1.19171606,0.71836274,-0.61541824,0.18439348,-0.10964197
-5.96398199,3.45158843,-2.96666438,0.91243492,-1.98308519,1.14224823,-0.53905620,0.01576322,-0.00755149,0.52269223,-0.73958035,0.02804610,-0.00862806,1.45826807,-1.15948006,0.72664599,-0.59354163,0.18882062,-0.10809288
-5.95797899,3.46594337,-2.88826884,0.91285241,-1.90888532,1.13687500,-0.53106810,0.01660043,-0.00777487,0.51577072,-0.72133817,0.02896153,-0.00896688,1.47742609,-1.12676990,0.73266744,-0.57126867,0.19256370,-0.10649045
-5.95197599,3.47078377,-2.80737891,0.91438807,-1.82833977,1.12809586,-0.52325854,0.01738173,-0.00799792,0.50848575,-0.70110898,0.02975368,-0.00937216,1.49142555,-1.09438785,0.73611102,-0.54904989,0.19553091,-0.10490762
-5.94597299,3.46507827,-2.72561364,0.91633732,-1.74296747,1.11583768,-0.51568757,0.01809312,-0.00821931,0.50078309,-0.67917597,0.03040595,-0.00985041,1.49965829,-1.06313516,0.73672074,-0.52733416,0.19764471,-0.10341928
-5.93996998,3.44803046,-2.64461748,0.91803752,-1.65433892,1.10009514,-0.50842844,0.01872145,-0.00843820,0.49261944,-0.65585930,0.03090431,-0.01040757,1.50164317,-1.03379046,0.73430601,-0.50655704,0.19884364,-0.10210009
-5.93396698,3.41908707,-2.56601536,0.91887779,-1.56403271,1.08092575,-0.50156602,0.01925477,-0.00865422,0.48395972,-0.63150750,0.03123768,-0.01104873,1.49703561,-1.00708829,0.72874494,-0.48712942,0.19908370,-0.10102250
-5.92796398,3.37793988,-2.49136885,0.91830713,-1.47359403,1.05844369,-0.49519487,0.01968266,-0.00886749,0.47477465,-0.60648875,0.03139816,-0.01177785,1.48563315,-0.98369866,0.71998543,-0.46942676,0.19833918,-0.10025458
-5.92196098,3.32452199,-2.42213510,0.91584129,-1.38449679,1.03281278,-0.48941701,0.01999654,-0.00907865,0.46503883,-0.58118249,0.03138122,-0.01259744,1.46737682,-0.96420826,0.70804443,-0.45377947,0.19660302,-0.09985802
-5.91595798,3.25899902,-2.35963001,0.91106818,-1.29811043,1.00423906,-0.48433944,0.02018992,-0.00928874,0.45472940,-0.55597141,0.03118579,-0.01350825,1.44234880,-0.94910403,0.69300518,-0.44046460,0.19388666,-0.09988634
-5.90995498,3.18175609,-2.30499676,0.90365225,-1.21567238,0.97296332,-0.48007167,0.02025857,-0.00949913,0.44382559,-0.53123430,0.03081420,-0.01450905,1.41076634,-0.93875955,0.67501295,-0.42969923,0.19021940,-0.10038314
