energy_ev,total_up,C_s_up,C_p_up,Se_s_up,Se_p_up,Ti_p_up,Ti_d_up,Zn_p_up,Zn_d_up
-6.00000000,1.42611851,0.06091666,0.08017334,0.03787071,0.52886462,0.30691945,0.13527017,0.19007734,0.31920960
-5.99399700,1.38510537,0.06001201,0.08365203,0.03695859,0.51439723,0.27649608,0.13904870,0.18534800,0.30447429
-5.98799400,1.35560534,0.05917967,0.08743966,0.03636766,0.50519930,0.24975807,0.14393722,0.18220357,0.29162830
-5.98199100,1.33632957,0.05838021,0.09146465,0.03605976,0.50075627,0.22650852,0.14977756,0.18046060,0.28043257
-5.97598799,1.32589397,0.05757490,0.09565056,0.03599422,0.50050522,0.20650619,0.15640026,0.17991854,0.27063634
-5.96998499,1.32286835,0.05672741,0.09991813,0.03612916,0.50385423,0.18947693,0.16362921,0.18036623,0.26198783
-5.96398199,1.32582309,0.05580530,0.10418756,0.03642288,0.51020141,0.17512477,0.17128637,0.18158829,0.25424367
-5.95797899,1.33337239,0.05478132,0.10838066,0.03683511,0.51895298,0.16314233,0.17919644,0.18337135,0.24717707
-5.95197599,1.34421271,0.05363423,0.11242297,0.03732814,0.52953996,0.15322037,0.18719137,0.18550982,0.24058439
-5.94597299,1.35715564,0.05234948,0.11624578,0.03786791,0.54143311,0.14505619,0.19511458,0.18781124,0.23429006
-5.93996998,1.37115432,0.05091935,0.11978783,0.03842480,0.55415544,0.13836092,0.20282465,0.19010089,0.22814975
-5.93396698,1.38532312,0.04934300,0.12299676,0.03897432,0.56729234,0.13286534,0.21019847,0.19222577,0.22205198
-5.92796398,1.39894999,0.04762596,0.12583022,0.03949765,0.58049865,0.12832457,0.21713359,0.19405764,0.21591807
-5.92196098,1.41150173,0.04577965,0.12825656,0.03998188,0.59350288,0.12452129,0.22354977,0.19549521,0.20970078
-5.91595798,1.42262216,0.04382042,0.13025507,0.04042016,0.60610824,0.12126781,0.22938965,0.19646546,0.20338177
-5.90995498,1.43212372,0.04176869,0.13181581,0.04081156,0.61819074,0.11840691,0.23461847,0.19692388,0.19696803
-5.90395198,1.43997320,0.03964778,0.13293900,0.04116083,0.62969437,0.11581164,0.23922291,0.19685396,0.19048771
-5.89794897,1.44627239,0.03748290,0.13363404,0.04147794,0.64062385,0.11338421,0.24320907,0.19626564,0.18398546
-5.89194597,1.45123481,0.03529996,0.13391816,0.04177754,0.65103524,0.11105408,0.24659979,0.19519318,0.17751758
-5.88594297,1.45515955,0.03312466,0.13381486,0.04207820,0.66102493,0.10877542,0.24943137,0.19369217,0.17114719
-5.87993997,1.45840376,0.03098148,0.13335209,0.04240171,0.67071763,0.10652414,0.25174987,0.19183611,0.16493969
-5.87393697,1.46135477,0.02889297,0.13256046,0.04277215,0.68025393,0.10429458,0.25360732,0.18971257,0.15895860
