energy_ev,total_up,N_s_up,N_p_up,Se_s_up,Se_p_up,Y_p_up,Y_d_up
-5.38769385,1.98413098,0.00297625,0.10693978,0.06186359,1.23121883,0.18418088,0.16254625
-5.38169085,2.13750823,0.00329658,0.11615702,0.06561494,1.32491340,0.20350014,0.17495987
-5.37568784,2.29410247,0.00363594,0.12568505,0.06926097,1.42043901,0.22420789,0.18761702
-5.36968484,2.45324965,0.00399293,0.13547674,0.07277306,1.51742071,0.24631060,0.20046445
-5.36368184,2.61428981,0.00436585,0.14547991,0.07612651,1.61549564,0.26980051,0.21344987
-5.35767884,2.77656843,0.00475258,0.15563722,0.07930112,1.71431370,0.29465245,0.22652222
-5.35167584,2.93943635,0.00515065,0.16588624,0.08228177,1.81353712,0.32082112,0.23963189
-5.34567284,3.10224873,0.00555724,0.17615979,0.08505875,1.91283892,0.34823866,0.25273094
-5.33966983,3.26436392,0.00596917,0.18638633,0.08762798,2.01190097,0.37681299,0.26577326
-5.33366683,3.42514300,0.00638295,0.19649084,0.08999102,2.11041214,0.40642701,0.27871498
-5.32766383,3.58395123,0.00679486,0.20639584,0.09215497,2.20806728,0.43693894,0.29151492
-5.32166083,3.74016238,0.00720100,0.21602295,0.09413221,2.30456773,0.46818391,0.30413545
-5.31565783,3.89316676,0.00759739,0.22529466,0.09594003,2.39962400,0.49997703,0.31654352
-5.30965483,4.04238396,0.00798005,0.23413652,0.09760024,2.49296127,0.53211788,0.32871213
-5.30365183,4.18728030,0.00834519,0.24247968,0.09913860,2.58432787,0.56439650,0.34062214
-5.29764882,4.32739126,0.00868927,0.25026360,0.10058437,2.67350696,0.59660062,0.35226429
-5.29164582,4.46234798,0.00900921,0.25743893,0.10196976,2.76033101,0.62852411,0.36364157
-5.28564282,4.59190700,0.00930247,0.26397035,0.10332944,2.84469857,0.65997614,0.37477155
-5.27963982,4.71598134,0.00956726,0.26983935,0.10470000,2.92659230,0.69079066,0.38568871
-5.27363682,4.83467110,0.00980262,0.27504654,0.10611953,3.00609711,0.72083590,0.39644643
-5.26763382,4.94829084,0.01000858,0.27961363,0.10762707,3.08341681,0.75002312,0.40711851
-5.26163082,5.05739139,0.01018623,0.28358462,0.10926218,3.15888770,0.77831418,0.41779990
-5.25562781,5.16277328,0.01033776,0.28702622,0.11106434,3.23298740,0.80572737,0.42860654
-5.24962481,5.26548949,0.01046657,0.29002733,0.11307238,3.30633743,0.83234101,0.43967407
-5.24362181,5.36683534,0.01057716,0.29269753,0.11532379,3.37969809,0.85829440,0.45115519
-5.23761881,5.46832429,0.01067514,0.29516448,0.11785393,3.45395470,0.88378577,0.46321582
-5.23161581,5.57164872,0.01076711,0.29757029,0.12069515,3.53009476,0.90906717,0.47602984
-5.22561281,5.67862619,0.01086049,0.30006702,0.12387576,3.60917593,0.93443613,0.48977263
-5.21960980,5.79113206,0.01096335,0.30281131,0.12741897,3.69228552,0.96022447,0.50461362
-5.21360680,5.91102065,0.01108419,0.30595837,0.13134172,3.78049274,0.98678429,0.52070794
-5.20760380,6.04003794,0.01123163,0.30965566,0.13565353,3.87479535,1.01447192,0.53818775
-5.20160080,6.17972936,0.01141415,0.31403641,0.14035540,3.97606316,1.04363021,0.55715340
-5.19559780,6.33134690,0.01163974,0.31921329,0.14543870,4.08498080,1.07457004,0.57766508
-5.18959480,6.49576024,0.01191564,0.32527251,0.15088438,4.20199276,1.10755167,0.59973516
-5.18359180,6.67337629,0.01224796,0.33226877,0.15666229,4.32725356,1.14276699,0.62332187
-5.17758879,6.86407162,0.01264139,0.34022098,0.16273080,4.46058576,1.18032332,0.64832458
-5.17158579,7.06714178,0.01309896,0.34910937,0.16903683,4.60144852,1.22022961,0.67458096
-5.16558279,7.28127066,0.01362176,0.35887382,0.17551611,4.74891864,1.26238573,0.70186652
-5.15957979,7.50452238,0.01420876,0.36941371,0.18209400,4.90168575,1.30657550,0.72989627
-5.15357679,7.73435702,0.01485672,0.38058926,0.18868656,5.05806247,1.35246379,0.75832901
-5.14757379,7.96767045,0.01556008,0.39222437,0.19520207,5.21600993,1.39959811,0.78677375
-5.14157079,8.20085770,0.01631100,0.40411080,0.20154288,5.37317802,1.44741472,0.81479839
-5.13556778,8.42989780,0.01709945,0.41601376,0.20760755,5.52695941,1.49524920,0.84194028
-5.12956478,8.65045750,0.01791340,0.42767842,0.21329321,5.67455549,1.54235138,0.86771827
-5.12356178,8.85801033,0.01873903,0.43883744,0.21849808,5.81305209,1.58790397,0.89164591
-5.11755878,9.04796680,0.01956112,0.44921896,0.22312413,5.93950231,1.63104464,0.91324530
-5.11155578,9.21581123,0.02036338,0.45855504,0.22707958,6.05101356,1.67089067,0.93206116
-5.10555278,9.35724042,0.02112894,0.46659008,0.23028150,6.14483580,1.70656540,0.94767450
-5.09954977,9.46829940,0.02184082,0.47308899,0.23265813,6.21844786,1.73722574,0.95971566
-5.09354677,9.54550950,0.02248247,0.47784490,0.23415101,6.26963898,1.76208960,0.96787601
-5.08754377,9.58598453,0.02303828,0.48068602,0.23471683,6.29658271,1.78046256,0.97191819
-5.08154077,9.58753122,0.02349409,0.48148160,0.23432892,6.29790078,1.79176254,0.97168441
-5.07553777,9.54873048,0.02383769,0.48014660,0.23297838,6.27271479,1.79554179,0.96710257
-5.06953477,9.46899688,0.02405925,0.47664512,0.23067484,6.22068401,1.79150529,0.95819012
-5.06353177,9.34861446,0.02415166,0.47099229,0.22744667,6.14202806,1.77952481,0.94505540
-5.05752876,9.18874750,0.02411087,0.46325470,0.22334088,6.03753369,1.75964806,0.92789655
-5.05152576,8.99142588,0.02393603,0.45354927,0.21842254,5.90854529,1.73210244,0.90699795
-5.04552276,8.75950534,0.02362960,0.44204064,0.21277367,5.75693936,1.69729320,0.88272426
-5.03951976,8.49660358,0.02319729,0.42893709,0.20649183,5.58508346,1.65579586,0.85551231
-5.03351676,8.20701400,0.02264800,0.41448521,0.19968821,5.39578091,1.60834307,0.82586098
-5.02751376,7.89559943,0.02199350,0.39896337,0.19248537,5.19220252,1.55580624,0.79431924
-5.02151076,7.56766897,0.02124814,0.38267427,0.18501460,4.97780733,1.49917242,0.76147289
-5.01550775,7.22884125,0.02042844,0.36593671,0.17741304,4.75625464,1.43951718,0.72793009
-5.00950475,6.88489824,0.01955257,0.34907694,0.16982050,4.53130966,1.37797448,0.69430620
-5.00350175,6.54163380,0.01863986,0.33241974,0.16237616,4.30674570,1.31570421,0.66120827
-4.99749875,6.20470139,0.01771020,0.31627952,0.15521510,4.08624556,1.25385889,0.62921963
-4.99149575,5.87946559,0.01678347,0.30095176,0.14846488,3.87330521,1.19355035,0.59888492
-4.98549275,5.57086183,0.01587899,0.28670499,0.14224223,3.67114259,1.13581776,0.57069612
-4.97948974,5.28326861,0.01501497,0.27377359,0.13664980,3.48261430,1.08159791,0.54507982
-4.97348674,5.02039625,0.01420803,0.26235158,0.13177335,3.31014288,1.03169904,0.52238625
-4.96748374,4.78519553,0.01347273,0.25258761,0.12767920,3.15565680,0.98677884,0.50288035
-4.96148074,4.57978923,0.01282125,0.24458140,0.12441222,3.02054538,0.94732762,0.48673516
-4.95547774,4.40542874,0.01226307,0.23838152,0.12199439,2.90562986,0.91365710,0.47402787
-4.94947474,4.26247720,0.01180481,0.23398483,0.12042394,2.81115179,0.88589520,0.46473858
-4.94347174,4.15041972,0.01145005,0.23133741,0.11967520,2.73677910,0.86398705,0.45875196
-4.93746873,4.06790043,0.01119941,0.23033714,0.11969925,2.68162982,0.84770205,0.45586174
-4.93146573,4.01278524,0.01105051,0.23083764,0.12042511,2.64431256,0.83664682,0.45577795
-4.92546273,3.98224812,0.01099822,0.23265366,0.12176186,2.62298252,0.83028334,0.45813685
-4.91945973,3.97287799,0.01103480,0.23556759,0.12360120,2.61541119,0.82795181,0.46251299
