energy_ev,total_up,Co_p_up,Co_d_up,N_s_up,N_p_up,Sc_p_up,Sc_d_up,Se_s_up,Se_p_up
-6.00000000,5.81470780,1.54560907,0.45813582,0.00370732,0.80940730,0.85509282,0.76614724,0.12671486,2.62764475
-5.99399700,5.77004694,1.46800600,0.45274015,0.00363282,0.85801909,0.88742522,0.81354426,0.12630757,2.53696081
-5.98799400,5.73584624,1.39292409,0.44817072,0.00356869,0.90787401,0.92156111,0.86165585,0.12635972,2.45129247
-5.98199100,5.71152411,1.32082347,0.44455499,0.00351535,0.95831958,0.95701519,0.90981616,0.12682891,2.37105598
-5.97598799,5.69613317,1.25205658,0.44199761,0.00347291,1.00864722,0.99323474,0.95731202,0.12766269,2.29650278
-5.96998499,5.68841377,1.18687356,0.44057834,0.00344126,1.05811134,1.02961554,1.00340218,0.12880072,2.22773109
-5.96398199,5.68685762,1.12543015,0.44035030,0.00342005,1.10595089,1.06552036,1.04733872,0.13017711,2.16470102
-5.95797899,5.68977780,1.06779734,0.44133856,0.00340881,1.15141229,1.10029936,1.08838963,0.13172281,2.10725205
-5.95197599,5.69538147,1.01397204,0.44353902,0.00340695,1.19377296,1.13331124,1.12586182,0.13336797,2.05512155
-5.94597299,5.70184154,0.96388809,0.44691770,0.00341377,1.23236406,1.16394452,1.15912320,0.13504415,2.00796334
-5.93996998,5.70736394,0.91742698,0.45141030,0.00342856,1.26659181,1.19163763,1.18762318,0.13668626,1.96536541
-5.93396698,5.71024765,0.87442800,0.45692229,0.00345056,1.29595600,1.21589718,1.21091035,0.13823424,1.92686605
-5.92796398,5.70893520,0.83469738,0.46332946,0.00347900,1.32006511,1.23631340,1.22864676,0.13963429,1.89196818
-5.92196098,5.70205212,0.79801629,0.47047909,0.00351308,1.33864730,1.25257218,1.24061791,0.14083977,1.86015141
-5.91595798,5.68843463,0.76414774,0.47819181,0.00355198,1.35155678,1.26446322,1.24673832,0.14181172,1.83088221
-5.90995498,5.66714551,0.73284238,0.48626416,0.00359482,1.35877533,1.27188395,1.24705216,0.14251897,1.80362211
-5.90395198,5.63747886,0.70384339,0.49447203,0.00364068,1.36040909,1.27483929,1.24172926,0.14293793,1.77783458
-5.89794897,5.59895494,0.67689061,0.50257484,0.00368857,1.35668085,1.27343729,1.23105659,0.14305216,1.75299080
-5.89194597,5.55130696,0.65172417,0.51032049,0.00373741,1.34791837,1.26788111,1.21542584,0.14285164,1.72857495
-5.88594297,5.49446162,0.62808782,0.51745107,0.00378603,1.33453940,1.25845782,1.19531771,0.14233200,1.70408936
-5.87993997,5.42851571,0.60573207,0.52370911,0.00383315,1.31703423,1.24552473,1.17128379,0.14149368,1.67905995
-5.87393697,5.35371077,0.58441735,0.52884425,0.00387742,1.29594672,1.22949407,1.14392690,0.14034105,1.65304208
-5.86793397,5.27040780,0.56391725,0.53262008,0.00391743,1.27185477,1.21081665,1.11388084,0.13888163,1.62562706
-5.86193097,5.17906360,0.54402168,0.53482100,0.00395171,1.24535102,1.18996551,1.08179042,0.13712545,1.59644914
