energy_ev,total_up,Cu_p_up,Cu_d_up,Ge_p_up,Ge_d_up,S_s_up,S_p_up
-6.00000000,0.69989953,0.24868857,0.16340957,0.00409553,0.00000000,0.00098613,0.47905920
-5.99399700,0.66679514,0.23847964,0.15528213,0.00379479,0.00000000,0.00094454,0.45664479
-5.98799400,0.63157031,0.22731759,0.14671237,0.00349626,0.00000000,0.00089936,0.43274689
-5.98199100,0.59471007,0.21536769,0.13781511,0.00320311,0.00000000,0.00085125,0.40769680
-5.97598799,0.55670436,0.20280265,0.12870478,0.00291814,0.00000000,0.00080088,0.38182995
-5.96998499,0.51803712,0.18979833,0.11949304,0.00264375,0.00000000,0.00074897,0.35547836
-5.96398199,0.47917610,0.17652952,0.11028654,0.00238198,0.00000000,0.00069621,0.32896356
-5.95797899,0.44056350,0.16316587,0.10118495,0.00213443,0.00000000,0.00064330,0.30259010
-5.95197599,0.40260783,0.14986826,0.09227923,0.00190235,0.00000000,0.00059089,0.27663984
-5.94597299,0.36567723,0.13678555,0.08365037,0.00168664,0.00000000,0.00053965,0.25136729
-5.93996998,0.33009425,0.12405188,0.07536829,0.00148787,0.00000000,0.00049017,0.22699584
-5.93396698,0.29613231,0.11178464,0.06749129,0.00130635,0.00000000,0.00044303,0.20371522
-5.92796398,0.26401373,0.10008302,0.06006572,0.00114215,0.00000000,0.00039880,0.18168009
-5.92196098,0.23390950,0.08902725,0.05312610,0.00099518,0.00000000,0.00035804,0.16100962
-5.91595798,0.20594033,0.07867844,0.04669548,0.00086525,0.00000000,0.00032130,0.14178820
-5.90995498,0.18017926,0.06907904,0.04078613,0.00075208,0.00000000,0.00028920,0.12406704
-5.90395198,0.15665524,0.06025377,0.03540042,0.00065545,0.00000000,0.00026245,0.10786649
-5.89794897,0.13535772,0.05221104,0.03053193,0.00057516,0.00000000,0.00024190,0.09317912
-5.89194597,0.11624190,0.04494462,0.02616662,0.00051116,0.00000000,0.00022859,0.07997310
-5.88594297,0.09923441,0.03843566,0.02228415,0.00046361,0.00000000,0.00022387,0.06819606
-5.87993997,0.08423925,0.03265479,0.01885922,0.00043290,0.00000000,0.00022947,0.05777894
-5.87393697,0.07114367,0.02756425,0.01586279,0.00041973,0.00000000,0.00024760,0.04863995
-5.86793397,0.05982393,0.02312007,0.01326341,0.00042520,0.00000000,0.00028112,0.04068832
-5.86193097,0.05015069,0.01927408,0.01102834,0.00045078,0.00000000,0.00033368,0.03382784
-5.85592796,0.04199392,0.01597582,0.00912460,0.00049841,0.00000000,0.00040988,0.02796011
