energy_ev,total_up,Ag_p_up,Ag_d_up,N_s_up,N_p_up,S_s_up,S_p_up,Sc_p_up,Sc_d_up
-5.58579290,1.67533386,0.48792829,0.92235347,0.00822410,0.05049586,0.00912655,0.49976899,0.47323785,0.11314714
-5.57978989,1.64237596,0.48321536,0.90195989,0.00760577,0.04923412,0.00867844,0.49138665,0.46740172,0.11080270
-5.57378689,1.61877005,0.48153912,0.88703532,0.00703074,0.04826343,0.00829607,0.48563491,0.46358488,0.10920547
-5.56778389,1.60434533,0.48277809,0.87756185,0.00650311,0.04756727,0.00797726,0.48242354,0.46164891,0.10834418
-5.56178089,1.59876587,0.48676383,0.87342636,0.00602559,0.04712471,0.00771889,0.48161534,0.46142366,0.10819285
-5.55577789,1.60154937,0.49328595,0.87443009,0.00559959,0.04691116,0.00751707,0.48303183,0.46271390,0.10871191
-5.54977489,1.61208710,0.50209726,0.88029875,0.00522523,0.04689916,0.00736728,0.48645943,0.46530584,0.10984957
-5.54377189,1.62966397,0.51291894,0.89069283,0.00490149,0.04705913,0.00726452,0.49165563,0.46897323,0.11154322
-5.53776888,1.65347813,0.52544569,0.90521752,0.00462630,0.04736005,0.00720346,0.49835511,0.47348293,0.11372108
-5.53176588,1.68265956,0.53935087,0.92343213,0.00439675,0.04777011,0.00717855,0.50627567,0.47859964,0.11630374
-5.52576288,1.71628738,0.55429142,0.94485889,0.00420916,0.04825729,0.00718411,0.51512367,0.48408991,0.11920582
-5.51975988,1.75340594,0.56991288,0.96899104,0.00405933,0.04878990,0.00721447,0.52459931,0.48972535,0.12233769
-5.51375688,1.79303963,0.58585438,0.99530044,0.00394263,0.04933708,0.00726398,0.53440138,0.49528508,0.12560707
-5.50775388,1.83420692,0.60175382,1.02324486,0.00385422,0.04986922,0.00732712,0.54423185,0.50055768,0.12892079
-5.50175088,1.87593375,0.61725316,1.05227512,0.00378914,0.05035840,0.00739854,0.55380014,0.50534265,0.13218643
-5.49574787,1.91726677,0.63200398,1.08184247,0.00374249,0.05077881,0.00747312,0.56282731,0.50945165,0.13531403
-5.48974487,1.95728664,0.64567327,1.11140617,0.00370953,0.05110707,0.00754598,0.57105011,0.51270964,0.13821770
-5.48374187,1.99512153,0.65794942,1.14044158,0.00368576,0.05132261,0.00761258,0.57822499,0.51495609,0.14081730
-5.47773887,2.02996106,0.66854822,1.16844869,0.00366705,0.05140799,0.00766868,0.58413213,0.51604625,0.14303997
-5.47173587,2.06107022,0.67721885,1.19496099,0.00364970,0.05134921,0.00771048,0.58857921,0.51585278,0.14482156
-5.46573287,2.08780321,0.68374959,1.21955445,0.00363044,0.05113594,0.00773455,0.59140514,0.51426749,0.14610799
-5.45972986,2.10961665,0.68797295,1.24185645,0.00360655,0.05076173,0.00773797,0.59248345,0.51120321,0.14685635
-5.45372686,2.12608142,0.68977010,1.26155391,0.00357577,0.05022410,0.00771829,0.59172505,0.50659587,0.14703579
-5.44772386,2.13689263,0.68907415,1.27840053,0.00353641,0.04952462,0.00767361,0.58908057,0.50040631,0.14662817
-5.44172086,2.14187672,0.68587223,1.29222241,0.00348725,0.04866881,0.00760255,0.58454162,0.49262201,0.14562836
-5.43571786,2.14099528,0.68020593,1.30292162,0.00342757,0.04766599,0.00750434,0.57814117,0.48325831,0.14404415
-5.42971486,2.13434470,0.67217021,1.31047734,0.00335708,0.04652898,0.00737875,0.56995267,0.47235905,0.14189591
-5.42371186,2.12215150,0.66191042,1.31494428,0.00327590,0.04527371,0.00722616,0.56008805,0.45999650,0.13921577
-5.41770885,2.10476281,0.64961766,1.31644814,0.00318448,0.04391872,0.00704746,0.54869426,0.44627045,0.13604648
-5.41170585,2.08263240,0.63552246,1.31517811,0.00308357,0.04248457,0.00684408,0.53594866,0.43130638,0.13243999
-5.40570285,2.05630221,0.61988696,1.31137665,0.00297415,0.04099315,0.00661792,0.52205327,0.41525271,0.12845564
-5.39969985,2.02638027,0.60299598,1.30532681,0.00285738,0.03946698,0.00637130,0.50722803,0.39827719,0.12415826
