energy_ev,total_up,Co_p_up,Co_d_up,N_s_up,N_p_up,S_s_up,S_p_up,Zr_p_up,Zr_d_up
-6.00000000,6.55407656,1.42604790,0.46096811,0.00533253,1.03198974,0.13722801,2.80686872,0.93393045,0.77022927
-5.99399700,6.51570638,1.42299091,0.46732461,0.00512601,1.01859011,0.13576494,2.79752270,0.92324928,0.75559666
-5.98799400,6.47993849,1.41900617,0.47302622,0.00495067,1.00772614,0.13428037,2.78714678,0.91506420,0.74302470
-5.98199100,6.44597111,1.41376981,0.47789626,0.00481237,0.99962884,0.13275486,2.77505997,0.90965305,0.73279869
-5.97598799,6.41297045,1.40695246,0.48177616,0.00471653,0.99448687,0.13116826,2.76060695,0.90727474,0.72517053
-5.96998499,6.38016754,1.39824349,0.48453385,0.00466808,0.99245927,0.12950172,2.74320177,0.90818025,0.72036591
-5.96398199,6.34695361,1.38737477,0.48607146,0.00467135,0.99368931,0.12773960,2.72236958,0.91262403,0.71859222
-5.95797899,6.31296737,1.37414260,0.48633170,0.00473005,0.99831828,0.12587129,2.69778369,0.92087474,0.72004652
-5.95197599,6.27816838,1.35842637,0.48530266,0.00484717,1.00649813,0.12389271,2.66929559,0.93322451,0.72492278
-5.94597299,6.24289108,1.34020282,0.48302052,0.00502491,1.01840191,0.12180738,2.63695586,0.94999558,0.73341766
-5.93996998,6.20787574,1.31955517,0.47957024,0.00526463,1.03423119,0.11962714,2.60102461,0.97154393,0.74573419
-5.93396698,6.17427385,1.29667632,0.47508379,0.00556679,1.05421978,0.11737223,2.56197062,0.99825905,0.76208300
-5.92796398,6.14362691,1.27186631,0.46973626,0.00593083,1.07863330,0.11507091,2.52045907,1.03055977,0.78268084
-5.92196098,6.11781960,1.24552384,0.46373983,0.00635515,1.10776459,0.11275859,2.47732849,1.06888592,0.80774614
-5.91595798,6.09900943,1.21813268,0.45733588,0.00683705,1.14192490,0.11047646,2.43355803,1.11368606,0.83749207
-5.90995498,6.08953671,1.19024355,0.45078573,0.00737268,1.18143136,0.10826980,2.39022698,1.16540162,0.87211708
