energy_ev,total_up,Al_p_up,Al_d_up,Mo_p_up,Mo_d_up,S_s_up,S_p_up
-6.00000000,3.35446021,0.04789945,0.00000000,1.56117082,2.05261605,0.00474909,2.10859384
-5.99399700,3.47394494,0.05132668,0.00000000,1.62432161,2.11678344,0.00506381,2.17467371
-5.98799400,3.60665535,0.05502322,0.00000000,1.69512846,2.18774448,0.00543089,2.24923946
-5.98199100,3.75005541,0.05897593,0.00000000,1.77240563,2.26375461,0.00585273,2.33058842
-5.97598799,3.90146371,0.06317478,0.00000000,1.85486464,2.34293414,0.00633296,2.41686949
-5.96998499,4.05815502,0.06761310,0.00000000,1.94115551,2.42333975,0.00687646,2.50615362
-5.96398199,4.21746214,0.07228778,0.00000000,2.02990915,2.50303795,0.00748935,2.59650621
-5.95797899,4.37687394,0.07719915,0.00000000,2.11977945,2.58017734,0.00817886,2.68605889
-5.95197599,4.53412524,0.08235079,0.00000000,2.20948334,2.65305659,0.00895314,2.77307743
-5.94597299,4.68727454,0.08774905,0.00000000,2.29783754,2.72018516,0.00982110,2.85602306
-5.93996998,4.83476610,0.09340241,0.00000000,2.38379020,2.78033420,0.01079201,2.93360455
-5.93396698,4.97547346,0.09932063,0.00000000,2.46644671,2.83257521,0.01187520,3.00481895
-5.92796398,5.10872226,0.10551377,0.00000000,2.54508825,2.87630492,0.01307959,3.06897899
-5.92196098,5.23429129,0.11199105,0.00000000,2.61918274,2.91125527,0.01441319,3.12572630
-5.91595798,5.35239151,0.11875960,0.00000000,2.68838773,2.93748818,0.01588261,3.17502971
-5.90995498,5.46362404,0.12582313,0.00000000,2.75254518,2.95537545,0.01749250,3.21716889
-5.90395198,5.56891900,0.13318061,0.00000000,2.81166867,2.96556503,0.01924501,3.25270429
-5.89794897,5.66945817,0.14082498,0.00000000,2.86592360,2.96893539,0.02113926,3.28243471
-5.89194597,5.76658520,0.14874187,0.00000000,2.91560147,2.96654047,0.02317087,3.30734483
-5.88594297,5.86170776,0.15690849,0.00000000,2.96108956,2.95954804,0.02533158,3.32854514
-5.87993997,5.95619647,0.16529280,0.00000000,3.00283741,2.94917466,0.02760894,3.34720730
