energy_ev,total_up,C_s_up,C_p_up,Ir_p_up,Ir_d_up,Mg_p_up,Mg_d_up,Te_p_up,Te_d_up
-6.00000000,1.28174305,0.01621328,0.13959667,0.25500597,0.66788370,0.43427373,0.00000000,0.49134872,0.00000000
-5.99399700,1.23838156,0.01540346,0.13437926,0.23906085,0.64893664,0.41523575,0.00000000,0.47401237,0.00000000
-5.98799400,1.19619328,0.01455719,0.12944329,0.22392232,0.63060315,0.39636095,0.00000000,0.45697222,0.00000000
-5.98199100,1.15555409,0.01368795,0.12479095,0.20965171,0.61306327,0.37782177,0.00000000,0.44042038,0.00000000
-5.97598799,1.11676088,0.01280881,0.12042060,0.19629045,0.59645189,0.35977032,0.00000000,0.42451534,0.00000000
-5.96998499,1.08003283,0.01193200,0.11632900,0.18386143,0.58085993,0.34233748,0.00000000,0.40938031,0.00000000
-5.96398199,1.04551673,0.01106861,0.11251347,0.17237082,0.56633772,0.32563314,0.00000000,0.39510340,0.00000000
-5.95797899,1.01329616,0.01022835,0.10897404,0.16181037,0.55290076,0.30974751,0.00000000,0.38173978,0.00000000
-5.95197599,0.98340385,0.00941935,0.10571535,0.15216003,0.54053720,0.29475346,0.00000000,0.36931545,0.00000000
-5.94597299,0.95583654,0.00864814,0.10274825,0.14339082,0.52921682,0.28070969,0.00000000,0.35783257,0.00000000
-5.93996998,0.93057144,0.00791956,0.10009106,0.13546787,0.51890088,0.26766453,0.00000000,0.34727588,0.00000000
-5.93396698,0.90758325,0.00723690,0.09777025,0.12835346,0.50955223,0.25566009,0.00000000,0.33761983,0.00000000
-5.92796398,0.88686072,0.00660195,0.09582082,0.12200987,0.50114514,0.24473650,0.00000000,0.32883602,0.00000000
-5.92196098,0.86842165,0.00601520,0.09428591,0.11640212,0.49367419,0.23493600,0.00000000,0.32090044,0.00000000
-5.91595798,0.85232547,0.00547602,0.09321608,0.11150022,0.48716159,0.22630650,0.00000000,0.31380004,0.00000000
-5.90995498,0.83868234,0.00498289,0.09266790,0.10728105,0.48166253,0.21890448,0.00000000,0.30753835,0.00000000
-5.90395198,0.82765834,0.00453358,0.09270213,0.10372963,0.47726815,0.21279679,0.00000000,0.30213957,0.00000000
-5.89794897,0.81947606,0.00412538,0.09338143,0.10083982,0.47410580,0.20806148,0.00000000,0.29765109,0.00000000
-5.89194597,0.81441049,0.00375531,0.09476773,0.09861434,0.47233648,0.20478722,0.00000000,0.29414410,0.00000000
-5.88594297,0.81278021,0.00342026,0.09691926,0.09706419,0.47214962,0.20307146,0.00000000,0.29171234,0.00000000
