energy_ev,total_up,P_s_up,P_p_up,Rh_p_up,Rh_d_up,Se_s_up,Se_p_up
-6.00000000,2.07262508,0.00248850,0.07017292,0.78715671,1.24193063,0.00747218,0.50474599
-5.99399700,1.98910582,0.00237533,0.06980501,0.75943913,1.18711915,0.00738924,0.48779514
-5.98799400,1.90593246,0.00225682,0.06966810,0.73301327,1.13170599,0.00732425,0.47142213
-5.98199100,1.82475307,0.00213431,0.06981388,0.70845274,1.07672668,0.00728452,0.45599506
-5.97598799,1.74718396,0.00200923,0.07029084,0.68630667,1.02320191,0.00727693,0.44187332
-5.96998499,1.67475673,0.00188307,0.07114171,0.66707890,0.97210629,0.00730774,0.42939441
-5.96398199,1.60886797,0.00175732,0.07240098,0.65120836,0.92433888,0.00738229,0.41886132
-5.95797899,1.55073369,0.00163344,0.07409264,0.63905141,0.88069659,0.00750480,0.41053093
-5.95197599,1.50135007,0.00151278,0.07622822,0.63086702,0.84185140,0.00767818,0.40460383
-5.94597299,1.46146190,0.00139657,0.07880519,0.62680531,0.80833188,0.00790390,0.40121613
-5.93996998,1.43153964,0.00128588,0.08180598,0.62689987,0.78050976,0.00818182,0.40043342
-5.93396698,1.41176589,0.00118157,0.08519743,0.63106439,0.75859164,0.00851022,0.40224731
-5.92796398,1.40203145,0.00108432,0.08893096,0.63909343,0.74261599,0.00888574,0.40657445
-5.92196098,1.40194094,0.00099461,0.09294330,0.65066762,0.73245550,0.00930346,0.41325823
-5.91595798,1.41082755,0.00091270,0.09715787,0.66536278,0.72782424,0.00975698,0.42207305
-5.90995498,1.42777639,0.00083865,0.10148677,0.68266279,0.72828960,0.01023863,0.43273089
-5.90395198,1.45165518,0.00077233,0.10583320,0.70197566,0.73328817,0.01073963,0.44489006
-5.89794897,1.48115145,0.00071347,0.11009440,0.72265204,0.74214529,0.01125037,0.45816566
-5.89194597,1.51481459,0.00066165,0.11416483,0.74400569,0.75409724,0.01176066,0.47214144
-5.88594297,1.55110145,0.00061632,0.11793957,0.76533484,0.76831568,0.01226003,0.48638255
-5.87993997,1.58842386,0.00057689,0.12131772,0.78594377,0.78393324,0.01273803,0.50044871
-5.87393697,1.62519634,0.00054266,0.12420574,0.80516379,0.80006973,0.01318456,0.51390734
-5.86793397,1.65988269,0.00051295,0.12652048,0.82237281,0.81585801,0.01359013,0.52634611
-5.86193097,1.69103968,0.00048706,0.12819190,0.83701277,0.83046876,0.01394612,0.53738456
-5.85592796,1.71735667,0.00046429,0.12916525,0.84860442,0.84313352,0.01424504,0.54668436
-5.84992496,1.73768986,0.00044402,0.12940270,0.85675887,0.85316522,0.01448069,0.55395782
-5.84392196,1.75109030,0.00042565,0.12888433,0.86118583,0.85997564,0.01464833,0.55897458
-5.83791896,1.75682490,0.00040868,0.12760844,0.86169804,0.86308945,0.01474475,0.56156614
-5.83191596,1.75438998,0.00039267,0.12559122,0.85821233,0.86215431,0.01476834,0.56162834
-5.82591296,1.74351740,0.00037726,0.12286579,0.85074717,0.85694691,0.01471906,0.55912172
-5.81990995,1.72417312,0.00036219,0.11948069,0.83941715,0.84737489,0.01459842,0.55406994
-5.81390695,1.69654898,0.00034728,0.11549790,0.82442482,0.83347474,0.01440936,0.54655640
-5.80790395,1.66104804,0.00033243,0.11099044,0.80605042,0.81540587,0.01415611,0.53671943
-5.80190095,1.61826457,0.00031761,0.10603987,0.78463998,0.79344119,0.01384411,0.52474615
-5.79589795,1.56895962,0.00030287,0.10073355,0.76059247,0.76795479,0.01347974,0.51086552
-5.78989495,1.51403325,0.00028830,0.09516192,0.73434650,0.73940721,0.01307021,0.49534083
-5.78389195,1.45449473,0.00027405,0.08941601,0.70636709,0.70832891,0.01262336,0.47846181
-5.77788894,1.39143174,0.00026031,0.08358502,0.67713296,0.67530268,0.01214747,0.46053692
-5.77188594,1.32597971,0.00024729,0.07775435,0.64712474,0.64094571,0.01165109,0.44188580
-5.76588294,1.25929232,0.00023523,0.07200391,0.61681431,0.60589180,0.01114289,0.42283223
-5.75987994,1.19251403,0.00022437,0.06640682,0.58665545,0.57077456,0.01063154,0.40369772
-5.75387694,1.12675532,0.00021495,0.06102862,0.55707595,0.53621187,0.01012558,0.38479586
-5.74787394,1.06307117,0.00020722,0.05592678,0.52847113,0.50279226,0.00963333,0.36642744
-5.74187094,1.00244323,0.00020139,0.05115063,0.50119871,0.47106340,0.00916283,0.34887641
-5.73586793,0.94576575,0.00019768,0.04674168,0.47557504,0.44152295,0.00872175,0.33240670
-5.72986493,0.89383540,0.00019628,0.04273414,0.45187248,0.41461192,0.00831744,0.31725974
-5.72386193,0.84734482,0.00019737,0.03915565,0.43031786,0.39071046,0.00795682,0.30365286
-5.71785893,0.80687969,0.00020108,0.03602827,0.41109186,0.37013596,0.00764645,0.29177821
-5.71185593,0.77291896,0.00020754,0.03336942,0.39432930,0.35314339,0.00739250,0.28180241
-5.70585293,0.74583780,0.00021685,0.03119287,0.38012012,0.33992738,0.00720077,0.27386661
-5.69984992,0.72591280,0.00022910,0.02950970,0.36851107,0.33062586,0.00707671,0.26808706
-5.69384692,0.71332885,0.00024436,0.02832911,0.35950800,0.32532483,0.00702541,0.26455594
-5.68784392,0.70818703,0.00026266,0.02765908,0.35307871,0.32406380,0.00705164,0.26334243
-5.68184092,0.71051305,0.00028405,0.02750685,0.34915624,0.32684149,0.00715980,0.26449387
-5.67583792,0.72026556,0.00030854,0.02787909,0.34764259,0.33362139,0.00735392,0.26803690
-5.66983492,0.73734370,0.00033616,0.02878191,0.34841270,0.34433680,0.00763758,0.27397845
-5.66383192,0.76159350,0.00036689,0.03022054,0.35131864,0.35889492,0.00801391,0.28230642
-5.65782891,0.79281254,0.00040073,0.03219879,0.35619378,0.37717988,0.00848541,0.29299007
-5.65182591,0.83075275,0.00043765,0.03471830,0.36285694,0.39905434,0.00905388,0.30597986
-5.64582291,0.87512091,0.00047762,0.03777749,0.37111625,0.42435973,0.00972026,0.32120682
-5.63981991,0.92557707,0.00052056,0.04137046,0.38077260,0.45291497,0.01048448,0.33858136
-5.63381691,0.98173093,0.00056638,0.04548575,0.39162268,0.48451404,0.01134526,0.35799165
-5.62781391,1.04313654,0.00061496,0.05010503,0.40346138,0.51892239,0.01229993,0.37930159
-5.62181091,1.10928599,0.00066612,0.05520190,0.41608367,0.55587278,0.01334427,0.40234858
-5.61580790,1.17960271,0.00071965,0.06074079,0.42928583,0.59506085,0.01447234,0.42694138
-5.60980490,1.25343537,0.00077529,0.06667605,0.44286628,0.63614109,0.01567636,0.45285818
-5.60380190,1.33005328,0.00083269,0.07295141,0.45662605,0.67872363,0.01694662,0.47984538
-5.59779890,1.40864441,0.00089149,0.07949975,0.47036904,0.72237265,0.01827152,0.50761731
-5.59179590,1.48831686,0.00095122,0.08624338,0.48390244,0.76660673,0.01963759,0.53585725
-5.58579290,1.56810484,0.00101140,0.09309476,0.49703730,0.81090186,0.02102969,0.56421996
-5.57978989,1.64697965,0.00107147,0.09995779,0.50958968,0.85469723,0.02243124,0.59233604
-5.57378689,1.72386600,0.00113087,0.10672957,0.52138245,0.89740416,0.02382459,0.61981821
-5.56778389,1.79766398,0.00118899,0.11330269,0.53224780,0.93841816,0.02519146,0.64626945
-5.56178089,1.86727592,0.00124524,0.11956792,0.54203068,0.97713376,0.02651345,0.67129288
-5.55577789,1.93163773,0.00129907,0.12541729,0.55059289,1.01296191,0.02777269,0.69450324
-5.54977489,1.98975341,0.00134994,0.13074731,0.55781796,1.04534911,0.02895238,0.71553933
-5.54377189,2.04073127,0.00139743,0.13546237,0.56361626,1.07379758,0.03003753,0.73407706
-5.53776888,2.08382011,0.00144120,0.13947803,0.56793031,1.09788546,0.03101551,0.74984244
-5.53176588,2.11844347,0.00148102,0.14272411,0.57073974,1.11728597,0.03187665,0.76262368
-5.52576288,2.14422986,0.00151683,0.14514739,0.57206560,1.13178448,0.03261474,0.77228197
-5.51975988,2.16103715,0.00154872,0.14671383,0.57197342,1.14129249,0.03322733,0.77875988
-5.51375688,2.16896938,0.00157692,0.14741014,0.57057487,1.14585742,0.03371602,0.78208717
-5.50775388,2.16838453,0.00160186,0.14724464,0.56802753,1.14566774,0.03408643,0.78238316
-5.50175088,2.15989243,0.00162409,0.14624733,0.56453250,1.14105265,0.03434809,0.77985560
-5.49574787,2.14434223,0.00164431,0.14446919,0.56032991,1.13247616,0.03451415,0.77479571
