energy_ev,total_up,B_p_up,B_d_up,Se_s_up,Se_p_up,Zr_p_up,Zr_d_up
-6.00000000,0.25193177,0.00001556,0.00000000,0.00000001,0.00016078,0.32665617,0.11411587
-5.99399700,0.22396056,0.00002097,0.00000000,0.00000001,0.00019130,0.29026148,0.10141334
-5.98799400,0.19771499,0.00002826,0.00000000,0.00000002,0.00023478,0.25607433,0.08948380
-5.98199100,0.17335791,0.00003798,0.00000000,0.00000003,0.00029493,0.22429649,0.07839850
-5.97598799,0.15099784,0.00005083,0.00000000,0.00000003,0.00037637,0.19505692,0.06820345
-5.96998499,0.13069367,0.00006768,0.00000000,0.00000005,0.00048476,0.16841737,0.05892139
-5.96398199,0.11246046,0.00008959,0.00000000,0.00000006,0.00062701,0.14437955,0.05055435
-5.95797899,0.09627619,0.00011788,0.00000000,0.00000008,0.00081145,0.12289331,0.04308650
-5.95197599,0.08208890,0.00015410,0.00000000,0.00000010,0.00104802,0.10386548,0.03648733
-5.94597299,0.06982395,0.00020012,0.00000000,0.00000013,0.00134847,0.08716878,0.03071476
-5.93996998,0.05939111,0.00025816,0.00000000,0.00000017,0.00172652,0.07265062,0.02571824
-5.93396698,0.05069117,0.00033079,0.00000000,0.00000022,0.00219798,0.06014128,0.02144168
-5.92796398,0.04362185,0.00042098,0.00000000,0.00000028,0.00278089,0.04946142,0.01782605
-5.92196098,0.03808296,0.00053216,0.00000000,0.00000035,0.00349547,0.04042854,0.01481166
-5.91595798,0.03398052,0.00066815,0.00000000,0.00000044,0.00436417,0.03286257,0.01234012
-5.90995498,0.03122995,0.00083324,0.00000000,0.00000054,0.00541144,0.02659033,0.01035587
-5.90395198,0.02975822,0.00103215,0.00000000,0.00000066,0.00666352,0.02144893,0.00880731
-5.89794897,0.02950500,0.00127002,0.00000000,0.00000081,0.00814802,0.01728831,0.00764765
-5.89194597,0.03042288,0.00155232,0.00000000,0.00000099,0.00989340,0.01397279,0.00683535
-5.88594297,0.03247668,0.00188484,0.00000000,0.00000119,0.01192831,0.01138199,0.00633430
-5.87993997,0.03564203,0.00227361,0.00000000,0.00000142,0.01428071,0.00941095,0.00611376
-5.87393697,0.03990328,0.00272473,0.00000000,0.00000168,0.01697696,0.00796991,0.00614812
-5.86793397,0.04525083,0.00324434,0.00000000,0.00000198,0.02004073,0.00698357,0.00641644
-5.86193097,0.05167814,0.00383841,0.00000000,0.00000232,0.02349181,0.00639011,0.00690193
-5.85592796,0.05917845,0.00451267,0.00000000,0.00000270,0.02734494,0.00614002,0.00759139
-5.84992496,0.06774150,0.00527239,0.00000000,0.00000311,0.03160855,0.00619477,0.00847451
-5.84392196,0.07735028,0.00612228,0.00000000,0.00000356,0.03628370,0.00652553,0.00954332
-5.83791896,0.08797807,0.00706640,0.00000000,0.00000405,0.04136299,0.00711180,0.01079157
