energy_ev,total_up,C_s_up,C_p_up,Cr_p_up,Cr_d_up,Se_s_up,Se_p_up,V_p_up,V_d_up
-6.00000000,1.96212770,0.02110782,0.18392799,0.58011218,0.18776166,0.07175455,0.95512550,0.43188732,0.19184440
-5.99399700,2.11720620,0.02232589,0.20048535,0.61939107,0.20334623,0.07696167,1.02796871,0.47396623,0.20658645
-5.98799400,2.27475335,0.02348412,0.21758998,0.65859696,0.21925881,0.08204839,1.10161530,0.51841824,0.22150188
-5.98199100,2.43373486,0.02457266,0.23518318,0.69740510,0.23539424,0.08694895,1.17552032,0.56528180,0.23648745
-5.97598799,2.59323684,0.02558481,0.25321449,0.73555532,0.25165332,0.09159957,1.24920177,0.61461635,0.25145622
-5.96998499,2.75250228,0.02651755,0.27164437,0.77286465,0.26794613,0.09594048,1.32225930,0.66650349,0.26634166
-5.96398199,2.91096311,0.02737194,0.29044633,0.80923783,0.28419521,0.09991785,1.39439086,0.72104635,0.28110114
-5.95797899,3.06826595,0.02815345,0.30960840,0.84467548,0.30033838,0.10348565,1.46540649,0.77836672,0.29571862
-5.95197599,3.22428969,0.02887206,0.32913373,0.87927897,0.31633099,0.10660732,1.53523827,0.83859999,0.31020642
-5.94597299,3.37915354,0.02954222,0.34904022,0.91325178,0.33214756,0.10925720,1.60394570,0.90188759,0.32460563
-5.93996998,3.53321420,0.03018265,0.36935913,0.94689694,0.34778263,0.11142163,1.67171597,0.96836729,0.33898534
-5.93396698,3.68705191,0.03081589,0.39013255,0.98061028,0.36325070,0.11309967,1.73885874,1.03816140,0.35344041
-5.92796398,3.84144482,0.03146773,0.41140996,1.01486954,0.37858527,0.11430336,1.80579522,1.11136340,0.36808795
-5.92196098,3.99733258,0.03216646,0.43324382,1.05021953,0.39383687,0.11505759,1.87304187,1.18802351,0.38306240
-5.91595798,4.15576975,0.03294199,0.45568442,1.08725357,0.40907020,0.11539945,1.94118878,1.26813382,0.39850952
-5.90995498,4.31787087,0.03382476,0.47877429,1.12659172,0.42436040,0.11537718,2.01087360,1.35161383,0.41457938
-5.90395198,4.48474887,0.03484475,0.50254223,1.16885650,0.43978857,0.11504861,2.08275174,1.43829708,0.43141862
-5.89794897,4.65744919,0.03603027,0.52699752,1.21464673,0.45543664,0.11447929,2.15746379,1.52791963,0.44916233
-5.89194597,4.83688230,0.03740683,0.55212428,1.26451038,0.47138194,0.11374029,2.23560136,1.62011128,0.46792582
-5.88594297,5.02375699,0.03899603,0.57787659,1.31891735,0.48769144,0.11290575,2.31767264,1.71438990,0.48779660
-5.87993997,5.21851748,0.04081452,0.60417441,1.37823306,0.50441609,0.11205025,2.40406880,1.81015963,0.50882698
-5.87393697,5.42128666,0.04287309,0.63090059,1.44269382,0.52158537,0.11124613,2.49503271,1.90671299,0.53102748
-5.86793397,5.63181814,0.04517587,0.65789919,1.51238486,0.53920241,0.11056092,2.59063110,2.00323731,0.55436149
-5.86193097,5.84945907,0.04771973,0.68497524,1.58722197,0.55723979,0.11005480,2.69073137,2.09882514,0.57874130
-5.85592796,6.07312563,0.05049394,0.71189594,1.66693744,0.57563627,0.10977835,2.79498413,2.19248862,0.60402579
-5.84992496,6.30129260,0.05347991,0.73839337,1.75107105,0.59429468,0.10977067,2.90281229,2.28317723,0.63001984
-5.84392196,6.53199783,0.05665134,0.76416865,1.83896678,0.61308105,0.11005779,3.01340737,2.36979839,0.65647567
-5.83791896,6.76286228,0.05997449,0.78889740,1.92977554,0.63182511,0.11065169,3.12573366,2.45124021,0.68309595
-5.83191596,6.99112531,0.06340871,0.81223645,2.02246426,0.65032224,0.11154967,3.23854021,2.52639575,0.70953889
-5.82591296,7.21369497,0.06690729,0.83383142,2.11583146,0.66833676,0.11273439,3.35038092,2.59418778,0.73542494
-5.81990995,7.42721205,0.07041839,0.85332520,2.20852917,0.68560670,0.11417437,3.45964220,2.65359349,0.76034517
-5.81390695,7.62812632,0.07388627,0.87036678,2.29909084,0.70184971,0.11582502,3.56457778,2.70366824,0.78387095
-5.80790395,7.81278319,0.07725258,0.88462045,2.38596466,0.71677013,0.11763018,3.66334978,2.74356780,0.80556480
-5.80190095,7.97751810,0.08045788,0.89577489,2.46755151,0.73006687,0.11952404,3.75407495,2.77256841,0.82499192
-5.79589795,8.11875594,0.08344312,0.90355196,2.54224649,0.74144194,0.12143344,3.83487476,2.79008422,0.84173224
-5.78989495,8.23311251,0.08615120,0.90771492,2.60848276,0.75060927,0.12328038,3.90392766,2.79568165,0.85539245
-5.78389195,8.31749443,0.08852852,0.90807578,2.66477629,0.75730353,0.12498475,3.95952208,2.78909048,0.86561768
-5.77788894,8.36919443,0.09052638,0.90450159,2.70976994,0.76128864,0.12646703,4.00010796,2.77021136,0.87210242
-5.77188594,8.38597830,0.09210236,0.89691942,2.74227530,0.76236564,0.12765102,4.02434537,2.73911969,0.87460026
-5.76588294,8.36616049,0.09322139,0.88531986,2.76131063,0.76037954,0.12846634,4.03114806,2.69606579,0.87293210
-5.75987994,8.30866537,0.09385674,0.86975888,2.76613345,0.75522505,0.12885069,4.01972055,2.64147150,0.86699250
-5.75387694,8.21307169,0.09399070,0.85035805,2.75626630,0.74685080,0.12875183,3.98958701,2.57592313,0.85675393
-5.74787394,8.07963831,0.09361495,0.82730289,2.73151472,0.73526197,0.12812912,3.94061107,2.50016111,0.84226869
-5.74187094,7.90931009,0.09273077,0.80083958,2.69197642,0.72052125,0.12695460,3.87300541,2.41506657,0.82366847
-5.73586793,7.70370355,0.09134885,0.77126999,2.63804147,0.70274797,0.12521367,3.78733097,2.32164508,0.80116146
-5.72986493,7.46507255,0.08948889,0.73894522,2.57038312,0.68211565,0.12290522,3.68448558,2.22100805,0.77502721
-5.72386193,7.19625554,0.08717897,0.70425779,2.48993993,0.65884789,0.12004137,3.56568260,2.11435224,0.74560932
-5.71785893,6.90060606,0.08445461,0.66763288,2.39788970,0.63321285,0.11664678,3.43242041,2.00293789,0.71330640
-5.71185593,6.58190943,0.08135779,0.62951874,2.29561647,0.60551661,0.11275751,3.28644394,1.88806611,0.67856149
-5.70585293,6.24428882,0.07793568,0.59037676,2.18467182,0.57609559,0.10841970,3.12969989,1.77105609,0.64185043
-5.69984992,5.89210431,0.07423936,0.55067145,2.06673233,0.54530834,0.10368784,2.96428734,1.65322288,0.60366968
-5.69384692,5.52984882,0.07032252,0.51086071,1.94355471,0.51352707,0.09862305,2.79240582,1.53585623,0.56452398
-5.68784392,5.16204472,0.06624009,0.47138674,1.81693051,0.48112919,0.09329112,2.61630265,1.42020114,0.52491438
-5.68184092,4.79314478,0.06204695,0.43266783,1.68864219,0.44848913,0.08776062,2.43822162,1.30744065,0.48532693
-5.67583792,4.42744070,0.05779674,0.39509128,1.56042200,0.41597069,0.08210099,2.26035457,1.19868110,0.44622261
-5.66983492,4.06898197,0.05354075,0.35900769,1.43391511,0.38392026,0.07638085,2.08479756,1.09494040,0.40802855
-5.66383192,3.72150708,0.04932703,0.32472664,1.31064808,0.35266083,0.07066633,1.91351267,0.99713907,0.37113097
-5.65782891,3.38838851,0.04519956,0.29251384,1.19200325,0.32248720,0.06501970,1.74829633,0.90609435,0.33586983
-5.65182591,3.07259207,0.04119765,0.26258973,1.07919964,0.29366214,0.05949823,1.59075466,0.82251691,0.30253524
-5.64582291,2.77665049,0.03735553,0.23512937,0.97328029,0.26641377,0.05415322,1.44228591,0.74701006,0.27136570
-5.63981991,2.50265055,0.03370208,0.21026355,0.87510570,0.24093395,0.04902935,1.30406973,0.68007082,0.24254781
-5.63381691,2.25223224,0.03026073,0.18808081,0.78535309,0.21737766,0.04416426,1.17706283,0.62209254,0.21621756
-5.62781391,2.02659857,0.02704950,0.16863019,0.70452037,0.19586317,0.03958835,1.06200016,0.57336824,0.19246265
-5.62181091,1.82653357,0.02408118,0.15192456,0.63293423,0.17647302,0.03532480,0.95940080,0.53409446,0.17132589
-5.61580790,1.65242674,0.02136363,0.13794412,0.57076123,0.15925551,0.03138980,0.86957741,0.50437475,0.15280912
-5.60980490,1.50430157,0.01890010,0.12663996,0.51802094,0.14422660,0.02779286,0.79264841,0.48422265,0.13687765
-5.60380190,1.38184633,0.01668970,0.11793752,0.47460018,0.13137214,0.02453737,0.72855174,0.47356370,0.12346480
-5.59779890,1.28444547,0.01472785,0.11173973,0.44026768,0.12065015,0.02162115,0.67705950,0.47223640,0.11247638
-5.59179590,1.21121021,0.01300679,0.10792979,0.41468830,0.11199330,0.01903709,0.63779267,0.47999216,0.10379497
-5.58579290,1.16100762,0.01151605,0.10637354,0.39743656,0.10531122,0.01677388,0.61023560,0.49649429,0.09728394
-5.57978989,1.13248767,0.01024296,0.10692144,0.38800901,0.10049290,0.01481666,0.59374977,0.52131659,0.09279102
-5.57378689,1.12410823,0.00917314,0.10941019,0.38583545,0.09740891,0.01314776,0.58758695,0.55394180,0.09015151
-5.56778389,1.13415833,0.00829091,0.11366413,0.39028906,0.09591362,0.01174732,0.59090176,0.59376067,0.08919113
-5.56178089,1.16078039,0.00757973,0.11949643,0.40069553,0.09584738,0.01059394,0.60276389,0.64007213,0.08972852
-5.55577789,1.20199222,0.00702260,0.12671044,0.41634159,0.09703873,0.00966528,0.62217032,0.69208535,0.09157759
-5.54977489,1.25570966,0.00660240,0.13510101,0.43648327,0.09930667,0.00893855,0.64805802,0.74892411,0.09454973
-5.54377189,1.31977075,0.00630219,0.14445621,0.46035420,0.10246311,0.00839100,0.67931742,0.80963415,0.09845598
-5.53776888,1.39196220,0.00610559,0.15455934,0.48717424,0.10631543,0.00800037,0.71480703,0.87319361,0.10310929
-5.53176588,1.47004864,0.00599697,0.16519143,0.51615879,0.11066930,0.00774524,0.75336938,0.93852685,0.10832694
-5.52576288,1.55180489,0.00596176,0.17613412,0.54652885,0.11533162,0.00760534,0.79384848,1.00452152,0.11393315
-5.51975988,1.63505108,0.00598669,0.18717311,0.57752176,0.12011380,0.00756193,0.83510855,1.07004846,0.11976193
-5.51375688,1.71769017,0.00605997,0.19810188,0.60840276,0.12483502,0.00759795,0.87605390,1.13398409,0.12566008
-5.50775388,1.79774704,0.00617156,0.20872572,0.63847688,0.12932569,0.00769835,0.91564948,1.19523430,0.13149041
-5.50175088,1.87340793,0.00631333,0.21886595,0.66710102,0.13343082,0.00785026,0.95294147,1.25275921,0.13713499
-5.49574787,1.94305911,0.00647923,0.22836406,0.69369572,0.13701328,0.00804317,0.98707738,1.30559755,0.14249837
-5.48974487,2.00532301,0.00666544,0.23708569,0.71775615,0.13995687,0.00826916,1.01732481,1.35288985,0.14751065
-5.48374187,2.05909055,0.00687047,0.24492416,0.73886197,0.14216894,0.00852300,1.04308813,1.39389926,0.15213030
-5.47773887,2.10354812,0.00709528,0.25180352,0.75668542,0.14358260,0.00880238,1.06392246,1.42802925,0.15634646
-5.47173587,2.13819799,0.00734324,0.25768082,0.77099750,0.14415831,0.00910798,1.07954425,1.45483730,0.16018076
-5.46573287,2.16287119,0.00762018,0.26254759,0.78167166,0.14388486,0.00944367,1.08983808,1.47404416,0.16368840
-5.45972986,2.17773223,0.00793425,0.26643036,0.78868509,0.14277962,0.00981655,1.09485931,1.48553825,0.16695849
-5.45372686,2.18327535,0.00829580,0.26939027,0.79211733,0.14088810,0.01023713,1.09483249,1.48937538,0.17011349
-5.44772386,2.18031245,0.00871719,0.27152160,0.79214641,0.13828278,0.01071934,1.09014575,1.48577366,0.17330778
-5.44172086,2.16995323,0.00921244,0.27294952,0.78904263,0.13506135,0.01128062,1.08134117,1.47510443,0.17672533
-5.43571786,2.15357826,0.00979692,0.27382687,0.78316019,0.13134437,0.01194189,1.06910194,1.45787948,0.18057646
-5.42971486,2.13280619,0.01048693,0.27433031,0.77492721,0.12727244,0.01272755,1.05423645,1.43473560,0.18509380
-5.42371186,2.10945621,0.01129920,0.27465579,0.76483437,0.12300310,0.01366538,1.03766039,1.40641714,0.19052745
-5.41770885,2.08550724,0.01225038,0.27501363,0.75342269,0.11870748,0.01478635,1.02037714,1.37375749,0.19713959
-5.41170585,2.06305515,0.01335647,0.27562332,0.74127087,0.11456686,0.01612439,1.00345740,1.33766033,0.20519853
-5.40570285,2.04426924,0.01463223,0.27670812,0.72898252,0.11076931,0.01771604,0.98801847,1.29908130,0.21497237
-5.39969985,2.03134915,0.01609063,0.27848978,0.71717370,0.10750645,0.01959994,0.97520383,1.25901071,0.22672252
-5.39369685,2.02648310,0.01774226,0.28118334,0.70646098,0.10497035,0.02181626,0.96616333,1.21845764,0.24069714
-5.38769385,2.03180810,0.01959482,0.28499224,0.69745027,0.10335082,0.02440591,0.96203419,1.17843573,0.25712471
-5.38169085,2.04937263,0.02165267,0.29010376,0.69072644,0.10283280,0.02740964,0.96392311,1.13995065,0.27620784
-5.37568784,2.08110196,0.02391643,0.29668493,0.68684396,0.10359417,0.03086696,0.97288931,1.10398908,0.29811753
-5.36968484,2.12876611,0.02638276,0.30487894,0.68631844,0.10580362,0.03481487,0.98992856,1.07150912,0.32298801
-5.36368184,2.19395046,0.02904412,0.31480205,0.68961908,0.10961877,0.03928652,1.01595793,1.04343163,0.35091214
-5.35767884,2.27802863,0.03188879,0.32654106,0.69716200,0.11518436,0.04430967,1.05180115,1.02063218,0.38193767
-5.35167584,2.38213748,0.03490091,0.34015139,0.70930434,0.12263036,0.04990508,1.09817449,1.00393331,0.41606431
-5.34567284,2.50715411,0.03806071,0.35565558,0.72633919,0.13207013,0.05608490,1.15567281,0.99409653,0.45324159
-5.33966983,2.65367462,0.04134480,0.37304248,0.74849119,0.14359832,0.06285101,1.22475606,0.99181408,0.49336778
-5.33366683,2.82199482,0.04472664,0.39226684,0.77591288,0.15728869,0.07019348,1.30573605,0.99770003,0.53628953
-5.32766383,3.01209293,0.04817697,0.41324942,0.80868180,0.17319176,0.07808922,1.39876390,1.01228077,0.58180258
-5.32166083,3.22361489,0.05166445,0.43587758,0.84679843,0.19133223,0.08650084,1.50381829,1.03598499,0.62965314
-5.31565783,3.45586269,0.05515622,0.46000627,0.89018498,0.21170648,0.09537583,1.62069520,1.06913327,0.67954025
-5.30965483,3.70778655,0.05861854,0.48545951,0.93868518,0.23427994,0.10464625,1.74899956,1.11192767,0.73111881
-5.30365183,3.97798183,0.06201737,0.51203217,0.99206515,0.25898476,0.11422880,1.88813953,1.16444174,0.78400335
-5.29764882,4.26469171,0.06531899,0.53949228,1.05001556,0.28571781,0.12402552,2.03732400,1.22661135,0.83777253
-5.29164582,4.56581654,0.06849048,0.56758361,1.11215500,0.31433914,0.13392509,2.19556418,1.29822714,0.89197427
-5.28564282,4.87893090,0.07150024,0.59602875,1.17803484,0.34467128,0.14380468,2.36167977,1.37892884,0.94613146
-5.27963982,5.20130909,0.07431835,0.62453260,1.24714558,0.37649936,0.15353248,2.53431024,1.46820243,0.99974842
-5.27363682,5.52995975,0.07691693,0.65278627,1.31892475,0.40957241,0.16297075,2.71193176,1.56538034,1.05231785
-5.26763382,5.86166987,0.07927043,0.68047147,1.39276629,0.44360575,0.17197937,2.89287978,1.66964540,1.10332841
-5.26163082,6.19305802,0.08135586,0.70726531,1.46803149,0.47828480,0.18041973,3.07537732,1.78003883,1.15227296
-5.25562781,6.52063645,0.08315296,0.73284559,1.54406136,0.51327013,0.18815890,3.25756857,1.89547247,1.19865719
-5.24962481,6.84088089,0.08464441,0.75689644,1.62019014,0.54820380,0.19507385,3.43755725,2.01474540,1.24200876
-5.24362181,7.15030669,0.08581595,0.77911434,1.69575988,0.58271682,0.20105561,3.61344882,2.13656484,1.28188676
-5.23761881,7.44554922,0.08665659,0.79921432,1.77013570,0.61643760,0.20601306,3.78339530,2.25957095,1.31789124
-5.23161581,7.72344606,0.08715870,0.81693623,1.84272134,0.64900106,0.20987638,3.94564131,2.38236505,1.34967267
-5.22561281,7.98111831,0.08731826,0.83205099,1.91297448,0.68005807,0.21259967,4.09856979,2.50354054,1.37694098
-5.21960980,8.21604771,0.08713496,0.84436640,1.98042135,0.70928497,0.21416299,4.24074547,2.62171560,1.39947386
-5.21360680,8.42614646,0.08661239,0.85373249,2.04467005,0.73639254,0.21457334,4.37095450,2.73556649,1.41712390
-5.20760380,8.60981650,0.08575813,0.86004597,2.10542181,0.76113430,0.21386465,4.48823822,2.84386033,1.42982430
-5.20160080,8.76599514,0.08458386,0.86325368,2.16247969,0.78331352,0.21209689,4.59191960,2.94548592,1.43759262
-5.19559780,8.89418454,0.08310530,0.86335462,2.21575404,0.80278864,0.20935396,4.68162083,3.03948139,1.44053232
-5.18959480,8.99446282,0.08134218,0.86040064,2.26526417,0.81947692,0.20574085,4.75727090,3.12505729,1.43883186
-5.18359180,9.06747541,0.07931798,0.85449531,2.31113589,0.83335592,0.20137981,4.81910256,3.20161403,1.43276098
-5.17758879,9.11440628,0.07705963,0.84579115,2.35359449,0.84446286,0.19640595,4.86763812,3.26875272,1.42266434
-5.17158579,9.13692929,0.07459707,0.83448520,2.39295326,0.85289173,0.19096230,4.90366471,3.32627869,1.40895244
-5.16558279,9.13714121,0.07196261,0.82081289,2.42959768,0.85878824,0.18519465,4.92819924,3.37419744,1.39209001
-5.15957979,9.11747867,0.06919032,0.80504056,2.46396557,0.86234296,0.17924633,4.94244484,3.41270291,1.37258237
-5.15357679,9.08062246,0.06631519,0.78745691,2.49652402,0.86378271,0.17325318,4.94774004,3.44215863,1.35096010
-5.14757379,9.02939310,0.06337231,0.76836359,2.52774388,0.86336084,0.16733895,4.94550320,3.46307253,1.32776272
