energy_ev,total_up,C_s_up,C_p_up,Mg_p_up,Mg_d_up,Pd_p_up,Pd_d_up,Se_s_up,Se_p_up
-6.00000000,1.45478830,0.00401204,0.09018632,0.42163737,0.00000000,0.84035821,0.88123720,0.01197261,0.28277149
-5.99399700,1.39819835,0.00392664,0.09124609,0.41591618,0.00000000,0.84408556,0.83278263,0.01115144,0.27946800
-5.98799400,1.35121862,0.00386207,0.09322163,0.41341035,0.00000000,0.85285143,0.79002908,0.01040223,0.27862507
-5.98199100,1.31531431,0.00382251,0.09622406,0.41463125,0.00000000,0.86763825,0.75380764,0.00973332,0.28057196
-5.97598799,1.29185281,0.00381197,0.10035553,0.42006988,0.00000000,0.88939889,0.72487575,0.00915161,0.28563020
-5.96998499,1.28207450,0.00383415,0.10570543,0.43017995,0.00000000,0.91902010,0.70390867,0.00866251,0.29410310
-5.96398199,1.28706403,0.00389230,0.11234643,0.44536056,0.00000000,0.95728460,0.69149169,0.00826995,0.30626483
-5.95797899,1.30772246,0.00398914,0.12033064,0.46593889,0.00000000,1.00483319,0.68811353,0.00797631,0.32234928
-5.95197599,1.34474127,0.00412670,0.12968580,0.49215347,0.00000000,1.06212830,0.69416052,0.00778252,0.34253901
-5.94597299,1.39857887,0.00430625,0.14041190,0.52413872,0.00000000,1.12942058,0.70991209,0.00768798,0.36695477
-5.93996998,1.46944082,0.00452821,0.15247833,0.56191120,0.00000000,1.20671994,0.73553745,0.00769064,0.39564595
-5.93396698,1.55726467,0.00479210,0.16582167,0.60535840,0.00000000,1.29377275,0.77109379,0.00778705,0.42858242
-5.92796398,1.66171041,0.00509649,0.18034444,0.65423062,0.00000000,1.39004651,0.81652620,0.00797239,0.46564830
-5.92196098,1.78215751,0.00543900,0.19591479,0.70813660,0.00000000,1.49472325,0.87166953,0.00824054,0.50663788
-5.91595798,1.91770929,0.00581634,0.21236747,0.76654334,0.00000000,1.60670265,0.93625221,0.00858421,0.55125435
-5.90995498,2.06720504,0.00622435,0.22950587,0.82878062,0.00000000,1.72461549,1.00990231,0.00899506,0.59911128
-5.90395198,2.22924016,0.00665811,0.24710548,0.89405038,0.00000000,1.84684767,1.09215565,0.00946380,0.64973737
-5.89794897,2.40219409,0.00711205,0.26491846,0.96144099,0.00000000,1.97157437,1.18246578,0.00998044,0.70258422
-5.89194597,2.58426543,0.00758011,0.28267934,1.02994632,0.00000000,2.09680396,1.28021572,0.01053440,0.75703727
-5.88594297,2.77351317,0.00805592,0.30011174,1.09848915,0.00000000,2.22043005,1.38473081,0.01111478,0.81242945
-5.87993997,2.96790273,0.00853303,0.31693579,1.16594827,0.00000000,2.34029022,1.49529215,0.01171055,0.86805726
-5.87393697,3.16535488,0.00900505,0.33287600,1.23118832,0.00000000,2.45422923,1.61115014,0.01231078,0.92319866
-5.86793397,3.36379558,0.00946593,0.34766933,1.29309149,0.00000000,2.56016436,1.73153711,0.01290488,0.97713207
-5.86193097,3.56120458,0.00991013,0.36107313,1.35058960,0.00000000,2.65615017,1.85567861,0.01348283,1.02915582
-5.85592796,3.75566044,0.01033284,0.37287247,1.40269544,0.00000000,2.74043999,1.98280239,0.01403534,1.07860700
-5.84992496,3.94537997,0.01073011,0.38288682,1.44853197,0.00000000,2.81154155,2.11214478,0.01455405,1.12487917
-5.84392196,4.12875020,0.01109902,0.39097549,1.48735798,0.00000000,2.86826428,2.24295384,0.01503166,1.16743783
-5.83791896,4.30435151,0.01143775,0.39704180,1.51858923,0.00000000,2.90975627,2.37448927,0.01546207,1.20583319
-5.83191596,4.47097085,0.01174563,0.40103578,1.54181402,0.00000000,2.93552920,2.50601906,0.01584036,1.23970957
-5.82591296,4.62760496,0.01202318,0.40295522,1.55680250,0.00000000,2.94547028,2.63681324,0.01616290,1.26881106
-5.81990995,4.77345367,0.01227201,0.40284511,1.56350933,0.00000000,2.93984085,2.76613544,0.01642726,1.29298326
-5.81390695,4.90790442,0.01249475,0.40079554,1.56206972,0.00000000,2.91926176,2.89323308,0.01663218,1.31217116
-5.80790395,5.03050947,0.01269494,0.39693816,1.55278909,0.00000000,2.88468661,3.01732721,0.01677746,1.32641334
-5.80190095,5.14095776,0.01287682,0.39144141,1.53612703,0.00000000,2.83736406,3.13760343,0.01686387,1.33583307
-5.79589795,5.23904393,0.01304519,0.38450474,1.51267645,0.00000000,2.77879142,3.25320490,0.01689295,1.34062676
-5.78989495,5.32463698,0.01320514,0.37635218,1.48313910,0.00000000,2.71066159,3.36322886,0.01686693,1.34105070
