energy_ev,total_up,C_s_up,C_p_up,Cr_p_up,Cr_d_up,S_s_up,S_p_up,Y_p_up,Y_d_up
-6.00000000,2.71859461,0.03271869,0.02823960,1.95561897,0.65844086,0.03122792,1.79264844,0.67611671,0.17847802
-5.99399700,2.87728192,0.03165641,0.02961990,2.07509632,0.70076102,0.03326528,1.90086277,0.70552292,0.18978032
-5.98799400,3.04230992,0.03080445,0.03099085,2.19721267,0.74517164,0.03543574,2.01319144,0.73609297,0.20155023
-5.98199100,3.21259902,0.03016665,0.03234192,2.32109213,0.79140028,0.03773102,2.12890632,0.76757807,0.21371600
-5.97598799,3.38688534,0.02974238,0.03366250,2.44576787,0.83911689,0.04013969,2.24715948,0.79968952,0.22619338
-5.96998499,3.56372863,0.02952696,0.03494192,2.57019055,0.88793535,0.04264711,2.36698808,0.83210307,0.23888587
-5.96398199,3.74152359,0.02951207,0.03616948,2.69323814,0.93741621,0.04523533,2.48732159,0.86446403,0.25168538
-5.95797899,3.91851494,0.02968629,0.03733453,2.81372726,0.98707076,0.04788314,2.60699145,0.89639308,0.26447291
-5.95197599,4.09281654,0.03003553,0.03842644,2.93042625,1.03636636,0.05056616,2.72474346,0.92749265,0.27711972
-5.94597299,4.26243493,0.03054348,0.03943467,3.04207010,1.08473334,0.05325701,2.83925308,0.95735397,0.28948868
-5.93996998,4.42529738,0.03119208,0.04034879,3.14737733,1.13157337,0.05592562,2.94914374,0.98556450,0.30143600
-5.93396698,4.57928466,0.03196195,0.04115854,3.24506898,1.17626931,0.05853967,3.05300838,1.01171600,0.31281332
-5.92796398,4.72226830,0.03283280,0.04185395,3.33388971,1.21819644,0.06106505,3.14943390,1.03541284,0.32347013
-5.92196098,4.85215198,0.03378387,0.04242547,3.41263078,1.25673505,0.06346654,3.23702842,1.05628068,0.33325653
-5.91595798,4.96691644,0.03479429,0.04286415,3.48015473,1.29128391,0.06570854,3.31445095,1.07397525,0.34202629
-5.90995498,5.06466676,0.03584355,0.04316182,3.53542122,1.32127455,0.06775589,3.38044258,1.08819103,0.34964013
-5.90395198,5.14368100,0.03691186,0.04331137,3.57751343,1.34618568,0.06957478,3.43385873,1.09866977,0.35596918
-5.89794897,5.20245840,0.03798059,0.04330698,3.60566420,1.36555754,0.07113366,3.47370109,1.10520837,0.36089843
-5.89194597,5.23976564,0.03903265,0.04314442,3.61928106,1.37900549,0.07240418,3.49914831,1.10766609,0.36433018
-5.88594297,5.25467915,0.04005291,0.04282129,3.61796905,1.38623230,0.07336211,3.50958427,1.10597058,0.36618723
-5.87993997,5.24662180,0.04102851,0.04233730,3.60155039,1.38703877,0.07398820,3.50462253,1.10012268,0.36641573
-5.87393697,5.21539191,0.04194927,0.04169446,3.57007978,1.38133194,0.07426883,3.48412582,1.09019948,0.36498763
-5.86793397,5.16118324,0.04280788,0.04089725,3.52385461,1.36913070,0.07419671,3.44821966,1.07635571,0.36190239
