energy_ev,total_up,Bi_p_up,Bi_d_up,Cd_p_up,Cd_d_up,S_s_up,S_p_up
-6.00000000,0.85157868,0.19738072,0.00016045,0.09860395,0.10912439,0.26206523,0.15341143
-5.99399700,0.86496663,0.19903854,0.00016699,0.09823490,0.11165319,0.26777198,0.15604900
-5.98799400,0.87617319,0.20044273,0.00017335,0.09817582,0.11393897,0.27201412,0.15845210
-5.98199100,0.88517678,0.20163621,0.00017958,0.09847600,0.11598176,0.27470829,0.16063811
-5.97598799,0.89203604,0.20267800,0.00018574,0.09918690,0.11779444,0.27580051,0.16264195
-5.96998499,0.89689619,0.20364335,0.00019196,0.10036332,0.11940371,0.27526804,0.16451770
-5.96398199,0.89999187,0.20462289,0.00019837,0.10206433,0.12085056,0.27312040,0.16633951
-5.95797899,0.90164580,0.20572080,0.00020513,0.10435395,0.12219010,0.26939917,0.16820149
-5.95197599,0.90226333,0.20705202,0.00021243,0.10730122,0.12349071,0.26417687,0.17021681
-5.94597299,0.90232276,0.20873850,0.00022050,0.11097986,0.12483254,0.25755471,0.17251563
-5.93996998,0.90236174,0.21090478,0.00022957,0.11546722,0.12630533,0.24965957,0.17524217
-5.93396698,0.90296024,0.21367290,0.00023987,0.12084265,0.12800569,0.24064014,0.17855076
-5.92796398,0.90472067,0.21715707,0.00025165,0.12718514,0.13003385,0.23066256,0.18260105
-5.92196098,0.90824603,0.22145817,0.00026515,0.13457039,0.13249004,0.21990565,0.18755253
-5.91595798,0.91411688,0.22665853,0.00028060,0.14306741,0.13547060,0.20855597,0.19355852
-5.90995498,0.92286815,0.23281710,0.00029819,0.15273462,0.13906396,0.19680290,0.20075981
-5.90395198,0.93496679,0.23996536,0.00031808,0.16361575,0.14334673,0.18483395,0.20927823
-5.89794897,0.95079110,0.24810421,0.00034040,0.17573564,0.14837990,0.17283045,0.21921036
-5.89194597,0.97061280,0.25720188,0.00036522,0.18909617,0.15420547,0.16096370,0.23062165
-5.88594297,0.99458232,0.26719313,0.00039252,0.20367254,0.16084350,0.14939188,0.24354120
-5.87993997,1.02271830,0.27797970,0.00042226,0.21941004,0.16828985,0.13825751,0.25795742
-5.87393697,1.05490147,0.28943203,0.00045429,0.23622169,0.17651459,0.12768582,0.27381489
-5.86793397,1.09087336,0.30139222,0.00048840,0.25398676,0.18546126,0.11778377,0.29101245
-5.86193097,1.13023997,0.31367805,0.00052430,0.27255039,0.19504701,0.10863991,0.30940279
-5.85592796,1.17248030,0.32608789,0.00056164,0.29172451,0.20516359,0.10032488,0.32879364
-5.84992496,1.21695948,0.33840640,0.00059998,0.31129010,0.21567927,0.09289259,0.34895058
-5.84392196,1.26294624,0.35041063,0.00063883,0.33100068,0.22644166,0.08638204,0.36960145
-5.83791896,1.30963403,0.36187644,0.00067764,0.35058732,0.23728123,0.08081950,0.39044236
-5.83191596,1.35616528,0.37258481,0.00071584,0.36976463,0.24801560,0.07622117,0.41114509
-5.82591296,1.40165789,0.38232803,0.00075281,0.38823804,0.25845442,0.07259616,0.43136577
-5.81990995,1.44523325,0.39091542,0.00078792,0.40571175,0.26840462,0.06994951,0.45075446
-5.81390695,1.48604475,0.39817841,0.00082058,0.42189742,0.27767599,0.06828542,0.46896544
-5.80790395,1.52330593,0.40397488,0.00085018,0.43652296,0.28608676,0.06761042,0.48566783
-5.80190095,1.55631728,0.40819270,0.00087618,0.44934140,0.29346915,0.06793629,0.50055609
-5.79589795,1.58449073,0.41075226,0.00089809,0.46013924,0.29967456,0.06928283,0.51336005
-5.78989495,1.60737101,0.41160812,0.00091550,0.46874404,0.30457822,0.07168017,0.52385408
-5.78389195,1.62465297,0.41074966,0.00092808,0.47503088,0.30808328,0.07517059,0.53186496
-5.77788894,1.63619415,0.40820080,0.00093560,0.47892735,0.31012392,0.07980973,0.53727819
-5.77188594,1.64202206,0.40401889,0.00093794,0.48041685,0.31066755,0.08566700,0.54004226
-5.76588294,1.64233570,0.39829272,0.00093509,0.47954005,0.30971594,0.09282524,0.54017092
-5.75987994,1.63750095,0.39113981,0.00092715,0.47639424,0.30730521,0.10137933,0.53774306
-5.75387694,1.62804000,0.38270301,0.00091433,0.47113068,0.30350459,0.11143390,0.53290027
-5.74787394,1.61461473,0.37314662,0.00089695,0.46395000,0.29841421,0.12309997,0.52584214
-5.74187094,1.59800463,0.36265189,0.00087542,0.45509568,0.29216163,0.13649056,0.51681938
-5.73586793,1.57907979,0.35141229,0.00085021,0.44484600,0.28489765,0.15171534,0.50612510
-5.72986493,1.55876985,0.33962845,0.00082188,0.43350463,0.27679120,0.16887447,0.49408441
-5.72386193,1.53802999,0.32750291,0.00079102,0.42139036,0.26802368,0.18805171,0.48104305
-5.71785893,1.51780515,0.31523497,0.00075826,0.40882626,0.25878301,0.20930712,0.46735520
-5.71185593,1.49899398,0.30301558,0.00072421,0.39612886,0.24925751,0.23266956,0.45337115
-5.70585293,1.48241382,0.29102246,0.00068950,0.38359769,0.23962990,0.25812945,0.43942538
-5.69984992,1.46876833,0.27941568,0.00065471,0.37150566,0.23007169,0.28563194,0.42582535
-5.69384692,1.45861914,0.26833379,0.00062038,0.36009072,0.22073818,0.31507117,0.41284175
-5.68784392,1.45236285,0.25789055,0.00058698,0.34954906,0.21176424,0.34628574,0.40070035
-5.68184092,1.45021448,0.24817257,0.00055493,0.34003017,0.20326098,0.37905596,0.38957592
-5.67583792,1.45219830,0.23923779,0.00052455,0.33163402,0.19531360,0.41310306,0.37958851
