energy_ev,total_up,Ir_p_up,Ir_d_up,P_s_up,P_p_up,Se_s_up,Se_p_up
-6.00000000,1.40363855,0.21198017,0.80376586,0.00637622,0.21789594,0.01638029,0.44986305
-5.99399700,1.35330160,0.20422456,0.77743695,0.00628188,0.20425484,0.01557280,0.43318196
-5.98799400,1.30593537,0.19697948,0.75282796,0.00616162,0.19081733,0.01483207,0.41749953
-5.98199100,1.26210671,0.19042622,0.73016224,0.00601691,0.17776543,0.01417687,0.40301513
-5.97598799,1.22232535,0.18474757,0.70962200,0.00584991,0.16526586,0.01362570,0.38991488
-5.96998499,1.18703823,0.18012340,0.69134854,0.00566330,0.15346687,0.01319639,0.37836920
-5.96398199,1.15662725,0.17672659,0.67544460,0.00546027,0.14249611,0.01290575,0.36853140
-5.95797899,1.13141008,0.17471934,0.66197846,0.00524441,0.13245916,0.01276920,0.36053709
-5.95197599,1.11164363,0.17424995,0.65098948,0.00501960,0.12343906,0.01280049,0.35450441
-5.94597299,1.09752949,0.17544999,0.64249460,0.00478997,0.11549653,0.01301140,0.35053493
-5.93996998,1.08922072,0.17843200,0.63649523,0.00455973,0.10867077,0.01341158,0.34871482
-5.93396698,1.08682903,0.18328751,0.63298403,0.00433316,0.10298094,0.01400832,0.34911634
-5.92796398,1.09043187,0.19008558,0.63195109,0.00411447,0.09842789,0.01480645,0.35179910
-5.92196098,1.10007840,0.19887155,0.63338908,0.00390777,0.09499624,0.01580819,0.35681124
-5.91595798,1.11579408,0.20966623,0.63729693,0.00371699,0.09265659,0.01701310,0.36419000
-5.90995498,1.13758319,0.22246530,0.64368181,0.00354582,0.09136772,0.01841802,0.37396172
-5.90395198,1.16542908,0.23723902,0.65255925,0.00339765,0.09107876,0.02001705,0.38614124
-5.89794897,1.19929206,0.25393210,0.66395139,0.00327554,0.09173113,0.02180158,0.40073039
-5.89194597,1.23910490,0.27246380,0.67788332,0.00318217,0.09326039,0.02376026,0.41771590
-5.88594297,1.28476615,0.29272829,0.69437786,0.00311978,0.09559769,0.02587910,0.43706657
-5.87993997,1.33613172,0.31459510,0.71344883,0.00309015,0.09867108,0.02814152,0.45872988
-5.87393697,1.39300500,0.33790981,0.73509334,0.00309454,0.10240641,0.03052850,0.48262826
-5.86793397,1.45512633,0.36249487,0.75928345,0.00313366,0.10672807,0.03301866,0.50865518
-5.86193097,1.52216216,0.38815071,0.78595751,0.00320765,0.11155944,0.03558842,0.53667115
-5.85592796,1.59369486,0.41465694,0.81501188,0.00331602,0.11682310,0.03821225,0.56650020
-5.84992496,1.66921367,0.44177387,0.84629329,0.00345762,0.12244092,0.04086283,0.59792674
-5.84392196,1.74810758,0.46924427,0.87959231,0.00363067,0.12833400,0.04351137,0.63069331
-5.83791896,1.82966084,0.49679540,0.91463858,0.00383271,0.13442253,0.04612784,0.66449942
-5.83191596,1.91305163,0.52414145,0.95109777,0.00406061,0.14062564,0.04868138,0.69900164
-5.82591296,1.99735449,0.55098637,0.98857107,0.00431061,0.14686129,0.05114064,0.73381524
-5.81990995,2.08154696,0.57702710,1.02659703,0.00457839,0.15304626,0.05347424,0.76851751
-5.81390695,2.16452064,0.60195739,1.06465621,0.00485907,0.15909623,0.05565118,0.80265287
-5.80790395,2.24509698,0.62547209,1.10217862,0.00514733,0.16492614,0.05764142,0.83573977
-5.80190095,2.32204755,0.64727201,1.13855379,0.00543753,0.17045064,0.05941636,0.86727943
-5.79589795,2.39411865,0.66706927,1.17314355,0.00572380,0.17558493,0.06094943,0.89676621
-5.78989495,2.46005973,0.68459317,1.20529703,0.00600015,0.18024574,0.06221667,0.92369940
-5.78389195,2.51865499,0.69959637,1.23436754,0.00626069,0.18435258,0.06319727,0.94759618
-5.77788894,2.56875704,0.71186138,1.25973087,0.00649970,0.18782925,0.06387416,0.96800523
-5.77188594,2.60932166,0.72120697,1.28080424,0.00671182,0.19060554,0.06423448,0.98452066
-5.76588294,2.63944226,0.72749455,1.29706538,0.00689220,0.19261893,0.06427006,0.99679565
-5.75987994,2.65838263,0.73063399,1.30807076,0.00703660,0.19381653,0.06397775,1.00455512
