energy_ev,total_up,Ru_p_up,Ru_d_up,Se_s_up,Se_p_up,Si_p_up,Si_d_up
-6.00000000,1.88054009,1.02095100,0.62684914,0.01147915,0.76000062,0.27770208,0.00000000
-5.99399700,1.90710095,1.04695575,0.63968069,0.01182420,0.76577240,0.28575988,0.00000000
-5.98799400,1.93318088,1.07096846,0.65290708,0.01221292,0.77153906,0.29368688,0.00000000
-5.98199100,1.95876707,1.09282961,0.66652802,0.01264677,0.77729804,0.30149823,0.00000000
-5.97598799,1.98387034,1.11242079,0.68054966,0.01312683,0.78304190,0.30921976,0.00000000
-5.96998499,2.00852023,1.12966509,0.69498265,0.01365368,0.78875705,0.31688610,0.00000000
-5.96398199,2.03275948,1.14452633,0.70983990,0.01422726,0.79442295,0.32453830,0.00000000
-5.95797899,2.05663815,1.15700702,0.72513415,0.01484679,0.80001178,0.33222113,0.00000000
-5.95197599,2.08020769,1.16714553,0.74087538,0.01551070,0.80548855,0.33998009,0.00000000
-5.94597299,2.10351529,1.17501235,0.75706835,0.01621652,0.81081194,0.34785834,0.00000000
-5.93996998,2.12659874,1.18070595,0.77371016,0.01696092,0.81593547,0.35589361,0.00000000
-5.93396698,2.14948206,1.18434823,0.79078811,0.01773962,0.82080923,0.36411518,0.00000000
-5.92796398,2.17217214,1.18607999,0.80827785,0.01854748,0.82538195,0.37254122,0.00000000
-5.92196098,2.19465637,1.18605640,0.82614198,0.01937852,0.82960336,0.38117645,0.00000000
-5.91595798,2.21690149,1.18444276,0.84432908,0.02022603,0.83342665,0.39001022,0.00000000
-5.90995498,2.23885361,1.18141071,0.86277332,0.02108266,0.83681098,0.39901527,0.00000000
-5.90395198,2.26043928,1.17713466,0.88139460,0.02194057,0.83972383,0.40814698,0.00000000
-5.89794897,2.28156757,1.17178893,0.90009933,0.02279157,0.84214309,0.41734336,0.00000000
-5.89194597,2.30213300,1.16554508,0.91878163,0.02362730,0.84405876,0.42652567,0.00000000
-5.88594297,2.32201898,1.15856974,0.93732519,0.02443940,0.84547417,0.43559969,0.00000000
-5.87993997,2.34110172,1.15102273,0.95560545,0.02521967,0.84640656,0.44445761,0.00000000
-5.87393697,2.35925419,1.14305534,0.97349222,0.02596025,0.84688707,0.45298047,0.00000000
-5.86793397,2.37634998,1.13480873,0.99085246,0.02665378,0.84695998,0.46104108,0.00000000
-5.86193097,2.39226676,1.12641245,1.00755323,0.02729351,0.84668131,0.46850728,0.00000000
-5.85592796,2.40688920,1.11798287,1.02346468,0.02787344,0.84611675,0.47524555,0.00000000
-5.84992496,2.42011119,1.10962163,1.03846281,0.02838842,0.84533890,0.48112468,0.00000000
-5.84392196,2.43183723,1.10141410,1.05243211,0.02883423,0.84442412,0.48601961,0.00000000
-5.83791896,2.44198295,1.09342785,1.06526774,0.02920759,0.84344887,0.48981507,0.00000000
-5.83191596,2.45047490,1.08571124,1.07687745,0.02950625,0.84248587,0.49240915,0.00000000
-5.82591296,2.45724948,1.07829227,1.08718289,0.02972894,0.84160016,0.49371648,0.00000000
-5.81990995,2.46225146,1.07117772,1.09612051,0.02987542,0.84084521,0.49367111,0.00000000
-5.81390695,2.46543204,1.06435283,1.10364200,0.02994640,0.84025937,0.49222887,0.00000000
