energy_ev,total_up,Co_p_up,Co_d_up,N_s_up,N_p_up,Te_p_up,Te_d_up,Ti_p_up,Ti_d_up
-6.00000000,1.75121869,0.41598329,0.34878019,0.00436042,0.22741047,0.87800189,0.00000000,0.55094034,0.22319662
-5.99399700,1.77830116,0.42132547,0.35526752,0.00438486,0.23446978,0.88720372,0.00000000,0.55037495,0.23033619
-5.98799400,1.80240790,0.42649855,0.36115370,0.00438535,0.24085557,0.89538882,0.00000000,0.54891987,0.23707312
-5.98199100,1.82396173,0.43172114,0.36648633,0.00436214,0.24654115,0.90290500,0.00000000,0.54697351,0.24340961
-5.97598799,1.84350610,0.43723222,0.37133869,0.00431597,0.25152165,0.91015041,0.00000000,0.54496460,0.24936469
-5.96998499,1.86168155,0.44328110,0.37580561,0.00424801,0.25581479,0.91755612,0.00000000,0.54333760,0.25497359
-5.96398199,1.87919723,0.45011646,0.37999797,0.00415984,0.25946094,0.92556645,0.00000000,0.54253718,0.26028631
-5.95797899,1.89679868,0.45797475,0.38403626,0.00405344,0.26252254,0.93461777,0.00000000,0.54299243,0.26536572
-5.95197599,1.91523314,0.46706852,0.38804338,0.00393112,0.26508282,0.94511670,0.00000000,0.54510113,0.27028518
-5.94597299,1.93521393,0.47757504,0.39213703,0.00379545,0.26724382,0.95741863,0.00000000,0.54921500,0.27512563
-5.93996998,1.95738539,0.48962579,0.39642216,0.00364920,0.26912391,0.97180750,0.00000000,0.55562622,0.27997252
-5.93396698,1.98229013,0.50329721,0.40098372,0.00349526,0.27085479,0.98847776,0.00000000,0.56455585,0.28491251
-5.92796398,2.01034008,0.51860329,0.40588023,0.00333658,0.27257816,1.00751954,0.00000000,0.57614457,0.29003021
-5.92196098,2.04179270,0.53549015,0.41113851,0.00317606,0.27444213,1.02890759,0.00000000,0.59044619,0.29540510
-5.91595798,2.07673370,0.55383323,0.41674973,0.00301650,0.27659746,1.05249479,0.00000000,0.60742400,0.30110870
-5.90995498,2.11506702,0.57343708,0.42266725,0.00286051,0.27919390,1.07801056,0.00000000,0.62695034,0.30720217
-5.90395198,2.15651267,0.59403789,0.42880623,0.00271044,0.28237654,1.10506449,0.00000000,0.64880929,0.31373440
-5.89794897,2.20061257,0.61530880,0.43504509,0.00256837,0.28628232,1.13315500,0.00000000,0.67270229,0.32074060
-5.89194597,2.24674411,0.63686793,0.44122893,0.00243600,0.29103677,1.16168297,0.00000000,0.69825678,0.32824151
-5.88594297,2.29414070,0.65828858,0.44717455,0.00231466,0.29675098,1.18996967,0.00000000,0.72503710,0.33624305
-5.87993997,2.34191839,0.67911163,0.45267703,0.00220527,0.30351880,1.21727840,0.00000000,0.75255765,0.34473638
-5.87393697,2.38910703,0.69885931,0.45751748,0.00210836,0.31141424,1.24283890,0.00000000,0.78029740,0.35369841
-5.86793397,2.43468458,0.71705007,0.46147160,0.00202403,0.32048911,1.26587343,0.00000000,0.80771548,0.36309247
-5.86193097,2.47761272,0.73321381,0.46431861,0.00195204,0.33077084,1.28562355,0.00000000,0.83426708,0.37286903
-5.85592796,2.51687214,0.74690688,0.46585023,0.00189178,0.34226044,1.30137634,0.00000000,0.85941908,0.38296662
-5.84992496,2.55149580,0.75772636,0.46587911,0.00184234,0.35493071,1.31248900,0.00000000,0.88266493,0.39331246
-5.84392196,2.58059883,0.76532286,0.46424654,0.00180257,0.36872474,1.31841081,0.00000000,0.90353814,0.40382312
-5.83791896,2.60340375,0.76941164,0.46082891,0.00177112,0.38355472,1.31870152,0.00000000,0.92162406,0.41440495
-5.83191596,2.61926032,0.76978131,0.45554270,0.00174652,0.39930120,1.31304565,0.00000000,0.93656951,0.42495453
-5.82591296,2.62765950,0.76630010,0.44834798,0.00172725,0.41581307,1.30126194,0.00000000,0.94809020,0.43535893
