energy_ev,total_up,Ge_p_up,Ge_d_up,Pt_p_up,Pt_d_up,Se_s_up,Se_p_up
-6.00000000,3.82741974,0.88165209,0.00000000,1.72522068,2.90257386,0.00959483,0.16337509
-5.99399700,3.83413889,0.88224732,0.00000000,1.71404139,2.91113393,0.00992613,0.16332481
-5.98799400,3.84534297,0.88469594,0.00000000,1.70506709,2.92245256,0.01027315,0.16369495
-5.98199100,3.86245455,0.88941219,0.00000000,1.69909976,2.93755132,0.01063716,0.16456371
-5.97598799,3.88670350,0.89674735,0.00000000,1.69684727,2.95732159,0.01101902,0.16599941
-5.96998499,3.91907329,0.90697584,0.00000000,1.69889552,2.98248530,0.01141908,0.16805738
-5.96398199,3.96025737,0.92028399,0.00000000,1.70568512,3.01356300,0.01183705,0.17077724
-5.95797899,4.01062730,0.93676182,0.00000000,1.71749346,3.05085022,0.01227200,0.17418075
-5.95197599,4.07021326,0.95639802,0.00000000,1.73442264,3.09440296,0.01272227,0.17827021
-5.94597299,4.13869754,0.97907828,0.00000000,1.75639363,3.14403227,0.01318545,0.18302754
-5.93996998,4.21542048,1.00458692,0.00000000,1.78314663,3.19930787,0.01365847,0.18841398
-5.93396698,4.29939833,1.03261170,0.00000000,1.81424753,3.25957025,0.01413756,0.19437052
-5.92796398,4.38935182,1.06275163,0.00000000,1.84909994,3.32395031,0.01461839,0.20081901
-5.92196098,4.48374400,1.09452732,0.00000000,1.88696240,3.39139557,0.01509614,0.20766375
-5.91595798,4.58082574,1.12739366,0.00000000,1.92696992,3.46070174,0.01556559,0.21479386
-5.90995498,4.67868698,1.16075435,0.00000000,1.96815914,3.53054829,0.01602133,0.22208595
-5.90395198,4.77531208,1.19397765,0.00000000,2.00949627,3.59953688,0.01645779,0.22940736
-5.89794897,4.86863732,1.22641326,0.00000000,2.04990689,3.66623120,0.01686950,0.23661961
-5.89194597,4.95660879,1.25740939,0.00000000,2.08830666,3.72919720,0.01725118,0.24358214
-5.88594297,5.03723922,1.28632995,0.00000000,2.12363225,3.78704241,0.01759787,0.25015616
-5.87993997,5.10866188,1.31257112,0.00000000,2.15487128,3.83845349,0.01790514,0.25620847
-5.87393697,5.16918052,1.33557701,0.00000000,2.18109073,3.88223093,0.01816916,0.26161518
-5.86793397,5.21731369,1.35485387,0.00000000,2.20146285,3.91732012,0.01838680,0.26626522
-5.86193097,5.25183261,1.36998257,0.00000000,2.21528777,3.94283794,0.01855575,0.27006345
-5.85592796,5.27179127,1.38062884,0.00000000,2.22201229,3.95809432,0.01867455,0.27293333
-5.84992496,5.27654819,1.38655117,0.00000000,2.22124401,3.96260801,0.01874262,0.27481904
-5.84392196,5.26577893,1.38760578,0.00000000,2.21276052,3.95611619,0.01876027,0.27568691
-5.83791896,5.23947904,1.38374892,0.00000000,2.19651321,3.93857766,0.01872863,0.27552613
-5.83191596,5.19795730,1.37503598,0.00000000,2.17262545,3.91016920,0.01864959,0.27434871
-5.82591296,5.14181925,1.36161767,0.00000000,2.14138528,3.87127552,0.01852570,0.27218864
-5.81990995,5.07194166,1.34373337,0.00000000,2.10323276,3.82247275,0.01836004,0.26910028
-5.81390695,4.98943868,1.32170177,0.00000000,2.05874237,3.76450619,0.01815607,0.26515603
-5.80790395,4.89562094,1.29590922,0.00000000,2.00860122,3.69826311,0.01791746,0.26044339
-5.80190095,4.79194914,1.26679624,0.00000000,1.95358379,3.62474155,0.01764796,0.25506149
-5.79589795,4.67998404,1.23484278,0.00000000,1.89452439,3.54501651,0.01735119,0.24911725
-5.78989495,4.56133490,1.20055267,0.00000000,1.83228834,3.46020484,0.01703053,0.24272138
-5.78389195,4.43760860,1.16443816,0.00000000,1.76774314,3.37143051,0.01668898,0.23598431
-5.77788894,4.31036169,1.12700489,0.00000000,1.70173093,3.27979155,0.01632907,0.22901235
-5.77188594,4.18105745,1.08873830,0.00000000,1.63504332,3.18633050,0.01595281,0.22190415
-5.76588294,4.05102983,1.05009158,0.00000000,1.56839973,3.09200931,0.01556168,0.21474776
-5.75987994,3.92145582,1.01147602,0.00000000,1.50243008,2.99768998,0.01515660,0.20761820
-5.75387694,3.79333722,0.97325382,0.00000000,1.43766241,2.90412166,0.01473808,0.20057595
-5.74787394,3.66749238,0.93573364,0.00000000,1.37451592,2.81193446,0.01430624,0.19366612
-5.74187094,3.54455790,0.89916890,0.00000000,1.31329941,2.72164007,0.01386094,0.18691854
-5.73586793,3.42499956,0.86375872,0.00000000,1.25421494,2.63363876,0.01340200,0.18034858
-5.72986493,3.30913153,0.82965118,0.00000000,1.19736627,2.54823182,0.01292925,0.17395875
-5.72386193,3.19714214,0.79694858,0.00000000,1.14277128,2.46563859,0.01244277,0.16774088
-5.71785893,3.08912432,0.76571416,0.00000000,1.09037757,2.38601653,0.01194300,0.16167882
-5.71185593,2.98510875,0.73597980,0.00000000,1.04008014,2.30948287,0.01143087,0.15575138
-5.70585293,2.88509724,0.70775406,0.00000000,0.99174013,2.23613646,0.01090793,0.14993545
-5.69984992,2.78909457,0.68103013,0.00000000,0.94520340,2.16607818,0.01037639,0.14420906
