energy_ev,total_up,N_s_up,N_p_up,Na_s_up,Pd_p_up,Pd_d_up,S_s_up,S_p_up
-6.00000000,3.60413056,0.00619430,0.58502089,0.25014277,3.02396231,1.87109359,0.02856395,0.81797771
-5.99399700,3.52850532,0.00598835,0.56937723,0.24524079,2.98301511,1.82896886,0.02788244,0.80519547
-5.98799400,3.45028466,0.00577598,0.55187214,0.24089600,2.93849373,1.78403377,0.02730828,0.79440896
-5.98199100,3.37123146,0.00555995,0.53280936,0.23723037,2.89180661,1.73723079,0.02685263,0.78600441
-5.97598799,3.29306461,0.00534304,0.51250837,0.23434574,2.84439119,1.68949839,0.02652389,0.78031497
-5.96998499,3.21740791,0.00512792,0.49129519,0.23232017,2.79766362,1.64174473,0.02632749,0.77760993
-5.96398199,3.14574182,0.00491713,0.46949341,0.23120504,2.75296847,1.59482256,0.02626567,0.77808536
-5.95797899,3.07935972,0.00471303,0.44741559,0.23102293,2.71153050,1.54950634,0.02633747,0.78185643
-5.95197599,3.01933080,0.00451770,0.42535546,0.23176647,2.67441066,1.50647239,0.02653868,0.78895194
-5.94597299,2.96647069,0.00433294,0.40358110,0.23339814,2.64246826,1.46628280,0.02686194,0.79931126
-5.93996998,2.92132134,0.00416021,0.38232939,0.23585115,2.61633106,1.42937369,0.02729691,0.81278400
-5.93396698,2.88414067,0.00400059,0.36180174,0.23903131,2.59637450,1.39604806,0.02783051,0.82913240
-5.92796398,2.85490245,0.00385479,0.34216136,0.24281992,2.58271125,1.36647355,0.02844728,0.84803662
-5.92196098,2.83330617,0.00372310,0.32353196,0.24707746,2.57519120,1.34068476,0.02912973,0.86910265
-5.91595798,2.81879644,0.00360544,0.30599786,0.25164813,2.57341204,1.31859015,0.02985887,0.89187266
-5.90995498,2.81059067,0.00350134,0.28960549,0.25636484,2.57673967,1.29998278,0.03061466,0.91583752
-5.90395198,2.80771387,0.00340998,0.27436604,0.26105465,2.58433739,1.28455437,0.03137657,0.94045080
-5.89794897,2.80903867,0.00333024,0.26025906,0.26554431,2.59520226,1.27191189,0.03212410,0.96514390
-5.89194597,2.81332883,0.00326069,0.24723691,0.26966576,2.60820688,1.26159592,0.03283731,0.98934166
-5.88594297,2.81928415,0.00319973,0.23522966,0.27326126,2.62214424,1.25309981,0.03349731,1.01247770
-5.87993997,2.82558488,0.00314558,0.22415039,0.27618801,2.63577373,1.24588884,0.03408673,1.03400909
-5.87393697,2.83093385,0.00309636,0.21390042,0.27832216,2.64786591,1.23941869,0.03459006,1.05342965
-5.86793397,2.83409464,0.00305015,0.20437445,0.27956182,2.65724409,1.23315245,0.03499396,1.07028137
-5.86193097,2.83392455,0.00300508,0.19546537,0.27982924,2.66282105,1.22657570,0.03528752,1.08416376
-5.85592796,2.82940149,0.00295935,0.18706851,0.27907199,2.66362944,1.21920925,0.03546232,1.09474073
-5.84992496,2.81964418,0.00291130,0.17908526,0.27726307,2.65884505,1.21061935,0.03551253,1.10174493
-5.84392196,2.80392565,0.00285945,0.17142606,0.27440014,2.64780244,1.20042530,0.03543484,1.10497964
-5.83791896,2.78168012,0.00280257,0.16401256,0.27050393,2.63000295,1.18830449,0.03522834,1.10431835
-5.83191596,2.75250400,0.00273965,0.15677910,0.26561588,2.60511565,1.17399523,0.03489436,1.09970224
-5.82591296,2.71615175,0.00266997,0.14967347,0.25979528,2.57297200,1.15729740,0.03443621,1.09113601
-5.81990995,2.67252755,0.00259310,0.14265705,0.25311604,2.53355530,1.13807160,0.03385897,1.07868242
-5.81390695,2.62167404,0.00250888,0.13570436,0.24566327,2.48698646,1.11623690,0.03316917,1.06245600
-5.80790395,2.56375904,0.00241742,0.12880226,0.23752990,2.43350719,1.09176776,0.03237450,1.04261631
-5.80190095,2.49906140,0.00231910,0.12194871,0.22881339,2.37346217,1.06469034,0.03148361,1.01936123
-5.79589795,2.42795684,0.00221452,0.11515139,0.21961284,2.30728139,1.03507858,0.03050578,0.99292051
-5.78989495,2.35090442,0.00210448,0.10842618,0.21002638,2.23546360,1.00305025,0.02945075,0.96354983
-5.78389195,2.26843426,0.00198993,0.10179564,0.20014916,2.15856168,0.96876308,0.02832855,0.93152566
-5.77788894,2.18113659,0.00187194,0.09528753,0.19007174,2.07717039,0.93241112,0.02714929,0.89714076
-5.77188594,2.08965243,0.00175170,0.08893352,0.17987904,1.99191671,0.89422123,0.02592310,0.86070056
-5.76588294,1.99466562,0.00163039,0.08276803,0.16964973,1.90345257,0.85444984,0.02466004,0.82252009
-5.75987994,1.89689596,0.00150923,0.07682732,0.15945606,1.81244986,0.81337970,0.02337001,0.78292156
-5.75387694,1.79709334,0.00138940,0.07114881,0.14936401,1.71959700,0.77131674,0.02206276,0.74223224
-5.74787394,1.69603220,0.00127201,0.06577063,0.13943371,1.62559677,0.72858668,0.02074781,0.70078255
-5.74187094,1.59450629,0.00115812,0.06073138,0.12972002,1.53116459,0.68553168,0.01943448,0.65890424
-5.73586793,1.49332317,0.00104864,0.05607002,0.12027329,1.43702684,0.64250664,0.01813185,0.61692847
-5.72986493,1.39329847,0.00094440,0.05182604,0.11114001,1.34391864,0.59987535,0.01684875,0.57518375
-5.72386193,1.29524966,0.00084609,0.04803957,0.10236356,1.25258079,0.55800645,0.01559370,0.53399366
-5.71785893,1.19998938,0.00075427,0.04475167,0.09398485,1.16375566,0.51726923,0.01437493,0.49367440
-5.71185593,1.10831842,0.00066939,0.04200451,0.08604281,1.07818185,0.47802949,0.01320031,0.45453226
-5.70585293,1.02101844,0.00059180,0.03984160,0.07857491,0.99658782,0.44064532,0.01207733,0.41686100
-5.69984992,0.93884476,0.00052174,0.03830784,0.07161738,0.91968447,0.40546321,0.01101302,0.38093937
-5.69384692,0.86251923,0.00045936,0.03744943,0.06520552,0.84815703,0.37281434,0.01001396,0.34702880
