energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Co_p_up,Co_p_down,Co_d_up,Co_d_down,Se_s_up,Se_s_down,Se_p_up,Se_p_down,Ti_p_up,Ti_p_down,Ti_d_up,Ti_d_down
-6.00000000,4.70573866,-4.69929259,0.05372464,-0.05450237,0.46399168,-0.46305592,1.34502384,-1.34173098,0.38692765,-0.38554189,0.09207631,-0.09181023,2.19717800,-2.19431171,0.65349794,-0.65168655,0.19051977,-0.18997958
-5.99399700,4.76591586,-4.75579823,0.05108745,-0.05172961,0.47483501,-0.47332593,1.36534873,-1.36138465,0.39181870,-0.38975591,0.09400047,-0.09371887,2.22429340,-2.22017452,0.67277285,-0.67033373,0.19448149,-0.19384605
-5.98799400,4.83888065,-4.82528426,0.04898614,-0.04949263,0.48804108,-0.48598215,1.38725268,-1.38268725,0.39943555,-0.39670007,0.09591449,-0.09561675,2.25510141,-2.24981627,0.69413397,-0.69110787,0.19874425,-0.19801425
-5.98199100,4.92293157,-4.90604236,0.04742072,-0.04779291,0.50338694,-0.50080138,1.41019311,-1.40508913,0.40961541,-0.40621382,0.09781214,-0.09749715,2.28889808,-2.28252783,0.71724679,-0.71367850,0.20328430,-0.20245962
-5.97598799,5.01651629,-4.99651190,0.04638577,-0.04662641,0.52065928,-0.51757002,1.43370637,-1.42811939,0.42219223,-0.41813324,0.09969041,-0.09935662,2.32506409,-2.31768417,0.74178179,-0.73772020,0.20808483,-0.20716471
-5.96998499,5.11824589,-5.09529658,0.04587062,-0.04598377,0.53965623,-0.53608626,1.45741174,-1.45139059,0.43699913,-0.43229352,0.10154950,-0.10119495,2.36306943,-2.35474992,0.76741579,-0.76291405,0.21313532,-0.21211863
-5.96398199,5.22689413,-5.20116577,0.04585955,-0.04585053,0.56018763,-0.55616059,1.48100998,-1.47459799,0.45386938,-0.44853035,0.10339259,-0.10301504,2.40247115,-2.39327811,0.79383150,-0.78894731,0.21843040,-0.21731595
-5.95797899,5.34138323,-5.31304219,0.04633186,-0.04620721,0.58207358,-0.57761459,1.50427706,-1.49751378,0.47263636,-0.46668003,0.10522563,-0.10482260,2.44290539,-2.43290280,0.82071591,-0.81551179,0.22396830,-0.22275528
-5.95197599,5.46075850,-5.42997788,0.04726200,-0.04702942,0.60514180,-0.60027840,1.52705374,-1.51997707,0.49313229,-0.48657846,0.10705685,-0.10662580,2.48407441,-2.47332671,0.84775777,-0.84230128,0.22974898,-0.22843735
-5.94597299,5.58415426,-5.55112099,0.04861958,-0.04828794,0.62922377,-0.62398709,1.54923201,-1.54188059,0.51518610,-0.50805917,0.10889629,-0.10843475,2.52573008,-2.51430504,0.87464482,-0.86900865,0.23577205,-0.23436303
-5.93996998,5.71075423,-5.67567661,0.05036938,-0.04994872,0.65415031,-0.64857617,1.57073954,-1.56315516,0.53862054,-0.53095050,0.11075520,-0.11026092,2.56765522,-2.55562683,0.90106126,-0.89532313,0.24203462,-0.24053109
-5.93396698,5.83974934,-5.80286432,0.05247147,-0.05197293,0.67974669,-0.67387672,1.59152317,-1.58375308,0.56324880,-0.55507232,0.11264537,-0.11211651,2.60964419,-2.59709548,0.92668600,-0.92092824,0.24852916,-0.24693614
-5.92796398,5.97029632,-5.93187610,0.05488125,-0.05431708,0.70582783,-0.69971042,1.61153264,-1.60363164,0.58887099,-0.58023243,0.11457844,-0.11401371,2.65148410,-2.63850960,0.95119207,-0.94550091,0.25524164,-0.25356656
-5.92196098,6.10147982,-6.06183719,0.05754966,-0.05693315,0.73219387,-0.72588495,1.63070572,-1.62273772,0.61527072,-0.60622302,0.11656512,-0.11596398,2.69293796,-2.67964564,0.97424758,-0.96871215,0.26214973,-0.26040278
-5.91595798,6.23228086,-6.19177283,0.06042348,-0.05976889,0.75862656,-0.75219008,1.64895553,-1.64099467,0.64221211,-0.63281752,0.11861446,-0.11797728,2.73373084,-2.72024339,0.99551849,-0.99022942,0.26922159,-0.26741585
-5.90995498,6.36155369,-6.32058309,0.06344572,-0.06276816,0.78488674,-0.77839481,1.66616104,-1.65829207,0.66943762,-0.65976807,0.12073310,-0.12006128,2.77353981,-2.75999511,1.01467321,-1.00972098,0.27641487,-0.27456643
-5.90395198,6.48801280,-6.44702758,0.06655625,-0.06587154,0.81071318,-0.80424580,1.68216117,-1.67447918,0.69666682,-0.68680398,0.12292452,-0.12222067,2.81198829,-2.79853904,1.03138897,-1.02686199,0.28367630,-0.28180420
-5.89794897,6.61023111,-6.56972114,0.06969251,-0.06901695,0.83582303,-0.82946746,1.69675294,-1.68936234,0.72359646,-0.71363140,0.12518837,-0.12445639,2.84864514,-2.83545764,1.04535987,-1.04134231,0.29094174,-0.28906782
-5.89194597,6.72664984,-6.68714123,0.07279043,-0.07214060,0.85991404,-0.85376362,1.70969386,-1.70270662,0.74990201,-0.73993440,0.12751986,-0.12676500,2.88302840,-2.87028044,1.05630611,-1.05287571,0.29813670,-0.29628531
