energy_ev,total_up,In_p_up,In_d_up,Se_s_up,Se_p_up,Zn_p_up,Zn_d_up
-6.00000000,1.43111617,0.11717435,0.00462284,0.10565154,0.59937708,0.92835895,0.15025829
-5.99399700,1.34184299,0.10900741,0.00433498,0.09859477,0.56374866,0.87424801,0.14044930
-5.98799400,1.25195133,0.10074862,0.00404171,0.09177563,0.52744435,0.81854003,0.13074807
-5.98199100,1.16219699,0.09250328,0.00374642,0.08519128,0.49082950,0.76190086,0.12120384
-5.97598799,1.07332590,0.08437073,0.00345235,0.07884030,0.45426606,0.70499227,0.11186532
-5.96998499,0.98605799,0.07644205,0.00316256,0.07272323,0.41810456,0.64845490,0.10277994
-5.96398199,0.90107236,0.06879829,0.00287985,0.06684290,0.38267667,0.59289340,0.09399305
-5.95797899,0.81899449,0.06150918,0.00260673,0.06120435,0.34828895,0.53886401,0.08554714
-5.95197599,0.74038588,0.05463244,0.00234537,0.05581460,0.31521778,0.48686512,0.07748108
-5.94597299,0.66573659,0.04821359,0.00209758,0.05068218,0.28370575,0.43733088,0.06982947
-5.93996998,0.59546085,0.04228629,0.00186479,0.04581662,0.25395959,0.39062802,0.06262210
-5.93396698,0.52989588,0.03687312,0.00164809,0.04122775,0.22614961,0.34705574,0.05588363
-5.92796398,0.46930383,0.03198670,0.00144820,0.03692513,0.20041063,0.30684844,0.04963346
-5.92196098,0.41387662,0.02763119,0.00126552,0.03291746,0.17684439,0.27018107,0.04388576
-5.91595798,0.36374347,0.02380396,0.00110017,0.02921209,0.15552300,0.23717658,0.03864982
-5.90995498,0.31898054,0.02049737,0.00095201,0.02581473,0.13649362,0.20791511,0.03393047
-5.90395198,0.27962236,0.01770066,0.00082070,0.02272923,0.11978371,0.18244432,0.02972880
-5.89794897,0.24567431,0.01540180,0.00070574,0.01995752,0.10540689,0.16079052,0.02604293
-5.89194597,0.21712572,0.01358924,0.00060652,0.01749971,0.09336900,0.14296981,0.02286892
-5.88594297,0.19396275,0.01225355,0.00052236,0.01535432,0.08367402,0.12899893,0.02020172
-5.87993997,0.17618068,0.01138876,0.00045255,0.01351860,0.07632974,0.11890529,0.01803614
-5.87393697,0.16379485,0.01099364,0.00039642,0.01198887,0.07135269,0.11273565,0.01636771
-5.86793397,0.15684964,0.01107248,0.00035330,0.01076091,0.06877226,0.11056302,0.01519346
-5.86193097,0.15542516,0.01163574,0.00032264,0.00983039,0.06863365,0.11249154,0.01451260
-5.85592796,0.15964099,0.01270023,0.00030393,0.00919315,0.07099955,0.11865888,0.01432687
-5.84992496,0.16965675,0.01428906,0.00029679,0.00884547,0.07595028,0.12923592,0.01464078
-5.84392196,0.18566911,0.01643112,0.00030095,0.00878421,0.08358234,0.14442364,0.01546150
-5.83791896,0.20790518,0.01916023,0.00031620,0.00900684,0.09400531,0.16444696,0.01679849
-5.83191596,0.23661220,0.02251396,0.00034247,0.00951127,0.10733704,0.18954566,0.01866284
-5.82591296,0.27204362,0.02653201,0.00037972,0.01029564,0.12369721,0.21996243,0.02106633
-5.81990995,0.31444200,0.03125437,0.00042798,0.01135787,0.14319947,0.25592836,0.02402019
-5.81390695,0.36401906,0.03671916,0.00048731,0.01269517,0.16594218,0.29764625,0.02753370
-5.80790395,0.42093355,0.04296020,0.00055772,0.01430341,0.19199835,0.34527216,0.03161255
-5.80190095,0.48526800,0.05000453,0.00063922,0.01617641,0.22140484,0.39889614,0.03625711
-5.79589795,0.55700497,0.05786983,0.00073171,0.01830526,0.25415156,0.45852269,0.04146066
-5.78989495,0.63600441,0.06656189,0.00083498,0.02067759,0.29017100,0.52405207,0.04720772
-5.78389195,0.72198295,0.07607234,0.00094868,0.02327692,0.32932873,0.59526343,0.05347246
-5.77788894,0.81449684,0.08637666,0.00107227,0.02608215,0.37141554,0.67180078,0.06021738
-5.77188594,0.91292953,0.09743265,0.00120502,0.02906715,0.41614165,0.75316295,0.06739240
-5.76588294,1.01648522,0.10917950,0.00134597,0.03220059,0.46313367,0.83869849,0.07493433
-5.75987994,1.12418945,0.12153764,0.00149397,0.03544593,0.51193473,0.92760624,0.08276683
-5.75387694,1.23489754,0.13440937,0.00164762,0.03876175,0.56200815,1.01894248,0.09080103
-5.74787394,1.34731119,0.14768036,0.00180536,0.04210227,0.61274483,1.11163480,0.09893670
-5.74187094,1.46000355,0.16122213,0.00196542,0.04541818,0.66347448,1.20450282,0.10706403
-5.73586793,1.57145226,0.17489545,0.00212594,0.04865765,0.71348042,1.29628560,0.11506605
-5.72986493,1.68007969,0.18855449,0.00228496,0.05176770,0.76201768,1.38567488,0.12282152
-5.72386193,1.78429913,0.20205185,0.00244049,0.05469554,0.80833387,1.47135320,0.13020829
-5.71785893,1.88256520,0.21524399,0.00259060,0.05739022,0.85169191,1.55203560,0.13710698
-5.71185593,1.97342650,0.22799705,0.00273348,0.05980424,0.89139389,1.62651303,0.14340480
-5.70585293,2.05557804,0.24019278,0.00286749,0.06189512,0.92680492,1.69369566,0.14899937
-5.69984992,2.12791116,0.25173412,0.00299126,0.06362694,0.95737593,1.75265416,0.15380240
-5.69384692,2.18955824,0.26255029,0.00310372,0.06497163,0.98266432,1.80265661,0.15774293
-5.68784392,2.23992986,0.27260104,0.00320419,0.06591011,1.00235135,1.84319940,0.16077018
-5.68184092,2.27874238,0.28187968,0.00329239,0.06643305,1.01625546,1.87403013,0.16285558
-5.67583792,2.30603406,0.29041473,0.00336845,0.06654132,1.02434061,1.89516126,0.16399409
-5.66983492,2.32216851,0.29826995,0.00343299,0.06624606,1.02671928,1.90687335,0.16420465
-5.66383192,2.32782500,0.30554263,0.00348699,0.06556839,1.02364977,1.90970754,0.16352968
-5.65782891,2.32397541,0.31236008,0.00353188,0.06453870,1.01552773,1.90444717,0.16203367
-5.65182591,2.31184878,0.31887444,0.00356938,0.06319566,1.00287244,1.89208921,0.15980094
-5.64582291,2.29288468,0.32525583,0.00360151,0.06158483,0.98630824,1.87380662,0.15693259
-5.63981991,2.26867743,0.33168427,0.00363044,0.05975717,0.96654195,1.85090318,0.15354288
-5.63381691,2.24091365,0.33834057,0.00365845,0.05776725,0.94433737,1.82476286,0.14975508
-5.62781391,2.21130598,0.34539657,0.00368780,0.05567146,0.92048802,1.79679607,0.14569708
-5.62181091,2.18152600,0.35300540,0.00372059,0.05352620,0.89578924,1.76838514,0.14149694
-5.61580790,2.15313949,0.36129202,0.00375873,0.05138610,0.87101109,1.74083177,0.13727850
-5.60980490,2.12754707,0.37034471,0.00380381,0.04930242,0.84687307,1.71530860,0.13315736
-5.60380190,2.10593284,0.38020787,0.00385697,0.04732169,0.82402180,1.69281732,0.12923731
-5.59779890,2.08922337,0.39087664,0.00391895,0.04548453,0.80301258,1.67415505,0.12560744
-5.59179590,2.07805871,0.40229372,0.00398992,0.04382480,0.78429543,1.65989035,0.12233986
-5.58579290,2.07277660,0.41434844,0.00406956,0.04236908,0.76820597,1.65034982,0.11948833
-5.57978989,2.07341014,0.42687842,0.00415701,0.04113641,0.75496144,1.64561549,0.11708762
-5.57378689,2.07969873,0.43967377,0.00425091,0.04013835,0.74466153,1.64553284,0.11515371
-5.56778389,2.09111118,0.45248350,0.00434944,0.03937923,0.73729381,1.64972858,0.11368464
-5.56178089,2.10687948,0.46502413,0.00445044,0.03885674,0.73274310,1.65763702,0.11266211
-5.55577789,2.12604116,0.47698995,0.00455143,0.03856260,0.73080402,1.66853320,0.11205347
