energy_ev,total_up,C_s_up,C_p_up,Cu_p_up,Cu_d_up,Ir_p_up,Ir_d_up,Se_s_up,Se_p_up
-6.00000000,5.80970543,0.04768440,0.65713753,0.21549364,0.15688448,1.78874419,2.88695907,0.05480991,1.78802210
-5.99399700,5.75810929,0.04724554,0.62054547,0.20818885,0.15647857,1.74841746,2.88636063,0.05540458,1.80001549
-5.98799400,5.72953719,0.04698311,0.58756662,0.20306538,0.15715027,1.71409082,2.89526798,0.05630658,1.82100519
-5.98199100,5.72371815,0.04687036,0.55828989,0.20011430,0.15885850,1.68585371,2.91371009,0.05747759,1.85072250
-5.97598799,5.73999591,0.04687846,0.53271209,0.19930039,0.16154262,1.66366315,2.94156618,0.05887235,1.88878233
-5.96998499,5.77738587,0.04697765,0.51074865,0.20056510,0.16512426,1.64736126,2.97858754,0.06043995,1.93469624
-5.96398199,5.83463644,0.04713836,0.49224624,0.20382983,0.16950943,1.63669568,3.02442045,0.06212535,1.98788642
-5.95797899,5.91029197,0.04733223,0.47699657,0.20899935,0.17459098,1.63134162,3.07862914,0.06387099,2.04770035
-5.95197599,6.00275469,0.04753309,0.46475073,0.21596538,0.18025133,1.63092417,3.14071769,0.06561851,2.11342571
-5.94597299,6.11034347,0.04771769,0.45523350,0.22460993,0.18636548,1.63503984,3.21015008,0.06731050,2.18430546
-5.93996998,6.23134734,0.04786635,0.44815695,0.23480851,0.19280416,1.64327630,3.28636786,0.06889218,2.25955280
-5.93396698,6.36407263,0.04796338,0.44323291,0.24643299,0.19943712,1.65522928,3.36880486,0.07031303,2.33836591
-5.92796398,6.50688241,0.04799722,0.44018382,0.25935396,0.20613642,1.67051619,3.45689898,0.07152828,2.41994226
-5.92196098,6.65822778,0.04796052,0.43875175,0.27344274,0.21277973,1.68878584,3.55010089,0.07250015,2.50349242
-5.91595798,6.81667086,0.04784982,0.43870524,0.28857271,0.21925335,1.70972422,3.64787998,0.07319895,2.58825323
-5.90995498,6.98089958,0.04766521,0.43984399,0.30462028,0.22545507,1.73305630,3.74972765,0.07360380,2.67349994
-5.90395198,7.14973479,0.04740975,0.44200137,0.32146522,0.23129655,1.75854416,3.85515865,0.07370309,2.75855733
-5.89794897,7.32213049,0.04708876,0.44504482,0.33899060,0.23670532,1.78598191,3.96371054,0.07349467,2.84280947
-5.89194597,7.49716811,0.04670905,0.44887446,0.35708226,0.24162608,1.81518799,4.07494207,0.07298560,2.92570775
-5.88594297,7.67404588,0.04627816,0.45342003,0.37562804,0.24602146,1.84599566,4.18843082,0.07219174,3.00677715
-5.87993997,7.85206456,0.04580356,0.45863666,0.39451672,0.24987205,1.87824240,4.30377036,0.07113688,3.08562025
-5.87393697,8.03061070,0.04529193,0.46449967,0.41363685,0.25317574,1.91175909,4.42056759,0.06985180,3.16191902
-5.86793397,8.20913838,0.04474856,0.47099891,0.43287556,0.25594635,1.94635969,4.53844019,0.06837295,3.23543407
-5.86193097,8.38715065,0.04417691,0.47813297,0.45211755,0.25821173,1.98183223,4.65701450,0.06674109,3.30600133
-5.85592796,8.56418139,0.04357827,0.48590358,0.47124415,0.26001123,2.01793154,4.77592385,0.06499974,3.37352626
-5.84992496,8.73977826,0.04295171,0.49431054,0.49013272,0.26139281,2.05437431,4.89480713,0.06319370,3.43797544
