energy_ev,total_up,C_s_up,C_p_up,Cr_p_up,Cr_d_up,Os_p_up,Os_d_up,Se_s_up,Se_p_up
-6.00000000,8.11761635,0.03845164,1.91363032,2.29435027,0.89591855,1.41713043,3.16712680,0.05617675,2.19997371
-5.99399700,8.13777387,0.03794787,1.92688046,2.32381399,0.89731078,1.41062552,3.18975174,0.05567986,2.20102713
-5.98799400,8.13625362,0.03737116,1.93280129,2.35157080,0.89773682,1.39967858,3.20209894,0.05509835,2.19809369
-5.98199100,8.11327856,0.03673118,1.93115702,2.37720291,0.89730847,1.38437626,3.20413953,0.05444105,2.19124514
-5.97598799,8.06933707,0.03603805,1.92183618,2.40023655,0.89612854,1.36487935,3.19601641,0.05371709,2.18056450
-5.96998499,8.00517631,0.03530198,1.90485728,2.42015233,0.89428861,1.34142012,3.17804290,0.05293571,2.16614509
-5.96398199,7.92179188,0.03453310,1.88037106,2.43639959,0.89186772,1.31429818,3.15069701,0.05210615,2.14809103
-5.95797899,7.82041346,0.03374122,1.84865895,2.44841415,0.88893182,1.28387512,3.11461127,0.05123753,2.12651932
-5.95197599,7.70248660,0.03293562,1.81012787,2.45563870,0.88553404,1.25056800,3.07055849,0.05033876,2.10156306
-5.94597299,7.56965066,0.03212491,1.76530142,2.45754478,0.88171557,1.21484170,3.01943371,0.04941850,2.07337567
-5.93996998,7.42371333,0.03131691,1.71480771,2.45365558,0.87750713,1.17720054,2.96223299,0.04848510,2.04213555
-5.93396698,7.26662226,0.03051861,1.65936435,2.44356816,0.87293087,1.13817909,2.90002978,0.04754658,2.00805095
-5.92796398,7.10043444,0.02973611,1.59976111,2.42697439,0.86800264,1.09833276,2.83394971,0.04661064,1.97136461
-5.92196098,6.92728413,0.02897471,1.53684098,2.40367938,0.86273433,1.05822813,2.76514464,0.04568460,1.93235775
-5.91595798,6.74935022,0.02823891,1.47148030,2.37361659,0.85713632,1.01843345,2.69476707,0.04477546,1.89135315
-5.90995498,6.56882376,0.02753258,1.40456883,2.33685883,0.85121988,0.97950951,2.62394559,0.04388984,1.84871683
-5.90395198,6.38787666,0.02685903,1.33699035,2.29362468,0.84499930,0.94200115,2.55376238,0.04303406,1.80485831
-5.89794897,6.20863190,0.02622122,1.26960453,2.24427972,0.83849368,0.90642952,2.48523324,0.04221405,1.76022886
-5.89194597,6.03313601,0.02562185,1.20323063,2.18933265,0.83172838,0.87328534,2.41929080,0.04143540,1.71531801
-5.88594297,5.86333406,0.02506354,1.13863342,2.12942611,0.82473586,0.84302307,2.35677115,0.04070332,1.67064782
-5.87993997,5.70104726,0.02454894,1.07651164,2.06532257,0.81755606,0.81605620,2.29840411,0.04002261,1.62676522
-5.87393697,5.54795318,0.02408085,1.01748905,1.99788576,0.81023603,0.79275346,2.24480697,0.03939761,1.58423239
-5.86793397,5.40556865,0.02366224,0.96210818,1.92805823,0.80282915,0.77343594,2.19648175,0.03883212,1.54361528
-5.86193097,5.27523489,0.02329633,0.91082657,1.85683588,0.79539360,0.75837501,2.15381542,0.03832935,1.50547081
-5.85592796,5.15810501,0.02298650,0.86401529,1.78524047,0.78799041,0.74779078,2.11708290,0.03789180,1.47033289
-5.84992496,5.05513363,0.02273628,0.82195946,1.71429098,0.78068115,0.74185118,2.08645231,0.03752117,1.43869792
-5.84392196,4.96706866,0.02254922,0.78486037,1.64497517,0.77352526,0.74067130,2.06199219,0.03721826,1.41101030
-5.83791896,4.89444537,0.02242874,0.75283903,1.57822216,0.76657740,0.74431309,2.04368005,0.03698288,1.38764850
-5.83191596,4.83758316,0.02237796,0.72594064,1.51487724,0.75988479,0.75278524,2.03141220,0.03681371,1.36891248
-5.82591296,4.79658521,0.02239952,0.70413990,1.45567989,0.75348486,0.76604339,2.02501432,0.03670833,1.35501298
-5.81990995,4.77134168,0.02249538,0.68734678,1.40124568,0.74740338,0.78399063,2.02425267,0.03666311,1.34606336
-5.81390695,4.76153683,0.02266663,0.67541273,1.35205289,0.74165317,0.80647839,2.02884570,0.03667329,1.34207449
-5.80790395,4.76666055,0.02291334,0.66813719,1.30843411,0.73623359,0.83330802,2.03847594,0.03673301,1.34295312
-5.80190095,4.78602459,0.02323442,0.66527434,1.27057328,0.73113083,0.86423295,2.05280198,0.03683541,1.34850391
-5.79589795,4.81878353,0.02362752,0.66654004,1.23850798,0.72631914,0.89896189,2.07147033,0.03697288,1.35843528
-5.78989495,4.86396036,0.02408897,0.67161900,1.21213684,0.72176290,0.93716289,2.09412713,0.03713721,1.37236897
-5.78389195,4.92047614,0.02461386,0.68017217,1.19123158,0.71741940,0.97846861,2.12042924,0.03731990,1.38985288
-5.77788894,4.98718289,0.02519599,0.69184413,1.17545315,0.71324245,1.02248256,2.15005463,0.03751244,1.41037686
-5.77188594,5.06289858,0.02582808,0.70627064,1.16437104,0.70918623,1.06878642,2.18271153,0.03770669,1.43339064
-5.76588294,5.14644272,0.02650190,0.72308602,1.15748490,0.70520957,1.11694817,2.21814612,0.03789514,1.45832319
-5.75987994,5.23667099,0.02720842,0.74193020,1.15424747,0.70128012,1.16653079,2.25614820,0.03807132,1.48460254
-5.75387694,5.33250710,0.02793813,0.76245539,1.15408783,0.69737826,1.21710123,2.29655470,0.03823001,1.51167522
-5.74787394,5.43297017,0.02868120,0.78433179,1.15643389,0.69350047,1.26823926,2.33925035,0.03836753,1.53902430
-5.74187094,5.53719603,0.02942779,0.80725252,1.16073325,0.68966196,1.31954572,2.38416563,0.03848192,1.56618525
-5.73586793,5.64445115,0.03016824,0.83093716,1.16647158,0.68589830,1.37064984,2.43127159,0.03857303,1.59275875
-5.72986493,5.75413817,0.03089337,0.85513398,1.17318793,0.68226590,1.42121512,2.48057180,0.03864254,1.61842014
-5.72386193,5.86579267,0.03159457,0.87962059,1.18048636,0.67884133,1.47094358,2.53209141,0.03869393,1.64292477
-5.71785893,5.97907113,0.03226407,0.90420307,1.18804379,0.67571943,1.51957806,2.58586390,0.03873227,1.66610942
-5.71185593,6.09373089,0.03289497,0.92871365,1.19561378,0.67301018,1.56690247,2.64191596,0.03876404,1.68788973
-5.70585293,6.20960314,0.03348136,0.95300701,1.20302661,0.67083463,1.61274005,2.70025131,0.03879679,1.70825392
-5.69984992,6.32656074,0.03401834,0.97695558,1.21018577,0.66931986,1.65694983,2.76083423,0.03883880,1.72725336
-5.69384692,6.44448305,0.03450200,1.00044414,1.21706146,0.66859347,1.69942153,2.82357384,0.03889864,1.74499075
