energy_ev,total_up,Ge_p_up,Ge_d_up,Se_s_up,Se_p_up,W_p_up,W_d_up
-6.00000000,3.22545614,0.74068414,0.00000000,0.00921580,1.09506243,1.88469508,1.20503610
-5.99399700,3.30000516,0.76370198,0.00000000,0.00934047,1.11016528,1.95272317,1.23650488
-5.98799400,3.38090873,0.78939573,0.00000000,0.00948353,1.12660816,2.02862502,1.27033063
-5.98199100,3.46763376,0.81763450,0.00000000,0.00964096,1.14416972,2.11198535,1.30637513
-5.97598799,3.55961531,0.84826039,0.00000000,0.00980910,1.16263115,2.20227858,1.34448603
-5.96998499,3.65623558,0.88108326,0.00000000,0.00998467,1.18177305,2.29885446,1.38448688
-5.96398199,3.75679878,0.91587529,0.00000000,0.01016476,1.20137044,2.40092360,1.42616605
-5.95797899,3.86050469,0.95236600,0.00000000,0.01034675,1.22118671,2.50754442,1.46926541
-5.95197599,3.96642327,0.99023810,0.00000000,0.01052826,1.24096721,2.61761316,1.51347003
-5.94597299,4.07347354,1.02912488,0.00000000,0.01070705,1.26043326,2.72985863,1.55839982
-5.93996998,4.18040915,1.06860970,0.00000000,0.01088091,1.27927760,2.84284328,1.60360414
-5.93396698,4.28581331,1.10822789,0.00000000,0.01104756,1.29716180,2.95497188,1.64856043
-5.92796398,4.38810475,1.14747144,0.00000000,0.01120460,1.31371638,3.06450869,1.69267725
-5.92196098,4.48555597,1.18579668,0.00000000,0.01134939,1.32854398,3.16960379,1.73530231
-5.91595798,4.57632421,1.22263482,0.00000000,0.01147903,1.34122582,3.26832825,1.77573546
-5.90995498,4.65849449,1.25740521,0.00000000,0.01159037,1.35133127,3.35871773,1.81324637
-5.90395198,4.73013344,1.28953082,0.00000000,0.01168002,1.35843031,3.43882309,1.84709630
-5.89794897,4.78935156,1.31845548,0.00000000,0.01174438,1.36210832,3.50676630,1.87656301
-5.89194597,4.83437115,1.34366193,0.00000000,0.01177981,1.36198233,3.56079941,1.90096762
-5.88594297,4.86359637,1.36469009,0.00000000,0.01178268,1.35771792,3.59936389,1.91970208
-5.87993997,4.87568162,1.38115439,0.00000000,0.01174953,1.34904580,3.62114761,1.93225573
-5.87393697,4.86959464,1.39275948,0.00000000,0.01167726,1.33577695,3.62513671,1.93823963
-5.86793397,4.84467056,1.39931335,0.00000000,0.01156325,1.31781544,3.61065947,1.93740698
-5.86193097,4.80065381,1.40073720,0.00000000,0.01140551,1.29516810,3.57742007,1.92966889
-5.85592796,4.73772546,1.39707153,0.00000000,0.01120287,1.26795032,3.52552033,1.91510412
-5.84992496,4.65651420,1.38847804,0.00000000,0.01095502,1.23638760,3.45546805,1.89396259
-5.84392196,4.55809030,1.37523734,0.00000000,0.01066266,1.20081262,3.36817161,1.86666225
-5.83791896,4.44394280,1.35774248,0.00000000,0.01032747,1.16165796,3.26492075,1.83377945
-5.83191596,4.31594090,1.33648878,0.00000000,0.00995219,1.11944474,3.14735468,1.79603346
-5.82591296,4.17628183,1.31206032,0.00000000,0.00954051,1.07476774,3.01741871,1.75426585
-5.81990995,4.02742765,1.28511410,0.00000000,0.00909703,1.02827776,2.87731183,1.70941597
-5.81390695,3.87203434,1.25636235,0.00000000,0.00862717,0.98066208,2.72942730,1.66249362
-5.80790395,3.71287660,1.22655414,0.00000000,0.00813695,0.93262396,2.57628940,1.61455044
-5.80190095,3.55277186,1.19645701,0.00000000,0.00763292,0.88486211,2.42048863,1.56665136
-5.79589795,3.39450699,1.16683938,0.00000000,0.00712189,0.83805117,2.26461842,1.51984729
-5.78989495,3.24077055,1.13845463,0.00000000,0.00661084,0.79282381,2.11121554,1.47515024
-5.78389195,3.09409311,1.11202703,0.00000000,0.00610666,0.74975533,1.96270618,1.43351179
-5.77788894,2.95679741,1.08824018,0.00000000,0.00561602,0.70935116,1.82135937,1.39580542
-5.77188594,2.83095952,1.06772788,0.00000000,0.00514521,0.67203761,1.68924862,1.36281305
-5.76588294,2.71838113,1.05106743,0.00000000,0.00470001,0.63815603,1.56822218,1.33521594
-5.75987994,2.62057294,1.03877515,0.00000000,0.00428557,0.60796026,1.45988187,1.31358941
-5.75387694,2.53874793,1.03130373,0.00000000,0.00390635,0.58161726,1.36557001,1.29840130
-5.74787394,2.47382329,1.02904091,0.00000000,0.00356606,0.55921048,1.28636336,1.29001320
-5.74187094,2.42642925,1.03230897,0.00000000,0.00326759,0.54074556,1.22307308,1.28868381
-5.73586793,2.39692287,1.04136457,0.00000000,0.00301307,0.52615788,1.17624947,1.29457372
-5.72986493,2.38540509,1.05639839,0.00000000,0.00280384,0.51532142,1.14619008,1.30775070
-5.72386193,2.39173916,1.07753428,0.00000000,0.00264048,0.50805833,1.13295031,1.32819497
-5.71785893,2.41556925,1.10482765,0.00000000,0.00252286,0.50414886,1.13635537,1.35580383
-5.71185593,2.45633802,1.13826310,0.00000000,0.00245021,0.50334119,1.15601313,1.39039544
-5.70585293,2.51330284,1.17775144,0.00000000,0.00242113,0.50536072,1.19132759,1.43171155
-5.69984992,2.58555028,1.22312627,0.00000000,0.00243371,0.50991876,1.24151283,1.47941936
-5.69384692,2.67200946,1.27414077,0.00000000,0.00248556,0.51672040,1.30560785,1.53311280
-5.68784392,2.77146476,1.33046516,0.00000000,0.00257392,0.52547136,1.38249283,1.59231369
-5.68184092,2.88256897,1.39168550,0.00000000,0.00269568,0.53588411,1.47090730,1.65647350
-5.67583792,3.00385791,1.45730456,0.00000000,0.00284752,0.54768302,1.56947100,1.72497620
-5.66983492,3.13376762,1.52674527,0.00000000,0.00302595,0.56060883,1.67670794,1.79714306
