energy_ev,total_up,C_s_up,C_p_up,Nb_p_up,Nb_d_up,S_s_up,S_p_up
-6.00000000,3.35596157,0.00601861,1.24424962,1.49006532,1.64764961,0.01717138,0.26263584
-5.99399700,3.36543894,0.00588955,1.26243383,1.50478824,1.67126346,0.01676221,0.25596197
-5.98799400,3.37052133,0.00573450,1.27895825,1.51762432,1.69349639,0.01628776,0.24882304
-5.98199100,3.36998986,0.00555437,1.29318314,1.52790153,1.71341653,0.01575033,0.24123960
-5.97598799,3.36265157,0.00535067,1.30447312,1.53494786,1.73008056,0.01515365,0.23323899
-5.96998499,3.34738667,0.00512545,1.31221954,1.53811654,1.74256751,0.01450291,0.22485568
-5.96398199,3.32319339,0.00488130,1.31586228,1.53681078,1.75001207,0.01380459,0.21613125
-5.95797899,3.28922890,0.00462119,1.31491025,1.53050693,1.75163625,0.01306633,0.20711404
-5.95197599,3.24484480,0.00434845,1.30895978,1.51877543,1.74677817,0.01229669,0.19785843
-5.94597299,3.18961616,0.00406662,1.29771020,1.50129859,1.73491686,0.01150495,0.18842406
-5.93996998,3.12336315,0.00377939,1.28097612,1.47788458,1.71569225,0.01070079,0.17887478
-5.93396698,3.04616465,0.00349043,1.25869594,1.44847726,1.68891957,0.00989407,0.16927758
-5.92796398,2.95836358,0.00320335,1.23093631,1.41316138,1.65459773,0.00909456,0.15970146
-5.92196098,2.86056391,0.00292159,1.19789236,1.37216307,1.61291143,0.00831168,0.15021643
-5.91595798,2.75361964,0.00264834,1.15988391,1.32584576,1.56422712,0.00755434,0.14089248
-5.90995498,2.63861624,0.00238646,1.11734762,1.27470160,1.50908295,0.00683078,0.13179879
-5.90395198,2.51684548,0.00213848,1.07082570,1.21933898,1.44817337,0.00614843,0.12300289
-5.89794897,2.38977459,0.00190654,1.02095149,1.16046654,1.38232908,0.00551389,0.11457014
-5.89194597,2.25901087,0.00169240,0.96843258,1.09887457,1.31249326,0.00493293,0.10656309
-5.88594297,2.12626322,0.00149744,0.91403221,1.03541433,1.23969499,0.00441048,0.09904106
-5.87993997,1.99330174,0.00132268,0.85854953,0.97097629,1.16502115,0.00395079,0.09205967
-5.87393697,1.86191687,0.00116884,0.80279965,0.90646801,1.08958770,0.00355744,0.08567041
-5.86793397,1.73387935,0.00103633,0.74759397,0.84279247,1.01451151,0.00323358,0.07992015
-5.86193097,1.61090198,0.00092534,0.69372160,0.78082752,0.94088368,0.00298199,0.07485058
-5.85592796,1.49460443,0.00083586,0.64193233,0.72140709,0.86974508,0.00280527,0.07049767
-5.84992496,1.38648166,0.00076775,0.59292158,0.66530455,0.80206486,0.00270598,0.06689090
-5.84392196,1.28787664,0.00072074,0.54731771,0.61321861,0.73872233,0.00268673,0.06405260
-5.83791896,1.19995777,0.00069448,0.50567176,0.56576187,0.68049244,0.00275031,0.06199704
-5.83191596,1.12370103,0.00068859,0.46844986,0.52345218,0.62803503,0.00289973,0.06072971
-5.82591296,1.05987693,0.00070262,0.43602801,0.48670653,0.58188758,0.00313825,0.06024646
-5.81990995,1.00904204,0.00073611,0.40868934,0.45583757,0.54246148,0.00346936,0.06053276
-5.81390695,0.97153485,0.00078853,0.38662343,0.43105221,0.51004120,0.00389672,0.06156316
-5.80790395,0.94747554,0.00085931,0.36992757,0.41245232,0.48478614,0.00442404,0.06330077
-5.80190095,0.93676933,0.00094779,0.35860958,0.40003703,0.46673467,0.00505497,0.06569712
-5.79589795,0.93911302,0.00105319,0.35259193,0.39370642,0.45580988,0.00579288,0.06869223
-5.78989495,0.95400435,0.00117462,0.35171693,0.39326644,0.45182670,0.00664064,0.07221499
-5.78389195,0.98075391,0.00131101,0.35575268,0.39843470,0.45449994,0.00760042,0.07618395
-5.77788894,1.01849935,0.00146109,0.36439968,0.40884718,0.46345318,0.00867339,0.08050837
-5.77188594,1.06622166,0.00162338,0.37729783,0.42406563,0.47822796,0.00985947,0.08508978
-5.76588294,1.12276342,0.00179617,0.39403385,0.44358574,0.49829353,0.01115710,0.08982369
-5.75987994,1.18684889,0.00197749,0.41414892,0.46684596,0.52305674,0.01256295,0.09460177
-5.75387694,1.25710568,0.00216516,0.43714658,0.49323705,0.55187232,0.01407170,0.09931417
-5.74787394,1.33208803,0.00235677,0.46250089,0.52211240,0.58405327,0.01567592,0.10385204
-5.74187094,1.41030121,0.00254971,0.48966468,0.55279897,0.61888169,0.01736587,0.10811010
-5.73586793,1.49022704,0.00274124,0.51807807,0.58460889,0.65561977,0.01912950,0.11198924
-5.72986493,1.57034994,0.00292849,0.54717702,0.61685162,0.69352107,0.02095239,0.11539898
-5.72386193,1.64918319,0.00310857,0.57640203,0.64884643,0.73184201,0.02281786,0.11825970
-5.71785893,1.72529491,0.00327861,0.60520674,0.67993501,0.76985345,0.02470712,0.12050461
-5.71185593,1.79733313,0.00343585,0.63306645,0.70949390,0.80685222,0.02659951,0.12208129
-5.70585293,1.86404942,0.00357769,0.65948632,0.73694652,0.84217243,0.02847283,0.12295280
-5.69984992,1.92432050,0.00370177,0.68400917,0.76177429,0.87519627,0.03030374,0.12309832
-5.69384692,1.97716732,0.00380605,0.70622269,0.78352659,0.90536418,0.03206823,0.12251325
-5.68784392,2.02177092,0.00388887,0.72576590,0.80182922,0.93218397,0.03374213,0.12120881
-5.68184092,2.05748489,0.00394898,0.74233462,0.81639099,0.95523872,0.03530170,0.11921120
-5.67583792,2.08384384,0.00398559,0.75568592,0.82700822,0.97419324,0.03672424,0.11656027
-5.66983492,2.10056785,0.00399838,0.76564135,0.83356702,0.98879873,0.03798865,0.11330789
-5.66383192,2.10756265,0.00398752,0.77208878,0.83604308,0.99889564,0.03907603,0.10951599
-5.65782891,2.10491560,0.00395368,0.77498294,0.83449922,1.00441448,0.03997023,0.10525445
-5.65182591,2.09288769,0.00389795,0.77434442,0.82908053,1.00537452,0.04065831,0.10059888
-5.64582291,2.07190164,0.00382188,0.77025733,0.82000744,1.00188051,0.04113094,0.09562843
-5.63981991,2.04252674,0.00372737,0.76286555,0.80756700,0.99411736,0.04138272,0.09042365
-5.63381691,2.00546074,0.00361664,0.75236766,0.79210255,0.98234299,0.04141228,0.08506459
-5.62781391,1.96150947,0.00349218,0.73901089,0.77400241,0.96687964,0.04122242,0.07962909
-5.62181091,1.91156487,0.00335667,0.72308398,0.75368785,0.94810380,0.04081997,0.07419138
-5.61580790,1.85658217,0.00321289,0.70490948,0.73160098,0.92643528,0.04021561,0.06882103
-5.60980490,1.79755698,0.00306374,0.68483550,0.70819290,0.90232570,0.03942354,0.06358222
-5.60380190,1.73550316,0.00291207,0.66322752,0.68391268,0.87624685,0.03846105,0.05853341
-5.59779890,1.67143212,0.00276074,0.64046017,0.65919759,0.84867946,0.03734804,0.05372727
-5.59179590,1.60633452,0.00261250,0.61690964,0.63446489,0.82010271,0.03610641,0.04921103
-5.58579290,1.54116474,0.00247001,0.59294689,0.61010557,0.79098494,0.03475948,0.04502703
-5.57978989,1.47682894,0.00233581,0.56893179,0.58648020,0.76177591,0.03333138,0.04121357
-5.57378689,1.41417692,0.00221231,0.54520862,0.56391703,0.73290094,0.03184647,0.03780589
-5.56778389,1.35399810,0.00210178,0.52210298,0.54271231,0.70475700,0.03032879,0.03483739
-5.56178089,1.29702156,0.00200642,0.49992014,0.52313276,0.67771094,0.02880161,0.03234083
-5.55577789,1.24392000,0.00192831,0.47894484,0.50541990,0.65209979,0.02728704,0.03034964
-5.54977489,1.19531707,0.00186947,0.45944257,0.48979594,0.62823285,0.02580575,0.02889916
-5.54377189,1.15179760,0.00183190,0.44166188,0.47647083,0.60639549,0.02437678,0.02802782
-5.53776888,1.11391968,0.00181756,0.42583770,0.46564984,0.58685402,0.02301749,0.02777821
-5.53176588,1.08222763,0.00182841,0.41219511,0.45754120,0.56986129,0.02174356,0.02819788
-5.52576288,1.05726488,0.00186645,0.40095337,0.45236315,0.55566242,0.02056904,0.02933999
-5.51975988,1.03958528,0.00193364,0.39232950,0.45034976,0.54450005,0.01950657,0.03126363
-5.51375688,1.02976200,0.00203196,0.38654130,0.45175503,0.53661853,0.01856752,0.03403379
-5.50775388,1.02839261,0.00216331,0.38380915,0.45685468,0.53226654,0.01776218,0.03772100
