energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Mn_p_up,Mn_p_down,Mn_d_up,Mn_d_down,Na_s_up,Na_s_down,Te_p_up,Te_p_down,Te_d_up,Te_d_down
-6.00000000,0.80181990,-0.30739651,0.00063408,-0.00002333,0.28590907,-0.12347850,0.22835328,-0.04341610,0.57255720,-0.23757587,0.01450927,-0.00079039,0.10342503,-0.02726723,0.00000000,-0.00000000
-5.99399700,0.86341583,-0.31267429,0.00076298,-0.00002179,0.30426839,-0.12608063,0.24891821,-0.04405889,0.61053502,-0.24219237,0.01746012,-0.00068158,0.11708442,-0.02704658,0.00000000,-0.00000000
-5.98799400,0.92502861,-0.31622756,0.00091165,-0.00002196,0.32171548,-0.12785658,0.27022187,-0.04452997,0.64700363,-0.24530149,0.02086308,-0.00061957,0.13219018,-0.02687042,0.00000000,-0.00000000
-5.98199100,0.98615658,-0.31794461,0.00108172,-0.00002397,0.33796958,-0.12877275,0.29221010,-0.04481780,0.68142927,-0.24682559,0.02475408,-0.00060383,0.14883705,-0.02671371,0.00000000,-0.00000000
-5.97598799,1.04633701,-0.31777730,0.00127463,-0.00002805,0.35276980,-0.12881718,0.31483528,-0.04492329,0.71331466,-0.24673019,0.02916490,-0.00063608,0.16711471,-0.02656305,0.00000000,-0.00000000
-5.96998499,1.10516010,-0.31574401,0.00149162,-0.00003457,0.36588345,-0.12800060,0.33805778,-0.04486087,0.74221431,-0.24502580,0.03412155,-0.00072050,0.18710416,-0.02641718,0.00000000,-0.00000000
-5.96398199,1.16228073,-0.31193121,0.00173364,-0.00004403,0.37711372,-0.12635693,0.36184665,-0.04465927,0.76774854,-0.24176860,0.03964258,-0.00086398,0.20887374,-0.02628743,0.00000000,-0.00000000
-5.95797899,1.21742731,-0.30649358,0.00200128,-0.00005707,0.38630627,-0.12394305,0.38617953,-0.04436231,0.78961538,-0.23705986,0.04573748,-0.00107650,0.23247474,-0.02619814,0.00000000,-0.00000000
-5.95197599,1.27040721,-0.29965275,0.00229476,-0.00007456,0.39335445,-0.12083803,0.41104168,-0.04402952,0.80759980,-0.23104417,0.05240503,-0.00137144,0.25793698,-0.02618714,0.00000000,-0.00000000
-5.94597299,1.32110843,-0.29169494,0.00261385,-0.00009753,0.39820283,-0.11714184,0.43642416,-0.04373674,0.82157978,-0.22390676,0.05963203,-0.00176599,0.28526431,-0.02630609,0.00000000,-0.00000000
-5.93996998,1.36949731,-0.28296758,0.00295787,-0.00012728,0.40084882,-0.11297354,0.46232125,-0.04357658,0.83152894,-0.21586980,0.06739214,-0.00228155,0.31443053,-0.02662094,0.00000000,-0.00000000
-5.93396698,1.41561244,-0.27387510,0.00332564,-0.00016537,0.40134240,-0.10846917,0.48872728,-0.04365880,0.83751546,-0.20718820,0.07564526,-0.00294416,0.34537570,-0.02721232,0.00000000,-0.00000000
-5.92796398,1.45955515,-0.26487422,0.00371555,-0.00021363,0.39978375,-0.10377935,0.51563298,-0.04411063,0.83969743,-0.19814479,0.08433720,-0.00378487,0.37800336,-0.02817588,0.00000000,-0.00000000
-5.92196098,1.50147710,-0.25646867,0.00412554,-0.00027423,0.39631907,-0.09906677,0.54302172,-0.04507692,0.83831490,-0.18904534,0.09340000,-0.00484012,0.41217871,-0.02962260,0.00000000,-0.00000000
-5.91595798,1.54156574,-0.24920373,0.00455321,-0.00034967,0.39113468,-0.09450358,0.57086583,-0.04672011,0.83367891,-0.18021340,0.10275268,-0.00615195,0.44772806,-0.03167887,0.00000000,-0.00000000
-5.90995498,1.58002850,-0.24366045,0.00499586,-0.00044278,0.38444972,-0.09026881,0.59912330,-0.04921999,0.82615821,-0.17198518,0.11230272,-0.00776818,0.48443969,-0.03448644,0.00000000,-0.00000000
-5.90395198,1.61707670,-0.24044960,0.00545060,-0.00055674,0.37650777,-0.08654579,0.62773512,-0.05277301,0.81616425,-0.16470461,0.12194795,-0.00974233,0.52206623,-0.03820208,0.00000000,-0.00000000
-5.89794897,1.65291006,-0.24020528,0.00591452,-0.00069506,0.36756777,-0.08351976,0.65662346,-0.05759130,0.80413520,-0.15871849,0.13157902,-0.01213337,0.56032855,-0.04299674,0.00000000,-0.00000000
-5.89194597,1.68770275,-0.24357800,0.00638474,-0.00086158,0.35789477,-0.08137539,0.68569098,-0.06390102,0.79051986,-0.15437184,0.14108236,-0.01500517,0.59892116,-0.04905433,0.00000000,-0.00000000
-5.88594297,1.72159172,-0.25122705,0.00685861,-0.00106036,0.34775077,-0.08029445,0.71482123,-0.07194001,0.77576204,-0.15200329,0.15034332,-0.01842567,0.63751893,-0.05656982,0.00000000,-0.00000000
