energy_ev,total_up,C_s_up,C_p_up,Ir_p_up,Ir_d_up,Mn_p_up,Mn_d_up,Te_p_up,Te_d_up
-6.00000000,6.44809595,0.03633855,0.83133992,2.72235243,2.25462168,1.29757885,0.49219963,2.59180054,0.00000000
-5.99399700,6.31987069,0.03573166,0.79785341,2.63646705,2.20671055,1.26684479,0.49843633,2.56503212,0.00000000
-5.98799400,6.18632854,0.03518098,0.76293609,2.54864644,2.15572446,1.23453790,0.50506682,2.53765503,0.00000000
-5.98199100,6.04884913,0.03468305,0.72705462,2.45985299,2.10225567,1.20074184,0.51208353,2.50978779,0.00000000
-5.97598799,5.90894135,0.03423318,0.69069987,2.37104743,2.04699022,1.16558679,0.51946915,2.48157238,0.00000000
-5.96998499,5.76820756,0.03382578,0.65437537,2.28316917,1.99069053,1.12924938,0.52719463,2.45316988,0.00000000
-5.96398199,5.62830468,0.03345450,0.61858547,2.19711757,1.93417559,1.09195105,0.53521734,2.42475504,0.00000000
-5.95797899,5.49090370,0.03311252,0.58382382,2.11373477,1.87829976,1.05395468,0.54347975,2.39651014,0.00000000
-5.95197599,5.35764897,0.03279266,0.55056252,2.03379050,1.82393058,1.01555975,0.55190859,2.36861829,0.00000000
-5.94597299,5.23011869,0.03248760,0.51924212,1.95796928,1.77192665,0.97709605,0.56041473,2.34125682,0.00000000
-5.93996998,5.10978826,0.03218996,0.49026298,1.88686037,1.72311608,0.93891638,0.56889393,2.31459085,0.00000000
-5.93396698,4.99799753,0.03189245,0.46397794,1.82095064,1.67827639,0.90138831,0.57722834,2.28876781,0.00000000
-5.92796398,4.89592344,0.03158793,0.44068663,1.76062055,1.63811641,0.86488557,0.58528901,2.26391305,0.00000000
-5.92196098,4.80455866,0.03126950,0.42063141,1.70614308,1.60326058,0.82977931,0.59293919,2.24012699,0.00000000
-5.91595798,4.72469701,0.03093058,0.40399496,1.65768569,1.57423637,0.79642969,0.60003846,2.21748397,0.00000000
-5.90995498,4.65692594,0.03056502,0.39089948,1.61531499,1.55146464,0.76517804,0.60644742,2.19603296,0.00000000
-5.90395198,4.60162585,0.03016715,0.38140742,1.57900386,1.53525358,0.73633994,0.61203294,2.17580001,0.00000000
-5.89794897,4.55897614,0.02973189,0.37552356,1.54864063,1.52579578,0.71019947,0.61667346,2.15679231,0.00000000
-5.89194597,4.52896705,0.02925485,0.37319841,1.52403993,1.52316872,0.68700464,0.62026439,2.13900349,0.00000000
-5.88594297,4.51141659,0.02873241,0.37433261,1.50495469,1.52733820,0.66696426,0.62272304,2.12241992,0.00000000
-5.87993997,4.50599144,0.02816183,0.37878224,1.49108883,1.53816453,0.65024603,0.62399304,2.10702728,0.00000000
-5.87393697,4.51223055,0.02754134,0.38636472,1.48211025,1.55541122,0.63697584,0.62404792,2.09281716,0.00000000
-5.86793397,4.52957043,0.02687021,0.39686535,1.47766338,1.57875553,0.62723826,0.62289365,2.07979305,0.00000000
-5.86193097,4.55737072,0.02614876,0.41004394,1.47738131,1.60780065,0.62107769,0.62056998,2.06797536,0.00000000
-5.85592796,4.59493909,0.02537844,0.42564162,1.48089668,1.64208891,0.61850036,0.61715058,2.05740506,0.00000000
-5.84992496,4.64155447,0.02456178,0.44338751,1.48785135,1.68111561,0.61947661,0.61274187,2.04814577,0.00000000
-5.84392196,4.69648768,0.02370239,0.46300509,1.49790451,1.72434290,0.62394338,0.60748069,2.04028406,0.00000000
-5.83791896,4.75901892,0.02280485,0.48421799,1.51073898,1.77121341,0.63180672,0.60153077,2.03392805,0.00000000
-5.83191596,4.82845155,0.02187464,0.50675528,1.52606578,1.82116300,0.64294416,0.59507838,2.02920425,0.00000000
-5.82591296,4.90412193,0.02091801,0.53035589,1.54362685,1.87363232,0.65720669,0.58832708,2.02625303,0.00000000
-5.81990995,4.98540516,0.01994184,0.55477213,1.56319592,1.92807687,0.67442060,0.58149209,2.02522279,0.00000000
-5.81390695,5.07171685,0.01895346,0.57977230,1.58457781,1.98397521,0.69438879,0.57479426,2.02626329,0.00000000
-5.80790395,5.16251111,0.01796051,0.60514229,1.60760613,2.04083517,0.71689198,0.56845400,2.02951835,0.00000000
-5.80190095,5.25727520,0.01697078,0.63068622,1.63213976,2.09819794,0.74168965,0.56268538,2.03511848,0.00000000
-5.79589795,5.35552150,0.01599199,0.65622619,1.65805830,2.15564017,0.76852103,0.55769051,2.04317361,0.00000000
-5.78989495,5.45677737,0.01503169,0.68160126,1.68525672,2.21277404,0.79710610,0.55365450,2.05376634,0.00000000
-5.78389195,5.56057394,0.01409710,0.70666578,1.71363969,2.26924574,0.82714709,0.55074093,2.06694604,0.00000000
-5.77788894,5.66643453,0.01319495,0.73128740,1.74311576,2.32473270,0.85833029,0.54908821,2.08272400,0.00000000
-5.77188594,5.77386394,0.01233144,0.75534479,1.77359186,2.37893987,0.89032858,0.54880652,2.10106985,0.00000000
-5.76588294,5.88233938,0.01151208,0.77872554,1.80496824,2.43159578,0.92280471,0.54997577,2.12190944,0.00000000
-5.75987994,5.99130402,0.01074165,0.80132418,1.83713439,2.48244876,0.95541530,0.55264428,2.14512422,0.00000000
-5.75387694,6.10016396,0.01002416,0.82304084,1.86996588,2.53126395,0.98781572,0.55682829,2.17055219,0.00000000
-5.74787394,6.20828909,0.00936278,0.84378045,1.90332246,2.57782138,1.01966567,0.56251226,2.19799038,0.00000000
-5.74187094,6.31501833,0.00875986,0.86345274,1.93704749,2.62191567,1.05063531,0.56964998,2.22719870,0.00000000
-5.73586793,6.41966907,0.00821693,0.88197299,1.97096858,2.66335742,1.08041187,0.57816618,2.25790515,0.00000000
-5.72986493,6.52155078,0.00773467,0.89926358,2.00489951,2.70197639,1.10870635,0.58795893,2.28981195,0.00000000
-5.72386193,6.61998197,0.00731298,0.91525620,2.03864321,2.73762637,1.13526001,0.59890240,2.32260253,0.00000000
-5.71785893,6.71430985,0.00695101,0.92989452,2.07199548,2.77019145,1.15985052,0.61085015,2.35594889,0.00000000
-5.71185593,6.80393150,0.00664721,0.94313721,2.10474943,2.79959327,1.18229726,0.62363861,2.38951922,0.00000000
-5.70585293,6.88831534,0.00639939,0.95496098,2.13670007,2.82579871,1.20246550,0.63709094,2.42298518,0.00000000
-5.69984992,6.96702168,0.00620481,0.96536338,2.16764896,2.84882746,1.22026944,0.65102084,2.45602884,0.00000000
-5.69384692,7.03972104,0.00606024,0.97436517,2.19740861,2.86875883,1.23567356,0.66523655,2.48834876,0.00000000
-5.68784392,7.10620930,0.00596207,0.98201191,2.22580626,2.88573724,1.24869259,0.67954461,2.51966521,0.00000000
-5.68184092,7.16641863,0.00590641,0.98837471,2.25268718,2.89997583,1.25938975,0.69375363,2.54972436,0.00000000
-5.67583792,7.22042386,0.00588921,0.99354987,2.27791710,2.91175803,1.26787356,0.70767780,2.57830138,0.00000000
-5.66983492,7.26844394,0.00590633,0.99765752,2.30138400,2.92143651,1.27429331,0.72114011,2.60520267,0.00000000
-5.66383192,7.31083868,0.00595369,1.00083898,2.32299915,2.92942993,1.27883341,0.73397541,2.63026723,0.00000000
-5.65782891,7.34810134,0.00602740,1.00325331,2.34269770,2.93621720,1.28170703,0.74603315,2.65336754,0.00000000
-5.65182591,7.38084761,0.00612381,1.00507278,2.36043886,2.94232982,1.28314921,0.75717982,2.67441025,0.00000000
-5.64582291,7.40980226,0.00623970,1.00647781,2.37620594,2.94834255,1.28340993,0.76730127,2.69333681,0.00000000
-5.63981991,7.43578425,0.00637232,1.00765142,2.39000648,2.95486307,1.28274743,0.77630476,2.71012468,0.00000000
-5.63381691,7.45969163,0.00651952,1.00877352,2.40187253,2.96252095,1.28142207,0.78412088,2.72478898,0.00000000
-5.62781391,7.48248702,0.00667986,1.01001533,2.41186133,2.97195675,1.27969096,0.79070533,2.73738508,0.00000000
-5.62181091,7.50518475,0.00685262,1.01153425,2.42005627,2.98381145,1.27780360,0.79604056,2.74801197,0.00000000
-5.61580790,7.52883987,0.00703797,1.01346928,2.42656837,2.99871688,1.27599857,0.80013738,2.75681642,0.00000000
-5.60980490,7.55453959,0.00723694,1.01593745,2.43153780,3.01728722,1.27450122,0.80303631,2.76399775,0.00000000
-5.60380190,7.58339687,0.00745150,1.01903113,2.43513560,3.04011182,1.27352246,0.80480875,2.76981274,0.00000000
-5.59779890,7.61654568,0.00768461,1.02281656,2.43756511,3.06774933,1.27325829,0.80555793,2.77458041,0.00000000
-5.59179590,7.65513740,0.00794023,1.02733356,2.43906285,3.10072294,1.27389003,0.80541937,2.77868585,0.00000000
-5.58579290,7.70033716,0.00822328,1.03259636,2.43989858,3.13951654,1.27558487,0.80456083,2.78258272,0.00000000
-5.57978989,7.75331921,0.00853970,1.03859548,2.44037414,3.18457146,1.27849661,0.80318163,2.78679360,0.00000000
-5.57378689,7.81526000,0.00889636,1.04530061,2.44082084,3.23628326,1.28276622,0.80151107,2.79190769,0.00000000
-5.56778389,7.88732792,0.00930104,1.05266419,2.44159507,3.29499833,1.28852201,0.79980603,2.79857529,0.00000000
-5.56178089,7.97066883,0.00976232,1.06062548,2.44307210,3.36100976,1.29587923,0.79834736,2.80749868,0.00000000
-5.55577789,8.06638637,0.01028949,1.06911494,2.44563798,3.43455214,1.30493897,0.79743528,2.81941913,0.00000000
-5.54977489,8.17551701,0.01089237,1.07805857,2.44967957,3.51579513,1.31578616,0.79738352,2.83510008,0.00000000
-5.54377189,8.29899942,0.01158115,1.08738197,2.45557306,3.60483550,1.32848683,0.79851240,2.85530664,0.00000000
-5.53776888,8.43763880,0.01236617,1.09701389,2.46367106,3.70168776,1.34308456,0.80114080,2.88078172,0.00000000
-5.53176588,8.59206667,0.01325760,1.10688898,2.47428891,3.80627335,1.35959632,0.80557731,2.91221960,0.00000000
-5.52576288,8.76269752,0.01426517,1.11694965,2.48769063,3.91840877,1.37800780,0.81211059,2.95023762,0.00000000
-5.51975988,8.94968348,0.01539774,1.12714679,2.50407497,4.03779294,1.39826860,0.82099944,2.99534703,0.00000000
-5.51375688,9.15286907,0.01666296,1.13743933,2.52356242,4.16399438,1.42028746,0.83246270,3.04792403,0.00000000
-5.50775388,9.37174784,0.01806681,1.14779266,2.54618349,4.29643870,1.44392779,0.84666937,3.10818233,0.00000000
-5.50175088,9.60542311,0.01961310,1.15817593,2.57186899,4.43439733,1.46900389,0.86372952,3.17614834,0.00000000
-5.49574787,9.85257500,0.02130309,1.16855828,2.60044285,4.57697798,1.49527820,0.88368606,3.25164015,0.00000000
-5.48974487,10.11143591,0.02313497,1.17890444,2.63161780,4.72311787,1.52245960,0.90650802,3.33425158,0.00000000
-5.48374187,10.37977643,0.02510350,1.18916961,2.66499428,4.87158045,1.55020336,0.93208559,3.42334206,0.00000000
-5.47773887,10.65490373,0.02719963,1.19929427,2.70006283,5.02095639,1.57811264,0.96022721,3.51803339,0.00000000
