energy_ev,total_up,Au_p_up,Au_d_up,Se_s_up,Se_p_up,Sn_p_up,Sn_d_up
-6.00000000,2.63460893,0.36650724,2.23727088,0.01742834,0.11101036,0.18357972,0.00044398
-5.99399700,2.62752959,0.35826656,2.23808641,0.01778615,0.10903862,0.18030389,0.00044148
-5.98799400,2.61974844,0.34923084,2.23865155,0.01812320,0.10699378,0.17710786,0.00043950
-5.98199100,2.61140568,0.33945189,2.23906706,0.01843241,0.10488431,0.17400867,0.00043801
-5.97598799,2.60271167,0.32900335,2.23948790,0.01870754,0.10272214,0.17102876,0.00043697
-5.96998499,2.59394096,0.31797894,2.24011851,0.01894347,0.10052241,0.16819531,0.00043636
-5.96398199,2.58542249,0.30649005,2.24120472,0.01913650,0.09830307,0.16553954,0.00043618
-5.95797899,2.57752635,0.29466278,2.24302276,0.01928459,0.09608446,0.16309564,0.00043643
-5.95197599,2.57064753,0.28263450,2.24586560,0.01938755,0.09388865,0.16089966,0.00043712
-5.94597299,2.56518745,0.27055013,2.25002748,0.01944720,0.09173888,0.15898824,0.00043824
-5.93996998,2.56153430,0.25855819,2.25578729,0.01946743,0.08965878,0.15739731,0.00043982
-5.93396698,2.56004301,0.24680685,2.26339174,0.01945417,0.08767173,0.15616069,0.00044186
-5.92796398,2.56101610,0.23544005,2.27303932,0.01941538,0.08580008,0.15530888,0.00044436
-5.92196098,2.56468637,0.22459391,2.28486582,0.01936088,0.08406455,0.15486778,0.00044729
-5.91595798,2.57120246,0.21439343,2.29893250,0.01930218,0.08248356,0.15485766,0.00045062
-5.90995498,2.58061808,0.20494967,2.31521751,0.01925220,0.08107279,0.15529222,0.00045432
-5.90395198,2.59288567,0.19635744,2.33361121,0.01922501,0.07984471,0.15617794,0.00045832
-5.89794897,2.60785487,0.18869361,2.35391582,0.01923547,0.07880836,0.15751356,0.00046253
-5.89194597,2.62527598,0.18201592,2.37584948,0.01929894,0.07796919,0.15928991,0.00046686
-5.88594297,2.64480832,0.17636248,2.39905470,0.01943090,0.07732908,0.16148995,0.00047121
-5.87993997,2.66603322,0.17175172,2.42311086,0.01964656,0.07688645,0.16408900,0.00047546
-5.87393697,2.68847084,0.16818299,2.44755018,0.01996061,0.07663655,0.16705530,0.00047948
-5.86793397,2.71160023,0.16563753,2.47187640,0.02038677,0.07657180,0.17035069,0.00048317
-5.86193097,2.73488136,0.16407984,2.49558526,0.02093759,0.07668231,0.17393153,0.00048640
-5.85592796,2.75777822,0.16345940,2.51818575,0.02162408,0.07695633,0.17774970,0.00048908
-5.84992496,2.77978169,0.16371261,2.53922106,0.02245548,0.07738091,0.18175375,0.00049112
-5.84392196,2.80043102,0.16476493,2.55828812,0.02343897,0.07794240,0.18589008,0.00049246
-5.83791896,2.81933296,0.16653307,2.57505480,0.02457948,0.07862704,0.19010412,0.00049306
-5.83191596,2.83617740,0.16892723,2.58927387,0.02587944,0.07942150,0.19434155,0.00049292
-5.82591296,2.85074908,0.17185342,2.60079310,0.02733860,0.08031335,0.19854937,0.00049207
-5.81990995,2.86293460,0.17521560,2.60956099,0.02895389,0.08129144,0.20267699,0.00049054
-5.81390695,2.87272478,0.17891782,2.61562803,0.03071923,0.08234619,0.20667715,0.00048845
-5.80790395,2.88021224,0.18286627,2.61914346,0.03262547,0.08346987,0.21050674,0.00048589
-5.80190095,2.88558473,0.18697111,2.62034799,0.03466037,0.08465673,0.21412749,0.00048301
-5.79589795,2.88911473,0.19114829,2.61956292,0.03680856,0.08590301,0.21750658,0.00047997
-5.78989495,2.89114606,0.19532113,2.61717649,0.03905169,0.08720705,0.22061713,0.00047696
-5.78389195,2.89207870,0.19942179,2.61362843,0.04136862,0.08856915,0.22343852,0.00047415
-5.77788894,2.89235265,0.20339253,2.60939359,0.04373567,0.08999159,0.22595677,0.00047175
-5.77188594,2.89243198,0.20718682,2.60496577,0.04612711,0.09147850,0.22816471,0.00046996
-5.76588294,2.89279015,0.21077026,2.60084268,0.04851561,0.09303584,0.23006222,0.00046896
-5.75987994,2.89389736,0.21412116,2.59751286,0.05087293,0.09467132,0.23165633,0.00046894
-5.75387694,2.89621070,0.21723106,2.59544531,0.05317064,0.09639438,0.23296138,0.00047005
-5.74787394,2.90016745,0.22010480,2.59508213,0.05538097,0.09821619,0.23399907,0.00047245
-5.74187094,2.90618174,0.22276040,2.59683453,0.05747769,0.10014971,0.23479844,0.00047628
-5.73586793,2.91464437,0.22522860,2.60108193,0.05943704,0.10220962,0.23539585,0.00048163
-5.72986493,2.92592537,0.22755200,2.60817395,0.06123866,0.10441242,0.23583479,0.00048860
-5.72386193,2.94037860,0.22978397,2.61843454,0.06286639,0.10677631,0.23616558,0.00049726
-5.71785893,2.95834747,0.23198708,2.63216752,0.06430908,0.10932111,0.23644484,0.00050767
-5.71185593,2.98017073,0.23423129,2.64966253,0.06556119,0.11206800,0.23673480,0.00051985
-5.70585293,3.00618723,0.23659176,2.67120040,0.06662317,0.11503923,0.23710230,0.00053385
-5.69984992,3.03673852,0.23914640,2.69705695,0.06750169,0.11825751,0.23761756,0.00054966
-5.69384692,3.07216848,0.24197311,2.72750418,0.06820957,0.12174544,0.23835258,0.00056731
-5.68784392,3.11281897,0.24514692,2.76280834,0.06876542,0.12552456,0.23937931,0.00058678
