energy_ev,total_up,As_p_up,As_d_up,S_s_up,S_p_up,Zr_p_up,Zr_d_up
-6.00000000,3.24732922,0.12661892,0.00000000,0.02542484,2.01387254,1.49966363,1.07800352
-5.99399700,3.08753077,0.12148309,0.00000000,0.02291101,1.91964027,1.42872583,1.03077304
-5.98799400,2.94170750,0.11637706,0.00000000,0.02056721,1.83507546,1.36122152,0.98919065
-5.98199100,2.80984064,0.11130109,0.00000000,0.01840147,1.76013098,1.29728421,0.95317341
-5.97598799,2.69173059,0.10625785,0.00000000,0.01641812,1.69463810,1.23702361,0.92257262
-5.96998499,2.58702805,0.10125288,0.00000000,0.01461806,1.63832743,1.18053545,0.89718696
-5.96398199,2.49526590,0.09629493,0.00000000,0.01299909,1.59085054,1.12790984,0.87677596
-5.95797899,2.41589077,0.09139607,0.00000000,0.01155629,1.55180142,1.07923780,0.86107341
-5.95197599,2.34829289,0.08657165,0.00000000,0.01028244,1.52073700,1.03461561,0.84980004
-5.94597299,2.29183330,0.08184011,0.00000000,0.00916847,1.49719597,0.99414683,0.84267514
-5.93996998,2.24586778,0.07722254,0.00000000,0.00820392,1.48071548,0.95794198,0.83942683
-5.93396698,2.20976695,0.07274218,0.00000000,0.00737738,1.47084531,0.92611606,0.83980047
-5.92796398,2.18293224,0.06842377,0.00000000,0.00667688,1.46715934,0.89878425,0.84356541
-5.92196098,2.16480783,0.06429287,0.00000000,0.00609028,1.46926413,0.87605606,0.85051956
-5.91595798,2.15488843,0.06037509,0.00000000,0.00560558,1.47680471,0.85802852,0.86049219
-5.90995498,2.15272332,0.05669539,0.00000000,0.00521125,1.48946752,0.84477875,0.87334463
-5.90395198,2.15791673,0.05327737,0.00000000,0.00489639,1.50698081,0.83635654,0.88896918
-5.89794897,2.17012506,0.05014269,0.00000000,0.00465100,1.52911252,0.83277723,0.90728624
-5.89194597,2.18905112,0.04731051,0.00000000,0.00446604,1.55566591,0.83401545,0.92823982
-5.88594297,2.21443602,0.04479710,0.00000000,0.00433353,1.58647320,0.83999991,0.95179173
-5.87993997,2.24604871,0.04261554,0.00000000,0.00424663,1.62138740,0.85060956,0.97791443
-5.87393697,2.28367403,0.04077551,0.00000000,0.00419957,1.66027271,0.86567120,1.00658299
