energy_ev,total_up,Cr_p_up,Cr_d_up,N_s_up,N_p_up,Sc_p_up,Sc_d_up,Te_p_up,Te_d_up
-6.00000000,3.07881511,1.85217411,0.62843785,0.00288346,0.27839193,1.56498353,0.23921122,1.76874574,0.00000000
-5.99399700,3.09803686,1.85809315,0.63804993,0.00263540,0.28113068,1.58289945,0.24018086,1.77772889,0.00000000
-5.98799400,3.10471048,1.85711564,0.64552842,0.00241870,0.28245576,1.59363779,0.24002164,1.77974335,0.00000000
-5.98199100,3.09868172,1.84913291,0.65078676,0.00223497,0.28232853,1.59686632,0.23873876,1.77471845,0.00000000
-5.97598799,3.08000319,1.83414664,0.65377367,0.00208522,0.28073442,1.59237261,0.23635706,1.76269861,0.00000000
-5.96998499,3.04894398,1.81227831,0.65447626,0.00196995,0.27768418,1.58007682,0.23292128,1.74384934,0.00000000
-5.96398199,3.00599333,1.78377532,0.65292201,0.00188916,0.27321431,1.56004074,0.22849583,1.71845992,0.00000000
-5.95797899,2.95185776,1.74901342,0.64917946,0.00184240,0.26738683,1.53247272,0.22316408,1.68694242,0.00000000
-5.95197599,2.88745171,1.70849506,0.64335740,0.00182883,0.26028824,1.49772813,0.21702718,1.64982701,0.00000000
-5.94597299,2.81388152,1.66284358,0.63560272,0.00184724,0.25202780,1.45630502,0.21020241,1.60775346,0.00000000
-5.93996998,2.73242334,1.61279321,0.62609680,0.00189612,0.24273504,1.40883530,0.20282110,1.56145916,0.00000000
-5.93396698,2.64449562,1.55917542,0.61505067,0.00197363,0.23255680,1.35607142,0.19502625,1.51176392,0.00000000
-5.92796398,2.55162703,1.50290165,0.60269907,0.00207771,0.22165364,1.29886916,0.18696983,1.45955217,0.00000000
-5.92196098,2.45542117,1.44494350,0.58929378,0.00220602,0.21019600,1.23816716,0.17880979,1.40575302,0.00000000
-5.91595798,2.35751916,1.38631062,0.57509641,0.00235604,0.19836005,1.17496390,0.17070708,1.35131916,0.00000000
-5.90995498,2.25956156,1.32802754,0.56037101,0.00252505,0.18632354,1.11029297,0.16282244,1.29720510,0.00000000
-5.90395198,2.16315100,1.27110993,0.54537700,0.00271021,0.17426166,1.04519764,0.15531339,1.24434569,0.00000000
