energy_ev,total_up,In_p_up,In_d_up,Nb_p_up,Nb_d_up,S_s_up,S_p_up
-6.00000000,3.05744002,0.07202302,0.00968069,2.53154247,0.81043165,0.00570466,1.24104400
-5.99399700,3.03549137,0.07044537,0.00974183,2.52837954,0.79813031,0.00571034,1.21510306
-5.98799400,3.00391218,0.06877877,0.00976194,2.51663004,0.78348442,0.00567728,1.18572961
-5.98199100,2.96296646,0.06702870,0.00974005,2.49632744,0.76662800,0.00560576,1.15328305
-5.97598799,2.91301593,0.06520308,0.00967593,2.46761017,0.74771086,0.00549696,1.11814675
-5.96998499,2.85452003,0.06331226,0.00957005,2.43072455,0.72689692,0.00535287,1.08072316
-5.96398199,2.78803521,0.06136896,0.00942362,2.38602608,0.70436272,0.00517622,1.04142944
-5.95797899,2.71421300,0.05938819,0.00923852,2.33397869,0.68029601,0.00497041,1.00069346
-5.95197599,2.63379653,0.05738700,0.00901731,2.27515179,0.65489443,0.00473935,0.95895011
-5.94597299,2.54761533,0.05538431,0.00876311,2.21021489,0.62836417,0.00448736,0.91663781
-5.93996998,2.45657793,0.05340061,0.00847957,2.13992983,0.60091860,0.00421899,0.87419509
-5.93396698,2.36166223,0.05145761,0.00817077,2.06514047,0.57277677,0.00393893,0.83205710
-5.92796398,2.26390350,0.04957790,0.00784113,1.98676009,0.54416164,0.00365180,0.79065183
-5.92196098,2.16438021,0.04778451,0.00749531,1.90575681,0.51529820,0.00336211,0.75039608
-5.91595798,2.06419779,0.04610048,0.00713810,1.82313717,0.48641135,0.00307407,0.71169095
-5.90995498,1.96447089,0.04454832,0.00677435,1.73992875,0.45772357,0.00279154,0.67491707
-5.90395198,1.86630451,0.04314957,0.00640885,1.65716200,0.42945253,0.00251794,0.64042934
-5.89794897,1.77077480,0.04192425,0.00604623,1.57585218,0.40180862,0.00225621,0.60855164
-5.89194597,1.67891011,0.04089039,0.00569094,1.49698195,0.37499261,0.00200877,0.57957137
-5.88594297,1.59167311,0.04006355,0.00534711,1.42148525,0.34919344,0.00177751,0.55373424
-5.87993997,1.50994463,0.03945648,0.00501855,1.35023306,0.32458634,0.00156385,0.53123945
-5.87393697,1.43450992,0.03907879,0.00470869,1.28402142,0.30133135,0.00136867,0.51223563
-5.86793397,1.36604781,0.03893679,0.00442053,1.22356217,0.27957230,0.00119248,0.49681761
-5.86193097,1.30512321,0.03903345,0.00415669,1.16947653,0.25943632,0.00103537,0.48502449
-5.85592796,1.25218304,0.03936849,0.00391933,1.12229153,0.24103386,0.00089714,0.47683892
-5.84992496,1.20755574,0.03993869,0.00371023,1.08243922,0.22445933,0.00077731,0.47218800
-5.84392196,1.17145417,0.04073830,0.00353073,1.05025843,0.20979202,0.00067526,0.47094560
-5.83791896,1.14398142,0.04175959,0.00338185,1.02599846,0.19709760,0.00059023,0.47293633
-5.83191596,1.12513928,0.04299359,0.00326423,1.00982447,0.18642966,0.00052141,0.47794083
-5.82591296,1.11483849,0.04443083,0.00317820,1.00182390,0.17783151,0.00046798,0.48570241
-5.81990995,1.11291032,0.04606218,0.00312382,1.00201318,0.17133778,0.00042919,0.49593469
-5.81390695,1.11911856,0.04787967,0.00310086,1.01034442,0.16697595,0.00040435,0.50832999
-5.80790395,1.13317129,0.04987724,0.00310888,1.02671137,0.16476741,0.00039290,0.52256808
-5.80190095,1.15473174,0.05205137,0.00314721,1.05095423,0.16472802,0.00039438,0.53832498
-5.79589795,1.18342758,0.05440151,0.00321498,1.08286297,0.16686814,0.00040849,0.55528138
-5.78989495,1.21885825,0.05693033,0.00331112,1.12217901,0.17119191,0.00043501,0.57313035
-5.78389195,1.26059989,0.05964367,0.00343436,1.16859507,0.17769586,0.00047388,0.59158391
-5.77788894,1.30820773,0.06255017,0.00358322,1.22175333,0.18636683,0.00052509,0.61037831
-5.77188594,1.36121599,0.06566061,0.00375601,1.28124199,0.19717920,0.00058870,0.62927761
-5.76588294,1.41913529,0.06898696,0.00395084,1.34659066,0.21009171,0.00066476,0.64807564
-5.75987994,1.48144810,0.07254113,0.00416556,1.41726498,0.22504377,0.00075332,0.66659600
-5.75387694,1.54760249,0.07633348,0.00439780,1.49266089,0.24195170,0.00085433,0.68469043
-5.74787394,1.61700496,0.08037117,0.00464493,1.57209934,0.26070497,0.00096763,0.70223552
-5.74187094,1.68901308,0.08465646,0.00490406,1.65482185,0.28116272,0.00109288,0.71912801
-5.73586793,1.76292855,0.08918496,0.00517206,1.73998779,0.30315091,0.00122954,0.73527912
-5.72986493,1.83799176,0.09394407,0.00544558,1.82667392,0.32646022,0.00137682,0.75060821
-5.72386193,1.91337856,0.09891164,0.00572102,1.91387686,0.35084516,0.00153363,0.76503620
-5.71785893,1.98819998,0.10405490,0.00599462,2.00051888,0.37602434,0.00169861,0.77847940
-5.71185593,2.06150575,0.10932994,0.00626248,2.08545770,0.40168241,0.00187012,0.79084402
-5.70585293,2.13229196,0.11468159,0.00652059,2.16750029,0.42747355,0.00204621,0.80202192
-5.69984992,2.19951332,0.12004402,0.00676493,2.24542089,0.45302666,0.00222467,0.81188803
-5.69384692,2.26210014,0.12534180,0.00699153,2.31798322,0.47795229,0.00240310,0.82029962
