energy_ev,total_up,C_s_up,C_p_up,Fe_p_up,Fe_d_up,Se_s_up,Se_p_up,W_p_up,W_d_up
-1.64782391,4.72415122,0.02268095,0.25616173,0.46848013,0.77935326,0.00908164,0.42154759,0.64222498,3.49024638
-1.64182091,4.65568446,0.02268346,0.25205058,0.46698291,0.76652011,0.00928501,0.41725162,0.64247838,3.43510305
-1.63581791,4.58074719,0.02260761,0.24714413,0.46363297,0.75515700,0.00949741,0.41411432,0.64319779,3.37175245
-1.62981491,4.50188185,0.02246722,0.24158504,0.45863512,0.74602989,0.00972744,0.41222512,0.64456724,3.30171412
-1.62381191,4.42183645,0.02227774,0.23553367,0.45223055,0.73992264,0.00998419,0.41167027,0.64677402,3.22667938
-1.61780890,4.34348152,0.02205564,0.22916264,0.44468716,0.73762144,0.01027693,0.41253101,0.65000126,3.14845297
-1.61180590,4.26972024,0.02181777,0.22265075,0.43628902,0.73989874,0.01061484,0.41488115,0.65442046,3.06888911
-1.60580290,4.20339586,0.02158063,0.21617679,0.42732513,0.74749747,0.01100662,0.41878439,0.66018415,2.98982509
-1.59979990,4.14720060,0.02135971,0.20991323,0.41807839,0.76111588,0.01146019,0.42429138,0.66741924,2.91301575
-1.59379690,4.10359022,0.02116889,0.20402033,0.40881501,0.78139361,0.01198246,0.43143677,0.67622137,2.84007185
-1.58779390,4.07470811,0.02101987,0.19864074,0.39977505,0.80889954,0.01257905,0.44023625,0.68665042,2.77240541
-1.58179090,4.06232234,0.02092170,0.19389493,0.39116448,0.84412176,0.01325414,0.45068393,0.69872769,2.71118456
-1.57578789,4.06777819,0.02088050,0.18987767,0.38314910,0.88745999,0.01401038,0.46275003,0.71243457,2.65729983
-1.56978489,4.09196817,0.02089922,0.18665549,0.37585051,0.93922077,0.01484888,0.47637897,0.72771300,2.61134318
-1.56378189,4.13532021,0.02097761,0.18426553,0.36934443,0.99961532,0.01576923,0.49148818,0.74446744,2.57360058
-1.55777889,4.19780414,0.02111229,0.18271546,0.36366111,1.06876006,0.01676972,0.50796742,0.76256842,2.54405775
