energy_ev,total_up,C_s_up,C_p_up,Fe_p_up,Fe_d_up,Te_p_up,Te_d_up,Ti_p_up,Ti_d_up
-6.00000000,0.37271489,0.00436460,0.01106691,0.12645391,0.02035724,0.22954395,0.00000000,0.10479338,0.01900827
-5.99399700,0.33103476,0.00387393,0.00983608,0.11226656,0.01813823,0.20386041,0.00000000,0.09305584,0.01687870
-5.98799400,0.29205094,0.00341374,0.00868922,0.09898211,0.01608063,0.17983021,0.00000000,0.08206807,0.01488743
-5.98199100,0.25600024,0.00298662,0.00763377,0.08667721,0.01420207,0.15759831,0.00000000,0.07189535,0.01304610
-5.97598799,0.22304345,0.00259419,0.00667523,0.07540165,0.01251723,0.13726226,0.00000000,0.06258094,0.01136253
-5.96998499,0.19327283,0.00223715,0.00581741,0.06518078,0.01103853,0.11887674,0.00000000,0.05414802,0.00984108
-5.96398199,0.16672160,0.00191541,0.00506273,0.05601845,0.00977690,0.10245938,0.00000000,0.04660233,0.00848311
-5.95797899,0.14337475,0.00162820,0.00441260,0.04790047,0.00874265,0.08799732,0.00000000,0.03993509,0.00728752
-5.95197599,0.12318055,0.00137414,0.00386778,0.04079827,0.00794646,0.07545424,0.00000000,0.03412615,0.00625132
-5.94597299,0.10606239,0.00115145,0.00342879,0.03467265,0.00740029,0.06477753,0.00000000,0.02914711,0.00537020
-5.93996998,0.09193020,0.00095800,0.00309630,0.02947735,0.00711835,0.05590525,0.00000000,0.02496448,0.00463913
-5.93396698,0.08069121,0.00079144,0.00287148,0.02516254,0.00711799,0.04877265,0.00000000,0.02154254,0.00405288
-5.92796398,0.07225969,0.00064931,0.00275637,0.02167784,0.00742047,0.04331813,0.00000000,0.01884593,0.00360653
-5.92196098,0.06656524,0.00052912,0.00275410,0.01897494,0.00805163,0.03948823,0.00000000,0.01684189,0.00329585
-5.91595798,0.06355955,0.00042844,0.00286916,0.01700985,0.00904237,0.03724181,0.00000000,0.01550209,0.00311769
-5.90995498,0.06322151,0.00034494,0.00310752,0.01574453,0.01042896,0.03655317,0.00000000,0.01480393,0.00307022
-5.90395198,0.06556040,0.00027645,0.00347672,0.01514808,0.01225312,0.03741410,0.00000000,0.01473151,0.00315310
-5.89794897,0.07061736,0.00022101,0.00398585,0.01519742,0.01456176,0.03983488,0.00000000,0.01527599,0.00336758
-5.89194597,0.07846504,0.00017689,0.00464547,0.01587748,0.01740663,0.04384422,0.00000000,0.01643562,0.00371650
-5.88594297,0.08920553,0.00014258,0.00546743,0.01718093,0.02084351,0.04948825,0.00000000,0.01821523,0.00420422
-5.87993997,0.10296674,0.00011688,0.00646461,0.01910761,0.02493126,0.05682858,0.00000000,0.02062539,0.00483644
-5.87393697,0.11989736,0.00009883,0.00765059,0.02166346,0.02973059,0.06593958,0.00000000,0.02368121,0.00562003
-5.86793397,0.14016071,0.00008777,0.00903924,0.02485940,0.03530253,0.07690502,0.00000000,0.02740085,0.00656275
-5.86193097,0.16392773,0.00008336,0.01064432,0.02870975,0.04170687,0.08981423,0.00000000,0.03180376,0.00767293
-5.85592796,0.19136942,0.00008553,0.01247897,0.03323079,0.04900040,0.10475803,0.00000000,0.03690883,0.00895918
-5.84992496,0.22264925,0.00009456,0.01455519,0.03843906,0.05723517,0.12182450,0.00000000,0.04273242,0.01043007
-5.84392196,0.25791583,0.00011107,0.01688344,0.04434986,0.06645683,0.14109504,0.00000000,0.04928644,0.01209383
-5.83791896,0.29729631,0.00013605,0.01947217,0.05097580,0.07670315,0.16264083,0.00000000,0.05657653,0.01395806
-5.83191596,0.34089102,0.00017088,0.02232744,0.05832559,0.08800284,0.18651989,0.00000000,0.06460051,0.01602957
-5.82591296,0.38876967,0.00021735,0.02545269,0.06640316,0.10037475,0.21277510,0.00000000,0.07334705,0.01831424
-5.81990995,0.44096951,0.00027772,0.02884857,0.07520707,0.11382759,0.24143327,0.00000000,0.08279486,0.02081698
-5.81390695,0.49749561,0.00035471,0.03251294,0.08473038,0.12836012,0.27250538,0.00000000,0.09291223,0.02354178
-5.80790395,0.55832352,0.00045156,0.03644099,0.09496094,0.14396200,0.30598807,0.00000000,0.10365716,0.02649188
-5.80190095,0.62340408,0.00057203,0.04062553,0.10588204,0.16061520,0.34186640,0.00000000,0.11497806,0.02967005
-5.79589795,0.69267029,0.00072039,0.04505741,0.11747356,0.17829588,0.38011759,0.00000000,0.12681490,0.03307885
-5.78989495,0.76604575,0.00090145,0.04972602,0.12971330,0.19697671,0.42071569,0.00000000,0.13910097,0.03672108
-5.78389195,0.84345410,0.00112053,0.05461993,0.14257868,0.21662949,0.46363665,0.00000000,0.15176495,0.04060013
-5.77788894,0.92482863,0.00138336,0.05972752,0.15604836,0.23722778,0.50886351,0.00000000,0.16473339,0.04472037
-5.77188594,1.01012117,0.00169608,0.06503759,0.17010392,0.25874936,0.55639106,0.00000000,0.17793328,0.04908745
-5.76588294,1.09930930,0.00206507,0.07053993,0.18473125,0.28117827,0.60622949,0.00000000,0.19129470,0.05370851
-5.75987994,1.19240078,0.00249685,0.07622572,0.19992147,0.30450616,0.65840646,0.00000000,0.20475326,0.05859216
-5.75387694,1.28943434,0.00299787,0.08208776,0.21567141,0.32873272,0.71296700,0.00000000,0.21825218,0.06374829
-5.74787394,1.39047601,0.00357434,0.08812046,0.23198322,0.35386485,0.76997092,0.00000000,0.23174394,0.06918767
-5.74187094,1.49561037,0.00423197,0.09431955,0.24886329,0.37991467,0.82948728,0.00000000,0.24519118,0.07492121
-5.73586793,1.60492663,0.00497570,0.10068153,0.26632025,0.40689606,0.89158591,0.00000000,0.25856692,0.08095900
-5.72986493,1.71849946,0.00580943,0.10720282,0.28436212,0.43481986,0.95632595,0.00000000,0.27185397,0.08730911
-5.72386193,1.83636528,0.00673569,0.11387868,0.30299273,0.46368790,1.02374189,0.00000000,0.28504348,0.09397616
-5.71785893,1.95849498,0.00775538,0.12070194,0.32220755,0.49348599,1.09382747,0.00000000,0.29813286,0.10095976
-5.71185593,2.08476433,0.00886748,0.12766159,0.34198912,0.52417639,1.16651843,0.00000000,0.31112298,0.10825291
-5.70585293,2.21492394,0.01006876,0.13474138,0.36230239,0.55568994,1.24167491,0.00000000,0.32401498,0.11584038
-5.69984992,2.34857073,0.01135362,0.14191853,0.38309036,0.58791872,1.31906484,0.00000000,0.33680691,0.12369735
-5.69384692,2.48512311,0.01271389,0.14916256,0.40427029,0.62070945,1.39834938,0.00000000,0.34949036,0.13178822
-5.68784392,2.62380199,0.01413879,0.15643458,0.42573092,0.65385839,1.47907186,0.00000000,0.36204744,0.14006589
-5.68184092,2.76361968,0.01561492,0.16368688,0.44733099,0.68710826,1.56065114,0.00000000,0.37444835,0.14847147
-5.67583792,2.90337853,0.01712635,0.17086310,0.46889937,0.72014749,1.64238071,0.00000000,0.38664976,0.15693466
-5.66983492,3.04168047,0.01865487,0.17789897,0.49023708,0.75261233,1.72343401,0.00000000,0.39859426,0.16537467
-5.66383192,3.17694844,0.02018024,0.18472364,0.51112124,0.78409189,1.80287670,0.00000000,0.41021099,0.17370188
-5.65782891,3.30745962,0.02168065,0.19126160,0.53131098,0.81413618,1.87968580,0.00000000,0.42141748,0.18182017
-5.65182591,3.43139008,0.02313321,0.19743516,0.55055533,0.84226701,1.95277544,0.00000000,0.43212277,0.18962978
-5.64582291,3.54686947,0.02451449,0.20316739,0.56860265,0.86799148,2.02102860,0.00000000,0.44223168,0.19703081
-5.63981991,3.65204389,0.02580122,0.20838544,0.58521151,0.89081741,2.08333367,0.00000000,0.45165011,0.20392699
-5.63381691,3.74514443,0.02697092,0.21302394,0.60016234,0.91027028,2.13862439,0.00000000,0.46029101,0.21022984
-5.62781391,3.82455832,0.02800261,0.21702863,0.61326949,0.92591079,2.18592161,0.00000000,0.46808093,0.21586277
-5.62181091,3.88889967,0.02887746,0.22035970,0.62439310,0.93735226,2.22437479,0.00000000,0.47496662,0.22076518
-5.61580790,3.93707622,0.02957943,0.22299489,0.63345009,0.94427704,2.25330154,0.00000000,0.48092149,0.22489619
-5.60980490,3.96834898,0.03009582,0.22493214,0.64042379,0.94645117,2.27222307,0.00000000,0.48595143,0.22823796
-5.60380190,3.98238178,0.03041772,0.22619157,0.64537158,0.94373649,2.28089393,0.00000000,0.49009981,0.23079830
-5.59779890,3.97927802,0.03054036,0.22681681,0.64843013,0.93609961,2.27932443,0.00000000,0.49345122,0.23261262
-5.59179590,3.95960288,0.03046334,0.22687550,0.64981784,0.92361736,2.26779458,0.00000000,0.49613389,0.23374491
-5.58579290,3.92438952,0.03019069,0.22645895,0.64983423,0.90647838,2.24685872,0.00000000,0.49832042,0.23428789
-5.57978989,3.87512880,0.02973078,0.22568099,0.64885614,0.88498072,2.21734049,0.00000000,0.50022685,0.23436221
-5.57378689,3.81374283,0.02909618,0.22467599,0.64733086,0.85952581,2.18031817,0.00000000,0.50211004,0.23411474
-5.56778389,3.74254314,0.02830325,0.22359619,0.64576627,0.83060869,2.13710087,0.00000000,0.50426334,0.23371603
-5.56178089,3.66417521,0.02737176,0.22260839,0.64471832,0.79880539,2.08919656,0.00000000,0.50701076,0.23335701
-5.55577789,3.58155160,0.02632430,0.22189018,0.64477633,0.76475766,2.03827308,0.00000000,0.51069981,0.23324512
-5.54977489,3.49777605,0.02518570,0.22162573,0.64654652,0.72915597,1.98611368,0.00000000,0.51569314,0.23359989
-5.54377189,3.41606165,0.02398234,0.22200148,0.65063451,0.69272131,1.93456879,0.00000000,0.52235948,0.23464824
-5.53776888,3.33964593,0.02274149,0.22320171,0.65762728,0.65618656,1.88550567,0.00000000,0.53106393,0.23661956
-5.53176588,3.27170582,0.02149061,0.22540415,0.66807530,0.62027815,1.84075796,0.00000000,0.54215812,0.23974070
-5.52576288,3.21527534,0.02025671,0.22877583,0.68247550,0.58569849,1.80207655,0.00000000,0.55597040,0.24423109
-5.51975988,3.17316830,0.01906569,0.23346918,0.70125556,0.55310977,1.77108348,0.00000000,0.57279645,0.25029793
-5.51375688,3.14790828,0.01794181,0.23961854,0.72476011,0.52311954,1.74923015,0.00000000,0.59289052,0.25813169
-5.50775388,3.14166737,0.01690718,0.24733698,0.75323924,0.49626828,1.73776086,0.00000000,0.61645750,0.26790178
-5.50175088,3.15621499,0.01598133,0.25671367,0.78683955,0.47301918,1.73768256,0.00000000,0.64364606,0.27975261
-5.49574787,3.19287729,0.01518089,0.26781156,0.82559808,0.45375026,1.74974123,0.00000000,0.67454297,0.29379992
-5.48974487,3.25250755,0.01451930,0.28066559,0.86943908,0.43874870,1.77440521,0.00000000,0.70916858,0.31012739
-5.48374187,3.33546740,0.01400662,0.29528118,0.91817363,0.42820732,1.81185543,0.00000000,0.74747365,0.32878354
-5.47773887,3.44161849,0.01364945,0.31163317,0.97150197,0.42222320,1.86198235,0.00000000,0.78933741,0.34977892
-5.47173587,3.57032393,0.01345085,0.32966497,1.02901831,0.42079806,1.92438929,0.00000000,0.83456689,0.37308357
-5.46573287,3.72045894,0.01341040,0.34928809,1.09021795,0.42384042,1.99840163,0.00000000,0.88289739,0.39862478
-5.45972986,3.89042975,0.01352426,0.37038191,1.15450617,0.43116932,2.08308143,0.00000000,0.93399418,0.42628521
-5.45372686,4.07820033,0.01378531,0.39279373,1.22120890,0.44251936,2.17724682,0.00000000,0.98745520,0.45590146
-5.44772386,4.28132608,0.01418336,0.41633920,1.28958452,0.45754716,2.27949581,0.00000000,1.04281499,0.48726320
-5.44172086,4.49699431,0.01470538,0.44080314,1.35883679,0.47583895,2.38823392,0.00000000,1.09954959,0.52011300
-5.43571786,4.72207096,0.01533579,0.46594076,1.42812851,0.49691928,2.50170516,0.00000000,1.15708267,0.55414710
-5.42971486,4.95315354,0.01605682,0.49147962,1.49659580,0.52026089,2.61802615,0.00000000,1.21479285,0.58901717
-5.42371186,5.18662994,0.01684885,0.51712213,1.56336283,0.54529546,2.73522279,0.00000000,1.27202222,0.62433342
-5.41770885,5.41874307,0.01769090,0.54254902,1.62755696,0.57142542,2.85126930,0.00000000,1.32808634,0.65966904
-5.41170585,5.64566093,0.01856101,0.56742359,1.68832411,0.59803644,2.96412899,0.00000000,1.38228547,0.69456630
-5.40570285,5.86355142,0.01943678,0.59139702,1.74484429,0.62451059,3.07179651,0.00000000,1.43391730,0.72854415
-5.39969985,6.06866128,0.02029586,0.61411460,1.79634733,0.65023992,3.17234063,0.00000000,1.48229091,0.76110746
-5.39369685,6.25739758,0.02111648,0.63522301,1.84212830,0.67464017,3.26394699,0.00000000,1.52674184,0.79175776
-5.38769385,6.42641030,0.02187794,0.65437832,1.88156275,0.69716417,3.34495984,0.00000000,1.56664796,0.82000522
-5.38169085,6.57267365,0.02256116,0.67125471,1.91412112,0.71731476,3.41392149,0.00000000,1.60144582,0.84538161
-5.37568784,6.69356374,0.02314908,0.68555362,1.93938206,0.73465661,3.46960842,0.00000000,1.63064671,0.86745377
-5.36968484,6.78692964,0.02362716,0.69701294,1.95704405,0.74882653,3.51106259,0.00000000,1.65385211,0.88583715
-5.36368184,6.85115491,0.02398368,0.70541591,1.96693485,0.75954201,3.53761659,0.00000000,1.67076754,0.90020881
-5.35767884,6.88520651,0.02421003,0.71059940,1.96901809,0.76660736,3.54891146,0.00000000,1.68121421,0.91031935
-5.35167584,6.88866847,0.02430095,0.71246101,1.96339646,0.76991733,3.54490585,0.00000000,1.68513775,0.91600310
-5.34567284,6.86175775,0.02425456,0.71096480,1.95031105,0.76945789,3.52587579,0.00000000,1.68261331,0.91718609
-5.33966983,6.80532073,0.02407243,0.70614509,1.93013638,0.76530403,3.49240445,0.00000000,1.67384647,0.91389134
-5.33366683,6.72080942,0.02375939,0.69810822,1.90337102,0.75761472,3.44536181,0.00000000,1.65916976,0.90624109
-5.32766383,6.61023725,0.02332341,0.68703204,1.87062379,0.74662498,3.38587457,0.00000000,1.63903446,0.89445574
-5.32166083,6.47611576,0.02277524,0.67316300,1.83259574,0.73263557,3.31528713,0.00000000,1.61399795,0.87884951
-5.31565783,6.32137407,0.02212803,0.65681101,1.79005858,0.71600053,3.23511510,0.00000000,1.58470688,0.85982288
-5.30965483,6.14926421,0.02139694,0.63834214,1.74383011,0.69711317,3.14699300,0.00000000,1.55187688,0.83785213
-5.30365183,5.96325632,0.02059859,0.61816942,1.69474794,0.67639118,3.05261832,0.00000000,1.51626961,0.81347641
-5.29764882,5.76692808,0.01975055,0.59674225,1.64364223,0.65426137,2.95369452,0.00000000,1.47866817,0.78728283
-5.29164582,5.56385321,0.01887085,0.57453462,1.59130915,0.63114481,2.85187522,0.00000000,1.43985208,0.75989033
-5.28564282,5.35749410,0.01797740,0.55203295,1.53848593,0.60744303,2.74871238,0.00000000,1.40057300,0.73193287
