energy_ev,total_up,C_s_up,C_p_up,Co_p_up,Co_d_up,Mo_p_up,Mo_d_up,Te_p_up,Te_d_up
-6.00000000,2.42249545,0.00717065,0.54555616,0.41085698,0.22704137,0.97609611,1.18673795,0.79261686,0.00000000
-5.99399700,2.40564460,0.00704301,0.53800836,0.41258669,0.22764116,0.97441044,1.16830075,0.79150735,0.00000000
-5.98799400,2.39158845,0.00702417,0.52920277,0.41693812,0.22925629,0.97439418,1.14803460,0.79344501,0.00000000
-5.98199100,2.38104291,0.00712034,0.51947265,0.42389074,0.23189122,0.97638779,1.12652574,0.79838599,0.00000000
-5.97598799,2.37463717,0.00733627,0.50916444,0.43338065,0.23553291,0.98070121,1.10436923,0.80621972,0.00000000
-5.96998499,2.37290417,0.00767509,0.49862807,0.44530363,0.24015331,0.98760880,1.08215379,0.81677714,0.00000000
-5.96398199,2.37627445,0.00813829,0.48820739,0.45951901,0.24571234,0.99734538,1.06044736,0.82984062,0.00000000
-5.95797899,2.38507317,0.00872556,0.47823131,0.47585416,0.25216125,1.01010325,1.03978403,0.84515514,0.00000000
-5.95197599,2.39951999,0.00943479,0.46900569,0.49410927,0.25944605,1.02603007,1.02065250,0.86243979,0.00000000
-5.94597299,2.41973125,0.01026194,0.46080631,0.51406220,0.26751085,1.04522761,1.00348640,0.88139925,0.00000000
-5.93996998,2.44572377,0.01120104,0.45387313,0.53547308,0.27630093,1.06775088,0.98865667,0.90173431,0.00000000
-5.93396698,2.47741983,0.01224413,0.44840579,0.55808861,0.28576526,1.09360781,0.97646580,0.92315109,0.00000000
-5.92796398,2.51465255,0.01338132,0.44456048,0.58164586,0.29585840,1.12275898,0.96714430,0.94536834,0.00000000
-5.92196098,2.55717135,0.01460080,0.44244818,0.60587538,0.30654162,1.15511758,0.96084885,0.96812265,0.00000000
-5.91595798,2.60464695,0.01588893,0.44213410,0.63050386,0.31778313,1.19054917,0.95766240,0.99117130,0.00000000
-5.90995498,2.65667576,0.01723039,0.44363835,0.65525608,0.32955748,1.22887154,0.95759575,1.01429283,0.00000000
-5.90395198,2.71278351,0.01860836,0.44693749,0.67985656,0.34184408,1.26985439,0.96059052,1.03728548,0.00000000
-5.89794897,2.77242821,0.02000472,0.45196710,0.70403075,0.35462495,1.31321917,0.96652327,1.05996383,0.00000000
-5.89194597,2.83500268,0.02140039,0.45862489,0.72750623,0.36788189,1.35863903,0.97521055,1.08215413,0.00000000
-5.88594297,2.89983692,0.02277555,0.46677442,0.75001380,0.38159314,1.40573923,0.98641465,1.10368873,0.00000000
-5.87993997,2.96620077,0.02411011,0.47624914,0.77128897,0.39572979,1.45409810,0.99984993,1.12440040,0.00000000
-5.87393697,3.03330728,0.02538399,0.48685671,0.79107365,0.41025218,1.50324884,1.01518943,1.14411688,0.00000000
-5.86793397,3.10031725,0.02657758,0.49838335,0.80911845,0.42510654,1.55268241,1.03207175,1.16265650,0.00000000
-5.86193097,3.16634544,0.02767214,0.51059825,0.82518545,0.44022192,1.60185167,1.05010796,1.17982512,0.00000000
-5.85592796,3.23046855,0.02865016,0.52325794,0.83905164,0.45550795,1.65017693,1.06888860,1.19541488,0.00000000
-5.84992496,3.29173547,0.02949579,0.53611054,0.85051272,0.47085325,1.69705296,1.08799048,1.20920493,0.00000000
-5.84392196,3.34917969,0.03019518,0.54889981,0.85938744,0.48612491,1.74185758,1.10698346,1.22096437,0.00000000
-5.83791896,3.40183390,0.03073674,0.56136925,0.86552212,0.50116896,1.78396164,1.12543703,1.23045712,0.00000000
-5.83191596,3.44874654,0.03111149,0.57326588,0.86879522,0.51581198,1.82274033,1.14292674,1.23744868,0.00000000
-5.82591296,3.48900007,0.03131316,0.58434403,0.86912172,0.52986381,1.85758551,1.15904042,1.24171439,0.00000000
-5.81990995,3.52173034,0.03133839,0.59436903,0.86645709,0.54312128,1.88791881,1.17338432,1.24304868,0.00000000
-5.81390695,3.54614667,0.03118676,0.60312076,0.86080064,0.55537287,1.91320514,1.18558895,1.24127493,0.00000000
-5.80790395,3.56155187,0.03086079,0.61039715,0.85219790,0.56640415,1.93296603,1.19531482,1.23625516,0.00000000
-5.80190095,3.56736160,0.03036586,0.61601755,0.84074212,0.57600382,1.94679262,1.20225789,1.22789923,0.00000000
-5.79589795,3.56312233,0.02971002,0.61982595,0.82657436,0.58397006,1.95435750,1.20615479,1.21617284,0.00000000
-5.78989495,3.54852719,0.02890383,0.62169396,0.80988252,0.59011699,1.95542522,1.20678765,1.20110389,0.00000000
-5.78389195,3.52342896,0.02796004,0.62152355,0.79089890,0.59428101,1.94986086,1.20398844,1.18278684,0.00000000
-5.77788894,3.48784974,0.02689327,0.61924927,0.76989650,0.59632668,1.93763626,1.19764278,1.16138472,0.00000000
-5.77188594,3.44198657,0.02571969,0.61484008,0.74718412,0.59615191,1.91883371,1.18769290,1.13712866,0.00000000
-5.76588294,3.38621259,0.02445657,0.60830049,0.72310025,0.59369230,1.89364663,1.17413981,1.11031480,0.00000000
-5.75987994,3.32107354,0.02312188,0.59967100,0.69800604,0.58892430,1.86237729,1.15704422,1.08129869,0.00000000
-5.75387694,3.24727919,0.02173395,0.58902771,0.67227745,0.58186716,1.82543132,1.13652637,1.05048724,0.00000000
-5.74787394,3.16568987,0.02031098,0.57648098,0.64629679,0.57258342,1.78330916,1.11276435,1.01832865,0.00000000
-5.74187094,3.07729810,0.01887070,0.56217330,0.62044387,0.56117800,1.73659457,1.08599094,0.98530038,0.00000000
-5.73586793,2.98320579,0.01743004,0.54627606,0.59508702,0.54779585,1.68594044,1.05648900,0.95189582,0.00000000
-5.72986493,2.88459736,0.01600478,0.52898556,0.57057422,0.53261820,1.63205238,1.02458520,0.91861001,0.00000000
-5.72386193,2.78270970,0.01460932,0.51051817,0.54722449,0.51585752,1.57567040,0.99064240,0.88592486,0.00000000
-5.71785893,2.67879969,0.01325646,0.49110484,0.52531997,0.49775145,1.51754947,0.95505076,0.85429449,0.00000000
-5.71185593,2.57411046,0.01195723,0.47098508,0.50509871,0.47855586,1.45843944,0.91821773,0.82413117,0.00000000
-5.70585293,2.46983750,0.01072085,0.45040070,0.48674856,0.45853736,1.39906507,0.88055748,0.79579243,0.00000000
-5.69984992,2.36709588,0.00955461,0.42958948,0.47040228,0.43796546,1.34010692,0.84247988,0.76956972,0.00000000
-5.69384692,2.26688991,0.00846398,0.40877901,0.45613415,0.41710492,1.28218378,0.80437960,0.74567922,0.00000000
-5.68784392,2.17008650,0.00745259,0.38818096,0.44395814,0.39620828,1.22583736,0.76662578,0.72425510,0.00000000
-5.68184092,2.07739328,0.00652238,0.36798602,0.43382780,0.37550926,1.17151973,0.72955262,0.70534556,0.00000000
-5.67583792,1.98934261,0.00567376,0.34835968,0.42563807,0.35521690,1.11958424,0.69345136,0.68891191,0.00000000
-5.66983492,1.90628217,0.00490572,0.32943911,0.41922879,0.33551102,1.07028005,0.65856405,0.67483074,0.00000000
