energy_ev,total_up,Cd_p_up,Cd_d_up,N_s_up,N_p_up,Ni_p_up,Ni_d_up,S_s_up,S_p_up
-6.00000000,2.39192088,0.32315450,0.42368225,0.02782365,0.07286444,0.59972001,0.89997288,0.06056092,0.90201304
-5.99399700,2.39339700,0.31232014,0.42408051,0.02882699,0.07027651,0.59769014,0.90857113,0.06184136,0.90264443
-5.98799400,2.38424281,0.30090386,0.42268866,0.02966892,0.06762344,0.59313545,0.91219380,0.06277610,0.89911763
-5.98199100,2.36439050,0.28904182,0.41949649,0.03033398,0.06493574,0.58610461,0.91069008,0.06334361,0.89141983
-5.97598799,2.33393248,0.27686169,0.41451963,0.03081057,0.06224009,0.57668063,0.90400181,0.06352925,0.87960252
-5.96998499,2.29312898,0.26448114,0.40780095,0.03109146,0.05955888,0.56498148,0.89216796,0.06332592,0.86378379
-5.96398199,2.24241195,0.25200704,0.39941137,0.03117430,0.05691023,0.55116019,0.87532613,0.06273451,0.84414932
-5.95797899,2.18238490,0.23953561,0.38945020,0.03106183,0.05430812,0.53540443,0.85371095,0.06176406,0.82095159
-5.95197599,2.11381833,0.22715310,0.37804476,0.03076205,0.05176282,0.51793544,0.82764935,0.06043169,0.79450745
-5.94597299,2.03764069,0.21493709,0.36534936,0.03028820,0.04928151,0.49900633,0.79755292,0.05876221,0.76519396
-5.93996998,1.95492498,0.20295814,0.35154353,0.02965848,0.04686906,0.47889969,0.76390763,0.05678747,0.73344262
-5.93396698,1.86687139,0.19128168,0.33682965,0.02889577,0.04452886,0.45792461,0.72726136,0.05454550,0.69973218
-5.92796398,1.77478640,0.17996994,0.32142990,0.02802705,0.04226371,0.43641306,0.68820980,0.05207944,0.66458024
-5.92196098,1.68005916,0.16908375,0.30558263,0.02708283,0.04007671,0.41471574,0.64738125,0.04943632,0.62853392
-5.91595798,1.58413590,0.15868416,0.28953837,0.02609634,0.03797206,0.39319756,0.60542114,0.04666574,0.59215996
-5.90995498,1.48849331,0.14883375,0.27355536,0.02510278,0.03595579,0.37223267,0.56297671,0.04381848,0.55603461
-5.90395198,1.39461173,0.13959746,0.25789502,0.02413842,0.03403625,0.35219935,0.52068257,0.04094517,0.52073356
-5.89794897,1.30394901,0.13104310,0.24281723,0.02323973,0.03222462,0.33347470,0.47914766,0.03809502,0.48682234
-5.89194597,1.21791578,0.12324138,0.22857565,0.02244249,0.03053508,0.31642936,0.43894394,0.03531456,0.45484735
-5.88594297,1.13785283,0.11626546,0.21541325,0.02178092,0.02898493,0.30142218,0.40059718,0.03264667,0.42532772
-5.87993997,1.06501076,0.11019021,0.20355802,0.02128687,0.02759443,0.28879503,0.36458002,0.03012968,0.39874816
-5.87393697,1.00053252,0.10509102,0.19321898,0.02098906,0.02638660,0.27886778,0.33130716,0.02779668,0.37555291
-5.86793397,0.94543853,0.10104237,0.18458264,0.02091234,0.02538678,0.27193335,0.30113284,0.02567503,0.35614056
-5.86193097,0.90061456,0.09811616,0.17780973,0.02107713,0.02462210,0.26825294,0.27435009,0.02378611,0.34085988
-5.85592796,0.86680195,0.09637980,0.17303244,0.02149883,0.02412080,0.26805148,0.25119167,0.02214517,0.33000641
-5.84992496,0.84458986,0.09589422,0.17035203,0.02218742,0.02391151,0.27151314,0.23183221,0.02076138,0.32381965
-5.84392196,0.83440927,0.09671174,0.16983690,0.02314706,0.02402237,0.27877702,0.21639116,0.01963813,0.32248068
-5.83791896,0.83652820,0.09887393,0.17152100,0.02437591,0.02448012,0.28993298,0.20493620,0.01877329,0.32611001
-5.83191596,0.85104784,0.10240948,0.17540270,0.02586593,0.02530915,0.30501772,0.19748666,0.01815966,0.33476561
-5.82591296,0.87789943,0.10733203,0.18144407,0.02760292,0.02653047,0.32401106,0.19401670,0.01778552,0.34844090
-5.81990995,0.91684169,0.11363816,0.18957058,0.02956657,0.02816068,0.34683263,0.19445796,0.01763519,0.36706277
-5.81390695,0.96745884,0.12130551,0.19967125,0.03173073,0.03021096,0.37333904,0.19870159,0.01768960,0.39048957
-5.80790395,1.02915945,0.13029106,0.21159933,0.03406378,0.03268609,0.40332170,0.20659952,0.01792693,0.41850929
-5.80190095,1.10117643,0.14052973,0.22517354,0.03652913,0.03558350,0.43650557,0.21796518,0.01832322,0.45083808
-5.79589795,1.18256868,0.15193325,0.24017983,0.03908585,0.03889244,0.47254891,0.23257360,0.01885294,0.48711926
-5.78989495,1.27222500,0.16438959,0.25637393,0.04168948,0.04259335,0.51104439,0.25016136,0.01948958,0.52692337
-5.78389195,1.36887092,0.17776275,0.27348445,0.04429292,0.04665730,0.55152172,0.27042652,0.02020621,0.56974929
-5.77788894,1.47107909,0.19189336,0.29121684,0.04684747,0.05104580,0.59345192,0.29302893,0.02097594,0.61502700
-5.77188594,1.57728387,0.20659978,0.30925803,0.04930389,0.05571077,0.63625353,0.31759125,0.02177244,0.66212226
-5.76588294,1.68580054,0.22168013,0.32728175,0.05161359,0.06059489,0.67930073,0.34370103,0.02257032,0.71034335
-5.75987994,1.79484954,0.23691501,0.34495456,0.05372983,0.06563231,0.72193340,0.37091421,0.02334560,0.75895022
-5.75387694,1.90258573,0.25207112,0.36194243,0.05560888,0.07074962,0.76346906,0.39876007,0.02407597,0.80716608
-5.74787394,2.00713247,0.26690567,0.37791777,0.05721115,0.07586730,0.80321656,0.42674804,0.02474116,0.85419130
-5.74187094,2.10661998,0.28117143,0.39256667,0.05850223,0.08090145,0.84049108,0.45437616,0.02532321,0.89921961
-5.73586793,2.19922735,0.29462260,0.40559626,0.05945384,0.08576582,0.87463031,0.48114125,0.02580665,0.94145615
-5.72986493,2.28322674,0.30702092,0.41674193,0.06004451,0.09037411,0.90501107,0.50655055,0.02617874,0.98013691
-5.72386193,2.35702878,0.31814225,0.42577404,0.06026020,0.09464245,0.93106600,0.53013449,0.02642958,1.01454907
-5.71785893,2.41922730,0.32778307,0.43250416,0.06009462,0.09849193,0.95229972,0.55146015,0.02655221,1.04405137
-5.71185593,2.46864187,0.33576682,0.43679024,0.05954931,0.10185116,0.96830369,0.57014504,0.02654263,1.06809392
-5.70585293,2.50435626,0.34194975,0.43854085,0.05863357,0.10465866,0.97876929,0.58587046,0.02639985,1.08623647
-5.69984992,2.52575126,0.34622604,0.43771799,0.05736403,0.10686503,0.98349854,0.59839401,0.02612579,1.09816447
-5.69384692,2.53253017,0.34853186,0.43433858,0.05576417,0.10843478,0.98241180,0.60756060,0.02572523,1.10370212
-5.68784392,2.52473577,0.34884826,0.42847441,0.05386347,0.10934770,0.97555224,0.61331147,0.02520560,1.10282171
-5.68184092,2.50275774,0.34720265,0.42025050,0.05169656,0.10959977,0.96308669,0.61569071,0.02457687,1.09564886
-5.67583792,2.46732989,0.34366877,0.40984205,0.04930213,0.10920338,0.94530276,0.61484902,0.02385122,1.08246315
-5.66983492,2.41951710,0.33836504,0.39746989,0.04672186,0.10818713,0.92260228,0.61104428,0.02304285,1.06369420
-5.66383192,2.36069219,0.33145149,0.38339471,0.04399921,0.10659486,0.89549124,0.60463901,0.02216762,1.03991300
-5.65782891,2.29250346,0.32312508,0.36791031,0.04117833,0.10448425,0.86456663,0.59609460,0.02124273,1.01181896
-5.65182591,2.21683398,0.31361388,0.35133592,0.03830291,0.10192481,0.83050055,0.58596244,0.02028634,0.98022295
-5.64582291,2.13575399,0.30317009,0.33400811,0.03541522,0.09899551,0.79402231,0.57487232,0.01931721,0.94602707
-5.63981991,2.05146827,0.29206229,0.31627235,0.03255518,0.09578206,0.75589912,0.56351831,0.01835431,0.91020178
-5.63381691,1.96626005,0.28056729,0.29847474,0.02975962,0.09237397,0.71691608,0.55264261,0.01741642,0.87376115
-5.62781391,1.88243365,0.26896166,0.28095386,0.02706164,0.08886157,0.67785623,0.54301793,0.01652177,0.83773727
-5.62181091,1.80225748,0.25751363,0.26403336,0.02449022,0.08533303,0.63948131,0.53542873,0.01568767,0.80315444
-5.61580790,1.72790930,0.24647532,0.24801512,0.02206988,0.08187159,0.60251387,0.53065204,0.01493015,0.77100415
-5.60980490,1.66142520,0.23607582,0.23317342,0.01982058,0.07855300,0.56762121,0.52943825,0.01426368,0.74222145
-5.60380190,1.60465364,0.22651525,0.21975003,0.01775768,0.07544343,0.53540165,0.53249234,0.01370084,0.71766332
-5.59779890,1.55921559,0.21795999,0.20795040,0.01589213,0.07259769,0.50637333,0.54045607,0.01325214,0.69808965
-5.59179590,1.52647140,0.21053926,0.19794089,0.01423059,0.07005811,0.48096574,0.55389146,0.01292574,0.68414710
