energy_ev,total_up,P_s_up,P_p_up,Re_p_up,Re_d_up,Te_p_up,Te_d_up
-6.00000000,3.02920902,0.00650314,0.77297875,2.23775375,1.32578432,0.98469770,0.00000000
-5.99399700,3.03174433,0.00643085,0.77224526,2.22110067,1.33088956,0.98517780,0.00000000
-5.98799400,3.03009167,0.00634712,0.77020517,2.20033304,1.33454357,0.98400993,0.00000000
-5.98199100,3.02411222,0.00625024,0.76695214,2.17580909,1.33659058,0.98107955,0.00000000
-5.97598799,3.01378437,0.00613902,0.76262699,2.14797734,1.33692553,0.97631248,0.00000000
-5.96998499,2.99918632,0.00601276,0.75740896,2.11735067,1.33548957,0.96967090,0.00000000
-5.96398199,2.98047688,0.00587129,0.75150572,2.08447914,1.33226449,0.96114873,0.00000000
-5.95797899,2.95787550,0.00571488,0.74514236,2.04992311,1.32726653,0.95076669,0.00000000
-5.95197599,2.93164270,0.00554425,0.73855012,2.01422786,1.32053999,0.93856757,0.00000000
-5.94597299,2.90206192,0.00536053,0.73195508,1.97790089,1.31215084,0.92461182,0.00000000
-5.93996998,2.86942353,0.00516515,0.72556757,1.94139291,1.30218068,0.90897390,0.00000000
-5.93396698,2.83401160,0.00495987,0.71957259,1.90508312,1.29072132,0.89173929,0.00000000
-5.92796398,2.79609394,0.00474666,0.71412166,1.86926948,1.27787014,0.87300243,0.00000000
-5.92196098,2.75591540,0.00452773,0.70932649,1.83416384,1.26372627,0.85286551,0.00000000
-5.91595798,2.71369464,0.00430543,0.70525468,1.79989214,1.24838784,0.83143800,0.00000000
-5.90995498,2.66962395,0.00408224,0.70192755,1.76649917,1.23195020,0.80883682,0.00000000
-5.90395198,2.62387200,0.00386076,0.69932036,1.73395735,1.21450509,0.78518689,0.00000000
-5.89794897,2.57658890,0.00364373,0.69736458,1.70217898,1.19614083,0.76062203,0.00000000
-5.89194597,2.52791317,0.00343393,0.69595233,1.67103084,1.17694335,0.73528572,0.00000000
-5.88594297,2.47797995,0.00323430,0.69494266,1.64035053,1.15699793,0.70933186,0.00000000
-5.87993997,2.42692989,0.00304785,0.69416932,1.60996334,1.13639162,0.68292508,0.00000000
-5.87393697,2.37491820,0.00287776,0.69344971,1.57969888,1.11521606,0.65624057,0.00000000
-5.86793397,2.32212325,0.00272730,0.69259456,1.54940658,1.09357062,0.62946346,0.00000000
-5.86193097,2.26875417,0.00259994,0.69141785,1.51896936,1.07156557,0.60278752,0.00000000
-5.85592796,2.21505722,0.00249926,0.68974657,1.48831470,1.04932521,0.57641331,0.00000000
-5.84992496,2.16132034,0.00242903,0.68742979,1.45742284,1.02699061,0.55054580,0.00000000
-5.84392196,2.10787579,0.00239314,0.68434667,1.42633176,1.00472187,0.52539162,0.00000000
-5.83791896,2.05510068,0.00239560,0.68041308,1.39513872,0.98269972,0.50115591,0.00000000
-5.83191596,2.00341518,0.00244050,0.67558646,1.36399861,0.96112621,0.47803909,0.00000000
-5.82591296,1.95327867,0.00253193,0.66986887,1.33311911,0.94022454,0.45623354,0.00000000
-5.81990995,1.90518374,0.00267390,0.66330788,1.30275327,0.92023777,0.43592041,0.00000000
-5.81390695,1.85964834,0.00287028,0.65599571,1.27318972,0.90142650,0.41726668,0.00000000
-5.80790395,1.81720642,0.00312458,0.64806623,1.24474126,0.88406558,0.40042261,0.00000000
-5.80190095,1.77839721,0.00343993,0.63969045,1.21773248,0.86843977,0.38551955,0.00000000
