energy_ev,total_up,Ga_p_up,Ga_d_up,Hf_p_up,Hf_d_up,Se_s_up,Se_p_up
-6.00000000,3.28716115,0.06260900,0.00000000,2.61316643,1.22534581,0.00844959,2.08588951
-5.99399700,3.50410823,0.06658303,0.00000000,2.79005863,1.31272189,0.00859214,2.24857561
-5.98799400,3.73296079,0.07081235,0.00000000,2.97580732,1.40524019,0.00871747,2.42048992
-5.98199100,3.97235796,0.07525757,0.00000000,3.16901659,1.50249715,0.00882210,2.60093293
-5.97598799,4.22071124,0.07987446,0.00000000,3.36808270,1.60399884,0.00890304,2.78902352
-5.96998499,4.47620121,0.08461418,0.00000000,3.57120001,1.70915678,0.00895780,2.98369108
-5.96398199,4.73678098,0.08942370,0.00000000,3.77637408,1.81728603,0.00898441,3.18367280
-5.95797899,5.00018746,0.09424636,0.00000000,3.98144280,1.92760602,0.00898143,3.38751702
-5.95197599,5.26396173,0.09902261,0.00000000,4.18410603,2.03924459,0.00894795,3.59359337
-5.94597299,5.52547872,0.10369091,0.00000000,4.38196363,2.15124544,0.00888360,3.80010990
-5.93996998,5.78198636,0.10818876,0.00000000,4.57256114,2.26257928,0.00878851,4.00513740
-5.93396698,6.03065312,0.11245390,0.00000000,4.75344194,2.37215826,0.00866333,4.20664018
-5.92796398,6.26862285,0.11642551,0.00000000,4.92220415,2.47885364,0.00850917,4.40251276
-5.92196098,6.49307486,0.12004554,0.00000000,5.07655988,2.58151601,0.00832763,4.59062104
-5.91595798,6.70128683,0.12326004,0.00000000,5.21439453,2.67899746,0.00812072,4.76884668
-5.90995498,6.89069806,0.12602036,0.00000000,5.33382322,2.77017480,0.00789087,4.93513279
-5.90395198,7.05897003,0.12828436,0.00000000,5.43324190,2.85397311,0.00764085,5.08752930
-5.89794897,7.20404173,0.13001735,0.00000000,5.51137043,2.92938844,0.00737375,5.22423608
-5.89194597,7.32417709,0.13119297,0.00000000,5.56728563,2.99550906,0.00709292,5.34364214
-5.88594297,7.41800260,0.13179375,0.00000000,5.60044267,3.05153430,0.00680186,5.44435939
-5.87993997,7.48453334,0.13181144,0.00000000,5.61068372,3.09679030,0.00650421,5.52524983
-5.87393697,7.52318665,0.13124710,0.00000000,5.59823351,3.13074227,0.00620361,5.58544514
-5.86793397,7.53378318,0.13011092,0.00000000,5.56368232,3.15300288,0.00590361,5.62435842
-5.86193097,7.51653563,0.12842173,0.00000000,5.50795721,3.16333667,0.00560765,5.64168795
-5.85592796,7.47202656,0.12620638,0.00000000,5.43228340,3.16166054,0.00531887,5.63741329
-5.84992496,7.40117659,0.12349883,0.00000000,5.33813770,3.14804066,0.00504010,5.61178449
-5.84392196,7.30520526,0.12033912,0.00000000,5.22719668,3.12268609,0.00477377,5.56530535
-5.83791896,7.18558686,0.11677220,0.00000000,5.10128206,3.08593969,0.00452183,5.49871194
-5.83191596,7.04400349,0.11284675,0.00000000,4.96230613,3.03826692,0.00428572,5.41294777
-5.82591296,6.88229798,0.10861386,0.00000000,4.81221961,2.98024301,0.00406637,5.30913671
-5.81990995,6.70242853,0.10412589,0.00000000,4.65296412,2.91253933,0.00386413,5.18855518
-5.81390695,6.50642703,0.09943524,0.00000000,4.48643106,2.83590918,0.00367887,5.05260453
