energy_ev,total_up,C_s_up,C_p_up,Ca_p_up,Ca_d_up,Rh_p_up,Rh_d_up,Se_s_up,Se_p_up
-6.00000000,0.75630840,0.00245627,0.04043248,0.00129710,0.00000000,0.16974741,0.45913819,0.01527436,0.23156705
-5.99399700,0.78824013,0.00259648,0.04176738,0.00125002,0.00000000,0.17870129,0.48076795,0.01578157,0.23897836
-5.98799400,0.81876567,0.00272706,0.04303975,0.00121471,0.00000000,0.18726297,0.50131385,0.01626161,0.24622319
-5.98199100,0.84714660,0.00284605,0.04421228,0.00118939,0.00000000,0.19527695,0.52032257,0.01669871,0.25307530
-5.97598799,0.87270123,0.00295173,0.04525086,0.00117238,0.00000000,0.20260251,0.53737070,0.01707817,0.25932963
-5.96998499,0.89482775,0.00304267,0.04612582,0.00116222,0.00000000,0.20911901,0.55207851,0.01738686,0.26480966
-5.96398199,0.91302523,0.00311779,0.04681302,0.00115766,0.00000000,0.21473087,0.56412267,0.01761354,0.26937399
-5.95797899,0.92691166,0.00317644,0.04729481,0.00115774,0.00000000,0.21937189,0.57324725,0.01774923,0.27292172
-5.95197599,0.93623825,0.00321844,0.04756068,0.00116182,0.00000000,0.22300883,0.57927280,0.01778744,0.27539668
-5.94597299,0.94089952,0.00324409,0.04760770,0.00116956,0.00000000,0.22564390,0.58210286,0.01772428,0.27679010
-5.93996998,0.94093861,0.00325419,0.04744077,0.00118098,0.00000000,0.22731625,0.58172781,0.01755857,0.27714171
-5.93396698,0.93654742,0.00325005,0.04707246,0.00119638,0.00000000,0.22810204,0.57822577,0.01729178,0.27653919
-5.92796398,0.92806173,0.00323346,0.04652270,0.00121640,0.00000000,0.22811335,0.57176045,0.01692796,0.27511592
-5.92196098,0.91595110,0.00320665,0.04581809,0.00124195,0.00000000,0.22749560,0.56257605,0.01647349,0.27304701
-5.91595798,0.90080392,0.00317223,0.04499108,0.00127418,0.00000000,0.22642368,0.55098934,0.01593685,0.27054382
-5.90995498,0.88330812,0.00313311,0.04407887,0.00131442,0.00000000,0.22509678,0.53737916,0.01532828,0.26784695
-5.90395198,0.86422805,0.00309242,0.04312210,0.00136414,0.00000000,0.22373216,0.52217381,0.01465941,0.26521808
-5.89794897,0.84437843,0.00305340,0.04216347,0.00142486,0.00000000,0.22255784,0.50583661,0.01394285,0.26293069
-5.89194597,0.82459612,0.00301932,0.04124625,0.00149810,0.00000000,0.22180468,0.48885046,0.01319179,0.26126014
-5.88594297,0.80571089,0.00299333,0.04041271,0.00158527,0.00000000,0.22169788,0.47170163,0.01241954,0.26047329
-5.87993997,0.78851606,0.00297835,0.03970261,0.00168764,0.00000000,0.22244835,0.45486363,0.01163920,0.26081816
-5.87393697,0.77374019,0.00297698,0.03915173,0.00180619,0.00000000,0.22424425,0.43878169,0.01086322,0.26251385
-5.86793397,0.76202083,0.00299139,0.03879058,0.00194161,0.00000000,0.22724297,0.42385835,0.01010312,0.26574114
-5.86193097,0.75388132,0.00302321,0.03864317,0.00209416,0.00000000,0.23156392,0.41044081,0.00936922,0.27063428
-5.85592796,0.74971161,0.00307348,0.03872609,0.00226369,0.00000000,0.23728248,0.39881040,0.00867038,0.27727407
-5.84992496,0.74975376,0.00314255,0.03904780,0.00244951,0.00000000,0.24442534,0.38917459,0.00801392,0.28568284
-5.84392196,0.75409287,0.00323011,0.03960825,0.00265043,0.00000000,0.25296759,0.38166183,0.00740545,0.29582130
-5.83791896,0.76265382,0.00333509,0.04039871,0.00286473,0.00000000,0.26283162,0.37631937,0.00684893,0.30758782
-5.83191596,0.77520405,0.00345576,0.04140201,0.00309017,0.00000000,0.27388812,0.37311415,0.00634665,0.32081995
-5.82591296,0.79136246,0.00358969,0.04259304,0.00332402,0.00000000,0.28595916,0.37193671,0.00589935,0.33529849
-5.81990995,0.81061417,0.00373388,0.04393961,0.00356316,0.00000000,0.29882333,0.37260797,0.00550634,0.35075392
-5.81390695,0.83233068,0.00388479,0.04540353,0.00380413,0.00000000,0.31222289,0.37488853,0.00516570,0.36687515
-5.80790395,0.85579484,0.00403850,0.04694195,0.00404323,0.00000000,0.32587264,0.37849028,0.00487447,0.38332028
-5.80190095,0.88022966,0.00419079,0.04850896,0.00427669,0.00000000,0.33947037,0.38308970,0.00462887,0.39972907
-5.79589795,0.90482995,0.00433732,0.05005723,0.00450075,0.00000000,0.35270834,0.38834249,0.00442457,0.41573665
-5.78989495,0.92879555,0.00447376,0.05153984,0.00471187,0.00000000,0.36528553,0.39389878,0.00425690,0.43098804
-5.78389195,0.95136491,0.00459593,0.05291201,0.00490681,0.00000000,0.37692004,0.39941849,0.00412110,0.44515278
-5.77788894,0.97184753,0.00470000,0.05413286,0.00508285,0.00000000,0.38736118,0.40458610,0.00401251,0.45793920
-5.77188594,0.98965402,0.00478256,0.05516698,0.00523787,0.00000000,0.39640083,0.40912432,0.00392679,0.46910756
-5.76588294,1.00432249,0.00484082,0.05598577,0.00537051,0.00000000,0.40388328,0.41280607,0.00386006,0.47848168
-5.75987994,1.01554011,0.00487266,0.05656860,0.00548022,0.00000000,0.40971345,0.41546429,0.00380904,0.48595826
