energy_ev,total_up,Bi_p_up,Bi_d_up,Nb_p_up,Nb_d_up,Se_s_up,Se_p_up
-6.00000000,1.20534410,0.23014703,0.00143338,0.93186679,0.39761089,0.00559937,0.65519721
-5.99399700,1.21040411,0.23677718,0.00141346,0.94309089,0.39334247,0.00569544,0.65219342
-5.98799400,1.21689149,0.24349270,0.00140148,0.95368853,0.38986134,0.00580100,0.65000799
-5.98199100,1.22477906,0.25029359,0.00139772,0.96359838,0.38718413,0.00591669,0.64861699
-5.97598799,1.23403885,0.25718716,0.00140233,0.97278960,0.38532150,0.00604315,0.64799025
-5.96998499,1.24464755,0.26418739,0.00141537,0.98126372,0.38428154,0.00618092,0.64809630
-5.96398199,1.25659145,0.27131386,0.00143681,0.98905555,0.38407307,0.00633043,0.64890734
-5.95797899,1.26987091,0.27859030,0.00146650,0.99623353,0.38470877,0.00649199,0.65040412
-5.95197599,1.28450409,0.28604287,0.00150424,1.00289953,0.38620806,0.00666570,0.65258067
-5.94597299,1.30053009,0.29369833,0.00154976,1.00918818,0.38859960,0.00685149,0.65544863
-5.93996998,1.31801127,0.30158206,0.00160271,1.01526607,0.39192328,0.00704907,0.65904106
-5.93396698,1.33703485,0.30971611,0.00166271,1.02133062,0.39623161,0.00725794,0.66341565
-5.92796398,1.35771365,0.31811736,0.00172937,1.02760876,0.40159047,0.00747740,0.66865700
-5.92196098,1.38018582,0.32679584,0.00180224,1.03435522,0.40807917,0.00770655,0.67487795
-5.91595798,1.40461349,0.33575331,0.00188091,1.04185041,0.41578971,0.00794435,0.68221982
-5.90995498,1.43118021,0.34498207,0.00196495,1.05039755,0.42482523,0.00818965,0.69085117
-5.90395198,1.46008700,0.35446417,0.00205396,1.06031884,0.43529770,0.00844120,0.70096532
-5.89794897,1.49154693,0.36417082,0.00214759,1.07195048,0.44732477,0.00869776,0.71277624
-5.89194597,1.52577809,0.37406222,0.00224549,1.08563627,0.46102595,0.00895806,0.72651299
-5.88594297,1.56299508,0.38408761,0.00234738,1.10171964,0.47651810,0.00922089,0.74241268
-5.87993997,1.60339898,0.39418562,0.00245299,1.12053409,0.49391034,0.00948512,0.76071209
-5.87393697,1.64716607,0.40428484,0.00256208,1.14239209,0.51329866,0.00974968,0.78163819
-5.86793397,1.69443560,0.41430461,0.00267442,1.16757267,0.53476028,0.01001360,0.80539781
-5.86193097,1.74529700,0.42415591,0.00278980,1.19630802,0.55834804,0.01027599,0.83216693
-5.85592796,1.79977709,0.43374249,0.00290796,1.22876961,0.58408503,0.01053597,0.86207986
-5.84992496,1.85782788,0.44296202,0.00302862,1.26505445,0.61195972,0.01079269,0.89521901
-5.84392196,1.91931568,0.45170744,0.00315140,1.30517226,0.64192183,0.01104526,0.93160552
-5.83791896,1.98401205,0.45986831,0.00327586,1.34903412,0.67387915,0.01129267,0.97119141
-5.83191596,2.05158743,0.46733235,0.00340144,1.39644366,0.70769554,0.01153378,1.01385359
-5.82591296,2.12160794,0.47398710,0.00352747,1.44709118,0.74319022,0.01176724,1.05939024
