energy_ev,total_up,P_s_up,P_p_up,Ru_p_up,Ru_d_up,Se_s_up,Se_p_up
-6.00000000,5.60936225,0.01200491,1.82784342,3.23189347,3.00465431,0.06285239,1.13169075
-5.99399700,5.49313009,0.01184077,1.80892681,3.15559511,2.96116578,0.06125123,1.09117045
-5.98799400,5.39099419,0.01171821,1.79325179,3.08897829,2.92345965,0.05983522,1.05510026
-5.98199100,5.30391446,0.01164126,1.78085017,3.03294305,2.89192022,0.05860978,1.02385892
-5.97598799,5.23243377,0.01161256,1.77163238,2.98810029,2.86673389,0.05757504,0.99772349
-5.96998499,5.17668052,0.01163321,1.76539070,2.95476395,2.84789007,0.05672602,0.97686895
-5.96398199,5.13638550,0.01170290,1.76180706,2.93295381,2.83518914,0.05605306,0.96137073
-5.95797899,5.11091196,0.01181987,1.76046514,2.92240874,2.82825711,0.05554241,0.95121006
-5.95197599,5.09929724,0.01198112,1.76086639,2.92260937,2.82656630,0.05517686,0.94628137
-5.94597299,5.10030381,0.01218247,1.76244938,2.93280924,2.82946088,0.05493659,0.94640158
-5.93996998,5.11247707,0.01241881,1.76461149,2.95207237,2.83618616,0.05479998,0.95132047
-5.93396698,5.13420683,0.01268426,1.76673222,2.97931562,2.84592003,0.05474450,0.96073162
-5.92796398,5.16378970,0.01297241,1.76819673,3.01335345,2.85780517,0.05474756,0.97428337
-5.92196098,5.19948909,0.01327652,1.76841887,3.05294297,2.87098025,0.05478732,0.99158928
-5.91595798,5.23959051,0.01358975,1.76686222,3.09682717,2.88460906,0.05484335,1.01223764
-5.90995498,5.28244956,0.01390532,1.76305856,3.14377433,2.89790590,0.05489728,1.03579979
-5.90395198,5.32653126,0.01421667,1.75662274,3.19261219,2.91015674,0.05493321,1.06183702
-5.89794897,5.37043948,0.01451762,1.74726333,3.24225558,2.92073506,0.05493800,1.08990610
-5.89194597,5.41293635,0.01480248,1.73478893,3.29172688,2.92911248,0.05490147,1.11956348
-5.88594297,5.45295199,0.01506606,1.71910975,3.34016920,2.93486408,0.05481637,1.15036846
-5.87993997,5.48958558,0.01530381,1.70023491,3.38685251,2.93766875,0.05467828,1.18188562
-5.87393697,5.52209946,0.01551178,1.67826567,3.43117345,2.93730560,0.05448540,1.21368698
-5.86793397,5.54990812,0.01568663,1.65338535,3.47265006,2.93364702,0.05423825,1.24535420
-5.86193097,5.57256430,0.01582565,1.62584670,3.51091263,2.92664973,0.05393934,1.27648131
-5.85592796,5.58974432,0.01592672,1.59595757,3.54569222,2.91634475,0.05359284,1.30667826
-5.84992496,5.60123462,0.01598832,1.56406586,3.57680838,2.90282749,0.05320422,1.33557555
-5.84392196,5.60692119,0.01600950,1.53054461,3.60415726,2.88624884,0.05277997,1.36282998
-5.83791896,5.60678297,0.01598987,1.49577810,3.62770151,2.86680785,0.05232733,1.38813155
-5.83191596,5.60088983,0.01592965,1.46014958,3.64746244,2.84474667,0.05185414,1.41121123
-5.82591296,5.58940504,0.01582966,1.42403115,3.66351521,2.82034762,0.05136867,1.43184933
-5.81990995,5.57259172,0.01569133,1.38777613,3.67598684,2.79393247,0.05087962,1.44988388
-5.81390695,5.55082185,0.01551675,1.35171394,3.68505680,2.76586335,0.05039601,1.46521861
-5.80790395,5.52458649,0.01530868,1.31614743,3.69095957,2.73654467,0.04992728,1.47782972
-5.80190095,5.49450524,0.01507060,1.28135237,3.69398815,2.70642527,0.04948326,1.48777097
-5.79589795,5.46133296,0.01480666,1.24757871,3.69449745,2.67599987,0.04907418,1.49517645
-5.78989495,5.42596185,0.01452172,1.21505301,3.69290645,2.64580900,0.04871062,1.50026054
-5.78389195,5.38941740,0.01422127,1.18398153,3.68969802,2.61643643,0.04840349,1.50331473
-5.77788894,5.35284678,0.01391140,1.15455343,3.68541542,2.58850374,0.04816383,1.50470117
-5.77188594,5.31749910,0.01359867,1.12694349,3.68065490,2.56266137,0.04800261,1.50484286
-5.76588294,5.28469729,0.01328999,1.10131396,3.67605387,2.53957613,0.04793045,1.50421078
-5.75987994,5.25580228,0.01299252,1.07781524,3.67227470,2.51991523,0.04795725,1.50330837
-5.75387694,5.23217024,0.01271340,1.05658515,3.66998450,2.50432737,0.04809181,1.50265389
-5.74787394,5.21510494,0.01245963,1.03774676,3.66983144,2.49342134,0.04834135,1.50276130
-5.74187094,5.20580687,0.01223782,1.02140493,3.67241867,2.48774332,0.04871107,1.50412073
-5.73586793,5.20532183,0.01205399,1.00764173,3.67827708,2.48775365,0.04920375,1.50717906
-5.72986493,5.21449131,0.01191335,0.99651115,3.68783809,2.49380443,0.04981929,1.51232174
-5.72386193,5.23390743,0.01182012,0.98803335,3.70140816,2.50611908,0.05055442,1.51985665
-5.71785893,5.26387464,0.01177734,0.98218918,3.71914628,2.52477493,0.05140249,1.53000057
-5.71185593,5.30438058,0.01178673,0.97891512,3.74104577,2.54969005,0.05235330,1.54286912
-5.70585293,5.35507768,0.01184859,0.97809944,3.76692164,2.58061504,0.05339317,1.55847046
-5.69984992,5.41527695,0.01196169,0.97957966,3.79640428,2.61713057,0.05450506,1.57670322
-5.69384692,5.48395458,0.01212335,0.98314184,3.82894021,2.65865099,0.05566887,1.59735855
-5.68784392,5.55977159,0.01232935,0.98852194,3.86380006,2.70443422,0.05686190,1.62012645
-5.68184092,5.64110602,0.01257411,0.99540917,3.90009385,2.75359778,0.05805939,1.64460600
-5.67583792,5.72609677,0.01285078,1.00345162,3.93679307,2.80514048,0.05923521,1.67031910
-5.66983492,5.81269742,0.01315140,1.01226379,3.97275888,2.85796915,0.06036258,1.69672713
-5.66383192,5.89873810,0.01346717,1.02143594,4.00677550,2.91092936,0.06141490,1.72324988
-5.65782891,5.98199302,0.01378866,1.03054488,4.03758745,2.96283915,0.06236660,1.74928599
-5.65182591,6.06025103,0.01410608,1.03916575,4.06393926,3.01252434,0.06319390,1.77423400
-5.64582291,6.13138633,0.01440962,1.04688432,4.08461614,3.05885406,0.06387567,1.79751318
-5.63981991,6.19342654,0.01468971,1.05330931,4.09848388,3.10077511,0.06439409,1.81858334
-5.63381691,6.24461540,0.01493732,1.05808416,4.10452649,3.13734370,0.06473525,1.83696275
-5.62781391,6.28346749,0.01514425,1.06089766,4.10188003,3.16775324,0.06488966,1.85224356
-5.62181091,6.30881287,0.01530336,1.06149310,4.08986125,3.19135712,0.06485258,1.86410402
-5.61580790,6.31982985,0.01540883,1.05967547,4.06798991,3.20768549,0.06462418,1.87231719
-5.60980490,6.31606462,0.01545625,1.05531629,4.03600401,3.21645539,0.06420955,1.87675575
