energy_ev,total_up,C_s_up,C_p_up,Cu_p_up,Cu_d_up,S_s_up,S_p_up
-6.00000000,4.34493182,0.04389888,0.84992763,0.81305887,1.13508295,0.10713313,0.86468747
-5.99399700,4.59682244,0.04643258,0.89918606,0.86004020,1.20101009,0.11338668,0.91480514
-5.98799400,4.82906087,0.04876577,0.94459492,0.90331300,1.26182528,0.11916277,0.96101294
-5.98199100,5.03732588,0.05085467,0.98530769,0.94206509,1.31640126,0.12435517,1.00245194
-5.97598799,5.21762089,0.05265874,1.02054115,0.97554458,1.36369575,0.12886567,1.03832804
-5.96998499,5.36640391,0.05414205,1.04960081,1.00308399,1.40278546,0.13260728,1.06793778
-5.96398199,5.48070637,0.05527441,1.07190411,1.02412242,1.43289724,0.13550723,1.09069202
-5.95797899,5.55823532,0.05603243,1.08700042,1.03822456,1.45343487,0.13750947,1.10613625
-5.95197599,5.59745409,0.05640032,1.09458679,1.04509571,1.46400019,0.13857675,1.11396661
-5.94597299,5.59763754,0.05637043,1.09451884,1.04459203,1.46440764,0.13869197,1.11404088
-5.93996998,5.55889922,0.05594356,1.08681600,1.03672570,1.45469139,0.13785885,1.10638384
-5.93396698,5.48218893,0.05512890,1.07166113,1.02166446,1.43510472,0.13610195,1.09118673
-5.92796398,5.36926090,0.05394372,1.04939434,0.99972582,1.40611169,0.13346583,1.06880087
-5.92196098,5.22261397,0.05241281,1.02050133,0.97136611,1.36837144,0.13001357,1.03972570
-5.91595798,5.04540680,0.05056759,0.98559690,0.93716491,1.32271598,0.12582467,1.00459180
-5.90995498,4.84135194,0.04844512,0.94540436,0.89780563,1.27012229,0.12099238,0.96413976
-5.90395198,4.61459389,0.04608684,0.90073175,0.85405323,1.21168029,0.11562064,0.91919577
-5.89794897,4.36957669,0.04353734,0.85244612,0.80673001,1.14855805,0.10982075,0.87064520
-5.89194597,4.11090696,0.04084294,0.80144686,0.75669068,1.08196566,0.10370786,0.81940523
-5.88594297,3.84321827,0.03805045,0.74863936,0.70479763,1.01311960,0.09739759,0.76639768
-5.87993997,3.57104252,0.03520586,0.69490995,0.65189767,0.94320881,0.09100274,0.71252336
-5.87393697,3.29869305,0.03235324,0.64110326,0.59880085,0.87336393,0.08463029,0.65863861
-5.86793397,3.03016386,0.02953379,0.58800259,0.54626230,0.80463079,0.07837889,0.60553519
-5.86193097,2.76904782,0.02678502,0.53631407,0.49496753,0.73794890,0.07233671,0.55392379
-5.85592796,2.51847600,0.02414027,0.48665484,0.44552158,0.67413563,0.06657993,0.50442195
-5.84992496,2.28107893,0.02162826,0.43954559,0.39844208,0.61387613,0.06117180,0.45754616
-5.84392196,2.05896959,0.01927305,0.39540716,0.35415624,0.55771918,0.05616221,0.41370848
-5.83791896,1.85374696,0.01709401,0.35456124,0.31300141,0.50607847,0.05158784,0.37321711
-5.83191596,1.66651793,0.01510615,0.31723455,0.27522891,0.45923887,0.04747282,0.33628083
-5.82591296,1.49793515,0.01332039,0.28356611,0.24101052,0.41736695,0.04382980,0.30301647
-5.81990995,1.34824724,0.01174414,0.25361681,0.21044711,0.38052491,0.04066136,0.27345897
-5.81390695,1.21735822,0.01038181,0.22738081,0.18357873,0.34868690,0.03796169,0.24757332
-5.80790395,1.10489234,0.00923545,0.20479794,0.16039554,0.32175693,0.03571842,0.22526758
-5.80190095,1.01026105,0.00830528,0.18576641,0.14084894,0.29958719,0.03391451,0.20640637
-5.79589795,0.93272862,0.00759033,0.17015538,0.12486236,0.28199601,0.03253010,0.19082418
-5.78989495,0.87147375,0.00708893,0.15781660,0.11234119,0.26878469,0.03154423,0.17833787
-5.78389195,0.82564451,0.00679910,0.14859481,0.10318154,0.25975226,0.03093644,0.16875792
-5.77788894,0.79440488,0.00671890,0.14233654,0.09727734,0.25470791,0.03068798,0.16189806
-5.77188594,0.77697125,0.00684662,0.13889697,0.09452581,0.25348041,0.03078280,0.15758289
-5.76588294,0.77263835,0.00718085,0.13814474,0.09483103,0.25592440,0.03120822,0.15565352
-5.75987994,0.78079397,0.00772042,0.13996467,0.09810560,0.26192340,0.03195517,0.15597091
-5.75387694,0.80092305,0.00846428,0.14425847,0.10427063,0.27138960,0.03301811,0.15841721
-5.74787394,0.83260151,0.00941115,0.15094347,0.11325402,0.28426058,0.03439462,0.16289499
-5.74187094,0.87548130,0.01055920,0.15994980,0.12498737,0.30049339,0.03608466,0.16932484
-5.73586793,0.92926788,0.01190557,0.17121603,0.13940186,0.32005630,0.03808956,0.17764134
-5.72986493,0.99369211,0.01344591,0.18468394,0.15642324,0.34291892,0.04041088,0.18778795
-5.72386193,1.06847846,0.01517383,0.20029252,0.17596654,0.36904122,0.04304896,0.19971119
-5.71785893,1.15331178,0.01708041,0.21797176,0.19793070,0.39836216,0.04600164,0.21335433
-5.71185593,1.24780474,0.01915376,0.23763667,0.22219351,0.43078864,0.04926281,0.22865128
-5.70585293,1.35146808,0.02137857,0.25918178,0.24860743,0.46618545,0.05282112,0.24552085
-5.69984992,1.46368571,0.02373589,0.28247669,0.27699625,0.50436696,0.05665895,0.26386187
-5.69384692,1.58369638,0.02620290,0.30736283,0.30715334,0.54509102,0.06075147,0.28354950
-5.68784392,1.71058327,0.02875292,0.33365176,0.33884122,0.58805562,0.06506619,0.30443297
-5.68184092,1.84327264,0.03135560,0.36112522,0.37179299,0.63289870,0.06956276,0.32633487
-5.67583792,1.98054198,0.03397716,0.38953697,0.40571543,0.67920127,0.07419318,0.34905230
-5.66983492,2.12103771,0.03658097,0.41861642,0.44029380,0.72649387,0.07890252,0.37235963
-5.66383192,2.26330192,0.03912818,0.44807393,0.47519812,0.77426626,0.08362991,0.39601302
-5.65782891,2.40580715,0.04157854,0.47760765,0.51009079,0.82197998,0.08831005,0.41975634
-5.65182591,2.54699765,0.04389138,0.50691139,0.54463504,0.86908330,0.09287495,0.44332835
-5.64582291,2.68533509,0.04602658,0.53568342,0.57850391,0.91502788,0.09725607,0.46647066
-5.63981991,2.81934658,0.04794575,0.56363544,0.61138922,0.95928641,0.10138646,0.48893624
-5.63381691,2.94767237,0.04961328,0.59050153,0.64301007,1.00137030,0.10520324,0.51049780
-5.62781391,3.06911072,0.05099744,0.61604629,0.67312031,1.04084659,0.10864985,0.53095580
-5.62181091,3.18265733,0.05207132,0.64007198,0.70151454,1.07735316,0.11167830,0.55014551
-5.61580790,3.28753711,0.05281378,0.66242402,0.72803234,1.11061131,0.11425115,0.56794270
-5.60980490,3.38322634,0.05321003,0.68299460,0.75256022,1.14043518,0.11634320,0.58426765
-5.60380190,3.46946369,0.05325224,0.70172412,0.77503140,1.16673721,0.11794265,0.59908724
-5.59779890,3.54624931,0.05293971,0.71860036,0.79542317,1.18952938,0.11905189,0.61241479
-5.59179590,3.61383170,0.05227898,0.73365537,0.81375201,1.20892007,0.11968768,0.62430778
-5.58579290,3.67268288,0.05128355,0.74696017,0.83006682,1.22510653,0.11988067,0.63486345
