energy_ev,total_up,C_s_up,C_p_up,Ir_p_up,Ir_d_up,Te_p_up,Te_d_up,V_p_up,V_d_up
-6.00000000,5.39281333,0.03712261,0.47808455,1.73390821,1.99360867,2.42935198,0.00000000,0.83073586,0.48582218
-5.99399700,5.22465636,0.03425884,0.47169288,1.64804155,1.97645496,2.31226523,0.00000000,0.78655507,0.46164051
-5.98799400,5.07329080,0.03154879,0.46744951,1.56997910,1.96585084,2.20148172,0.00000000,0.74485771,0.43804453
-5.98199100,4.93919020,0.02900313,0.46505123,1.49951635,1.96170121,2.09785491,0.00000000,0.70569569,0.41529985
-5.97598799,4.82244494,0.02662895,0.46417928,1.43630578,1.96378591,2.00203882,0.00000000,0.66909179,0.39363161
-5.96998499,4.72279359,0.02442986,0.46451077,1.37987963,1.97177548,1.91448731,0.00000000,0.63504494,0.37322194
-5.96398199,4.63966543,0.02240627,0.46572954,1.32967517,1.98525044,1.83546050,0.00000000,0.60353558,0.35420915
-5.95797899,4.57223149,0.02055573,0.46753601,1.28506161,2.00372283,1.76503744,0.00000000,0.57453067,0.33668866
-5.95197599,4.51946140,0.01887328,0.46965591,1.24536766,2.02665908,1.70313397,0.00000000,0.54798834,0.32071554
-5.94597299,4.48018308,0.01735188,0.47184743,1.20990883,2.05350290,1.64952463,0.00000000,0.52386164,0.30630813
-5.93996998,4.45314242,0.01598285,0.47390688,1.17801348,2.08369714,1.60386712,0.00000000,0.50210164,0.29345285
-5.93396698,4.43706011,0.01475629,0.47567250,1.14904674,2.11670360,1.56572812,0.00000000,0.48265956,0.28210946
-5.92796398,4.43068319,0.01366154,0.47702670,1.12243157,2.15201988,1.53460913,0.00000000,0.46548804,0.27221681
-5.92196098,4.43282962,0.01268754,0.47789662,1.09766613,2.18919288,1.50997111,0.00000000,0.45054178,0.26369861
-5.91595798,4.44242424,0.01182322,0.47825312,1.07433726,2.22782827,1.49125726,0.00000000,0.43777760,0.25646888
-5.90995498,4.45852560,0.01105780,0.47810861,1.05212949,2.26759614,1.47791291,0.00000000,0.42715407,0.25043716
-5.90395198,4.48034330,0.01038106,0.47751371,1.03082975,2.30823278,1.46940234,0.00000000,0.41863122,0.24551300
-5.89794897,4.50724650,0.00978356,0.47655325,1.01032770,2.34953898,1.46522209,0.00000000,0.41217024,0.24160979
-5.89194597,4.53876417,0.00925680,0.47534168,0.99061212,2.39137547,1.46491096,0.00000000,0.40773353,0.23864788
-5.88594297,4.57457858,0.00879333,0.47401841,0.97176374,2.43365613,1.46805673,0.00000000,0.40528531,0.23655691
-5.87993997,4.61451330,0.00838680,0.47274314,0.95394509,2.47633965,1.47429989,0.00000000,0.40479268,0.23527740
-5.87393697,4.65851736,0.00803201,0.47169145,0.93738808,2.51942052,1.48333500,0.00000000,0.40622728,0.23476172
-5.86793397,4.70664696,0.00772488,0.47105088,0.92237998,2.56291993,1.49490987,0.00000000,0.40956734,0.23497438
-5.86193097,4.75904619,0.00746241,0.47101745,0.90924843,2.60687719,1.50882312,0.00000000,0.41480007,0.23589193
-5.85592796,4.81592770,0.00724259,0.47179274,0.89834629,2.65134216,1.52492052,0.00000000,0.42192399,0.23750227
-5.84992496,4.87755413,0.00706435,0.47358140,0.89003669,2.69636894,1.54309048,0.00000000,0.43095100,0.23980374
-5.84392196,4.94422068,0.00692742,0.47658895,0.88467893,2.74201083,1.56325875,0.00000000,0.44190790,0.24280380
-5.83791896,5.01623885,0.00683220,0.48101977,0.88261546,2.78831661,1.58538276,0.00000000,0.45483680,0.24651757
-5.83191596,5.09392117,0.00677964,0.48707496,0.88416023,2.83532784,1.60944544,0.00000000,0.46979449,0.25096602
-5.82591296,5.17756641,0.00677111,0.49494993,0.88958854,2.88307680,1.63544865,0.00000000,0.48685017,0.25617408
-5.81990995,5.26744476,0.00680822,0.50483143,0.89912829,2.93158467,1.66340626,0.00000000,0.50608163,0.26216848
-5.81390695,5.36378234,0.00689265,0.51689398,0.91295284,2.98085967,1.69333667,0.00000000,0.52756985,0.26897551
-5.80790395,5.46674478,0.00702605,0.53129539,0.93117512,3.03089455,1.72525503,0.00000000,0.55139196,0.27661857
-5.80190095,5.57641944,0.00720982,0.54817158,0.95384306,3.08166340,1.75916507,0.00000000,0.57761303,0.28511570
-5.79589795,5.69279669,0.00744495,0.56763054,0.98093627,3.13311753,1.79505080,0.00000000,0.60627690,0.29447701
-5.78989495,5.81575052,0.00773191,0.58974588,1.01236391,3.18518059,1.83286828,0.00000000,0.63739670,0.30470225
-5.78389195,5.94501964,0.00807050,0.61454996,1.04796373,3.23774314,1.87253804,0.00000000,0.67094554,0.31577850
-5.77788894,6.08019027,0.00845968,0.64202722,1.08750258,3.29065718,1.91393835,0.00000000,0.70684814,0.32767818
-5.77188594,6.22068238,0.00889754,0.67210800,1.13067834,3.34373135,1.95690024,0.00000000,0.74497410,0.34035750
-5.76588294,6.36574126,0.00938121,0.70466346,1.17712361,3.39672744,2.00120460,0.00000000,0.78513341,0.35375555
-5.75987994,6.51443629,0.00990682,0.73950204,1.22641140,3.44935927,2.04658220,0.00000000,0.82707484,0.36779416
-5.75387694,6.66566889,0.01046955,0.77636793,1.27806301,3.50129461,2.09271701,0.00000000,0.87048770,0.38237864
-5.74787394,6.81819111,0.01106366,0.81494205,1.33155824,3.55216094,2.13925335,0.00000000,0.91500729,0.39739958
-5.74187094,6.97063585,0.01168268,0.85484575,1.38634807,3.60155566,2.18580704,0.00000000,0.96022400,0.41273570
-5.73586793,7.12155922,0.01231950,0.89564752,1.44186966,3.64906101,2.23198056,0.00000000,1.00569612,0.42825783
-5.72986493,7.26949446,0.01296666,0.93687250,1.49756357,3.69426363,2.27738198,0.00000000,1.05096586,0.44383381
-5.72386193,7.41301612,0.01361660,0.97801495,1.55289254,3.73677841,2.32164708,0.00000000,1.09557792,0.45933445
-5.71785893,7.55081220,0.01426196,1.01855293,1.60736154,3.77627570,2.36446370,0.00000000,1.13909992,0.47463994
-5.71185593,7.68176103,0.01489597,1.05796489,1.66053804,3.81251070,2.40559726,0.00000000,1.18114354,0.48964683
-5.70585293,7.80500899,0.01551272,1.09574743,1.71207166,3.84535346,2.44491601,0.00000000,1.22138530,0.50427487
-5.69984992,7.92004448,0.01610758,1.13143331,1.76171222,3.87481746,2.48241443,0.00000000,1.25958575,0.51847364
-5.69384692,8.02676324,0.01667750,1.16460884,1.80932497,3.90108487,2.51823317,0.00000000,1.29560587,0.53222819
-5.68784392,8.12552013,0.01722128,1.19492978,1.85490213,3.92452623,2.55267389,0.00000000,1.32941965,0.54556365
-5.68184092,8.21716282,0.01773985,1.22213471,1.89856955,3.94571261,2.58620756,0.00000000,1.36112173,0.55854807
-5.67583792,8.30304326,0.01823635,1.24605525,1.94058791,3.96541832,2.61947482,0.00000000,1.39092958,0.57129339
-5.66983492,8.38500409,0.01871627,1.26662223,1.98134773,3.98461296,2.65327776,0.00000000,1.41917959,0.58395418
-5.66383192,8.46533804,0.01918733,1.28386763,2.02135816,4.00444173,2.68856235,0.00000000,1.44631703,0.59672399
-5.65782891,8.54672014,0.01965938,1.29792176,2.06122927,4.02619389,2.72639174,0.00000000,1.47288006,0.60982937
-5.65182591,8.63211377,0.02014411,1.30900590,2.10164869,4.05125979,2.76791081,0.00000000,1.49947823,0.62352159
-5.64582291,8.72465361,0.02065467,1.31742065,2.14335300,4.08107761,2.81430317,0.00000000,1.52676644,0.63806635
-5.63981991,8.82750958,0.02120519,1.32353037,2.18709514,4.11707176,2.86674194,0.00000000,1.55541534,0.65373187
-5.63381691,8.94373769,0.02181024,1.32774465,2.23360912,4.16058546,2.92633657,0.00000000,1.58607953,0.67077589
-5.62781391,9.07612447,0.02248415,1.33049760,2.28357364,4.21281052,2.99407764,0.00000000,1.61936501,0.68943207
-5.62181091,9.22703248,0.02324040,1.33222599,2.33757621,4.27471785,3.07078257,0.00000000,1.65579747,0.70989662
-5.61580790,9.39825479,0.02409090,1.33334742,2.39607950,4.34699229,3.15704458,0.00000000,1.69579276,0.73231566
-5.60980490,9.59088621,0.02504535,1.33423962,2.45939162,4.42997530,3.25318755,0.00000000,1.73963123,0.75677421
-5.60380190,9.80521833,0.02611066,1.33522184,2.52764173,4.52361903,3.35922939,0.00000000,1.78743700,0.78328716
-5.59779890,10.04066473,0.02729038,1.33653934,2.60076233,4.62745470,3.47485565,0.00000000,1.83916327,0.81179308
-5.59179590,10.29572117,0.02858436,1.33835162,2.67847918,4.74057753,3.59940546,0.00000000,1.89458458,0.84215095
-5.58579290,10.56796410,0.02998849,1.34072508,2.76030949,4.86164991,3.73187062,0.00000000,1.95329625,0.87414040
-5.57978989,10.85408875,0.03149455,1.34363018,2.84556863,4.98892348,3.87090857,0.00000000,2.01472141,0.90746526
-5.57378689,11.14998645,0.03309035,1.34694339,2.93338521,5.12027975,4.01486917,0.00000000,2.07812521,0.94176061
-5.56778389,11.45085848,0.03475997,1.35045353,3.02272407,5.25328820,4.16183455,0.00000000,2.14263596,0.97660284
-5.56178089,11.75136223,0.03648418,1.35387221,3.11241626,5.38527960,4.30967067,0.00000000,2.20727205,1.01152245
-5.55577789,12.04578359,0.03824103,1.35684775,3.20119479,5.51343162,4.45608875,0.00000000,2.27097394,1.04601903
-5.54977489,12.32822816,0.04000658,1.35898173,3.28773472,5.63486319,4.59871427,0.00000000,2.33263965,1.07957755
-5.54377189,12.59282305,0.04175575,1.35984748,3.37069586,5.74673344,4.73516050,0.00000000,2.39116241,1.11168553
-5.53776888,12.83392015,0.04346318,1.35900932,3.44876641,5.84634075,4.86310389,0.00000000,2.44546887,1.14184989
-5.53176588,13.04629199,0.04510420,1.35604201,3.52070546,5.93121771,4.98035791,0.00000000,2.49455626,1.16961310
-5.52576288,13.22531139,0.04665571,1.35054908,3.58538276,5.99921752,5.08494226,0.00000000,2.53752681,1.19456754
-5.51975988,13.36710692,0.04809705,1.34217964,3.64181391,6.04858805,5.17514456,0.00000000,2.57361817,1.21636764
-5.51375688,13.46868756,0.04941072,1.33064272,3.68918947,6.07803048,5.24957186,0.00000000,2.60222821,1.23473917
-5.50775388,13.52803116,0.05058299,1.31571872,3.72689688,6.08673975,5.30718969,0.00000000,2.62293334,1.24948534
-5.50175088,13.54413336,0.05160431,1.29726761,3.75453407,6.07442559,5.34734715,0.00000000,2.63549941,1.26048950
