energy_ev,total_up,N_s_up,N_p_up,Ru_p_up,Ru_d_up,Te_p_up,Te_d_up
-6.00000000,4.28680155,0.01068030,0.91411590,2.76287234,1.25350566,1.64737549,0.00000000
-5.99399700,4.41306834,0.01079253,0.94962982,2.82885474,1.29335115,1.68717331,0.00000000
-5.98799400,4.53221185,0.01085796,0.98428839,2.88880307,1.33103446,1.72376698,0.00000000
-5.98199100,4.64418799,0.01087829,1.01795524,2.94268015,1.36650782,1.75730993,0.00000000
-5.97598799,4.74919481,0.01085634,1.05053793,2.99063600,1.39979272,1.78805440,0.00000000
-5.96998499,4.84763241,0.01079602,1.08198380,3.03298207,1.43097049,1.81632974,0.00000000
-5.96398199,4.94005719,0.01070220,1.11227443,3.07016129,1.46017118,1.84251870,0.00000000
-5.95797899,5.02713265,0.01058068,1.14141908,3.10271560,1.48756113,1.86703288,0.00000000
-5.95197599,5.10957906,0.01043799,1.16944727,3.13125248,1.51332975,1.89028849,0.00000000
-5.94597299,5.18812405,0.01028137,1.19640078,3.15641166,1.53767614,1.91268364,0.00000000
-5.93996998,5.26345608,0.01011861,1.22232531,3.17883335,1.56079580,1.93457809,0.00000000
-5.93396698,5.33618241,0.00995793,1.24726209,3.19912909,1.58286815,1.95627619,0.00000000
-5.92796398,5.40679280,0.00980795,1.27123965,3.21785570,1.60404490,1.97801361,0.00000000
-5.92196098,5.47562997,0.00967753,1.29426615,3.23549330,1.62443995,1.99994823,0.00000000
-5.91595798,5.54286753,0.00957571,1.31632243,3.25242742,1.64412077,2.02215509,0.00000000
-5.90995498,5.60849558,0.00951164,1.33735616,3.26893569,1.66310181,2.04462550,0.00000000
-5.90395198,5.67231430,0.00949446,1.35727735,3.28517891,1.68133993,2.06726986,0.00000000
-5.89794897,5.73393529,0.00953326,1.37595548,3.30119664,1.69873209,2.08992385,0.00000000
-5.89194597,5.79279048,0.00963694,1.39321855,3.31690708,1.71511550,2.11235733,0.00000000
-5.88594297,5.84814808,0.00981412,1.40885407,3.33211111,1.73027019,2.13428557,0.00000000
-5.87993997,5.89913517,0.01007303,1.42261234,3.34650015,1.74392411,2.15538199,0.00000000
-5.87393697,5.94476608,0.01042138,1.43421185,3.35966776,1.75576071,2.17529193,0.00000000
-5.86793397,5.98397573,0.01086619,1.44334679,3.37112440,1.76542877,2.19364690,0.00000000
-5.86193097,6.01565706,0.01141366,1.44969654,3.38031522,1.77255443,2.21007870,0.00000000
-5.85592796,6.03870129,0.01206895,1.45293669,3.38664025,1.77675492,2.22423301,0.00000000
-5.84992496,6.05203969,0.01283604,1.45275135,3.38947643,1.77765361,2.23578209,0.00000000
-5.84392196,6.05468561,0.01371748,1.44884611,3.38820095,1.77489593,2.24443604,0.00000000
-5.83791896,6.04577492,0.01471425,1.44096111,3.38221502,1.76816540,2.24995257,0.00000000
-5.83191596,6.02460367,0.01582550,1.42888364,3.37096722,1.75719919,2.25214485,0.00000000
-5.82591296,5.99066098,0.01704844,1.41245962,3.35397574,1.74180246,2.25088720,0.00000000
-5.81990995,5.94365605,0.01837812,1.39160333,3.33084832,1.72186089,2.24611872,0.00000000
-5.81390695,5.88353781,0.01980734,1.36630500,3.30129932,1.69735058,2.23784442,0.00000000
-5.80790395,5.81050630,0.02132651,1.33663571,3.26516293,1.66834502,2.22613422,0.00000000
-5.80190095,5.72501507,0.02292368,1.30274940,3.22240215,1.63501856,2.21111957,0.00000000
-5.79589795,5.62776461,0.02458449,1.26488189,3.17311289,1.59764615,2.19298813,0.00000000
-5.78989495,5.51968679,0.02629228,1.22334688,3.11752326,1.55659946,2.17197659,0.00000000
-5.78389195,5.40192135,0.02802824,1.17852923,3.05598797,1.51233933,2.14836217,0.00000000
-5.77788894,5.27578540,0.02977164,1.13087572,2.98897835,1.46540506,2.12245308,0.00000000
-5.77188594,5.14273762,0.03150016,1.08088388,2.91706849,1.41640089,2.09457863,0.00000000
-5.76588294,5.00433901,0.03319023,1.02908941,2.84091833,1.36598045,2.06507945,0.00000000
-5.75987994,4.86221221,0.03481755,0.97605276,2.76125472,1.31482989,2.03429840,0.00000000
-5.75387694,4.71800137,0.03635757,0.92234549,2.67885145,1.26365048,2.00257273,0.00000000
-5.74787394,4.57333462,0.03778611,0.86853703,2.59450920,1.21314144,1.97022792,0.00000000
-5.74187094,4.42979081,0.03907991,0.81518230,2.50903656,1.16398385,1.93757353,0.00000000
-5.73586793,4.28887178,0.04021731,0.76281078,2.42323283,1.11682615,1.90490129,0.00000000
