energy_ev,total_up,Cu_p_up,Cu_d_up,Se_s_up,Se_p_up,Si_p_up,Si_d_up
-6.00000000,2.11467530,1.10549514,0.69851720,0.04158655,0.70308310,0.27482121,0.00000000
-5.99399700,2.09861055,1.08659036,0.69782777,0.04211217,0.69838231,0.27089812,0.00000000
-5.98799400,2.07857671,1.06710316,0.69566164,0.04238133,0.69220805,0.26676192,0.00000000
-5.98199100,2.05572824,1.04778273,0.69240026,0.04238867,0.68490090,0.26259045,0.00000000
-5.97598799,2.03130811,1.02938644,0.68846189,0.04213443,0.67683566,0.25856478,0.00000000
-5.96998499,2.00660120,1.01265385,0.68428478,0.04162438,0.66840734,0.25486278,0.00000000
-5.96398199,1.98288445,0.99827995,0.68030901,0.04086960,0.66001576,0.25165247,0.00000000
-5.95797899,1.96137586,0.98688869,0.67695793,0.03988608,0.65204968,0.24908538,0.00000000
-5.95197599,1.94318459,0.97900790,0.67461999,0.03869417,0.64487097,0.24729020,0.00000000
-5.94597299,1.92926469,0.97504703,0.67363170,0.03731784,0.63879976,0.24636709,0.00000000
-5.93996998,1.92037448,0.97527856,0.67426285,0.03578391,0.63410107,0.24638282,0.00000000
-5.93396698,1.91704388,0.97982443,0.67670438,0.03412117,0.63097383,0.24736713,0.00000000
-5.92796398,1.91955133,0.98864804,0.68105991,0.03235948,0.62954273,0.24931046,0.00000000
-5.92196098,1.92791165,1.00155265,0.68734109,0.03052886,0.62985345,0.25216314,0.00000000
-5.91595798,1.94187576,1.01818634,0.69546731,0.02865866,0.63187150,0.25583634,0.00000000
-5.90995498,1.96094242,1.03805370,0.70526980,0.02677679,0.63548487,0.26020460,0.00000000
-5.90395198,1.98438171,1.06053378,0.71649989,0.02490903,0.64051032,0.26510996,0.00000000
-5.89794897,2.01126932,1.08490385,0.72884121,0.02307853,0.64670320,0.27036754,0.00000000
-5.89194597,2.04053007,1.11036779,0.74192528,0.02130542,0.65377013,0.27577248,0.00000000
-5.88594297,2.07098873,1.13608826,0.75534962,0.01960649,0.66138423,0.28110764,0.00000000
-5.87993997,2.10142557,1.16122082,0.76869761,0.01799516,0.66920175,0.28615217,0.00000000
-5.87393697,2.13063409,1.18494889,0.78155903,0.01648147,0.67687968,0.29069014,0.00000000
-5.86793397,2.15747786,1.20651753,0.79355033,0.01507221,0.68409312,0.29451917,0.00000000
-5.86193097,2.18094388,1.22526480,0.80433343,0.01377119,0.69055163,0.29745847,0.00000000
