energy_ev,total_up,C_s_up,C_p_up,Ca_p_up,Ca_d_up,Ir_p_up,Ir_d_up,Te_p_up,Te_d_up
-6.00000000,3.21253275,0.00661403,0.72222934,0.02020790,0.00000000,1.11653542,1.62442490,0.69382909,0.00000000
-5.99399700,3.18990176,0.00686629,0.70040950,0.02084959,0.00000000,1.07747900,1.62164424,0.70734008,0.00000000
-5.98799400,3.17027703,0.00717189,0.67741718,0.02153543,0.00000000,1.04028691,1.61997014,0.72429841,0.00000000
-5.98199100,3.15609047,0.00753696,0.65375841,0.02227643,0.00000000,1.00545257,1.62080378,0.74520901,0.00000000
-5.97598799,3.14980668,0.00796786,0.62995547,0.02308301,0.00000000,0.97347912,1.62555865,0.77057129,0.00000000
-5.96998499,3.15384020,0.00847084,0.60653219,0.02396449,0.00000000,0.94485973,1.63561575,0.80085780,0.00000000
-5.96398199,3.17047084,0.00905166,0.58399928,0.02492842,0.00000000,0.92005678,1.65227815,0.83649143,0.00000000
-5.95797899,3.20176012,0.00971512,0.56284048,0.02598011,0.00000000,0.89948118,1.67672650,0.87782204,0.00000000
-5.95197599,3.24947209,0.01046473,0.54349972,0.02712209,0.00000000,0.88347279,1.70997718,0.92510363,0.00000000
-5.94597299,3.31500144,0.01130233,0.52636986,0.02835374,0.00000000,0.87228290,1.75284427,0.97847300,0.00000000
-5.93996998,3.39931159,0.01222772,0.51178319,0.02967099,0.00000000,0.86605981,1.80590676,1.03793106,0.00000000
-5.93396698,3.50288504,0.01323844,0.50000387,0.03106610,0.00000000,0.86483798,1.86948224,1.10332759,0.00000000
-5.92796398,3.62568812,0.01432955,0.49122244,0.03252766,0.00000000,0.86853145,1.94360777,1.17435050,0.00000000
-5.92196098,3.76715129,0.01549349,0.48555246,0.03404068,0.00000000,0.87693178,2.02802885,1.25052021,0.00000000
-5.91595798,3.92616606,0.01672011,0.48302916,0.03558682,0.00000000,0.88971059,2.12219691,1.33118975,0.00000000
-5.90995498,4.10109895,0.01799672,0.48361013,0.03714476,0.00000000,0.90642668,2.22527546,1.41555083,0.00000000
-5.90395198,4.28982206,0.01930826,0.48717779,0.03869075,0.00000000,0.92653740,2.33615494,1.50264614,0.00000000
-5.89794897,4.48975975,0.02063758,0.49354365,0.04019919,0.00000000,0.94941378,2.45347594,1.59138755,0.00000000
-5.89194597,4.69794996,0.02196583,0.50245404,0.04164333,0.00000000,0.97435893,2.57566011,1.68057993,0.00000000
-5.88594297,4.91111846,0.02327289,0.51359729,0.04299612,0.00000000,1.00062887,2.70094801,1.76894995,0.00000000
-5.87993997,5.12576383,0.02453791,0.52661201,0.04423090,0.00000000,1.02745503,2.82744287,1.85517884,0.00000000
-5.87393697,5.33825045,0.02573990,0.54109646,0.04532234,0.00000000,1.05406762,2.95315874,1.93793831,0.00000000
-5.86793397,5.54490676,0.02685828,0.55661863,0.04624715,0.00000000,1.07971892,3.07607195,2.01592818,0.00000000
-5.86193097,5.74212551,0.02787357,0.57272694,0.04698482,0.00000000,1.10370580,3.19417389,2.08791454,0.00000000
-5.85592796,5.92646298,0.02876795,0.58896132,0.04751834,0.00000000,1.12539045,3.30552384,2.15276705,0.00000000
-5.84992496,6.09473393,0.02952584,0.60486434,0.04783466,0.00000000,1.14421894,3.40829995,2.20949403,0.00000000
-5.84392196,6.24409918,0.03013437,0.61999224,0.04792518,0.00000000,1.15973674,3.50084687,2.25727410,0.00000000
-5.83791896,6.37214333,0.03058388,0.63392553,0.04778600,0.00000000,1.17160090,3.58171861,2.29548316,0.00000000
-5.83191596,6.47693991,0.03086818,0.64627891,0.04741808,0.00000000,1.17958861,3.64971522,2.32371582,0.00000000
-5.82591296,6.55710230,0.03098482,0.65671029,0.04682722,0.00000000,1.18360179,3.70391232,2.34180053,0.00000000
-5.81990995,6.61181890,0.03093516,0.66492855,0.04602391,0.00000000,1.18366787,3.74368270,2.34980773,0.00000000
