energy_ev,total_up,P_s_up,P_p_up,Se_s_up,Se_p_up,Zn_p_up,Zn_d_up
-6.00000000,1.47194969,0.01347218,0.12854301,0.03582766,0.30021969,0.36601977,0.47895419
-5.99399700,1.39912515,0.01478581,0.12553826,0.03318147,0.28635136,0.35468294,0.44804524
-5.98799400,1.33805874,0.01633490,0.12323961,0.03097454,0.27482634,0.34552403,0.42139822
-5.98199100,1.28906824,0.01813812,0.12167503,0.02922553,0.26570808,0.33861652,0.39910142
-5.97598799,1.25232387,0.02021149,0.12086868,0.02794511,0.25903010,0.33401439,0.38118364
-5.96998499,1.22785339,0.02256754,0.12084049,0.02713625,0.25479642,0.33175106,0.36761844
-5.96398199,1.21554435,0.02521438,0.12160518,0.02679448,0.25298141,0.33183708,0.35832786
-5.95797899,1.21514355,0.02815478,0.12317097,0.02690825,0.25352907,0.33425699,0.35318534
-5.95197599,1.22625432,0.03138535,0.12553793,0.02745927,0.25635189,0.33896538,0.35201796
-5.94597299,1.24833267,0.03489577,0.12869628,0.02842290,0.26132956,0.34588275,0.35460812
-5.93996998,1.28068346,0.03866826,0.13262463,0.02976863,0.26830775,0.35489154,0.36069504
-5.93396698,1.32245788,0.04267716,0.13728846,0.03146052,0.27709734,0.36583268,0.36997619
-5.92796398,1.37265370,0.04688881,0.14263892,0.03345776,0.28747443,0.37850337,0.38210921
-5.92196098,1.43011960,0.05126174,0.14861210,0.03571531,0.29918128,0.39265623,0.39671452
-5.91595798,1.49356455,0.05574706,0.15512893,0.03818457,0.31192860,0.40800038,0.41337889
-5.90995498,1.56157307,0.06028930,0.16209575,0.04081429,0.32539927,0.42420449,0.43166034
-5.90395198,1.63262677,0.06482745,0.16940554,0.04355138,0.33925354,0.44090208,0.45109432
-5.89794897,1.70513198,0.06929638,0.17693993,0.04634206,0.35313577,0.45769892,0.47120130
-5.89194597,1.77745312,0.07362845,0.18457178,0.04913288,0.36668250,0.47418242,0.49149566
-5.88594297,1.84795073,0.07775531,0.19216834,0.05187195,0.37953168,0.48993267,0.51149554
-5.87993997,1.91502281,0.08160991,0.19959481,0.05451016,0.39133263,0.50453470,0.53073354
-5.87393697,1.97714795,0.08512845,0.20671814,0.05700238,0.40175656,0.51759147,0.54876766
-5.86793397,2.03292822,0.08825239,0.21341092,0.05930863,0.41050684,0.52873698,0.56519220
-5.86193097,2.08113001,0.09093026,0.21955515,0.06139518,0.41732892,0.53764891,0.57964799
-5.85592796,2.12072085,0.09311934,0.22504577,0.06323550,0.42201911,0.54406012,0.59183155
-5.84992496,2.15090052,0.09478697,0.22979372,0.06481099,0.42443206,0.54776853,0.60150281
-5.84392196,2.17112487,0.09591166,0.23372846,0.06611161,0.42448624,0.54864481,0.60849086
-5.83791896,2.18112137,0.09648369,0.23679987,0.06713615,0.42216747,0.54663765,0.61269762
-5.83191596,2.18089553,0.09650535,0.23897940,0.06789233,0.41753002,0.54177612,0.61409915
-5.82591296,2.17072804,0.09599082,0.24026054,0.06839659,0.41069535,0.53416932,0.61274466
-5.81990995,2.15116286,0.09496559,0.24065863,0.06867360,0.40184844,0.52400304,0.60875313
-5.81390695,2.12298677,0.09346554,0.24020995,0.06875560,0.39123198,0.51153393,0.60230794
-5.80790395,2.08720146,0.09153578,0.23897034,0.06868138,0.37913846,0.49708116,0.59364947
-5.80190095,2.04498951,0.08922916,0.23701329,0.06849521,0.36590069,0.48101633,0.58306638
-5.79589795,1.99767563,0.08660462,0.23442775,0.06824542,0.35188104,0.46375170,0.57088561
-5.78989495,1.94668491,0.08372556,0.23131565,0.06798302,0.33745989,0.44572773,0.55746173
-5.78389195,1.89349967,0.08065804,0.22778933,0.06776013,0.32302369,0.42740002,0.54316601
-5.77788894,1.83961646,0.07746910,0.22396886,0.06762837,0.30895316,0.40922651,0.52837547
-5.77188594,1.78650466,0.07422524,0.21997951,0.06763726,0.29561201,0.39165531,0.51346248
-5.76588294,1.73556794,0.07099094,0.21594916,0.06783269,0.28333652,0.37511344,0.49878504
-5.75987994,1.68810957,0.06782749,0.21200598,0.06825537,0.27242648,0.35999711,0.48467798
-5.75387694,1.64530236,0.06479194,0.20827614,0.06893949,0.26313743,0.34666345,0.47144537
-5.74787394,1.60816367,0.06193633,0.20488174,0.06991147,0.25567476,0.33542410,0.45935419
-5.74187094,1.57753594,0.05930713,0.20193887,0.07118892,0.25018940,0.32654052,0.44862922
-5.73586793,1.55407265,0.05694479,0.19955579,0.07277981,0.24677547,0.32022113,0.43944942
-5.72986493,1.53822978,0.05488361,0.19783126,0.07468190,0.24546959,0.31662000,0.43194547
-5.72386193,1.53026240,0.05315161,0.19685295,0.07688240,0.24625190,0.31583705,0.42619872
-5.71785893,1.53022624,0.05177056,0.19669598,0.07935800,0.24904865,0.31791951,0.42224120
-5.71185593,1.53798358,0.05075614,0.19742157,0.08207514,0.25373613,0.32286429,0.42005691
-5.70585293,1.55321334,0.05011799,0.19907584,0.08499064,0.26014576,0.33062110,0.41958395
-5.69984992,1.57542453,0.04985996,0.20168866,0.08805262,0.26807013,0.34109608,0.42071770
-5.69384692,1.60397279,0.04998020,0.20527279,0.09120170,0.27726972,0.35415559,0.42331477
-5.68784392,1.63807938,0.05047130,0.20982312,0.09437258,0.28748015,0.36963012,0.42719768
-5.68184092,1.67685211,0.05132040,0.21531619,0.09749569,0.29841955,0.38731798,0.43216001
-5.67583792,1.71930764,0.05250929,0.22170999,0.10049917,0.30979610,0.40698886,0.43797217
-5.66983492,1.76439476,0.05401443,0.22894402,0.10331092,0.32131527,0.42838707,0.44438731
-5.66383192,1.81101790,0.05580710,0.23693972,0.10586069,0.33268672,0.45123452,0.45114753
-5.65782891,1.85806061,0.05785345,0.24560125,0.10808218,0.34363074,0.47523347,0.45799007
