energy_ev,total_up,N_s_up,N_p_up,Ni_p_up,Ni_d_up,S_s_up,S_p_up,V_p_up,V_d_up
-6.00000000,9.84955532,0.12461260,2.76777397,0.31457902,0.27194784,0.17206879,2.93676228,4.63819375,2.64035114
-5.99399700,9.69767278,0.12105083,2.70237373,0.31246218,0.26960623,0.16805801,2.91929363,4.53861764,2.60543117
-5.98799400,9.51826346,0.11698544,2.62828294,0.31010772,0.26703057,0.16333289,2.89502132,4.42616343,2.56398013
-5.98199100,9.31427233,0.11249057,2.54673253,0.30753581,0.26422293,0.15797150,2.86438498,4.30296038,2.51635407
-5.97598799,9.08904090,0.10764641,2.45906835,0.30477946,0.26119818,0.15206167,2.82793880,4.17132419,2.46301562
-5.96998499,8.84620090,0.10253706,2.36670705,0.30188361,0.25798471,0.14569875,2.78633465,4.03368404,2.40451642
-5.96398199,8.58956356,0.09724839,2.27109125,0.29890366,0.25462467,0.13898314,2.74030292,3.89250829,2.34147806
-5.95797899,8.32300946,0.09186583,2.17364619,0.29590354,0.25117347,0.13201793,2.69063213,3.75023178,2.27457279
-5.95197599,8.05038327,0.08647240,2.07573960,0.29295334,0.24769880,0.12490637,2.63814806,3.60918783,2.20450451
-5.94597299,7.77539742,0.08114677,1.97864623,0.29012679,0.24427901,0.11774959,2.58369311,3.47154727,2.13199099
-5.93996998,7.50154773,0.07596166,1.88351836,0.28749854,0.24100111,0.11064448,2.52810664,3.33926676,2.05774776
-5.93396698,7.23204341,0.07098243,1.79136296,0.28514145,0.23795829,0.10368173,2.47220687,3.21404758,1.98247411
-5.92796398,6.96975285,0.06626600,1.70302612,0.28312397,0.23524716,0.09694435,2.41677479,3.09730605,1.90684139
-5.92196098,6.71716580,0.06186007,1.61918459,0.28150776,0.23296478,0.09050631,2.36254039,2.99015566,1.83148382
-5.91595798,6.47637163,0.05780261,1.54034422,0.28034561,0.23120561,0.08443169,2.31017140,2.89340069,1.75699162
-5.90995498,6.24905281,0.05412168,1.46684475,0.27967966,0.23005851,0.07877408,2.26026471,2.80754055,1.68390638
-5.90395198,6.03649187,0.05083551,1.39886991,0.27954011,0.22960379,0.07357634,2.21334029,2.73278369,1.61271846
-5.89794897,5.83959013,0.04795282,1.33646206,0.27994439,0.22991056,0.06887059,2.16983766,2.66906967,1.54386608
-5.89194597,5.65889573,0.04547329,1.27953993,0.28089676,0.23103439,0.06467855,2.13011457,2.61609764,1.47773580
-5.88594297,5.49463878,0.04338832,1.22791865,0.28238835,0.23301530,0.06101202,2.09444788,2.57335969,1.41466413
-5.87993997,5.34677131,0.04168177,1.18133072,0.28439775,0.23587632,0.05787355,2.06303620,2.54017723,1.35493992
-5.87393697,5.21500981,0.04033091,1.13944696,0.28689189,0.23962244,0.05525720,2.03600415,2.51573900,1.29880720
-5.86793397,5.09887857,0.03930740,1.10189671,0.28982738,0.24424021,0.05314948,2.01340799,2.49913907,1.24646841
-5.86193097,4.99775202,0.03857830,1.06828630,0.29315210,0.24969778,0.05153019,1.99524223,2.48941367,1.19808757
-5.85592796,4.91089490,0.03810709,1.03821555,0.29680708,0.25594562,0.05037342,1.98144720,2.48557592,1.15379348
-5.84992496,4.83749908,0.03785471,1.01129171,0.30072850,0.26291762,0.04964849,1.97191698,2.48664742,1.11368252
-5.84392196,4.77671641,0.03778055,0.98714077,0.30484980,0.27053280,0.04932087,1.96650768,2.49168615,1.07782128
-5.83791896,4.72768692,0.03784347,0.96541610,0.30910374,0.27869738,0.04935308,1.96504572,2.49981025,1.04624856
-5.83191596,4.68956206,0.03800265,0.94580443,0.31342443,0.28730721,0.04970555,1.96733563,2.51021730,1.01897697
-5.82591296,4.66152293,0.03821855,0.92802946,0.31774912,0.29625049,0.05033752,1.97316728,2.52219888,0.99599393
-5.81990995,4.64279321,0.03845366,0.91185322,0.32201972,0.30541063,0.05120773,1.98232215,2.53515041,0.97726202
-5.81390695,4.63264697,0.03867322,0.89707565,0.32618402,0.31466918,0.05227527,1.99457823,2.54857619,0.96271878
-5.80790395,4.63041150,0.03884592,0.88353257,0.33019647,0.32390875,0.05350019,2.00971349,2.56208985,0.95227592
-5.80190095,4.63546533,0.03894434,0.87109249,0.33401857,0.33301569,0.05484415,2.02750754,2.57541040,0.94581798
-5.79589795,4.64723187,0.03894547,0.85965256,0.33761875,0.34188263,0.05627099,2.04774151,2.58835424,0.94320068
-5.78989495,4.66516918,0.03883093,0.84913397,0.34097192,0.35041058,0.05774713,2.07019600,2.60082352,0.94424895
-5.78389195,4.68875656,0.03858717,0.83947712,0.34405849,0.35851073,0.05924201,2.09464730,2.61279162,0.94875508
-5.77788894,4.71747874,0.03820553,0.83063693,0.34686320,0.36610567,0.06072828,2.12086212,2.62428633,0.95647704
-5.77188594,4.75080885,0.03768208,0.82257835,0.34937359,0.37313022,0.06218192,2.14859109,2.63537166,0.96713738
-5.76588294,4.78819113,0.03701744,0.81527257,0.35157843,0.37953173,0.06358231,2.17756164,2.64612930,0.98042308
-5.75987994,4.82902484,0.03621643,0.80869396,0.35346605,0.38526986,0.06491205,2.20747084,2.65664060,0.99598651
-5.75387694,4.87265065,0.03528756,0.80281790,0.35502283,0.39031603,0.06615679,2.23797870,2.66697028,1.01344799
-5.74787394,4.91834067,0.03424258,0.79761973,0.35623191,0.39465239,0.06730489,2.26870288,2.67715275,1.03239997
-5.74187094,4.96529351,0.03309576,0.79307476,0.35707227,0.39827057,0.06834702,2.29921525,2.68718205,1.05241315
-5.73586793,5.01263507,0.03186333,0.78915941,0.35751816,0.40117023,0.06927571,2.32904104,2.69700590,1.07304447
-5.72986493,5.05942592,0.03056278,0.78585331,0.35753914,0.40335748,0.07008494,2.35766103,2.70652460,1.09384698
-5.72386193,5.10467537,0.02921220,0.78314226,0.35710060,0.40484335,0.07076962,2.38451703,2.71559472,1.11438113
-5.71785893,5.14736215,0.02782966,0.78102181,0.35616479,0.40564237,0.07132522,2.40902100,2.72403746,1.13422742
-5.71185593,5.18646088,0.02643265,0.77950108,0.35469245,0.40577132,0.07174742,2.43056742,2.73165131,1.15299953
-5.70585293,5.22097341,0.02503761,0.77860650,0.35264478,0.40524832,0.07203188,2.44854887,2.73822795,1.17035762
-5.69984992,5.24996333,0.02365947,0.77838505,0.34998584,0.40409222,0.07217406,2.46237407,2.74357032,1.18602074
