energy_ev,total_up,Ag_p_up,Ag_d_up,C_s_up,C_p_up,Ca_p_up,Ca_d_up,Se_s_up,Se_p_up
-6.00000000,14.69319213,2.55247820,11.06346053,0.02752735,1.07076240,0.02945007,0.00000000,0.10221814,1.34216119
-5.99399700,14.52874263,2.54250188,10.93520404,0.02784078,1.04299781,0.02960600,0.00000000,0.10198594,1.33409904
-5.98799400,14.37530112,2.52914864,10.81695341,0.02806688,1.01737701,0.02981452,0.00000000,0.10199510,1.32727397
-5.98199100,14.23682143,2.51330466,10.71156901,0.02820651,0.99411133,0.03008419,0.00000000,0.10226850,1.32214068
-5.97598799,14.11676119,2.49587174,10.62150049,0.02826225,0.97334471,0.03042226,0.00000000,0.10281760,1.31910880
-5.96998499,14.01792437,2.47772875,10.54867556,0.02823810,0.95514848,0.03083423,0.00000000,0.10364148,1.31852405
-5.96398199,13.94232788,2.45969567,10.49440656,0.02813917,0.93951886,0.03132337,0.00000000,0.10472641,1.32065188
-5.95797899,13.89109889,2.44250175,10.45931996,0.02797134,0.92637739,0.03189046,0.00000000,0.10604598,1.32566454
-5.95197599,13.86440861,2.42675924,10.44331258,0.02774091,0.91557420,0.03253351,0.00000000,0.10756184,1.33363196
-5.94597299,13.86144610,2.41294386,10.44553753,0.02745424,0.90689414,0.03324765,0.00000000,0.10922493,1.34451710
-5.93996998,13.88043424,2.40138280,10.46442112,0.02711744,0.90006542,0.03402512,0.00000000,0.11097724,1.35817572
-5.93396698,13.91868756,2.39225033,10.49771084,0.02673613,0.89477045,0.03485539,0.00000000,0.11275392,1.37436080
-5.92796398,13.97270960,2.38557110,10.54255240,0.02631518,0.89065836,0.03572539,0.00000000,0.11448580,1.39273121
-5.92196098,14.03832550,2.38123041,10.59559299,0.02585865,0.88735873,0.03661986,0.00000000,0.11610203,1.41286431
-5.91595798,14.11084347,2.37899061,10.65310575,0.02536965,0.88449576,0.03752181,0.00000000,0.11753290,1.43427179
-5.90995498,14.18523746,2.37851219,10.71112992,0.02485044,0.88170234,0.03841301,0.00000000,0.11871256,1.45641813
-5.90395198,14.25634206,2.37937821,10.76562004,0.02430247,0.87863337,0.03927464,0.00000000,0.11958169,1.47874061
-5.89794897,14.31905043,2.38112041,10.81259704,0.02372653,0.87497754,0.04008787,0.00000000,0.12008980,1.50067003
-5.89194597,14.36850568,2.38324533,10.84829445,0.02312297,0.87046728,0.04083449,0.00000000,0.12019733,1.52165130
-5.88594297,14.40027705,2.38525904,10.86929273,0.02249188,0.86488627,0.04149754,0.00000000,0.11987714,1.54116278
-5.87993997,14.41051298,2.38668913,10.87263620,0.02183337,0.85807425,0.04206190,0.00000000,0.11911567,1.55873372
-5.87393697,14.39606503,2.38710285,10.85592756,0.02114780,0.84992902,0.04251476,0.00000000,0.11791346,1.57395913
-5.86793397,14.35457820,2.38612105,10.81739695,0.02043597,0.84040566,0.04284608,0.00000000,0.11628514,1.58651151
-5.86193097,14.28454552,2.38342728,10.75594342,0.01969932,0.82951310,0.04304886,0.00000000,0.11425892,1.59614921
-5.85592796,14.18532653,2.37877250,10.67114889,0.01894010,0.81730837,0.04311942,0.00000000,0.11187555,1.60272121
-5.84992496,14.05713185,2.37197556,10.56326581,0.01816144,0.80388906,0.04305742,0.00000000,0.10918683,1.60616863
-5.84392196,13.90097721,2.36292048,10.43318116,0.01736739,0.78938449,0.04286590,0.00000000,0.10625380,1.60652292
-5.83791896,13.71861221,2.35155118,10.28236059,0.01656295,0.77394616,0.04255110,0.00000000,0.10314459,1.60390147
-5.83191596,13.51242978,2.33786494,10.11277735,0.01575400,0.75773817,0.04212227,0.00000000,0.09993213,1.59850086
-5.82591296,13.28536294,2.32190542,9.92683074,0.01494719,0.74092816,0.04159131,0.00000000,0.09669175,1.59058852
-5.81990995,13.04077539,2.30375638,9.72725924,0.01414985,0.72367929,0.04097243,0.00000000,0.09349886,1.58049326
-5.81390695,12.78235178,2.28353660,9.51705287,0.01336980,0.70614367,0.04028166,0.00000000,0.09042666,1.56859520
-5.80790395,12.51399298,2.26139669,9.29936865,0.01261519,0.68845760,0.03953638,0.00000000,0.08754409,1.55531569
-5.80190095,12.23972002,2.23751782,9.07745249,0.01189435,0.67073861,0.03875485,0.00000000,0.08491405,1.54110732
