energy_ev,total_up,Nb_p_up,Nb_d_up,P_s_up,P_p_up,Se_s_up,Se_p_up
-6.00000000,3.17317520,2.33795069,1.08756929,0.01137248,0.83534438,0.00865720,0.97104863
-5.99399700,3.01773584,2.24551788,1.02770105,0.01067196,0.79146235,0.00766686,0.92376258
-5.98799400,2.85758175,2.14635315,0.96680642,0.00996482,0.74658837,0.00674597,0.87518247
-5.98199100,2.69469919,2.04196292,0.90570541,0.00925866,0.70141507,0.00589748,0.82580931
-5.97598799,2.53106492,1.93392619,0.84519539,0.00856039,0.65662806,0.00512269,0.77613954
-5.96998499,2.36862054,1.82386653,0.78604139,0.00787619,0.61289665,0.00442144,0.72665963
-5.96398199,2.20924807,1.71342395,0.72896804,0.00721144,0.57086566,0.00379232,0.67784049
-5.95797899,2.05474722,1.60422700,0.67465306,0.00657074,0.53114849,0.00323286,0.63013189
-5.95197599,1.90681422,1.49786603,0.62372225,0.00595786,0.49432136,0.00273976,0.58395688
-5.94597299,1.76702264,1.39586795,0.57674583,0.00537582,0.46091869,0.00230909,0.53970621
-5.93996998,1.63680619,1.29967312,0.53423590,0.00482689,0.43142935,0.00193651,0.49773311
-5.93396698,1.51744364,1.21061459,0.49664488,0.00431266,0.40629383,0.00161741,0.45834836
-5.92796398,1.41004603,1.12990012,0.46436467,0.00383406,0.38590193,0.00134717,0.42181585
-5.92196098,1.31554611,1.05859701,0.43772623,0.00339149,0.37059093,0.00112120,0.38834897
-5.91595798,1.23469029,0.99761983,0.41699957,0.00298479,0.36064398,0.00093515,0.35810768
-5.90995498,1.16803284,0.94772099,0.40239374,0.00261338,0.35628861,0.00078497,0.33119662
-5.90395198,1.11593269,0.90948403,0.39405684,0.00227630,0.35769522,0.00066700,0.30766428
-5.89794897,1.07855249,0.88331938,0.39207587,0.00197225,0.36497548,0.00057802,0.28750332
-5.89194597,1.05586015,0.86946255,0.39647646,0.00169969,0.37818058,0.00051532,0.27065201
-5.88594297,1.04763286,0.86797429,0.40722231,0.00145686,0.39729947,0.00047667,0.25699699
-5.87993997,1.05346331,0.87874273,0.42421467,0.00124186,0.42225699,0.00046040,0.24637701
-5.87393697,1.07276837,0.90148728,0.44729167,0.00105270,0.45291225,0.00046531,0.23858792
-5.86793397,1.10480003,0.93576409,0.47622788,0.00088731,0.48905714,0.00049072,0.23338852
-5.86193097,1.14865851,0.98097308,0.51073415,0.00074365,0.53041550,0.00053644,0.23050736
-5.85592796,1.20330757,1.03636650,0.55045799,0.00061967,0.57664286,0.00060267,0.22965011
-5.84992496,1.26759172,1.10105906,0.59498461,0.00051337,0.62732709,0.00069003,0.23050758
-5.84392196,1.34025530,1.17403952,0.64383900,0.00042287,0.68199018,0.00079945,0.23276385
-5.83791896,1.41996310,1.25418406,0.69648893,0.00034636,0.74009128,0.00093213,0.23610455
-5.83191596,1.50532221,1.34027111,0.75234926,0.00028216,0.80103108,0.00108945,0.24022499
-5.82591296,1.59490480,1.43099798,0.81078757,0.00022873,0.86415766,0.00127294,0.24483775
-5.81990995,1.68727144,1.52499902,0.87113111,0.00018467,0.92877383,0.00148411,0.24967974
-5.81390695,1.78099441,1.62086525,0.93267498,0.00014875,0.99414592,0.00172444,0.25451831
-5.80790395,1.87468061,1.71716546,0.99469172,0.00011987,1.05951377,0.00199525,0.25915633
-5.80190095,1.96699361,1.81246823,1.05644180,0.00009710,1.12410210,0.00229763,0.26343608
-5.79589795,2.05667431,1.90536495,1.11718511,0.00007968,1.18713265,0.00263235,0.26724175
-5.78989495,2.14255985,1.99449314,1.17619303,0.00006701,1.24783711,0.00299979,0.27050062
-5.78389195,2.22360046,2.07855989,1.23276087,0.00005865,1.30547056,0.00339992,0.27318281
-5.77788894,2.29887380,2.15636490,1.28622039,0.00005432,1.35932487,0.00383223,0.27529964
-5.77188594,2.36759687,2.22682263,1.33595196,0.00005393,1.40874214,0.00429576,0.27690085
-5.76588294,2.42913508,2.28898313,1.38139622,0.00005755,1.45312744,0.00478912,0.27807062
-5.75987994,2.48300870,2.34205102,1.42206478,0.00006544,1.49196096,0.00531056,0.27892268
-5.75387694,2.52889663,2.38540220,1.45754967,0.00007805,1.52480890,0.00585811,0.27959488
-5.74787394,2.56663755,2.41859785,1.48753140,0.00009603,1.55133311,0.00642965,0.28024314
-5.74187094,2.59622877,2.44139525,1.51178523,0.00012022,1.57129904,0.00702316,0.28103537
-5.73586793,2.61782263,2.45375512,1.53018558,0.00015171,1.58458191,0.00763690,0.28214541
-5.72986493,2.63172095,2.45584508,1.54270839,0.00019180,1.59117070,0.00826961,0.28374723
-5.72386193,2.63836733,2.44803899,1.54943121,0.00024201,1.59116997,0.00892081,0.28600965
-5.71785893,2.63833758,2.43091198,1.55053121,0.00030411,1.58479928,0.00959096,0.28909174
-5.71185593,2.63232823,2.40523093,1.54628084,0.00038008,1.57239006,0.01028172,0.29313886
-5.70585293,2.62114311,2.37194046,1.53704133,0.00047213,1.55437987,0.01099611,0.29827959
-5.69984992,2.60567809,2.33214427,1.52325407,0.00058264,1.53130416,0.01173862,0.30462346
-5.69384692,2.58690383,2.28708230,1.50543010,0.00071415,1.50378536,0.01251528,0.31225935
-5.68784392,2.56584666,2.23810358,1.48413776,0.00086933,1.47251963,0.01333361,0.32125474
-5.68184092,2.54356756,2.18663561,1.45998893,0.00105086,1.43826130,0.01420252,0.33165539
-5.67583792,2.52113958,2.13415047,1.43362411,0.00126142,1.40180541,0.01513202,0.34348561
-5.66983492,2.49962373,2.08212871,1.40569674,0.00150357,1.36396871,0.01613297,0.35674877
-5.66383192,2.48004399,2.03202175,1.37685710,0.00177967,1.32556951,0.01721656,0.37142816
-5.65782891,2.46336187,1.98521380,1.34773647,0.00209175,1.28740705,0.01839385,0.38748781
-5.65182591,2.45045130,1.94298465,1.31893180,0.00244138,1.25024106,0.01967516,0.40487350
-5.64582291,2.44207461,1.90647434,1.29099160,0.00282961,1.21477201,0.02106940,0.42351367
-5.63981991,2.43886061,1.87665123,1.26440346,0.00325681,1.18162301,0.02258347,0.44332029
