energy_ev,total_up,Cu_p_up,Cu_d_up,N_s_up,N_p_up,Se_s_up,Se_p_up,Y_p_up,Y_d_up
-6.00000000,3.38785366,1.77712670,1.80462932,0.01197027,0.02644835,0.04680043,1.55016394,0.51291983,0.16579552
-5.99399700,3.43219057,1.78607080,1.83516216,0.01186197,0.02661776,0.04717330,1.56226522,0.51260253,0.16817616
-5.98799400,3.46860909,1.78936466,1.86162582,0.01171247,0.02678698,0.04739479,1.57075952,0.51069753,0.17032829
-5.98199100,3.49621579,1.78659987,1.88347190,0.01152160,0.02694347,0.04745452,1.57532583,0.50718536,0.17220982
-5.97598799,3.51437960,1.77751934,1.90029552,0.01128986,0.02707721,0.04734549,1.57576057,0.50208376,0.17379009
-5.96998499,3.52274255,1.76202338,1.91184334,0.01101844,0.02718073,0.04706435,1.57197985,0.49544679,0.17504988
-5.96398199,3.52121933,1.74016975,1.91801547,0.01070923,0.02724901,0.04661153,1.56401654,0.48736256,0.17598086
-5.95797899,3.50998603,1.71216765,1.91886148,0.01036480,0.02727936,0.04599120,1.55201277,0.47794955,0.17658456
-5.95197599,3.48945907,1.67836640,1.91457084,0.00998831,0.02727109,0.04521112,1.53620807,0.46735175,0.17687094
-5.94597299,3.46026559,1.63923938,1.90545839,0.00958349,0.02722517,0.04428235,1.51692431,0.45573301,0.17685662
-5.93996998,3.42320707,1.59536417,1.89194567,0.00915448,0.02714381,0.04321877,1.49454785,0.44327074,0.17656300
-5.93396698,3.37921807,1.54739996,1.87453899,0.00870579,0.02703006,0.04203663,1.46951026,0.43014941,0.17601422
-5.92796398,3.32932207,1.49606320,1.85380533,0.00824211,0.02688738,0.04075395,1.44226830,0.41655404,0.17523520
-5.92196098,3.27458656,1.44210279,1.83034714,0.00776822,0.02671923,0.03938987,1.41328414,0.40266412,0.17424982
-5.91595798,3.21607930,1.38627569,1.80477714,0.00728890,0.02652877,0.03796403,1.38300689,0.38864807,0.17307935
-5.90995498,3.15482763,1.32932390,1.77769415,0.00680874,0.02631855,0.03649595,1.35185589,0.37465849,0.17174113
-5.90395198,3.09178221,1.27195382,1.74966078,0.00633214,0.02609032,0.03500443,1.32020664,0.36082844,0.17024766
-5.89794897,3.02778663,1.21481832,1.72118394,0.00586312,0.02584491,0.03350701,1.28837971,0.34726870,0.16860607
-5.89194597,2.96355371,1.15850236,1.69269871,0.00540535,0.02558218,0.03201957,1.25663291,0.33406619,0.16681795
-5.88594297,2.89964902,1.10351203,1.66455594,0.00496202,0.02530106,0.03055595,1.22515688,0.32128340,0.16487956
-5.87993997,2.83648177,1.05026748,1.63701407,0.00453588,0.02499964,0.02912769,1.19407401,0.30895890,0.16278242
