energy_ev,total_up,C_s_up,C_p_up,Cu_p_up,Cu_d_up,Se_s_up,Se_p_up,Y_p_up,Y_d_up
-1.16158079,6.12173434,0.03919968,1.41066726,0.75687040,0.82182479,0.09914513,2.79219044,3.52286225,1.46110479
-1.15557779,6.17878084,0.03971489,1.41957432,0.76513630,0.82763497,0.09982562,2.81786408,3.56749413,1.48147715
-1.14957479,6.23567558,0.04031706,1.42954759,0.77289970,0.83410138,0.10052812,2.84157016,3.61284633,1.50142003
-1.14357179,6.29018992,0.04100321,1.44005723,0.77981550,0.84087209,0.10121264,2.86241566,3.65742533,1.52035586
-1.13756878,6.34007942,0.04176741,1.45052790,0.78554379,0.84758458,0.10183771,2.87954661,3.69969207,1.53771958
-1.13156578,6.38316575,0.04260101,1.46035819,0.78976150,0.85387832,0.10236217,2.89218172,3.73811584,1.55297847
-1.12556278,6.41741885,0.04349292,1.46894223,0.79217378,0.85940781,0.10274693,2.89964367,3.77123077,1.56565148
-1.11955978,6.44103564,0.04443006,1.47569236,0.79252465,0.86385549,0.10295684,2.90138648,3.79769247,1.57532706
-1.11355678,6.45251138,0.04539779,1.48006206,0.79060638,0.86694383,0.10296222,2.89701774,3.81633207,1.58167882
-1.10755378,6.45070052,0.04638047,1.48156791,0.78626715,0.86844624,0.10274038,2.88631476,3.82620529,1.58447807
-1.10155078,6.43486434,0.04736195,1.47980960,0.77941685,0.86819611,0.10227673,2.86923386,3.82663414,1.58360280
-1.09554777,6.40470313,0.04832608,1.47448706,0.77003058,0.86609376,0.10156561,2.84591269,3.81723928,1.57904265
-1.08954477,6.36037196,0.04925724,1.46541403,0.75814983,0.86211089,0.10061073,2.81666558,3.79796158,1.57089969
-1.08354177,6.30247922,0.05014076,1.45252727,0.74388141,0.85629240,0.09942522,2.78197252,3.76907173,1.55938500
-1.07753877,6.23206875,0.05096327,1.43589115,0.72739411,0.84875547,0.09803134,2.74246236,3.73116755,1.54481131
-1.07153577,6.15058626,0.05171301,1.41569749,0.70891336,0.83968604,0.09645977,2.69889135,3.68515906,1.52758214
-1.06553277,6.05983206,0.05238007,1.39226052,0.68871420,0.82933283,0.09474858,2.65211806,3.63224190,1.50817787
-1.05952976,5.96190235,0.05295649,1.36600745,0.66711278,0.81799902,0.09294194,2.60307609,3.57386033,1.48713962
-1.05352676,5.85912162,0.05343632,1.33746493,0.64445693,0.80603223,0.09108862,2.55274550,3.51166115,1.46505148
-1.04752376,5.75396904,0.05381564,1.30724211,0.62111604,0.79381285,0.08924029,2.50212443,3.44744066,1.44252200
-1.04152076,5.64900178,0.05409243,1.27601096,0.59747069,0.78174143,0.08744980,2.45220173,3.38308652,1.42016554
-1.03551776,5.54677791,0.05426644,1.24448474,0.57390244,0.77022543,0.08576943,2.40393148,3.32051681,1.39858436
-1.02951476,5.44978158,0.05433906,1.21339535,0.55078402,0.75966591,0.08424914,2.35821019,3.26161846,1.37835180
-1.02351176,5.36035258,0.05431308,1.18347037,0.52847019,0.75044444,0.08293507,2.31585691,3.20818713,1.35999717
-1.01750875,5.28062227,0.05419246,1.15541075,0.50728957,0.74291086,0.08186802,2.27759673,3.16187067,1.34399258
