energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Co_p_up,Co_p_down,Co_d_up,Co_d_down,Fe_p_up,Fe_p_down,Fe_d_up,Fe_d_down,Se_s_up,Se_s_down,Se_p_up,Se_p_down
-6.00000000,2.08692763,-1.07154694,0.01013011,-0.02660613,0.08205195,-0.07615662,0.57980612,-0.25846268,0.21390355,-0.12452195,0.65567656,-0.31496318,0.28394402,-0.13365264,0.02483794,-0.00876192,1.14378441,-0.55765206
-5.99399700,2.14900215,-1.13538708,0.01089396,-0.02499348,0.08446434,-0.07773580,0.59395467,-0.28316493,0.22354603,-0.12998318,0.67402362,-0.34461800,0.28998032,-0.13590721,0.02684664,-0.00936214,1.17823506,-0.59770023
-5.98799400,2.20179408,-1.20598705,0.01166138,-0.02344978,0.08645361,-0.07953763,0.60519243,-0.30952492,0.23256924,-0.13639858,0.68891792,-0.37573877,0.29457110,-0.13875163,0.02890110,-0.01015575,1.20770141,-0.64168643
-5.98199100,2.24469534,-1.28292613,0.01242093,-0.02200291,0.08798350,-0.08154989,0.61341516,-0.33733681,0.24085732,-0.14375846,0.70016528,-0.40803516,0.29767713,-0.14219710,0.03097201,-0.01113815,1.23186576,-0.68934384
-5.97598799,2.27730064,-1.36558805,0.01316098,-0.02067664,0.08902697,-0.08374936,0.61858140,-0.36634422,0.24830594,-0.15203041,0.70764440,-0.44116494,0.29929423,-0.14623105,0.03302873,-0.01230306,1.25051873,-0.74029896
-5.96998499,2.29941424,-1.45316292,0.01386988,-0.01949024,0.08956669,-0.08610221,0.62071298,-0.39624259,0.25482432,-0.16115826,0.71131015,-0.47473910,0.29945303,-0.15081669,0.03503986,-0.01364228,1.26356270,-0.79407245
-5.96398199,2.31105142,-1.54465573,0.01453623,-0.01845813,0.08959538,-0.08856491,0.61989377,-0.42668339,0.26033718,-0.17106187,0.71119465,-0.50832891,0.29821772,-0.15589348,0.03697381,-0.01514541,1.27101250,-0.85008344
-5.95797899,2.31243491,-1.63890175,0.01514915,-0.01758976,0.08911574,-0.09108556,0.61626673,-0.45728010,0.26478657,-0.18163748,0.70740609,-0.54147488,0.29568397,-0.16137850,0.03879960,-0.01679960,1.27299340,-0.90765750
-5.95197599,2.30398654,-1.73458826,0.01569859,-0.01688965,0.08814019,-0.09360548,0.61002954,-0.48761593,0.26813340,-0.19275893,0.70012553,-0.57369723,0.29197599,-0.16716871,0.04048756,-0.01858931,1.26973667,-0.96603815
-5.94597299,2.28631467,-1.83028238,0.01617559,-0.01635749,0.08669035,-0.09606120,0.60142891,-0.51725295,0.27035876,-0.20427956,0.68960172,-0.60450767,0.28724301,-0.17314388,0.04201014,-0.02049614,1.26157291,-1.02440169
-5.93996998,2.26019781,-1.92446414,0.01657258,-0.01598854,0.08479627,-0.09838661,0.59075393,-0.54574255,0.27146494,-0.21603484,0.67614418,-0.63342201,0.28165514,-0.17917032,0.04334270,-0.02249876,1.24892343,-1.08187500
-5.93396698,2.22656508,-2.01556374,0.01688365,-0.01577392,0.08249546,-0.10051514,0.57832857,-0.57263676,0.27147607,-0.22784573,0.66011497,-0.65997316,0.27539889,-0.18510505,0.04446420,-0.02457294,1.23229003,-1.13755594
-5.92796398,2.18647403,-2.10200182,0.01710474,-0.01570121,0.07983176,-0.10238206,0.56450372,-0.59750006,0.27043835,-0.23952259,0.64191924,-0.68372404,0.26867243,-0.19080030,0.04535785,-0.02669171,1.21224335,-1.19053541
-5.92196098,2.14108625,-2.18223141,0.01723385,-0.01575498,0.07685407,-0.10392665,0.54964891,-0.61992133,0.26841980,-0.25086962,0.62199509,-0.70427994,0.26168068,-0.19610830,0.04601161,-0.02882558,1.18941014,-1.23992078
-5.91595798,2.09164156,-2.25478013,0.01727108,-0.01591744,0.07361504,-0.10509418,0.53414389,-0.63952542,0.26550952,-0.26168967,0.60080294,-0.72129975,0.25463046,-0.20088601,0.04641853,-0.03094305,1.16445966,-1.28485954
-5.90995498,2.03943085,-2.31829112,0.01721870,-0.01616908,0.07016971,-0.10583763,0.51837035,-0.65598397,0.26181632,-0.27178930,0.57881471,-0.73450578,0.24772573,-0.20499971,0.04657699,-0.03301110,1.13808942,-1.32456257
-5.90395198,1.98576831,-2.37156134,0.01708106,-0.01648937,0.06657415,-0.10611921,0.50270384,-0.66902505,0.25746685,-0.28098391,0.55650323,-0.74369168,0.24116293,-0.20832926,0.04649060,-0.03499585,1.11101035,-1.35832623
-5.89794897,1.93196324,-2.41357592,0.01686450,-0.01685739,0.06288414,-0.10591135,0.48750599,-0.67844126,0.25260306,-0.28910282,0.53433184,-0.74872821,0.23512673,-0.21077193,0.04616809,-0.03686338,1.08393182,-1.38555232
-5.89194597,1.87929198,-2.44353727,0.01657710,-0.01725251,0.05915399,-0.10519746,0.47311722,-0.68409602,0.24737916,-0.29599403,0.51274475,-0.74956680,0.22978592,-0.21224555,0.04562285,-0.03858056,1.05754636,-1.40576550
-5.88594297,1.82897012,-2.46088821,0.01622844,-0.01765491,0.05543538,-0.10397224,0.45984991,-0.68592780,0.24195795,-0.30152867,0.49215793,-0.74624054,0.22528983,-0.21269109,0.04487242,-0.04011590,1.03251460,-1.41862723
-5.87993997,1.78212576,-2.46532809,0.01582924,-0.01804617,0.05177645,-0.10224158,0.44798219,-0.68395215,0.23650681,-0.30560484,0.47295101,-0.73886291,0.22176509,-0.21207434,0.04393776,-0.04144053,1.00945039,-1.42394611
-5.87393697,1.73977395,-2.45682172,0.01539098,-0.01840967,0.04822093,-0.10002215,0.43775235,-0.67826151,0.23119320,-0.30815072,0.45546004,-0.72762417,0.21931279,-0.21038693,0.04284242,-0.04252898,0.98890655,-1.42168397
-5.86793397,1.70279301,-2.43560066,0.01492550,-0.01873097,0.04480751,-0.09734066,0.42935402,-0.66902286,0.22618002,-0.30912690,0.43997130,-0.71278574,0.21800625,-0.20764643,0.04161170,-0.04336006,0.97136144,-1.41195773
-5.86193097,1.67190336,-2.40215713,0.01444456,-0.01899802,0.04156932,-0.09423280,0.42293210,-0.65647326,0.22162081,-0.30852783,0.42671626,-0.69467271,0.21788926,-0.20389573,0.04027169,-0.04391751,0.95720677,-1.39503698
-5.85592796,1.64764924,-2.35723083,0.01395946,-0.01920140,0.03853363,-0.09074207,0.41857966,-0.64091349,0.21765498,-0.30638225,0.41586760,-0.67366493,0.21897490,-0.19920168,0.03884838,-0.04419057,0.94673689,-1.37133736
-5.84992496,1.63038416,-2.30178918,0.01348062,-0.01933431,0.03572167,-0.08691832,0.41633575,-0.62270017,0.21440338,-0.30275271,0.40753653,-0.65018704,0.22124501,-0.19365313,0.03736679,-0.04417439,0.94014020,-1.34141000
