energy_ev,total_up,C_s_up,C_p_up,S_s_up,S_p_up,Sc_p_up,Sc_d_up,W_p_up,W_d_up
-6.00000000,5.18400998,0.03474593,0.64613683,0.04263857,2.08125573,0.94399078,0.12273806,3.80415957,1.32867672
-5.99399700,5.31832471,0.03394693,0.68866538,0.04175991,2.10683697,0.93601698,0.12700101,4.01195480,1.36251947
-5.98799400,5.45918577,0.03314187,0.73495800,0.04074128,2.13227358,0.92575121,0.13165905,4.23602428,1.39767205
-5.98199100,5.60706527,0.03234422,0.78489658,0.03959059,2.15791661,0.91348080,0.13670654,4.47625880,1.43424359
-5.97598799,5.76229970,0.03156689,0.83828497,0.03832047,2.18414058,0.89952950,0.14213489,4.73206672,1.47231743
-5.96998499,5.92500802,0.03082192,0.89483696,0.03694771,2.21131353,0.88424282,0.14793100,5.00230137,1.51192905
-5.96398199,6.09502033,0.03012032,0.95416755,0.03549270,2.23976884,0.86797343,0.15407608,5.28520819,1.55304648
-5.95797899,6.27182248,0.02947193,1.01578854,0.03397869,2.26978064,0.85106758,0.16054472,5.57839670,1.59555485
-5.95197599,6.45452133,0.02888525,1.07910909,0.03243105,2.30154436,0.83385298,0.16730443,5.87884108,1.63924620
-5.94597299,6.64183382,0.02836749,1.14344176,0.03087659,2.33516383,0.81662888,0.17431573,6.18291194,1.68381551
-5.93996998,6.83210183,0.02792459,1.20801426,0.02934281,2.37064545,0.79965858,0.18153274,6.48644020,1.72886340
-5.93396698,7.02333289,0.02756130,1.27198665,0.02785725,2.40790006,0.78316464,0.18890436,6.78481216,1.77390571
-5.92796398,7.21326519,0.02728136,1.33447348,0.02644691,2.44675186,0.76732695,0.19637583,7.07309283,1.81838935
-5.92196098,7.39945344,0.02708772,1.39457007,0.02513771,2.48695381,0.75228336,0.20389083,7.34617318,1.86171367
-5.91595798,7.57937061,0.02698274,1.45138154,0.02395407,2.52820814,0.73813258,0.21139366,7.59893481,1.90325608
-5.90995498,7.75051946,0.02696844,1.50405335,0.02291854,2.57019005,0.72493912,0.21883160,7.82642476,1.94240022
-5.90395198,7.91054665,0.02704669,1.55180169,0.02205154,2.61257294,0.71273945,0.22615719,8.02403191,1.97856491
-5.89794897,8.05735214,0.02721940,1.59394199,0.02137111,2.65505265,0.70154899,0.23333016,8.18765620,2.01123195
-5.89194597,8.18918636,0.02748859,1.62991403,0.02089274,2.69736890,0.69136920,0.24031898,8.31386199,2.03997087
-5.88594297,8.30472882,0.02785645,1.65930223,0.02062927,2.73932200,0.68219431,0.24710179,8.40000748,2.06445900
-5.87993997,8.40314254,0.02832522,1.68184972,0.02059071,2.78078319,0.67401707,0.25366661,8.44434347,2.08449535
-5.87393697,8.48410064,0.02889705,1.69746558,0.02078422,2.82169786,0.66683322,0.26001087,8.44607623,2.10000745
-5.86793397,8.54778310,0.02957375,1.70622465,0.02121394,2.86208108,0.66064442,0.26614012,8.40539123,2.11105066
-5.86193097,8.59484410,0.03035642,1.70835992,0.02188093,2.90200577,0.65545960,0.27206612,8.32343672,2.11779992
-5.85592796,8.62635206,0.03124503,1.70424789,0.02278307,2.94158455,0.65129472,0.27780430,8.20226845,2.12053470
-5.84992496,8.64370679,0.03223802,1.69438796,0.02391498,2.98094651,0.64817127,0.28337094,8.04475885,2.11961809
-5.84392196,8.64853956,0.03333181,1.67937673,0.02526795,3.02021113,0.64611375,0.28878008,7.85447591,2.11547156
-5.83791896,8.64260326,0.03452039,1.65987905,0.02682991,3.05946155,0.64514667,0.29404056,7.63553876,2.10854726
-5.83191596,8.62766040,0.03579499,1.63659729,0.02858549,3.09871953,0.64529141,0.29915333,7.39245782,2.09929979
-5.82591296,8.60537677,0.03714379,1.61024064,0.03051604,3.13792463,0.64656355,0.30410936,7.12996802,2.08815926
-5.81990995,8.57722814,0.03855182,1.58149620,0.03259986,3.17691958,0.64897093,0.30888824,6.85286369,2.07550781
-5.81390695,8.54442628,0.04000102,1.55100325,0.03481241,3.21544351,0.65251292,0.31345769,6.56584306,2.06166081
-5.80790395,8.50786903,0.04147038,1.51933209,0.03712667,3.25313413,0.65718093,0.31777408,6.27336950,2.04685414
-5.80190095,8.46811740,0.04293638,1.48696842,0.03951357,3.28953923,0.66296042,0.32178391,5.97955498,2.03123826
-5.79589795,8.42540042,0.04437351,1.45430360,0.04194250,3.32413698,0.66983410,0.32542625,5.68806990,2.01487912
-5.78989495,8.37964664,0.04575495,1.42163115,0.04438190,3.35636414,0.67778628,0.32863599,5.40208129,1.99776584
-5.78389195,8.33053895,0.04705343,1.38914912,0.04679987,3.38565024,0.68680781,0.33134775,5.12421981,1.97982412
-5.77788894,8.27758803,0.04824205,1.35696771,0.04916488,3.41145554,0.69690131,0.33350007,4.85657424,1.96093436
