energy_ev,total_up,Ga_p_up,Ga_d_up,Rh_p_up,Rh_d_up,Te_p_up,Te_d_up
-6.00000000,5.64049666,1.30181406,0.00000000,2.53224674,3.20652002,1.45446449,0.00000000
-5.99399700,5.72017321,1.33580490,0.00000000,2.51977350,3.27793810,1.45132847,0.00000000
-5.98799400,5.80930549,1.37255625,0.00000000,2.51384297,3.35307037,1.45189003,0.00000000
-5.98199100,5.90523745,1.41132865,0.00000000,2.51335574,3.43040967,1.45550176,0.00000000
-5.97598799,6.00510958,1.45131341,0.00000000,2.51710606,3.50834150,1.46145802,0.00000000
-5.96998499,6.10593028,1.49164904,0.00000000,2.52381847,3.58517980,1.46901839,0.00000000
-5.96398199,6.20464805,1.53143880,0.00000000,2.53218357,3.65920399,1.47743064,0.00000000
-5.95797899,6.29822301,1.56976930,0.00000000,2.54089250,3.72869646,1.48595262,0.00000000
-5.95197599,6.38369660,1.60572974,0.00000000,2.54866946,3.79198005,1.49387246,0.00000000
-5.94597299,6.45825792,1.63843154,0.00000000,2.55430194,3.84745456,1.50052658,0.00000000
-5.93996998,6.51930581,1.66702795,0.00000000,2.55666812,3.89363196,1.50531513,0.00000000
-5.93396698,6.56450530,1.69073325,0.00000000,2.55476133,3.92916930,1.50771460,0.00000000
-5.92796398,6.59183751,1.70884096,0.00000000,2.54771107,3.95289884,1.50728742,0.00000000
-5.92196098,6.59964206,1.72074054,0.00000000,2.53480051,3.96385455,1.50368854,0.00000000
-5.91595798,6.58665107,1.72593210,0.00000000,2.51548010,3.96129460,1.49666901,0.00000000
-5.90995498,6.55201424,1.72403855,0.00000000,2.48937718,3.94471897,1.48607683,0.00000000
-5.90395198,6.49531451,1.71481478,0.00000000,2.45630148,3.91388206,1.47185518,0.00000000
-5.89794897,6.41657410,1.69815341,0.00000000,2.41624638,3.86879976,1.45403851,0.00000000
-5.89194597,6.31625110,1.67408708,0.00000000,2.36938602,3.80975097,1.43274689,0.00000000
-5.88594297,6.19522690,1.64278684,0.00000000,2.31606842,3.73727352,1.40817885,0.00000000
-5.87993997,6.05478515,1.60455701,0.00000000,2.25680482,3.65215473,1.38060344,0.00000000
-5.87393697,5.89658300,1.55982649,0.00000000,2.19225571,3.55541691,1.35035168,0.00000000
-5.86793397,5.72261591,1.50913699,0.00000000,2.12321397,3.44829842,1.31780797,0.00000000
-5.86193097,5.53517706,1.45312851,0.00000000,2.05058573,3.33223077,1.28340165,0.00000000
-5.85592796,5.33681275,1.39252284,0.00000000,1.97536975,3.20881268,1.24759905,0.00000000
-5.84992496,5.13027514,1.32810553,0.00000000,1.89863575,3.07978161,1.21089617,0.00000000
-5.84392196,4.91847353,1.26070716,0.00000000,1.82150275,2.94698371,1.17381203,0.00000000
-5.83791896,4.70442530,1.19118459,0.00000000,1.74511780,2.81234282,1.13688273,0.00000000
-5.83191596,4.49120755,1.12040270,0.00000000,1.67063589,2.67782919,1.10065604,0.00000000
-5.82591296,4.28191019,1.04921741,0.00000000,1.59920153,2.54542846,1.06568643,0.00000000
-5.81990995,4.07959097,0.97846032,0.00000000,1.53193231,2.41711136,1.03253029,0.00000000
-5.81390695,3.88723291,0.90892544,0.00000000,1.46990477,2.29480447,1.00174103,0.00000000
-5.80790395,3.70770417,0.84135814,0.00000000,1.41414266,2.18036227,0.97386399,0.00000000
-5.80190095,3.54372057,0.77644666,0.00000000,1.36560754,2.07554062,0.94943079,0.00000000
-5.79589795,3.39781060,0.71481592,0.00000000,1.32519159,1.98197189,0.92895304,0.00000000
-5.78989495,3.27228284,0.65702374,0.00000000,1.29371237,1.90114162,0.91291546,0.00000000
-5.78389195,3.16919590,0.60355914,0.00000000,1.27190917,1.83436710,0.90176819,0.00000000
-5.77788894,3.09033090,0.55484246,0.00000000,1.26044067,1.78277773,0.89591864,0.00000000
-5.77188594,3.03716659,0.51122705,0.00000000,1.25988347,1.74729756,0.89572307,0.00000000
-5.76588294,3.01085767,0.47300206,0.00000000,1.27073117,1.72863031,0.90147811,0.00000000
-5.75987994,3.01221671,0.44039601,0.00000000,1.29339383,1.72724708,0.91341275,0.00000000
-5.75387694,3.04170037,0.41358094,0.00000000,1.32819751,1.74337738,0.93168123,0.00000000
-5.74787394,3.09940072,0.39267656,0.00000000,1.37538377,1.77700390,0.95635719,0.00000000
-5.74187094,3.18504250,0.37775443,0.00000000,1.43510930,1.82786152,0.98742973,0.00000000
-5.73586793,3.29798701,0.36884186,0.00000000,1.50744556,1.89544112,1.02480157,0.00000000
-5.72986493,3.43724350,0.36592534,0.00000000,1.59237858,1.97899855,1.06828976,0.00000000
-5.72386193,3.60148839,0.36895357,0.00000000,1.68980928,2.07756907,1.11762915,0.00000000
-5.71785893,3.78909266,0.37784010,0.00000000,1.79955426,2.18998741,1.17247859,0.00000000
-5.71185593,3.99815719,0.39246546,0.00000000,1.92134734,2.31491331,1.23242978,0.00000000
-5.70585293,4.22655571,0.41267914,0.00000000,2.05484197,2.45086228,1.29701856,0.00000000
-5.69984992,4.47198422,0.43830136,0.00000000,2.19961449,2.59624081,1.36573815,0.00000000
-5.69384692,4.73201581,0.46912487,0.00000000,2.35516826,2.74938543,1.43805381,0.00000000
-5.68784392,5.00415903,0.50491692,0.00000000,2.52093848,2.90860424,1.51341819,0.00000000
-5.68184092,5.28591783,0.54542157,0.00000000,2.69629743,3.07221977,1.59128667,0.00000000
-5.67583792,5.57485094,0.59036233,0.00000000,2.88055996,3.23861159,1.67113188,0.00000000
-5.66983492,5.86862829,0.63944537,0.00000000,3.07298880,3.40625721,1.75245656,0.00000000
-5.66383192,6.16508230,0.69236322,0.00000000,3.27279932,3.57376960,1.83480426,0.00000000
-5.65782891,6.46225174,0.74879893,0.00000000,3.47916354,3.73992984,1.91776707,0.00000000
-5.65182591,6.75841651,0.80843064,0.00000000,3.69121306,3.90371370,2.00099016,0.00000000
-5.64582291,7.05212176,0.87093640,0.00000000,3.90804081,4.06431076,2.08417282,0.00000000
-5.63981991,7.34219049,0.93599903,0.00000000,4.12870161,4.22113556,2.16706602,0.00000000
-5.63381691,7.62772410,1.00331081,0.00000000,4.35221168,4.37383004,2.24946675,0.00000000
-5.62781391,7.90809128,1.07257774,0.00000000,4.57754739,4.52225728,2.33120943,0.00000000
-5.62181091,8.18290570,1.14352307,0.00000000,4.80364362,4.66648687,2.41215517,0.00000000
-5.61580790,8.45199397,1.21588985,0.00000000,5.02939233,4.80677232,2.49217947,0.00000000
-5.60980490,8.71535541,1.28944229,0.00000000,5.25364177,4.94352170,2.57115918,0.00000000
-5.60380190,8.97311569,1.36396560,0.00000000,5.47519701,5.07726254,2.64895971,0.00000000
-5.59779890,9.22547652,1.43926436,0.00000000,5.69282219,5.20860251,2.72542308,0.00000000
-5.59179590,9.47266368,1.51515915,0.00000000,5.90524496,5.33818739,2.80035778,0.00000000
-5.58579290,9.71487561,1.59148162,0.00000000,6.11116331,5.46665801,2.87353076,0.00000000
-5.57978989,9.95223464,1.66806801,0.00000000,6.30925489,5.59460763,2.94466232,0.00000000
-5.57378689,10.18474272,1.74475144,0.00000000,6.49818864,5.72254140,3.01342380,0.00000000
-5.56778389,10.41224320,1.82135322,0.00000000,6.67663848,5.85083933,3.07943830,0.00000000
-5.56178089,10.63438984,1.89767369,0.00000000,6.84329853,5.97972387,3.14228431,0.00000000
-5.55577789,10.85062399,1.97348304,0.00000000,6.99689937,6.10923332,3.20150181,0.00000000
-5.54977489,11.06016059,2.04851280,0.00000000,7.13622460,6.23920179,3.25660056,0.00000000
-5.54377189,11.26198317,2.12244845,0.00000000,7.26012716,6.36924657,3.30707001,0.00000000
-5.53776888,11.45484820,2.19492403,0.00000000,7.36754485,6.49876314,3.35239035,0.00000000
-5.53176588,11.63729854,2.26551909,0.00000000,7.45751467,6.62692832,3.39204415,0.00000000
-5.52576288,11.80768591,2.33375873,0.00000000,7.52918571,6.75271154,3.42552819,0.00000000
-5.51975988,11.96420213,2.39911704,0.00000000,7.58183050,6.87489415,3.45236514,0.00000000
-5.51375688,12.10491847,2.46102419,0.00000000,7.61485517,6.99209651,3.47211472,0.00000000
-5.50775388,12.22783292,2.51887735,0.00000000,7.62780842,7.10281231,3.48438438,0.00000000
-5.50175088,12.33092423,2.57205525,0.00000000,7.62039004,7.20544953,3.48883914,0.00000000
-5.49574787,12.41221205,2.61993607,0.00000000,7.59245913,7.29837692,3.48521097,0.00000000
-5.48974487,12.46982184,2.66191810,0.00000000,7.54404261,7.37997498,3.47330742,0.00000000
-5.48374187,12.50205299,2.69744235,0.00000000,7.47534432,7.44869002,3.45301969,0.00000000
-5.47773887,12.50744836,2.72601624,0.00000000,7.38675464,7.50308955,3.42433022,0.00000000
-5.47173587,12.48486310,2.74723734,0.00000000,7.27886068,7.54191746,3.38731961,0.00000000
-5.46573287,12.43353032,2.76081579,0.00000000,7.15245648,7.56414685,3.34217287,0.00000000
-5.45972986,12.35312111,2.76659449,0.00000000,7.00855254,7.56902870,3.28918473,0.00000000
-5.45372686,12.24379625,2.76456579,0.00000000,6.84838382,7.55613447,3.22876382,0.00000000
