energy_ev,total_up,In_p_up,In_d_up,Sc_p_up,Sc_d_up,Se_s_up,Se_p_up
1.83391696,1.04407583,0.37949635,0.00006115,0.53945722,0.87827388,0.00141989,0.07722607
1.83991996,1.02840579,0.37376388,0.00005978,0.53081783,0.86220149,0.00123038,0.07591373
1.84592296,1.02002113,0.36887887,0.00005948,0.52357619,0.85257988,0.00106968,0.07472981
1.85192596,1.01855927,0.36457934,0.00006026,0.51742448,0.84912633,0.00093721,0.07362874
1.85792896,1.02361702,0.36062713,0.00006212,0.51207096,0.85151449,0.00083247,0.07256841
1.86393197,1.03476192,0.35681513,0.00006503,0.50725035,0.85938435,0.00075513,0.07151190
1.86993497,1.05153934,0.35297268,0.00006897,0.50273182,0.87234855,0.00070511,0.07042881
1.87593797,1.07347532,0.34896900,0.00007387,0.49832415,0.88999516,0.00068257,0.06929616
1.88194097,1.10007547,0.34471451,0.00007968,0.49387824,0.91188727,0.00068803,0.06809890
1.88794397,1.13082068,0.34016024,0.00008633,0.48928691,0.93755974,0.00072233,0.06682997
1.89394697,1.16516058,0.33529531,0.00009372,0.48448235,0.96651430,0.00078665,0.06548996
1.89994997,1.20250607,0.33014292,0.00010175,0.47943155,0.99821372,0.00088249,0.06408645
1.90595298,1.24222194,0.32475500,0.00011028,0.47413019,1.03207640,0.00101168,0.06263301
1.91195598,1.28362124,0.31920599,0.00011920,0.46859558,1.06747228,0.00117625,0.06114798
1.91795898,1.32596224,0.31358599,0.00012834,0.46285921,1.10372136,0.00137840,0.05965318
1.92396198,1.36844924,0.30799388,0.00013754,0.45695929,1.14009537,0.00162037,0.05817240
1.92996498,1.41023778,0.30253050,0.00014665,0.45093403,1.17582345,0.00190435,0.05673009
1.93596798,1.45044458,0.29729244,0.00015548,0.44481582,1.21010194,0.00223230,0.05534994
1.94197099,1.48816240,0.29236643,0.00016386,0.43862675,1.24210849,0.00260582,0.05405370
1.94797399,1.52247914,0.28782487,0.00017162,0.43237557,1.27101977,0.00302600,0.05286018
1.95397699,1.55250067,0.28372224,0.00017860,0.42605619,1.29603246,0.00349321,0.05178436
1.95997999,1.57737608,0.28009275,0.00018465,0.41964774,1.31638632,0.00400699,0.05083684
1.96598299,1.59632433,0.27694908,0.00018962,0.41311583,1.33138829,0.00456588,0.05002345
1.97198599,1.60866061,0.27428218,0.00019342,0.40641510,1.34043632,0.00516729,0.04934512
1.97798899,1.61382110,0.27206205,0.00019594,0.39949247,1.34304157,0.00580739,0.04879795
1.98399200,1.61138467,0.27023935,0.00019714,0.39229106,1.33884779,0.00648111,0.04837352
1.98999500,1.60109033,0.26874782,0.00019697,0.38475420,1.32764675,0.00718207,0.04805926
1.99599800,1.58284944,0.26750716,0.00019543,0.37682955,1.30938884,0.00790264,0.04783915
2.00200100,1.55675197,0.26642645,0.00019256,0.36847277,1.28418818,0.00863408,0.04769433
2.00800400,1.52306667,0.26540787,0.00018841,0.35965084,1.25232211,0.00936662,0.04760402
2.01400700,1.48223512,0.26435060,0.00018307,0.35034467,1.21422496,0.01008976,0.04754632
2.02001001,1.43486007,0.26315487,0.00017664,0.34055105,1.17047665,0.01079249,0.04749919
2.02601301,1.38168897,0.26172601,0.00016927,0.33028396,1.12178669,0.01146364,0.04744139
2.03201601,1.32359363,0.25997850,0.00016109,0.31957511,1.06897457,0.01209222,0.04735345
2.03801901,1.26154719,0.25783984,0.00015227,0.30847407,1.01294764,0.01266781,0.04721861
2.04402201,1.19659977,0.25525426,0.00014298,0.29704781,0.95467769,0.01318095,0.04702375
2.05002501,1.12985408,0.25218623,0.00013340,0.28537995,0.89517746,0.01362357,0.04676020
2.05602801,1.06244218,0.24862357,0.00012369,0.27356979,0.83547818,0.01398930,0.04642457
2.06203102,0.99550450,0.24458023,0.00011401,0.26173120,0.77660924,0.01427384,0.04601939
2.06803402,0.93017194,0.24009858,0.00010454,0.24999148,0.71958086,0.01447526,0.04555369
2.07403702,0.86755169,0.23525119,0.00009541,0.23849023,0.66537015,0.01459419,0.04504341
2.08004002,0.80871694,0.23014201,0.00008675,0.22737826,0.61491117,0.01463397,0.04451170
2.08604302,0.75470064,0.22490685,0.00007870,0.21681655,0.56908881,0.01460072,0.04398897
2.09204602,0.70649291,0.21971314,0.00007134,0.20697519,0.52873642,0.01450330,0.04351285
2.09804902,0.66504158,0.21475900,0.00006477,0.19803227,0.49463667,0.01435321,0.04312787
2.10405203,0.63125521,0.21027138,0.00005907,0.19017272,0.46752505,0.01416438,0.04288500
2.11005503,0.60600755,0.20650353,0.00005428,0.18358691,0.44809506,0.01395288,0.04284095
2.11605803,0.59014251,0.20373149,0.00005048,0.17846904,0.43700434,0.01373657,0.04305726
2.12206103,0.58447857,0.20224993,0.00004768,0.17501515,0.43488060,0.01353469,0.04359927
2.12806403,0.58981160,0.20236705,0.00004593,0.17342088,0.44232646,0.01336737,0.04453479
2.13406703,0.60691514,0.20439881,0.00004523,0.17387871,0.45992224,0.01325513,0.04593263
2.14007004,0.63653724,0.20866245,0.00004562,0.17657481,0.48822594,0.01321834,0.04786105
2.14607304,0.67939329,0.21546928,0.00004709,0.18168555,0.52776969,0.01327665,0.05038595
2.15207604,0.73615439,0.22511707,0.00004965,0.18937350,0.57905222,0.01344846,0.05356903
2.15807904,0.80743105,0.23788179,0.00005330,0.19978322,0.64252726,0.01375034,0.05746581
2.16408204,0.89375235,0.25400917,0.00005804,0.21303676,0.71858761,0.01419654,0.06212369
2.17008504,0.99554097,0.27370600,0.00006386,0.22922902,0.80754550,0.01479846,0.06757991
2.17608804,1.11308486,0.29713151,0.00007075,0.24842316,0.90960963,0.01556423,0.07385963
2.18209105,1.24650640,0.32438898,0.00007867,0.27064616,1.02485967,0.01649832,0.08097412
2.18809405,1.39573059,0.35551788,0.00008759,0.29588467,1.15321954,0.01760119,0.08891909
2.19409705,1.56045353,0.39048678,0.00009749,0.32408144,1.29443053,0.01886908,0.09767329
2.20010005,1.74011316,0.42918749,0.00010829,0.35513243,1.44802588,0.02029384,0.10719745
2.20610305,1.93386386,0.47143053,0.00011993,0.38888482,1.61330836,0.02186291,0.11743360
2.21210605,2.14055691,0.51694256,0.00013233,0.42513606,1.78933238,0.02355938,0.12830486
2.21810905,2.35872849,0.56536575,0.00014540,0.46363414,1.97489235,0.02536216,0.13971577
2.22411206,2.58659693,0.61625960,0.00015901,0.50407916,2.16851848,0.02724634,0.15155319
2.23011506,2.82207029,0.66910527,0.00017305,0.54612626,2.36848135,0.02918361,0.16368782
2.23611806,3.06276546,0.72331257,0.00018737,0.58938996,2.57280608,0.03114282,0.17597633
2.24212106,3.30603895,0.77822963,0.00020182,0.63344975,2.77929639,0.03309068,0.18826412
2.24812406,3.54902938,0.83315500,0.00021623,0.67785697,2.98556869,0.03499256,0.20038855
2.25412706,3.78871089,0.88735210,0.00023042,0.72214265,3.18909555,0.03681330,0.21218277
2.26013007,4.02195616,0.94006549,0.00024422,0.76582616,3.38725753,0.03851816,0.22347976
2.26613307,4.24560708,0.99053862,0.00025746,0.80842438,3.57740180,0.04007377,0.23411672
2.27213607,4.45655069,1.03803224,0.00026994,0.84946109,3.75690559,0.04144901,0.24393944
2.27813907,4.65179762,1.08184306,0.00028152,0.88847613,3.92324210,0.04261592,0.25280662
2.28414207,4.82855980,1.12132172,0.00029202,0.92503430,4.07404623,0.04355049,0.26059388
2.29014507,4.98432444,1.15588953,0.00030130,0.95873332,4.20717758,0.04423334,0.26719730
2.29614807,5.11692104,1.18505325,0.00030925,0.98921087,4.32077793,0.04465028,0.27253639
2.30215108,5.22457860,1.20841723,0.00031576,1.01615044,4.41332075,0.04479264,0.27655621
2.30815408,5.30597061,1.22569262,0.00032076,1.03928576,4.48365068,0.04465751,0.27922873
2.31415708,5.36024594,1.23670305,0.00032420,1.05840381,4.53101133,0.04424771,0.28055319
2.32016008,5.38704432,1.24138691,0.00032606,1.07334648,4.55506007,0.04357160,0.28055553
2.32616308,5.38649608,1.23979581,0.00032634,1.08401083,4.55586966,0.04264275,0.27928688
2.33216608,5.35920625,1.23208985,0.00032507,1.09034811,4.53391649,0.04147938,0.27682119
2.33816908,5.30622423,1.21852950,0.00032233,1.09236183,4.49005648,0.04010371,0.27325210
2.34417209,5.22900045,1.19946497,0.00031817,1.09010494,4.42548981,0.03854118,0.26868924
2.35017509,5.12933251,1.17532331,0.00031272,1.08367640,4.34171639,0.03681966,0.26325401
2.35617809,5.00930318,1.14659403,0.00030607,1.07321738,4.24048416,0.03496856,0.25707523
2.36218109,4.87121332,1.11381374,0.00029837,1.05890720,4.12373270,0.03301794,0.25028466
2.36818409,4.71751254,1.07755068,0.00028975,1.04095927,3.99353459,0.03099776,0.24301269
2.37418709,4.55073056,1.03838946,0.00028035,1.01961700,3.85203708,0.02893705,0.23538442
2.38019010,4.37341192,0.99691681,0.00027032,0.99514993,3.70140613,0.02686331,0.22751611
2.38619310,4.18805618,0.95370866,0.00025979,0.96785000,3.54377507,0.02480193,0.21951242
2.39219610,3.99706572,0.90931886,0.00024891,0.93802793,3.38119929,0.02277575,0.21146419
2.39819910,3.80270219,0.86426996,0.00023779,0.90600981,3.21561825,0.02080480,0.20344709
2.40420210,3.60705263,0.81904595,0.00022656,0.87213375,3.04882562,0.01890605,0.19552104
2.41020510,3.41200546,0.77408711,0.00021532,0.83674657,2.88244772,0.01709345,0.18773032
2.41620810,3.21923619,0.72978687,0.00020416,0.80020056,2.71793032,0.01537788,0.18010450
2.42221111,3.03020219,0.68649050,0.00019315,0.76285013,2.55653328,0.01376735,0.17265982
2.42821411,2.84614565,0.64449543,0.00018238,0.72504854,2.39933223,0.01226719,0.16540122
2.43421711,2.66810352,0.60405288,0.00017188,0.68714453,2.24722642,0.01088031,0.15832466
2.44022011,2.49692306,0.56537066,0.00016170,0.64947911,2.10095157,0.00960754,0.15141970
2.44622311,2.33328157,0.52861669,0.00015187,0.61238232,1.96109646,0.00844793,0.14467222
2.45222611,2.17770898,0.49392309,0.00014242,0.57617028,1.82812221,0.00739911,0.13806705
2.45822911,2.03061186,0.46139057,0.00013337,0.54114242,1.70238299,0.00645766,0.13159056
2.46423212,1.89229774,0.43109279,0.00012471,0.50757915,1.58414717,0.00561937,0.12523295
2.47023512,1.76299875,0.40308075,0.00011647,0.47573987,1.47361797,0.00487962,0.11899025
2.47623812,1.64289358,0.37738686,0.00010864,0.44586155,1.37095300,0.00423365,0.11286596
2.48224112,1.53212743,0.35402873,0.00010122,0.41815787,1.27628187,0.00367678,0.10687224
