energy_ev,total_up,total_down,Cr_p_up,Cr_p_down,Cr_d_up,Cr_d_down,N_s_up,N_s_down,N_p_up,N_p_down,Ni_p_up,Ni_p_down,Ni_d_up,Ni_d_down,S_s_up,S_s_down,S_p_up,S_p_down
-6.00000000,1.08292555,-1.06154670,0.55634128,-0.55530033,0.13072370,-0.13253200,0.00456266,-0.00466344,0.04162999,-0.04117923,0.15971566,-0.15788141,0.11309350,-0.10649543,0.03249163,-0.03085753,0.59662687,-0.58384547
-5.99399700,1.07677349,-1.05846498,0.55594796,-0.55909434,0.12940619,-0.13008898,0.00452549,-0.00456288,0.04256935,-0.04256819,0.16369265,-0.16305997,0.11221303,-0.10664537,0.03166977,-0.02995577,0.59261048,-0.58136358
-5.98799400,1.06664494,-1.05157653,0.55298430,-0.56034741,0.12768131,-0.12729490,0.00445643,-0.00443248,0.04342406,-0.04386367,0.16747390,-0.16803199,0.11083053,-0.10630888,0.03073039,-0.02894768,0.58629244,-0.57668908
-5.98199100,1.05278172,-1.04107398,0.54762557,-0.55915341,0.12557020,-0.12419664,0.00435693,-0.00427495,0.04419940,-0.04506072,0.17108196,-0.17279337,0.10898072,-0.10550161,0.02967764,-0.02783998,0.57781717,-0.56994372
-5.97598799,1.03553544,-1.02725962,0.54011139,-0.55567445,0.12310649,-0.12085181,0.00422910,-0.00409348,0.04490210,-0.04615638,0.17454486,-0.17734723,0.10671229,-0.10425368,0.02851912,-0.02664246,0.56739326,-0.56131301
-5.96998499,1.01535765,-1.01053736,0.53073949,-0.55013746,0.12033541,-0.11732715,0.00407557,-0.00389164,0.04553976,-0.04714942,0.17789429,-0.18170300,0.10408688,-0.10260922,0.02726573,-0.02536770,0.55528815,-0.55104192
-5.96398199,0.99278705,-0.99140194,0.51985795,-0.54282915,0.11731256,-0.11369677,0.00389944,-0.00367327,0.04612029,-0.04804001,0.18116390,-0.18587552,0.10117769,-0.10062564,0.02593130,-0.02403066,0.54182110,-0.53942889
-5.95797899,0.96843463,-0.97042618,0.50785648,-0.53408960,0.11410231,-0.11004024,0.00370418,-0.00344237,0.04665135,-0.04882937,0.18438780,-0.18988414,0.09806785,-0.09837243,0.02453214,-0.02264817,0.52735496,-0.52681879
-5.95197599,0.94296783,-0.94824714,0.49515732,-0.52430505,0.11077608,-0.10644084,0.00349348,-0.00320294,0.04713993,-0.04951947,0.18759933,-0.19375214,0.09484862,-0.09592987,0.02308648,-0.02123841,0.51228725,-0.51359512
-5.94597299,0.91709442,-0.92555196,0.48220607,-0.51390015,0.10741065,-0.10298389,0.00327119,-0.00295893,0.04759197,-0.05011278,0.19083034,-0.19750629,0.09161758,-0.09338740,0.02161392,-0.01982031,0.49704104,-0.50017205
-5.93996998,0.89154719,-0.90306409,0.46946302,-0.50332998,0.10408642,-0.09975541,0.00304113,-0.00271409,0.04801218,-0.05061210,0.19411106,-0.20117689,0.08847676,-0.09084202,0.02013475,-0.01841303,0.48205616,-0.48698647
-5.93396698,0.86707006,-0.88153058,0.45739523,-0.49307237,0.10088596,-0.09684105,0.00280708,-0.00247188,0.04840406,-0.05102046,0.19747040,-0.20479805,0.08553096,-0.08839661,0.01866939,-0.01703542,0.46778105,-0.47449067
-5.92796398,0.84440607,-0.86171073,0.44646957,-0.48362047,0.09789267,-0.09432533,0.00257259,-0.00223545,0.04876996,-0.05134117,0.20093698,-0.20840843,0.08288614,-0.08615821,0.01723782,-0.01570553,0.45466565,-0.46314550
-5.92196098,0.82428753,-0.84436629,0.43714685,-0.47547587,0.09518984,-0.09229131,0.00234095,-0.00200751,0.04911141,-0.05157794,0.20454049,-0.21205224,0.08064807,-0.08423640,0.01585904,-0.01444021,0.44315525,-0.45341449
-5.91595798,0.80742842,-0.83025324,0.42987703,-0.46914223,0.09285986,-0.09082037,0.00211512,-0.00179038,0.04942955,-0.05173508,0.20831352,-0.21578037,0.07892102,-0.08274177,0.01455066,-0.01325478,0.43368561,-0.44575852
-5.90995498,0.79451864,-0.82011481,0.42509521,-0.46511923,0.09098382,-0.08999233,0.00189767,-0.00158590,0.04972562,-0.05181787,0.21229351,-0.21965167,0.07780677,-0.08178437,0.01332854,-0.01216279,0.42667901,-0.44063129
-5.90395198,0.78621981,-0.81467532,0.42321835,-0.46389683,0.08964123,-0.08988563,0.00169075,-0.00139548,0.05000153,-0.05183279,0.21652474,-0.22373402,0.07740358,-0.08147223,0.01220654,-0.01117585,0.42254099,-0.43847497
-5.89794897,0.78316192,-0.81463434,0.42464216,-0.46594948,0.08890989,-0.09057744,0.00149606,-0.00122008,0.05026047,-0.05178796,0.22106001,-0.22810508,0.07780529,-0.08190992,0.01119635,-0.01030351,0.42165772,-0.43971607
-5.89194597,0.78594027,-0.82066046,0.42973803,-0.47172996,0.08886588,-0.09214368,0.00131489,-0.00106027,0.05050739,-0.05169341,0.22596199,-0.23285261,0.07910038,-0.08319699,0.01030741,-0.00955327,0.42439323,-0.44476096
